Marathi,Punjabi
असामान्य,ਅਸਧਾਰਨ
गर्भपात,ਅਧੂਰਾ ਛੱਡਣਾ
घर्षण,ਘ੍ਰਿਣਾ
अचानक,ਅਚਾਨਕ
परिपूर्ण फील्ड सामर्थ्य,ਪੂਰੀ ਫੀਲਡ ਤਾਕਤ
परिपूर्ण तापमान,ਪੂਰਨ ਤਾਪਮਾਨ
परिपूर्ण मूल्य,ਸਹੀ ਮੁੱਲ
शोषून घ्या,ਸੋਖਣਾ
शोषण सह-कार्यक्षम,ਸਮਾਈ ਸਹਿਕਾਰਤਾ
शोषण तोटा,ਸਮਾਈ ਨੁਕਸਾਨ
गोषवारा,ਸਾਰ
एक्सेलरोमीटर,ਐਕਸੀਲਾਮੀਟਰ
स्वीकृती चाचणी,ਪ੍ਰਵਾਨਗੀ ਟੈਸਟ
प्रवेश,ਪਹੁੰਚ
प्रवेश नियंत्रण,ਐਕਸੈਸ ਕੰਟਰੋਲ
प्रवेश बिंदू,ਐਕਸੈਸ ਪੁਆਇੰਟ
प्रवेश वेळ,ਐਕਸੈਸ ਟਾਈਮ
प्रवेशयोग्यता,ਪਹੁੰਚਯੋਗਤਾ
संचयक सेल,ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ ਸੈੱਲ
अचूकता,ਸ਼ੁੱਧਤਾ
अचूक,ਸਹੀ
अ‍ॅक्रोमॅटिक लेन्स,ਅਕੀਰੋਮੈਟਿਕ ਲੈਂਜ਼
आम्ल,ਐਸਿਡ
आम्ल पुरावा,ਐਸਿਡ ਦਾ ਸਬੂਤ
आंबटपणा,ਐਸਿਡਿਟੀ
पावती बिट,ਪ੍ਰਵਾਨਗੀ ਬਿੱਟ
ध्वनिक,ਧੁਨੀ
ध्वनिक संप्रेषण,ਧੁਨੀ ਸੰਚਾਰ
ध्वनिक प्रसार,ਧੁਨੀ ਫੈਲਾਉਣ
ध्वनिक समतुल्य,ਧੁਨੀ ਬਰਾਬਰੀ
ध्वनिक अभिप्राय,ਧੁਨੀ ਫੀਡਬੈਕ
ध्वनिक फिल्टर,ਧੁਨੀ ਫਿਲਟਰ
ध्वनिक प्रतिबाधा,ਧੁਨੀ ਰੁਕਾਵਟ
ध्वनिक मास्किंग,ਧੁਨੀ ਮਾਸਕਿੰਗ
ध्वनिक शक्ती,ਧੁਨੀ ਸ਼ਕਤੀ
ध्वनिक मालमत्ता,ਧੁਨੀ ਸੰਪਤੀ
ध्वनिक प्रतिक्रिया,ਧੁਨੀ ਪ੍ਰਤੀਕਰਮ
ध्वनिक प्रतिक्षेप,ਧੁਨੀ ਪ੍ਰਤੀਬਿੰਬ
ध्वनिक टाइल,ਧੁਨੀ ਟਾਈਲ
ध्वनिक लाट,ਧੁਨੀ ਲਹਿਰ
ध्वनिक शोषण,ਧੁਨੀ ਸਮਾਈ
ध्वनीविषयक क्षीणन स्थिर,ਧੂ-ਰਹਿਤ ਅਟੁੱਟ ਨਿਰੰਤਰ
ध्वनिकी ओलसर,ਧੁਨੀ ਗਿੱਲੀ
ध्वनिक विलंब रेखा,ਧੁਨੀ ਦੇਰੀ ਦੀ ਲਾਈਨ
ध्वनिक विकृती,ਧੁਨੀ ਵਿਗਾੜ
ध्वनिक नलिका,ਧੁਨੀ ਨਲੀ
ध्वनिक ऊर्जा,ਧੁਨੀ energy ਰਜਾ
ध्वनिक अभिप्राय,ਧੁਨੀ ਫੀਡਬੈਕ
ध्वनिक फिल्टर,ਧੁਨੀ ਫਿਲਟਰ
ध्वनीविषयक प्रतिबाधा,ਧਾਰਨਾ
ध्वनीविषयक प्रसार स्थिर,ਧੁਨੀ ਪ੍ਰਸਾਰ ਨੂੰ ਸਥਿਰ
ध्वनिक प्रतिकार,ਧੁਨੀ ਪ੍ਰਤੀਰੋਧ
ध्वनिकरित्या इन्सुलेटेड,ਧੁਨੀ
ध्वनिकी,ਧੁਨੀ
संपादन,ਗ੍ਰਹਿਣ
परिवर्णी शब्द,ਐਕਰੋਨਾਈਮ
कृती क्षेत्र,ਕਾਰਵਾਈ ਖੇਤਰ
सक्रिय फिलामेंट,ਸਰਗਰਮ ਤੰਦ
सक्रिय,ਕਿਰਿਆਸ਼ੀਲ
सक्रिय क्षेत्र,ਐਕਟਿਵ ਖੇਤਰ
सक्रिय विंडो,ਐਕਟਿਵ ਵਿੰਡੋ
अनुकूलता,ਅਨੁਕੂਲਤਾ
अ‍ॅडॉप्टर (अ‍ॅडॉप्टर),ਅਡੈਪਟਰ (ਅਡੈਪਟਰ)
अ‍ॅडॉप्टिव्ह डिफरेंशनल पल्स कोड मॉड्यूलेशन,ਅਡੈਪਟਿਵ ਇਨਫਿਅਲ ਪਲਸ ਕੋਡ ਸੰਚਾਲਨ
अॅड्रेस बुक,ਐਡਰੈੱਸ ਬੁੱਕ
अ‍ॅड्रेस बस,ਪਤਾ ਬੱਸ
पत्ता ठराव,ਪਤਾ ਹੱਲ
लगतच चॅनेल हस्तक्षेप,ਨੇੜਲੇ ਚੈਨਲ ਦਖਲਅੰਦਾਜ਼ੀ
लगतच चॅनेल निवड,ਨਾਲਤ ਚੈਨਲ ਚੋਣ
समीप वारंवारता,ਆਸ ਪਾਸ ਦੀ ਬਾਰੰਬਾਰਤਾ
समीप फ्रिक्वेन्सी चॅनेल,ਨਾਲ ਲੱਗਦੇ ਫ੍ਰੀਕੁਐਂਸੀ ਚੈਨਲ
लगतचे चित्र वाहक,ਨਾਲ ਲੱਗਦੀ ਤਸਵੀਰ ਕੈਰੀਅਰ
समीप ध्वनी वाहक,ਨਾਲ ਲੱਗਦੀ ਆਵਾਜ਼ ਕੈਰੀਅਰ
समीप स्टेशन,ਨਾਲ ਲੱਗਦੀ ਸਟੇਸ਼ਨ
समायोज्य,ਵਿਵਸਥਤ
समायोज्य कंडेन्सर,ਵਿਵਸਥਤ ਕੰਡੈਂਸਰ
दबाव समायोजित करणे,ਦਬਾਅ ਵਿਵਸਥਿਤ ਕਰਨਾ
पाना समायोजित करणे,ਰੈਂਚ ਨੂੰ ਵਿਵਸਥਿਤ ਕਰਨਾ
समायोजन,ਵਿਵਸਥਾ
प्रशासक,ਪ੍ਰਬੰਧਕ
आधुनिक तंत्रज्ञान,ਤਕਨੀਕੀ ਤਕਨਾਲੋਜੀ
हवाई,ਏਰੀਅਲ
एरियल अ‍ॅरे,ਏਰੀਅਲ ਐਰੇ
एरियल बूस्टर,ਏਰੀਅਲ ਬੂਸਟਰ
एरियल करंट,ਏਰੀਅਲ ਮੌਜੂਦਾ
एरियल अर्थिंग स्विच,ਏਰੀਅਲ ਕਮਾ ਸਵਿੱਚ
हवाई कार्यक्षमता,ਏਰੀਅਲ ਕੁਸ਼ਲਤਾ
हवाई प्रतिबाधा,ਏਰੀਅਲ ਰੁਕਾਵਟ
एरियल इंडक्टन्स,ਏਰੀਅਲ ਇੰਡਕੈਕਟੈਂਸ
एरियल इन्सुलेटर,ਏਰੀਅਲ ਇਨਸੂਲੇਟਰ
एरियल लोडिंग कॉइल,ਹਵਾਈ ਲੋਡਿੰਗ ਕੋਇਲ
एरियल फोटोग्राफी,ਹਵਾਈ ਫੋਟੋਗ੍ਰਾਫੀ
हवाई शक्ती,ਏਰੀਅਲ ਪਾਵਰ
एरियल रेडिएशन रीस्टन्स,ਏਰੀਅਲ ਰੇਡੀਏਸ਼ਨ ਰੀਸੈਂਟਸ
हवाई प्रतिक्रिया,ਏਰੀਅਲ ਪ੍ਰਤੀਕਰਮ
एरोडायनामिक्स,ਐਰੋਡਾਇਨਾਮਿਕਸ
एजन्सी,ਏਜੰਸੀ
एअर कॉम्प्रेसर,ਏਅਰ ਕੰਪ੍ਰੈਸਰ
एअर कंडेन्सर,ਏਅਰ ਕੰਡੈਂਸਰ
वातानुकूलित,ਹਵਾ ਠੰ .ੀ
एअर कोर्ड कॉइल,ਏਅਰ ਕੋਰਡ ਕੋਇਲ
वातानुकुलीत,ਏਅਰ ਕੰਡੀਸ਼ਨਿੰਗ
अल्बेडो,ਅਲਬਾਡੋ
अल्गोरिदम,ਐਲਗੋਰਿਦਮ
अलियासिंग,ਅਲਾਇਸਿੰਗ
संरेखित,ਐਲਿੰਗਿੰਗ
संरेखन,ਅਲਾਈਨਮੈਂਟ
सर्व वेव्ह एरियल,ਸਾਰੇ ਵੇਵ ਏਰੀਅਲ
वाटप,ਅਲਾਟਮੈਂਟ
वर्णमाला,ਵਰਣਮਾਲਾ
अल्फान्यूमेरिक,ਅਲਫਾਨੁਮਿਕ
अल्फान्यूमेरिक वर्ण,ਅੱਖਰ ਅੱਖਰ
अल्फान्यूमेरिक माहिती,ਅਲਫਾਨੁਮਿਕ ਜਾਣਕਾਰੀ
वैकल्पिक चालू (ए.सी.),ਬਦਲਵੇਂ ਮੌਜੂਦਾ (ਏ.ਸੀ.)
वैकल्पिक,ਬਦਲਵਾਂ
अल्टरनेटर,ਅਲਟਰਨੇਟਰ
समुद्रसपाटीपासूनची उंची,ਉਚਾਈ
अपोजीची उंची,ਅਗੇਬੀ ਦੀ ਉਚਾਈ
पेरिगीची उंची,ਚਰਿੱਜ ਦੀ ਉਚਾਈ
हौशी रेडिओ संप्रेषण,ਸ਼ੁਕੀਨ ਰੇਡੀਓ ਸੰਚਾਰ
वातावरण,ਮਾਹੌਲ
वातावरण मायक्रोफोन,ਮਾਹੌਲ ਮਾਈਕ੍ਰੋਫੋਨ
वातावरणीय स्थिती,ਅੰਬੀਨਟ ਦੀ ਸਥਿਤੀ
वातावरणीय प्रकाश,ਅੰਬੀਨਟ ਲਾਈਟਿੰਗ
सभोवतालचा आवाज,ਅੰਬੀਨਟ ਸ਼ੋਰ
वातावरणीय तापमान,ਵਾਤਾਵਰਣ ਦਾ ਤਾਪਮਾਨ
अमेरिकन मानक कोड,ਅਮੈਰੀਕਨ ਸਟੈਂਡਰਡ ਕੋਡ
अँपियर,ਐਂਪੀਅਰ
अ‍ॅम्पेअर मीटर,ਐਂਪਰ ਮੀਟਰ
प्रवर्धन,ਸਹਾਇਕਤਾ
प्रवर्धन घटक,ਐਪਲੀਫਿਕੇਸ਼ਨ ਫੈਕਟਰ
एम्पलीफायर,ਐਂਪਲੀਫਾਇਰ
एम्पलीफायर गेन,ਐਂਪਲੀਫਾਇਰ ਲਾਭ
एम्पलीफायर आवाज,ਐਂਪਲੀਫਾਇਰ ਸ਼ੋਰ
एम्प्लिफाइंग उपकरणे,ਅਮਲੀਫਾਈਸਿੰਗ ਉਪਕਰਣ
क्लीस्ट्रॉनचे विस्तार,ਸਰਪਲੱਸਿੰਗ ਕਲਸਟ੍ਰੋਨ
एम्प्लिफाइंग युनिट,ਅਮਲੀਫਾਈਸਿੰਗ ਯੂਨਿਟ
मोठेपणा,ਐਪਲੀਟਿ .ਡ
मोठेपणा विकृती,ਐਪਲੀਟਿ itude ਡ ਭਟਕਣਾ
