Hindi,Punjabi
वैस्‍टम‍िन्‍स्‍टर मठ,ਵੈਸਟਮਿੰਸਟਰ ਦੇ ਅਬੇ
मालखाना,ਨਿਮਰਤਾ
दासता का उन्मूलन,ਗੁਲਾਮੀ ਦਾ ਖਾਤਮਾ
आदिवासी,ਆਦਿਵਾਸੀ
अब्राहम काल,ਅਬਰਾਹਮ ਯੁੱਗ
प्रवासी ज़मींदार,ਗੈਰਹਾਜ਼ਰ ਮਕਾਨ ਮਾਲਕ
अकादमी; विद्वत्परिषद,ਅਕੈਡਮੀ
अक्रा सम्मेलन,ਅਕਰਾ ਕਾਨਫਰੰਸ
"प्रोद्भूत सामग्री, उपचित सामग्री",ਪ੍ਰਾਪਤੀ
"परसंस्कृति-ग्रहण, उत्संस्करण",ਐਕਲਚਰੇਸ਼ਨ
एसेलडामा,ਐਸੇਲਡਾਮਾ
एकियायी,ਅਚੀਅਨ (=ਅਚੀਅਨ)
एकीयायी लीग,ਅਚੀਅਨ ਲੀਗ (=ਅਚੀਅਨ ਲੀਗ)
एक्रोपोलिस,ਐਕ੍ਰੋਪੋਲਿਸ
"शाही रोज़नामचा, दैनिक समाचार",ਐਕਟਾ ਦਿਉਰਨਾ
सीनेट का कार्यवृत्त,ਐਕਟਾ ਸੇਨੇਟਸ
"अपर प्रपत्र, एक्टे एडिशनेल",ਐਕਟ ਐਡੀਸ਼ਨਲ
सक्रिय रिकार्ड,ਕਿਰਿਆਸ਼ੀਲ ਰਿਕਾਰਡ (=ਮੌਜੂਦਾ ਰਿਕਾਰਡ)
अपकीर्त्ति अधिनियम,ਪ੍ਰਾਪਤ ਕਰਨ ਵਾਲੇ ਦਾ ਕੰਮ
दंड विमुक्ति एवं विस्मरण अधिनियम,ਮੁਆਵਜ਼ੇ ਅਤੇ ਭੁੱਲ ਦਾ ਕੰਮ
"राज्य-व्यवस्था अधिनियम, एक्ट ऑफ सेटिलमेंट",ਸੈਟਲਮੈਂਟ ਦਾ ਐਕਟ
संविदा मुद्रा,ਵਿਗਿਆਪਨ ਇਕਰਾਰਨਾਮੇ ਦੀ ਮੋਹਰ
आडुलम गुटवादी,ਅਦੁਲਾਮਾਈਟਸ
विपक्षी,ਵਿਰੋਧੀ
2. शत्रु,ਵਿਰੋਧੀ
