Hindi,Odiya
"1.एबेकस ,2. गिनतारा","1. ଆବାକସ୍, ୨। ଗଣନା"
असामान्य समापन,ଅସ୍ୱାଭାବିକ ସମାପ୍ତି |
अवरोधन,ବାଧା
"1. निरपेक्ष ,2. परम","1. ସଂପୂର୍ଣ୍ଣ, 2 ସର୍ବୋଚ୍ଚ"
निरपेक्ष पता,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
निरपेक्ष पताभिगमन,ସଂପୂର୍ଣ୍ଣ ଠିକଣା ଯୋଗ୍ୟତା |
निरपेक्ष कोडांतरक,ସଂପୂର୍ଣ୍ଣ ସମାବେଶକାରୀ |
"1. निरपेक्ष कूट ,2. निरपेक्ष कोड","1. ସଂପୂର୍ଣ୍ଣ କୋଡ୍, 2 ସଂପୂର୍ଣ୍ଣ କୋଡ୍"
निरपेक्ष समादेश,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ |
"1.निरपेक्ष आंकडे ,2. निरपेक्ष डाटा","1. ସଂପୂର୍ଣ୍ଣ ସଂଖ୍ୟା, 2 ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |"
निरपेक्ष अनुदेश,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ
निरपेक्ष विधा,ସଂପୂର୍ଣ୍ଣ ମୋଡ୍ |
निरपेक्ष पथ,ସଂପୂର୍ଣ୍ଣ ପଥ
"1. निरपेक्ष क्रमादेशन ,2. निरपेक्ष प्रोग्रामन","1. ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ, 2 ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |"
अमूर्त वर्ग,ବିସ୍ତୃତ ଶ୍ରେଣୀ |
अमूर्त आंकड़ा प्रकार,ବିସ୍ତୃତ ତଥ୍ୟ ପ୍ରକାର |
अमूर्त मशीन,ବିସ୍ତୃତ ମେସିନ୍ |
अमूर्त प्रतीक,ବିସ୍ତୃତ ପ୍ରତୀକ |
अमूर्त वाक्य विन्यास,ବିସ୍ତୃତ ବାକ୍ୟବିନ୍ୟାସ |
स्वीकृति परीक्षण,ଗ୍ରହଣ ପରୀକ୍ଷା
अभिगम प्रमाणन,ପ୍ରବେଶ ପ୍ରମାଣପତ୍ର
"1. अभिगम कूट ,2. अभिगम कोड","1. ପ୍ରବେଶ ସଂକେତ, 2 ପ୍ରବେଶ କୋଡ୍"
अभिगम नियंत्रण,ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ
अभिगम क्रमवीक्षण,ସ୍କାନିଂ ଆକ୍ସେସ୍ କରନ୍ତୁ |
सहयंत्र,ଆନୁଷଙ୍ଗିକ
लेखा,ହିସାବ
"1. एकाउंट आई डी ,2. लेखा पहचान","1. ଖାତା ID, 2 ଆକାଉଣ୍ଟିଂ ପରିଚୟ"
संचायक,ଜମାକାରୀ
"1. विशुद्धता ,2. यर्थाथता","1. ସଠିକତା, 2 ସଠିକତା"
अभिगम,ପ୍ରବେଶ
अभिगम नियंत्रण बाइट,ଆକ୍ସେସ୍ କଣ୍ଟ୍ରୋଲ୍ ବାଇଟ୍ |
अभिगम सूचक,ପ୍ରବେଶ ସୂଚକ
अभिगम कुंजी,ପ୍ରବେଶ କୀ
"1.अभिगम आव्यूह ,2. अभिगम मैट्रिक्स","1. ଆକ୍ସେସ୍ ମ୍ୟାଟ୍ରିକ୍ସ, 2 ମ୍ୟାଟ୍ରିକ୍ସ ଆକ୍ସେସ୍ କରନ୍ତୁ |"
अभिगम विधा,ପ୍ରବେଶ ମୋଡ୍
अभिगम विशेषाधिकार,ସୁବିଧା ପ୍ରବେଶ
अभिगम सुरक्षा,ସୁରକ୍ଷା ପ୍ରବେଶ କରନ୍ତୁ |
"1. अभिगम परिसेवक ,2. अभिगम सर्वर","1. ଆକ୍ସେସ୍ ସର୍ଭର, 2 ସର୍ଭରକୁ ପ୍ରବେଶ କରନ୍ତୁ |"
अभिगम काल,ପ୍ରବେଶ ସମୟ
अभिस्वीकृति,ସ୍ୱୀକୃତି
ध्वनिकी,ଆକାଶବାଣୀ
"1. परिवर्णी शब्द, 2. संक्षिप्त रूप ,3. लघु रूप","1. ସଂକ୍ଷିପ୍ତ ଶବ୍ଦ, 2. ସଂକ୍ଷିପ୍ତକରଣ, 3 ଠାରୁ ଛୋଟ"
क्रिया संदेश,କାର୍ଯ୍ୟ ବାର୍ତ୍ତା |
सक्रियण,ସକ୍ରିୟ
सक्रिय सर्वर पृष्ठ,ସକ୍ରିୟ ସର୍ଭର ପୃଷ୍ଠା |
सक्रिय वर्जन,ସକ୍ରିୟ ସଂସ୍କରଣ |
अचक्रीय,acyclic
"1. अचक्रीय आलेख ,2. अचक्रीय ग्राफ","1. ଆକାଇକ୍ଲିକ୍ ଗ୍ରାଫ୍, 2 acyclic ଗ୍ରାଫ୍ |"
एडा कंप्यूटर भाषा,ଅଦା କମ୍ପ୍ୟୁଟର ଭାଷା |
"1. अनुकूलक ,2. अनुकूलित्र","1. ଅପ୍ଟିମାଇଜର୍, 2 ଅପ୍ଟିମାଇଜର୍"
योग (करना),to sum)
योग संचिका,ରାଶି ଫାଇଲ୍ |
"1. जोड़ संक्रिया ,2. योग संक्रिया","1. ଯୋଗ କାର୍ଯ୍ୟ, 2 ରାଶି କାର୍ଯ୍ୟ"
योजक,ଆଡର୍
पता,ଜାଣନ୍ତୁ |
पता बस,ଠିକଣା ବସ୍
पता संचिका,ଠିକଣା ଫାଇଲ୍ |
पता आरूप,ଠିକଣା ଫର୍ମାଟ୍
पता जनक,ଠିକଣା ଜେନେରେଟର
पता पंक्ति,ଠିକଣା ରେଖା
पता प्रतिचित्रण,ଠିକଣା ମ୍ୟାପିଂ
पता संकेतक,ଠିକଣା ସୂଚକ
पता पंजी,ଠିକଣା ରେଜିଷ୍ଟର
पता विघटन,ଠିକଣା ଭାଙ୍ଗିବା
पता अनुवाद,ଠିକଣା ଅନୁବାଦ
"1. पतायुक्त स्मृति ,2. पतायुक्त मेमोरी","1. ଠିକଣା ଯୋଗ୍ୟ ସ୍ମୃତି, ୨। ଠିକଣା ସ୍ମୃତି"
पताभिगमन,ଠିକଣା
"1. पर्याप्तता निकष ,2. पर्याप्तता कसौटी","1. ପର୍ଯ୍ୟାପ୍ତ ମାନଦଣ୍ଡ, 2 ପର୍ଯ୍ୟାପ୍ତ ମାନଦଣ୍ଡ |"
संलग्न,ସଂଲଗ୍ନ
"1. प्रबंधन ,2. नियंत्रण","1. ପରିଚାଳନା, 2 ନିୟନ୍ତ୍ରଣ"
"1. प्रबंधक ,2. नियंत्रक","1. ପରିଚାଳକ, 2 ନିୟନ୍ତ୍ରକ"
ऐडोब एक्रोबेट,ଆଡୋବ ଆକ୍ରୋବାଟ୍ |
ऐडोब फोटोशोप,ଆଡୋବ ଫଟୋସପ୍ |
ए बी ए पी (उन्नत व्यवसाय प्रोग्रामन),ABAP (ଉନ୍ନତ ବ୍ୟବସାୟ ପ୍ରୋଗ୍ରାମିଂ)
"1. उन्नत आंकड़ा ,2. उन्नत डाटा","1. ଉନ୍ନତ ତଥ୍ୟ, ୨। ଉନ୍ନତ ତଥ୍ୟ"
उन्नत सूचना तंत्र,ଉନ୍ନତ ସୂଚନା ପ୍ରଣାଳୀ |
उन्नत प्रौद्योगिकी (ए टी),ଉନ୍ନତ ଜ୍ଞାନକ Technology ଶଳ (AT)
कर्मक,କାର୍ଯ୍ୟ
समुच्चयन,ଏକୀକରଣ
विमानवाहित कंप्यूटर तंत्र,ବାୟୁବାହୀ କମ୍ପ୍ୟୁଟର ସିଷ୍ଟମ୍ |
एल्डस पेज-मेक,aldus page-make
सचेत पेटी,ଆଲର୍ଟ ବାକ୍ସ
ऐल्गॉल (कंप्यूटर भाषा),algol (କମ୍ପ୍ୟୁଟର ଭାଷା)
"1.  एल्गोरिथ्म ,2. कलन विधि","1. ଆଲଗୋରିଦମ, ୨ ଆଲଗୋରିଦମ |"
"1.  एल्गोरिथ्म विश्लेषण ,2. कलन विधि विश्लेषण","1. ଆଲଗୋରିଦମ ବିଶ୍ଳେଷଣ, ୨। ଆଲଗୋରିଦମ ବିଶ୍ଳେଷଣ |"
एल्गोरिथ्म दक्षता,ଆଲଗୋରିଦମ ଦକ୍ଷତା |
"1. एलिआस ,2. उपनाम ,3. उर्फ","1. ଏଲିୟସ୍, ୨ ଡାକନାମ, 3 ଆକା"
संरेखण,ଶ୍ରେଣୀବଦ୍ଧତା |
"1. आवंटन ,2. नियतन","1. ବଣ୍ଟନ, ୨ ଆବଣ୍ଟନ"
"1.अक्षरात्मक ,2. वर्णानुक्रम","1. ବର୍ଣ୍ଣାନୁକ୍ରମିକ, ୨ ବର୍ଣ୍ଣାନୁକ୍ରମିକ କ୍ରମ |"
अक्षरांकीय,ବର୍ଣ୍ଣମାଳା
"1.अक्षरांकीय कुंजीपटल ,2. अक्षराकीय की-बोर्ड","1. ବର୍ଣ୍ଣମାଳା କୀବୋର୍ଡ୍, 2 ବର୍ଣ୍ଣମାଳା କୀବୋର୍ଡ୍ |"
अल्फा-परीक्षण (प्रथम स्तरीय परीक्षण),ଆଲଫା-ପରୀକ୍ଷା (ପ୍ରଥମ ସ୍ତର ପରୀକ୍ଷା)
"1. अल्फा वर्जन ,2. अल्फा रूप","1. ଆଲଫା ସଂସ୍କରଣ, ୨ ଆଲଫା ଫର୍ମ |"
आल्ट कुंजी,alt କି
आल्टाविस्टा,altavista
अनेकार्थकता,ବହୁଗୁଣ
संदिग्ध व्याकरण,ଅସ୍ପଷ୍ଟ ବ୍ୟାକରଣ
अमेरिकन नेशनल स्टेंडीस इंस्टीट्यूट (ए.एन.एस.आई.),ଆମେରିକୀୟ ନ୍ୟାସନାଲ ଷ୍ଟାଣ୍ଡିସ୍ ଇନଷ୍ଟିଚ୍ୟୁଟ୍ (ANSI)
अमेरिकी मानक कट (आस्की),ଆମେରିକୀୟ ଷ୍ଟାଣ୍ଡାର୍ଡ କଟ୍ (ascii)
"1. अनुरुप ,2. एनालॉग","1. ଅନୁରୂପ, 2 analog"
"1. एनालॉग कंप्यूटर, 2. अनुरुप कंप्यूटर","1. ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର, 2. ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |"
"1. अनुरुप युक्ति ,2. एनालॉग डिवाइस","1. ଆନାଗଲ୍ ଡିଭାଇସ୍, 2 analog ଉପକରଣ"
"1. एनालॉग मोडेम ,2. अनुरुप मोडेम","1. ଆନାଗଲ୍ ମୋଡେମ୍, ୨ ଆନାଗଲ୍ ମୋଡେମ୍ |"
अनुरुप से अंकीय रुपांतरक,ଡିଜିଟାଲ୍ କନଭର୍ଟର ସହିତ ଅନୁରୂପ |
एंड (डिजिटल/विमान लॉजिक ’और’ प्रयुक्त),ଶେଷ (ଡିଜିଟାଲ୍ / ବିମାନ ତର୍କ &#39;ଏବଂ&#39; ବ୍ୟବହୃତ)
एंड परिपथ,ଶେଷ ସର୍କିଟ |
एंड गेट और द्वार,ଶେଷ ଫାଟକ ଏବଂ ଫାଟକ |
एंड नॉट संक्रिया (अपवर्जन),ଶେଷ ନୁହେଁ ଅପରେସନ୍ (ବହିଷ୍କାର)
"1. एनीमेशन, 2.  सजीवन","1. ଆନିମେସନ୍, 2. କମ୍ପନ |"
टिप्पण,ଧ୍ୟାନ ଦିଅନ୍ତୁ
असंगता,ଅସଙ୍ଗତି |
पूर्ववर्ती,ପୂର୍ବ
प्रत्याशामूलक पृष्ठन,ଆଶାକର୍ମୀ ପେଜିଂ |
प्रति-सममित,କାଉଣ୍ଟର-ସିମେଟ୍ରିକ୍ |
विषाणुरोधी क्रमादेश,ଆଣ୍ଟିଭାଇରାଲ୍ ପ୍ରୋଗ୍ରାମ୍ |
"1. एपलेट ,2. अनुप्रयोगिका","1. ଆପଲେଟ୍, 2 ପ୍ରୟୋଗ"
अनुप्रयोग विकासक,ପ୍ରୟୋଗ ବିକାଶକାରୀ |
अनुप्रयोग प्रोग्रामन,ପ୍ରୟୋଗ ପ୍ରୋଗ୍ରାମିଂ
"1. अनुप्रयोग प्रोग्रामन अंतरापृष्ठ ,2. एप्लीकेशन प्रोग्रामिंग इंटरफेस (ए.पी.आई.)","1. ପ୍ରୟୋଗ ପ୍ରୋଗ୍ରାମିଂ ଇଣ୍ଟରଫେସ୍, 2 ପ୍ରୟୋଗ ପ୍ରୋଗ୍ରାମିଂ ଇଣ୍ଟରଫେସ୍ (API)"
अनुप्रयोग सॉफ्टवेयर,ପ୍ରୟୋଗ ସଫ୍ଟୱେର୍
अनुप्रयोगी भाषा,ପ୍ରୟୋଗ ଭାଷା
सन्निकटण सिद्धांत,ଆନୁମାନିକ ନୀତି
संरचना,ଗଠନ
क्षेत्र अंतरण,କ୍ଷେତ୍ର ସ୍ଥାନାନ୍ତର
"1. प्राचर,स्वतंत्रचर, 2. कोणांक","1. ପାରାମିଟର, ସ୍ independent ାଧୀନ ଭେରିଏବଲ୍, 2. କୋଣ"
"1. अंकगणितीय एवं तर्क एकक ,2. अंकगणितीय एवं तर्क इकाई","1. ଗାଣିତିକ ଏବଂ ତର୍କ ଏକକ, ୨। ଗାଣିତିକ ଏବଂ ତର୍କ ଏକକ |"
अंकगणितीय जांच,ଗାଣିତିକ ଯାଞ୍ଚ |
अंकगणितीय अचर,ଗାଣିତିକ ସ୍ଥିର |
अंकगणितीय आंकडा,ଗାଣିତିକ ତଥ୍ୟ
अंकगणितीय अनुदेश,ଗାଣିତିକ ନିର୍ଦ୍ଦେଶ
गणितीय एवं तार्किक इकाई (ए. एल. यू.),ଗାଣିତିକ ଏବଂ ଲଜିକାଲ୍ ୟୁନିଟ୍ (ALU)
ए आर पी ए नेट (आरपानेट),ARPA ନେଟ (RPNet)
सरणी,ଆରେ
"1. सरणी कैशे ,2. सरणी द्रुतिका ,3. सरणी द्रुतस्मृति","1. ଆରେ କ୍ୟାଚ୍, 2 ଆରେ ଗତି, 3 ଆରେ ମେମୋରୀ"
सरणी कंप्यूटर,ଆରେ କମ୍ପ୍ୟୁଟର |
सरणी अवयव,ଆରେ ଉପାଦାନ |
सरणी नाम,ଆରେ ନାମ
सरणी प्रकर्मक,ଆରେ ସଞ୍ଚାଳକ
एरो कुंजी,ତୀର କି
संधि,ଚୁକ୍ତି
संधि बिन्दु,ଜଙ୍କସନ୍ ପଏଣ୍ଟ |
कृत्रिम संहनन,କୃତ୍ରିମ ସଙ୍କୋଚନ |
कृत्रिम नियंत्रण,କୃତ୍ରିମ ନିୟନ୍ତ୍ରଣ |
कृत्रिम बोध,କୃତ୍ରିମ ଅର୍ଥ |
आरोहक,ଆରୋହଣ
आरोही छंटाई,ଆରୋହଣ କ୍ରମ
आस्की वर्णक्रम,ascii ବର୍ଣ୍ଣମାଳା |
आस्की नियंत्रण संप्रतीक,ascii ନିୟନ୍ତ୍ରଣ ପ୍ରତୀକ |
आस्की संचिका,ascii ଫାଇଲ୍ |
आस्की फॉन्ट,ascii ଫଣ୍ଟ
आस्की अंतरण,ASCII ସ୍ଥାନାନ୍ତର |
अभिमुखता अनुपात,ଆନୁମାନିକ ଅନୁପାତ
"1. ऐस्पी ,2. ए एस पी आई","1. ଆସ୍ପି, ୨ ASPI"
ए एस आर कालद,ଏକ S R କାଲାଡ୍ |
"1. स्मरांतरण ,2. कोडांतरण ,3. कोडांतर करना","1. ସ୍ମରଣ, ୨ ଏକତ୍ରିତ, 3 ଏକତ୍ର ହେବା"
