Gujarati,Marathi
"1.એબેકસ, 2. ગણતરી","1.अॅबॅकस, 2. मोजणी"
અસામાન્ય અંત,असामान्य शेवट
ઇન્ટરસેપ્ટ,इंटरसेप्ट
"1. સંપૂર્ણ, 2. સર્વોચ્ચ","1. निरपेक्ष, 2. सर्वोच्च"
સંપૂર્ણ સરનામું,परिपूर्ण पत्ता
સંપૂર્ણ સંબોધનક્ષમતા,परिपूर्ण पत्ता योग्यता
સંપૂર્ણ એસેમ્બલર,परिपूर्ण असेंबलर
"1. સંપૂર્ણ કોડ, 2. સંપૂર્ણ કોડ","1. संपूर्ण कोड, 2. परिपूर्ण कोड"
સંપૂર્ણ આદેશ,निरपेक्ष आज्ञा
"1. સંપૂર્ણ આંકડા, 2. સંપૂર્ણ ડેટા","1. परिपूर्ण आकडे, 2. परिपूर्ण डेटा"
સંપૂર્ણ સૂચના,परिपूर्ण सूचना
સંપૂર્ણ મોડ,परिपूर्ण मोड
સંપૂર્ણ માર્ગ,परिपूर्ण मार्ग
"1. સંપૂર્ણ પ્રોગ્રામિંગ, 2. સંપૂર્ણ પ્રોગ્રામિંગ","1. परिपूर्ण प्रोग्रामिंग, 2. परिपूर्ण प्रोग्रामिंग"
અમૂર્ત વર્ગ,अमूर्त वर्ग
અમૂર્ત ડેટા પ્રકાર,अमूर्त डेटा प्रकार
અમૂર્ત મશીન,अमूर्त मशीन
અમૂર્ત પ્રતીક,अमूर्त चिन्ह
અમૂર્ત વાક્યરચના,अमूर्त वाक्यरचना
સ્વીકૃતિ કસોટી,स्वीकृती चाचणी
પ્રવેશ પ્રમાણપત્ર,प्रवेश प्रमाणपत्र
"1. એક્સેસ કોડ, 2. ઍક્સેસ કોડ","1. प्रवेश कोड, 2. प्रवेश कोड"
વપરાશ નિયંત્રણ,प्रवेश नियंत्रण
ઍક્સેસ સ્કેનિંગ,प्रवेश स्कॅनिंग
એસેસરીઝ,उपकरणे
નામું,लेखा
"1. એકાઉન્ટ ID, 2. એકાઉન્ટિંગ ઓળખ","1. खाते आयडी, 2. लेखा ओळख"
સંચયક,संचयक
"1. ચોકસાઈ, 2. ચોકસાઈ","1. अचूकता, 2. अचूकता"
ઍક્સેસ,प्रवेश
એક્સેસ કંટ્રોલ બાઇટ્સ,प्रवेश नियंत्रण बाइट्स
ઍક્સેસ સૂચક,प्रवेश सूचक
ઍક્સેસ કી,प्रवेश की
"1. એક્સેસ મેટ્રિક્સ, 2. એક્સેસ મેટ્રિક્સ","1. प्रवेश मॅट्रिक्स, 2. प्रवेश मॅट्रिक्स"
ઍક્સેસ મોડ,प्रवेश मोड
ઍક્સેસ વિશેષાધિકારો,प्रवेश विशेषाधिकार
ઍક્સેસ સુરક્ષા,प्रवेश सुरक्षा
"1. એક્સેસ સર્વર, 2. સર્વર ઍક્સેસ કરો","1. ऍक्सेस सर्व्हर, 2. प्रवेश सर्व्हर"
ઍક્સેસ સમય,प्रवेश वेळ
સ્વીકૃતિ,पोचपावती
ધ્વનિશાસ્ત્ર,ध्वनीशास्त्र
"1. ટૂંકાક્ષર, 2. સંક્ષેપ, 3. થી ટૂંકું","1. संक्षेप, 2. संक्षेप, 3. पासून लहान"
ક્રિયા સંદેશ,क्रिया संदेश
સક્રિયકરણ,सक्रियकरण
સક્રિય સર્વર પૃષ્ઠ,सक्रिय सर्व्हर पृष्ठ
સક્રિય સંસ્કરણ,सक्रिय आवृत्ती
એસાયક્લિક,अॅसायक्लिक
"1. એસાયક્લિક ગ્રાફ, 2. એસાયક્લિક ગ્રાફ","1. अॅसायक्लिक आलेख, 2. अॅसायक्लिक आलेख"
અદા કોમ્પ્યુટર ભાષા,अडा संगणक भाषा
"1. ઑપ્ટિમાઇઝર, 2. ઑપ્ટિમાઇઝર","1. ऑप्टिमायझर, 2. अनुकूलक"
સરવાળે),बेरीज करण्यासाठी)
સરવાળો ફાઇલ,बेरीज फाइल
"1. એડિશન ઓપરેશન, 2. સરવાળો કામગીરી","1. अॅडिशन ऑपरेशन, 2. बेरीज ऑपरेशन"
ઉમેરનાર,जोडणारा
જાણો,जाणून घ्या
સરનામું બસ,पत्ता बस
સરનામું ફાઇલ,पत्ता फाइल
સરનામું ફોર્મેટ,पत्त्याचे स्वरूप
સરનામું જનરેટર,पत्ता जनरेटर
એડ્રેસ લાઇન,पत्ता ओळ
સરનામું મેપિંગ,पत्ता मॅपिंग
સરનામું સૂચક,पत्ता सूचक
સરનામું રજીસ્ટર,पत्ता नोंदवही
સરનામું ભંગાણ,पत्ता ब्रेकडाउन
સરનામા અનુવાદ,पत्ता अनुवाद
"1. એડ્રેસેબલ મેમરી, 2. એડ્રેસેબલ મેમરી","1. पत्ता मेमरी, 2. पत्ता करण्यायोग्य मेमरी"
સંબોધન,संबोधित
"1. પર્યાપ્તતા માપદંડ, 2. પર્યાપ્તતા માપદંડ","1. पर्याप्ततेचे निकष, 2. पर्याप्तता निकष"
જોડાણ,संलग्नक
"1. મેનેજમેન્ટ, 2. નિયંત્રણ","1. व्यवस्थापन, 2. नियंत्रण"
"1. મેનેજર, 2. નિયંત્રક","1. व्यवस्थापक, 2. नियंत्रक"
એડોબ એક્રોબેટ,adobe acrobat
એડોબ ફોટોશોપ,अडोब फोटोशाॅप
ABAP (એડવાન્સ્ડ બિઝનેસ પ્રોગ્રામિંગ),ABAP (प्रगत व्यवसाय प्रोग्रामिंग)
"1. અદ્યતન ડેટા, 2. અદ્યતન ડેટા","1. प्रगत डेटा, 2. प्रगत डेटा"
અદ્યતન માહિતી સિસ્ટમ,प्रगत माहिती प्रणाली
એડવાન્સ ટેકનોલોજી (AT),प्रगत तंत्रज्ञान (AT)
ક્રિયા,क्रिया
એકત્રીકરણ,एकत्रीकरण
એરબોર્ન કમ્પ્યુટર સિસ્ટમ,एअरबोर्न संगणक प्रणाली
aldus પૃષ્ઠ બનાવવું,aldus page-make
ચેતવણી બોક્સ,अलर्ट बॉक्स
અલ્ગોલ (કોમ્પ્યુટર ભાષા),अल्गोल (संगणक भाषा)
"1. અલ્ગોરિધમ , 2. અલ્ગોરિધમ","1. अल्गोरिदम, 2. अल्गोरिदम"
"1. અલ્ગોરિધમ વિશ્લેષણ, 2. અલ્ગોરિધમ વિશ્લેષણ","1. अल्गोरिदम विश्लेषण, 2. अल्गोरिदम विश्लेषण"
અલ્ગોરિધમ કાર્યક્ષમતા,अल्गोरिदम कार्यक्षमता
"1. ઈલિયાસ, 2. ઉપનામ, 3. ઉર્ફે","1. इलियास, 2. टोपणनाव, 3. उर्फ"
ગોઠવણી,संरेखन
"1. ફાળવણી, 2. ફાળવણી","1. वाटप, 2. वाटप"
"1. આલ્ફાબેટીક, 2. મૂળાક્ષરોનો ક્રમ","1. वर्णमाला, 2. अक्षर क्रमानुसार"
આલ્ફાન્યૂમેરિક,अल्फान्यूमेरिक
"1. આલ્ફાન્યૂમેરિક કીબોર્ડ ,2. આલ્ફાન્યૂમેરિક કીબોર્ડ","1. अल्फान्यूमेरिक कीबोर्ड, 2. अल्फान्यूमेरिक कीबोर्ड"
આલ્ફા-પરીક્ષણ (પ્રથમ સ્તર પરીક્ષણ),अल्फा-चाचणी (पहिली स्तर चाचणी)
"1. આલ્ફા સંસ્કરણ, 2. આલ્ફા ફોર્મ","1. अल्फा आवृत्ती, 2. अल्फा फॉर्म"
alt કી,alt की
