Tamil,English
அசாதாரணமானது,Abnormal
கருக்கலைப்பு,Abort
சிராய்ப்பு,Abrasion
திடீரென்று,Abrupt
முழுமையான புல வலிமை,Absolute field strength
முழுமையான வெப்பநிலை,Absolute temperature
துல்லியமான மதிப்பு,Absolute value
உறிஞ்சும்,Absorb
உறிஞ்சுதல் சக செயல்திறன்,Absorption co-efficient
உறிஞ்சுதல் இழப்பு,Absorption loss
சுருக்கம்,Abstract
முடுக்கமானி,Accelerometer
ஏற்பு சோதனை,Acceptance test
அணுகல்,Access
நுழைவு கட்டுப்பாடு,Access control
அணுகல் புள்ளி,Access point
அணுகல் நேரம்,Access time
அணுகல்,Accessibility
குவிப்பான் செல்,Accumulator cell
துல்லியம்,Accuracy
துல்லியமானது,Accurate
முடிச்சு லென்ஸ்,Achromatic lens
அமிலம்,Acid
அமில ஆதாரம்,Acid proof
அமிலத்தன்மை,Acidity
ஒப்புதல் பிட்,Acknowledgement bit
ஒலி,Acoustic
ஒலி தொடர்பு,Acoustic communication
ஒலி பரவல்,Acoustic diffusion
ஒலி சமநிலைப்படுத்தி,Acoustic equalizer
ஒலி கருத்து,Acoustic feedback
ஒலி வடிகட்டி,Acoustic filter
ஒலி மின்மறுப்பு,Acoustic impedance
ஒலி முகமூடி,Acoustic masking
ஒலி சக்தி,Acoustic power
சட்டவிரோத சொத்து,Acoustic property
ஒலி எதிர்வினை,Acoustic reactance
ஒலி ரிஃப்ளெக்ஸ்,Acoustic reflex
ஒலி ஓடு,Acoustic tile
ஒலி அலை,Acoustic wave
ஒலியியல் உறிஞ்சுதல்,Acoustical absorption
ஒலியியல் விழிப்புணர்வு மாறிலி,Acoustical attenuation constant
ஒலியியல் ஈரமாக்குதல்,Acoustical damping
ஒலியியல் தாமத வரி,Acoustical delay line
ஒலியியல் விலகல்,Acoustical distortion
ஒலியியல் குழாய்,Acoustical duct
ஒலியியல் ஆற்றல்,Acoustical energy
ஒலியியல் கருத்து,Acoustical feedback
ஒலியியல் வடிகட்டி,Acoustical filter
ஒலியியல் மின்மறுப்பு,Acoustical impedance
ஒலியியல் பரப்புதல் மாறிலி,Acoustical propagation constant
ஒலியியல் எதிர்ப்பு,Acoustical resistance
ஒலியியல் ரீதியாக காப்பிடப்பட்டது,Acoustically insulated
ஒலியியல்,Acoustics
கையகப்படுத்தல்,Acquisition
சுருக்கம்,Acronym
செயல் பகுதி,Action area
செயல்படுத்தப்பட்ட இழை,Activated filament
செயலில்,Active
செயலில் உள்ள பகுதி,Active area
செயலில் சாளரம்,Active window
தகவமைப்பு,Adaptability
அடாப்டர் (அடாப்டர்),Adapter (adaptor)
தகவமைப்பு வேறுபாடு துடிப்பு குறியீடு பண்பேற்றம்,Adaptive differential pulse code modulation
முகவரி புத்தகம்,Address book
முகவரி பஸ்,Address bus
முகவரி தீர்மானம்,Address resolution
அருகிலுள்ள சேனல் குறுக்கீடு,Adjacent channel interference
அருகிலுள்ள சேனல் தேர்வு,Adjacent channel selectivity
அருகிலுள்ள அதிர்வெண்,Adjacent frequency
அருகிலுள்ள அதிர்வெண் சேனல்,Adjacent frequency channel
அருகிலுள்ள படம் கேரியர்,Adjacent picture carrier
அருகிலுள்ள ஒலி கேரியர்,Adjacent sound carrier
அருகிலுள்ள நிலையம்,Adjacent station
சரிசெய்யக்கூடியது,Adjustable
சரிசெய்யக்கூடிய மின்தேக்கி,Adjustable condenser
அழுத்தம் சரிசெய்தல்,Adjusting pressure
குறடு சரிசெய்தல்,Adjusting wrench
சரிசெய்தல்,Adjustment
நிர்வாகி,Administrator
மேம்பட்ட தொழில்நுட்பம்,Advanced technology
வான்வழி,Aerial
வான்வழி வரிசை,Aerial array
வான்வழி பூஸ்டர்,Aerial booster
வான்வழி மின்னோட்டம்,Aerial current
வான்வழி பூமி சுவிட்ச்,Aerial earthing switch
வான்வழி செயல்திறன்,Aerial efficiency
வான்வழி மின்மறுப்பு,Aerial impedance
வான்வழி தூண்டல்,Aerial inductance
வான்வழி இன்சுலேட்டர்,Aerial insulator
வான்வழி ஏற்றுதல் சுருள்,Aerial loading coil
வான்வழி புகைப்படம்,Aerial photography
வான்வழி சக்தி,Aerial power
வான்வழி கதிர்வீச்சு,Aerial radiation reistance
வான்வழி எதிர்வினை,Aerial reactance
ஏரோடைனமிக்ஸ்,Aerodynamics
ஏஜென்சி,Agency
காற்று அழுத்தி,Air compressor
ஏர் மின்தேக்கி,Air condenser
குளிா்ந்த காற்று,Air cooled
காற்று கோர்ட் சுருள்,Air cored coil
ஏர் கண்டிஷனிங்,Airconditioning
ஆல்பெடோ,Albedo
வழிமுறை,Algorithm
மாற்றுப்பெயர்ச்சி,Aliasing
சீரமைத்தல்,Aligning
சீரமைப்பு,Alignment
அனைத்து அலை வான்வழி,All wave aerial
ஒதுக்கீடு,Allocation
அகரவரிசை,Alphabetic
எண்ணெழுத்து,Alphanumeric
எண்ணெழுத்து எழுத்து,Alphanumeric character
எண்ணெழுத்து தகவல்,Alphanumeric information
மாற்று மின்னோட்டம் (ஏ.சி.),Alternating current (a.c.)
மாற்று,Alternation
மின்மாற்றி,Alternator
உயரம்,Altitude
அப்போஜியின் உயரம்,Altitude of the apogee
பெரிஜியின் உயரம்,Altitude of the perigee
அமெச்சூர் வானொலி தொடர்பு,Amateur radio communication
சூழ்நிலை,Ambience
சுற்றுப்புற மைக்ரோஃபோன்,Ambience microphone
சுற்றுப்புற நிலை,Ambient condition
சுற்றுப்புற விளக்குகள்,Ambient lighting
சுற்றுப்புற சத்தம்,Ambient noise
சுற்றுப்புற வெப்பநிலை,Ambient temperature
அமெரிக்கன் ஸ்டாண்டர்ட் கோட்,American standard code
ஆம்பியர்,Ampere
ஆம்பியர் மீட்டர்,Ampere meter
பெருக்கம்,Amplification
பெருக்க காரணி,Amplification factor
பெருக்கி,Amplifier
பெருக்கி ஆதாயம்,Amplifier gain
பெருக்கி சத்தம்,Amplifier noise
உபகரணங்கள் பெருக்குதல்,Amplifying equipment
கிளிஸ்ட்ரான் பெருக்குதல்,Amplifying klystron
பெருக்குதல் அலகு,Amplifying unit
வீச்சு,Amplitude
வீச்சு விலகல்,Amplitude distortion
வீச்சு உல்லாசப் பயணம்,Amplitude excursion
வீச்சு காரணி,Amplitude factor
அலைவீச்சு வரம்பு,Amplitude limiter
வீச்சு பண்பேற்றப்பட்டது,Amplitude modulated
வீச்சு பண்பேற்றம்,Amplitude modulation
ஒப்புமை (அனலாக்),Analog (analogue)
அனலாக் சுற்று,Analog circuit
அனலாக் கணினி,Analog computer
அனலாக் ரேடியோ அதிர்வெண் சேனல்,Analog radio frequency channel
அனலாக் பிரதிநிதித்துவம்,Analog representation
அனலாக் சிக்னல்,Analog signal
டிஜிட்டலுக்கு அனலாக்,Analog to digital
டிஜிட்டல் மாற்றிக்கு அனலாக்,Analog to digital converter
அனலாக் வீடியோ,Analog video
ஒப்பீட்டு,Analogous
ஒப்புமை,Analogy
பகுப்பாய்வு,Analysis
தரவின் பகுப்பாய்வு,Analysis of data
பகுப்பாய்வு அடர்த்தி,Analytical density
பகுப்பாய்வு செய்யுங்கள்,Analyze
பகுப்பாய்வி,Analyzer
துணை உபகரணங்கள்,Ancilliary equipment
மற்றும் வாயில்,AND Gate
மோதலின் கோணம்,Angle of collimation
துருவமுனைப்பு கோணம்,Angle of polarization
சுழற்சியின் கோணம்,Angle of rotation
ஆங்ஸ்ட்ரோம் (Å),Angstrom (Å)
கோண,Angular
கோண முடுக்கம்,Angular acceleration
கோண ஒருங்கிணைப்புகள்,Angular co-ordinates
கோண அழிவு,Angular deflection
கோண சிதறல்,Angular dispersion
கோண இடப்பெயர்ச்சி,Angular displacement
கோண பிழை,Angular error
கோண அதிர்வெண்,Angular frequency
கோண உந்தம்,Angular momentum
கோண இயக்கம்,Angular motion
கோண வேகம்,Angular velocity
இயங்குபடம்,Animation
நேர்மறை,Anode
நேர்மறை பேட்டரி,Anode battery
நேர்மறை பண்பு,Anode characteristic
நேர்மறை சுற்று,Anode circuit
அனோட் சிதறல்,Anode dissipation
அனோட் செயல்திறன்,Anode efficiency
அனோட் உள்ளீட்டு சக்தி,Anode input power
அனோட் மாடுலேஷன்,Anode modulation
ஆண்டெனா,Antenna
ஆண்டெனா பீம் அகலம்,Antenna beamwidth
ஆண்டெனா பூஸ்டர்,Antenna booster
ஆண்டெனா மாற்ற சுவிட்ச்,Antenna changeover switch
ஆண்டெனா சுருள்,Antenna coil
ஆண்டெனா உள்ளமைவு,Antenna configuration
ஆண்டெனா கப்ளர்,Antenna coupler
ஆண்டெனா குறுக்கு துருவ முறை,Antenna cross polar pattern
ஆண்டெனா நடப்பு,Antenna current
ஆண்டெனா டைரக்டிவிட்டி ஆதாயம்,Antenna directivity gain
ஆண்டெனா டூப்ளெக்சர்,Antenna duplexer
ஆண்டெனா பயனுள்ள பகுதி,Antenna effective area
ஆண்டெனா செயல்திறன்,Antenna efficiency
ஆண்டெனா ஊட்டம்,Antenna feed
ஆண்டெனா கால் அச்சு,Antenna foot print
ஆண்டெனா ஆதாயம்,Antenna gain
ஆண்டெனா உயரம்,Antenna height
ஆண்டெனா மின்மறுப்பு,Antenna impedance
ஆண்டெனா தூண்டல்,Antenna inductance
ஆண்டெனா முறை,Antenna pattern
ஆண்டெனா பிளெக்ஸர்,Antenna plexer
ஆண்டெனா துருவமுனைப்பு,Antenna polarization
ஆண்டெனா சக்தி,Antenna power
ஆண்டெனா சக்தி ஆதாயம்,Antenna power gain
ஆண்டெனா கதிர்வீச்சு எதிர்ப்பு,Antenna radiation resistance
ஆண்டெனா எதிர்வினை,Antenna reactance
ஆண்டெனா பிரதிபலிப்பாளர்,Antenna reflector
ஆண்டெனா எதிர்ப்பு,Antenna resistance
ஆண்டெனா அதிர்வு அதிர்வெண்,Antenna resonant frequency
ஆண்டெனா இடைவெளி,Antenna spacing
ஆண்டெனா மாறுதல் அறை,Antenna switching room
ஆண்டெனா டியூனிங் சுருள்,Antenna tuning coil
ஆண்டெனா ட்யூனிங் ஹட்,Antenna tuning hut
துவாரம்,Aperture
Apogee,Apogee
அபோஜி ராக்கெட்,Apogee rocket
கருவி,Apparatus
தோன்றும்,Apparent
Applet,Applet
விண்ணப்பம்,Application
தோராயமான,Approximate
நீர்வாழ் தீர்வு,Aquous solution
வில்,Arc
கட்டிடக்கலை,Architecture
ஒலி பதிவின் காப்பக பரிமாற்றம்,Archival transfer of sound recording
காப்பகங்கள்,Archives
எண்கணித குறியீட்டு முறை,Arithmetic coding
ஆர்மேச்சர்,Armature
ஆர்மேச்சர் முறுக்கு,Armature winding
வரிசை,Array
கைது செய்பவர்,Arrester
வெளிப்பாடு,Articulation
கலைப்பொருள் (= கலைப்பொருள்),Artifact (=artefact)
ஏறுதல்,Ascending
விகிதம்,Aspect ratio
அசெம்பிளர்,Assembler
கூற்று,Assertion
ஒதுக்கீடு,Assignment
ஒதுக்கீட்டு சேனல்,Assignment channel
சமச்சீரற்ற,Asymmetrical
ஒத்திசைவற்ற,Asynchronous
வளிமண்டலம்,Atmosphere
வளிமண்டல இழப்பு,Atmospheric loss
வளிமண்டல சத்தம்,Atmospheric noise
வளிமண்டல அழுத்தம்,Atmospheric pressure
வளிமண்டல பரவல்,Atmospheric propagation
வளிமண்டல வானொலி-அலை,Atmospheric radio-wave
வளிமண்டலங்கள்,Atmospherics
அணு,Atom
அணு அமைப்பு,Atomic structure
இணைப்பு,Attachment
விழிப்புணர்வு,Attenuation
விழிப்புணர்வு இழப்பு,Attenuation loss
ஒலி அலைகளின் விழிப்புணர்வு,Attenuation of sound waves
அட்டென்யூட்டர்,Attenuator
அட்டென்யூட்டர்-பேட்,Attenuator-pad
கேட்கக்கூடிய வாசல்,Audibility threshold
கேட்கக்கூடியது,Audible
கேட்கக்கூடிய அதிர்வெண்,Audible frequency
கேட்கக்கூடிய தொனி,Audible tone
கேட்கக்கூடிய-ஸ்பெக்ட்ரம்,Audible-spectrum
பார்வையாளர்கள்,Audience
ஆடியோ,Audio
ஆடியோ பெருக்கி,Audio amplifier
ஆடியோ பகுப்பாய்வி,Audio analyzer
ஆடியோ ஒளிபரப்பு,Audio broadcasting
ஆடியோ கேபிள்,Audio cable
ஆடியோ சங்கிலி,Audio chain
ஆடியோ கோடெக்,Audio codec
ஆடியோ சுருக்கம்,Audio compression
ஆடியோ அமுக்கி,Audio compressor
ஆடியோ கன்சோல்,Audio console
ஆடியோ விலகல்,Audio distortion
ஆடியோ டைனமிக் வரம்பு,Audio dynamic range
ஆடியோ கோப்பு வடிவம்,Audio file format
ஆடியோ பிரேம் வடிவம்,Audio frame format
ஆடியோ அதிர்வெண் பெருக்கி,Audio frequency amplifier
ஆடியோ அதிர்வெண் ஜெனரேட்டர்,Audio frequency generator
ஆடியோ அதிர்வெண் வரம்பு,Audio frequency range
ஆடியோ அதிர்வெண் பதில்,Audio frequency response
ஆடியோ லிமிட்டர்,Audio limiter
ஆடியோ வரி,Audio line
ஆடியோ மிக்சர்,Audio mixer
ஆடியோ பண்பேற்றம்,Audio modulation
ஆடியோ ஆஸிலேட்டர்,Audio oscillator
ஆடியோ வெளியீடு,Audio output
ஆடியோ சக்தி,Audio power
ஆடியோ தரம்,Audio quality
ஆடியோ சிக்னல்,Audio signal
ஆடியோ சிக்னல் செயலாக்கம்,Audio signal processing
ஆடியோ ஸ்பெக்ட்ரம்,Audio spectrum
ஆடியோ சேமிப்பு,Audio storage
ஆடியோ துணை கேரியர்,Audio sub-carrier
ஆடியோ மின்மாற்றி,Audio transformer
ஆடியோ டிரான்ஸ்மிட்டர்,Audio transmitter
ஆடியோ/வீடியோ சுருக்க,Audio/video compression
ஆடியோ-அதிர்வெண் ஆஸிலேட்டர்,Audio-frequency oscillator
ஆடியோ-அதிர்வெண் சமிக்ஞை,Audio-frequency signal
ஆடியோமெட்ரி,Audiometry
ஆடியோ காட்சி உதவி,Audio-visual aid
செவிவழி கருத்து,Auditory perception
அங்கீகார,Authentication
அங்கீகரிக்கப்பட்ட கேரியர் அதிர்வெண்,Authorised carrier frequency
ஆட்டோ கேட்,Auto CAD
ஆட்டோ கண்டறிதல்,Auto diagnostics
