Malayalam,Punjabi
ആമ്പിയർ (യൂണിറ്റ്),ਐਂਪੀਅਰ (ਯੂਨਿਟ)
ആംഗ്സ്ട്രം,angstrum
എ-ക്ലാസ് ആംപ്ലിഫയർ,ਏ-ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ
എഎൻ റേഡിയോ സഹായ്,ਏਐਨ ਰੇਡੀਓ ਸਹਾਏ
a-സ്കാനിംഗ് അവതരണം,ਇੱਕ-ਸਕੈਨਿੰਗ ਪੇਸ਼ਕਾਰੀ
ഒരു-ദർശ്,a-ਦਰਸ਼
എ-സ്കോപ്പ് പ്രകടനം,ਏ-ਸਕੋਪ ਪ੍ਰਦਰਸ਼ਨ
എ-ടി വളഞ്ഞ ക്രിസ്റ്റൽ,A-T ਕਰਵਡ ਕ੍ਰਿਸਟਲ
"എസി-ഡിസി ആനുകൂല്യങ്ങൾ, എ. സി.ഡി. സി.ലാബി, എ. സി.ഡി. c. ആംപ്ലിഫിക്കേഷൻ","AC-DC ਲਾਭ, ਏ. ਸੀ.ਡੀ. ਸੀ.ਲਾਭੀ, ਏ. ਸੀ.ਡੀ. c. ਪ੍ਰਸਾਰਣ"
രാവിലെ,am
എഎംയു (ആറ്റോമിക് മാസ് യൂണിറ്റ്),ਏ.ਐੱਮ.ਯੂ (ਪਰਮਾਣੂ ਪੁੰਜ ਯੂਨਿਟ)
aard-vark*,ਆਰਡ-ਵਰਕ*
എബി-ആമ്പിയർ,ਐਬ-ਐਂਪੀਅਰ
എ-ബി ക്ലാസ് ആംപ്ലിഫയർ,ਏ-ਬੀ ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ
അദാ,adah
എ-ബി ശക്തി പിടക,ਏ-ਬੀ ਸ਼ਕਤੀ ਪਿਟਕ
abc = വിന്യാസ ചാർട്ട് = നോമോഗ്രാഫ്,abc = ਅਲਾਈਨਮੈਂਟ ਚਾਰਟ = ਨਾਮੋਗ੍ਰਾਫ
അബെ നമ്പർ (അബെ സ്ഥിരാങ്കം),ਅਬੇ ਨੰਬਰ (ਆਬੇ ਸਥਿਰ)
അബെ റിഫ്രാക്റ്റോമീറ്റർ,abe refractometer
അബെ സൈൻ സംസ്ഥാനം,ਅਬੇ ਸਾਈਨ ਸਟੇਟ
ഓട്ടോമാറ്റിക് ബയസ് നഷ്ടപരിഹാരം,ਆਟੋਮੈਟਿਕ ਪੱਖਪਾਤ ਮੁਆਵਜ਼ਾ
abcoulom,abcoulom
"അപഭ്രംശം, അപഭ്രംശം",ਵਿਗਾੜ
വ്യതിയാനം തിരുത്തുന്ന ലെൻസ്,ਵਿਗਾੜ ਠੀਕ ਕਰਨ ਵਾਲਾ ਲੈਂਸ
ആകാശ വ്യതിയാനം,ਅਸਮਾਨ ਵਿਕਾਰ
abfarad,abfarad
എബൻറി,ਈਬੇਨਰੀ
എബോണി പ്രഭാവം,ਈਬੋਨੀ ਪ੍ਰਭਾਵ
അസാധാരണ ധ്രുവീകരണം,ਅਸਧਾਰਨ ਧਰੁਵੀਕਰਨ
അസാധാരണമായ സംക്രമണം,ਅਸਧਾਰਨ ਸੰਚਾਰ
അസാധാരണമായ പ്രതിഫലനം,ਅਲੌਕਿਕ ਪ੍ਰਤੀਬਿੰਬ
അസാധാരണ അപവർത്തനം*,ਅਸਧਾਰਨ ਅਪਵਰਤਨ*
അസാധാരണമായ പ്രതിരോധം,ਅਲੌਕਿਕ ਵਿਰੋਧ
ab-om,ab-om
"മുൻതൂക്കം, പരാജയം","ਪ੍ਰਬਲਤਾ, ਅਸਫਲਤਾ"
"ഘടിപ്പിച്ച, സാധാരണയായി, നിൽക്കുന്ന, വിച്ഛേദിക്കപ്പെട്ട, വിഘടിച്ച","ਜੁੜੇ ਹੋਏ, ਆਮ ਤੌਰ &#39;ਤੇ, ਖੜ੍ਹੇ, ਕੱਟੇ ਹੋਏ, ਖੰਡਿਤ"
പലപ്പോഴും ചാടുന്നു,ਅਕਸਰ ਛਾਲ ਮਾਰਦਾ ਹੈ
കൈ*,ਹੱਥ*
പ്രതിഫലനം നഷ്ടപ്പെട്ടു,ਗੁੰਮ ਪ੍ਰਤੀਬਿੰਬ
സ്പെക്ട്രം കാണുന്നില്ല,ਗੁੰਮ ਸਪੈਕਟ੍ਰਮ
"കേവല, കേവല, സ്ഥിരം, തികഞ്ഞ","ਪੂਰਨ, ਸੰਪੂਰਨ, ਨਿਰੰਤਰ, ਸੰਪੂਰਨ"
സമ്പൂർണ്ണ ത്വരണം,ਪੂਰਨ ਪ੍ਰਵੇਗ
കേവല യാഥാർത്ഥ്യം,ਪੂਰਨ ਅਸਲੀਅਤ
സമ്പൂർണ്ണ വിലാസം,ਪੂਰਾ ਪਤਾ
ജിയോ റിലേറ്റീവ് ആൾട്ടിമീറ്റർ,ਭੂ-ਸੰਬੰਧੀ ਉਚਾਈ ਮੀਟਰ
ഭൂമിശാസ്ത്രപരമായ ഉയരം,ਭੂ-ਵਿਗਿਆਨਕ ਉਚਾਈ
കേവല ആമ്പിയർ,ਪੂਰਨ ਐਂਪੀਅਰ
സമ്പൂർണ്ണ തിളനില,ਪੂਰਨ ਉਬਾਲ ਬਿੰਦੂ
കേവല പ്രകാശം,ਪੂਰਨ ਪ੍ਰਕਾਸ਼
കേവല കപ്പാസിറ്റൻസ്,ਪੂਰਨ ਸਮਰੱਥਾ
കേവല ഉയരം,ਪੂਰਨ ਉਚਾਈ
കേവല പിഗ്മെന്റ്,ਪੂਰਨ ਰੰਗ
"സമ്പൂർണ്ണ കോൺഫിഗറേഷൻ, അവ്യക്തമായ കോൺഫിഗറേഷൻ","ਪੂਰਨ ਸੰਰਚਨਾ, ਅਸਪਸ਼ਟ ਸੰਰਚਨਾ"
