Kannada,Bengali
ಅಬೆಲಿ ಗುಂಪು,আবেলি গ্রুপ
ಅಬೆಲಿ ಗುಂಪು,আবেলি গ্রুপ
ಕೈ,হাত
"ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ಸ್ಥಿರ, ನಿಖರ","পরম, পরম, ধ্রুবক, সুনির্দিষ্ট"
ಸಂಪೂರ್ಣ ಒಮ್ಮುಖ,পরম মিলন
ಸಂಪೂರ್ಣ ದೋಷ,পরম ত্রুটি
ಸರ್ವೋಚ್ಚ ಸರ್ವೋಚ್ಚ,সর্বোচ্চ সর্বোচ্চ
ಸಂಪೂರ್ಣ ಕಡಿಮೆ,পরম সর্বনিম্ন
ಸಂಪೂರ್ಣ ಮೌಲ್ಯ,পরম মান
ಸಂಪೂರ್ಣ ವೇಗ,পরম বেগ
ಅಮೂರ್ತ ಬೀಜಗಣಿತ,বিমূর্ত বীজগণিত
ಅಮೂರ್ತ ಗುಂಪು ಸಿದ್ಧಾಂತ,বিমূর্ত গ্রুপ তত্ত্ব
ವೇಗವರ್ಧನೆ,ত্বরণ
ಗುರುತ್ವಾಕರ್ಷಣೆಯ ವೇಗವರ್ಧನೆ,মহাকর্ষীয় ত্বরণ
ಸ್ವೀಕಾರಾರ್ಹ ಆಯ್ಕೆಗಾರ,গ্রহণযোগ্য নির্বাচক
ಸ್ವೀಕಾರಾರ್ಹ ಗುಣಮಟ್ಟದ ಮಟ್ಟ,গ্রহণযোগ্য মানের স্তর
ಸ್ವೀಕಾರಾರ್ಹ ಆವರಣ,গ্রহণযোগ্য প্রাঙ্গনে
ಮಾನ್ಯವಾದ ವಿಶ್ವಾಸಾರ್ಹತೆಯ ಮಟ್ಟ,বৈধ নির্ভরযোগ্যতা স্তর
ಸ್ವೀಕಾರ ಮಾದರಿ,গ্রহণযোগ্যতা নমুনা
ಸಂಚಿತ ದೋಷ,সঞ্চিত ত্রুটি
ನಿಖರತೆ,সঠিকতা
ಅನ್ವಯಿಸಿದ ಬಲ,প্রযুক্ত বল
"ಕ್ರಿಯೆ, ಕಾರ್ಯ","কর্ম, কাজ"
ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ,কর্ম এবং প্রতিক্রিয়া
ವಿಮಾ ವಿಜ್ಞಾನ,বীমা বিজ্ঞান
ತೀವ್ರ ತ್ರಿಕೋನ,তীব্র ত্রিভুজ
ಅಸೈಕ್ಲಿಕ್,অ্যাসাইক্লিক
ಒಟ್ಟುಗೂಡಿಸಲು,যোগফল
ಸೇರಿಸುವವನು,যোগকারী
"ಮೊತ್ತ, ಸಂಕಲನ, ಸಂಕಲನ (ಸಿ.), ಸಂಯೋಜಕ (ವಿ.)","যোগফল, যোগ, যোগফল (গ.), যোগ (v.)"
ಯೋಗದ ಸೂತ್ರ,যোগের সূত্র
ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಗಳ ಮೊತ್ತ,জটিল সংখ্যার যোগফল
ಕಾರ್ಯಗಳ ಮೊತ್ತ,ফাংশনের যোগফল
ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಮೊತ್ತ,ম্যাট্রিক্সের যোগফল
ಬಹುಪದಗಳ ಮೊತ್ತ,বহুপদীর সমষ্টি
ಸಂಭವನೀಯತೆಗಳ ಮೊತ್ತ,সম্ভাবনার যোগফল
ವಾಹಕಗಳ ಮೊತ್ತ,ভেক্টরের সমষ্টি
"ಯೋಗ ಪ್ರಮೇಯ, ಬೆರ್ರಿ ಸಿದ್ಧಾಂತ,","যোগ উপপাদ্য, বেরি তত্ত্ব"
ಸಂಯೋಜಕ ಗುಂಪು,সংযোজনকারী গ্রুপ
ಸಂಯೋಜಕ ವಿಲೋಮ,সংযোজন বিপরীত
ಸೇರಿಸುವಿಕೆ,যোগযোগ্যতা
ಸೇರಿಸುವಿಕೆ,যোগযোগ্যতা
ಪಕ್ಕದ ಮ್ಯಾಟ್ರಿಕ್ಸ್,অন্তিক ম্যাট্রিক্স
"ಪಕ್ಕದ, ಪಕ್ಕದ, ಪಕ್ಕದ","সংলগ্ন, সংলগ্ন, সংলগ্ন"
ಪಕ್ಕದ ಕೋನ,সংলগ্ন কোণ
ಪಕ್ಕದ ಶೃಂಗ,সংলগ্ন শীর্ষবিন্দু
ಸಂಯೋಜಿಸಲು,যুক্ত করা
"ಲಗತ್ತಿಸಲಾದ ಸುತ್ತುವರಿದ,",সংযুক্ত ঘের
ಸಾಮಾನ್ಯ ನಿರ್ಣಾಯಕ,সাধারণ নির্ধারক
ಲಗತ್ತಿಸಲಾದ ಭೇದಾತ್ಮಕ ಸಮೀಕರಣ,সংযুক্ত ডিফারেনশিয়াল সমীকরণ
ಲಗತ್ತಿಸಲಾದ ಸಮೀಕರಣ,সংযুক্ত সমীকরণ
ಏಕರೂಪದ ಮ್ಯಾಟ್ರಿಕ್ಸ್,সমগোত্রীয় ম্যাট্রিক্স
ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಒಗ್ಗಟ್ಟು,ম্যাট্রিক্স সমন্বয়
ಏಕರೂಪದ ಮ್ಯಾಟ್ರಿಕ್ಸ್,সমগোত্রীয় ম্যাট্রিক্স
ಸ್ವೀಕಾರಾರ್ಹ ನಿರ್ಧಾರ ಕಾರ್ಯ,গ্রহণযোগ্য সিদ্ধান্ত ফাংশন
ಸ್ವೀಕಾರಾರ್ಹ ಊಹೆ,গ্রহণযোগ্য অনুমান
ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಶಕ್ತಿ,এরোডাইনামিক বল
ವಾಯುಬಲವಿಜ್ಞಾನ,বায়ুগতিবিদ্যা
ಏಕರೂಪದ ಜ್ಯಾಮಿತಿ,সমজাতীয় জ্যামিতি
ಏಕರೂಪದ ಮ್ಯಾಪಿಂಗ್,সমজাতীয় ম্যাপিং
ಏಕರೂಪದ ರೂಪಾಂತರ,একজাতীয় রূপান্তর
ಒಟ್ಟು ವೇರಿಯಬಲ್,সামগ্রিক পরিবর্তনশীল
"ಬೀಜಗಣಿತ, ಬೀಜಗಣಿತ, ಬೀಜಗಣಿತ, ಬೀಜಗಣಿತ","বীজগণিত, বীজগণিত, বীজগণিত, বীজগণিত"
"ಬೀಜದ ಮುಚ್ಚಿದ, ಬೀಜದ","seedy বন্ধ, বীজাণু"
ಬೀಜಗಣಿತದ ಸಮೀಕರಣ,বীজগণিত সমীকরণ
ಬೀಜಗಣಿತದ ಅಭಿವ್ಯಕ್ತಿ,বীজগাণিতিক এক্সপ্রেশন
ಬೀಜಗಣಿತದ ಏಕರೂಪತೆ,বীজগণিতের একজাতীয়তা
ಬೀಜಗಣಿತದ ಕಾರ್ಯ,বীজগণিতের ফাংশন
ಬೀಜಗಣಿತದ ರೇಖಾಗಣಿತ,বীজগণিত জ্যামিতি
ಬೀಜಗಣಿತದ ಬಹುತ್ವ,বীজগণিত বহুত্ব
ಬೀಜಗಣಿತ ವ್ಯವಸ್ಥೆ,বীজগণিত ব্যবস্থা
ಎಲ್ಲಾ ಪೂರ್ಣಾಂಕ ಸಮಸ್ಯೆ,সমস্ত পূর্ণসংখ্যা সমস্যা
"ನಿಯೋಜನೆ ಸಮಸ್ಯೆ ವ್ಯಾಟ್ ಪ್ರಶ್ನೆ,",অ্যাসাইনমেন্ট সমস্যা ওয়াট প্রশ্ন
ವರ್ಣಮಾಲೆಯ ಸಂಕೇತ,বর্ণানুক্রমিক স্বরলিপি
ವರ್ಣಮಾಲೆಯ ಅಕ್ಷರ,বর্ণানুক্রমিক অক্ষর
ಪರ್ಯಾಯ ಕೋನಗಳು,বিকল্প কোণ
"ಪರ್ಯಾಯ ಏಕರೂಪದ ಪರ್ಯಾಯ ರೂಪ,",বিকল্প সমজাতীয় বিকল্প ফর্ম
ಪರ್ಯಾಯ ಗುಂಪು,বিকল্প গোষ্ঠী
ಪರ್ಯಾಯ ಮ್ಯಾಟ್ರಿಕ್ಸ್,বিকল্প ম্যাট্রিক্স
ಪರ್ಯಾಯ ಸರಣಿ,বিকল্প সিরিজ
ಪರ್ಯಾಯ ಕಲ್ಪನೆ,বিকল্প অনুমান
ಪರ್ಯಾಯ ಆಪ್ಟಿಮಮ್,বিকল্প সর্বোত্তম
ಪರ್ಯಾಯ ಫಲಿತಾಂಶ,বিকল্প ফলাফল
ಅನಲಾಗ್-ಅಂಕಿಯ ಪರಿವರ್ತಕ,এনালগ-ডিজিট কনভার্টার
"ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್,",এনালগ কম্পিউটার
ವಿಶ್ಲೇಷಣೆ,বিশ্লেষণ
ಸಹವರ್ತಿ ವಿಶ್ಲೇಷಣೆ,সহভক্তি বিশ্লেষণ
ಎಣಿಕೆ-ಡೇಟಾ ವಿಶ್ಲೇಷಣೆ,গণনা-ডেটা বিশ্লেষণ
ವ್ಯತ್ಯಾಸ ವಿಶ್ಲೇಷಣೆ,বৈচিত্র্য বিশ্লেষণ
ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಜ್ಯಾಮಿತಿ,বিশ্লেষণাত্মক জ্যামিতি
ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಕಾರ್ಯ,বিশ্লেষণাত্মক ফাংশন
ಕೋನ,কোণ
ಸ್ಪರ್ಶ ಕೋನ,স্পর্শক কোণ
ವಿಚಲನ ಕೋನ,বিচ্যুতি কোণ
ಖಿನ್ನತೆಯ ಕೋನ,বিষণ্নতা কোণ
ವಿಚಲನ ಕೋನ,বিচ্যুতি কোণ
ವಿವರ್ತನೆಯ ಕೋನ,বিবর্তন কোণ
ಎತ್ತರದ ಕೋನ,উচ্চতা কোণ
ಘಟನೆಯ ಕೋನ,ঘটনার কোণ
ಪ್ರೊಜೆಕ್ಷನ್ ಕೋನ,অভিক্ষেপ কোণ
ಪ್ರತಿಬಿಂಬದ ಕೋನ,প্রতিফলন কোণ
ವಕ್ರೀಭವನದ ಕೋನ,প্রতিসরণ কোণ
ತಿರುಗುವ ಕೋನ,ঘূর্ণন কোণ
ಪ್ರತಿಫಲನದ ಸಂಪೂರ್ಣ ಕೋನ,প্রতিফলনের পরম কোণ
ಕೋನೀಯ ವೇಗವರ್ಧನೆ,কৌণিক ত্বরণ
ಕೋನೀಯ ವೇಗ,কৌণিক বেগ
ಕೋನೀಯ ವೇಗ,কৌণিক গতি
ಕೋನೀಯ ವೇಗ,কৌণিক বেগ
ಉಂಗುರದ ಬೆರಳು,অনামিকা আঙুল
ಉತ್ತರ,উত্তর
ಕೌಂಟರ್ ಉತ್ಪನ್ನ,কাউন্টার ডেরিভেটিভ
ಸಮಮಾಪನ ಕಾರ್ಯ,আইসোমেট্রিক ফাংশন
"ಆವರಿಸಬಹುದಾದ, ಅನ್ವಯಿಸುವ, ಅನ್ವಯಿಸುವ","আচ্ছাদনযোগ্য, প্রযোজ্য, প্রযোজ্য"
"ಅರ್ಜಿ ಅರ್ಜಿ,",আবেদনের আবেদন
ಅನ್ವಯಿಕ ಡೈನಾಮಿಕ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್,প্রয়োগকৃত গতিশীল প্রোগ্রামিং
ಅನ್ವಯಿಕ ಜ್ಯಾಮಿತಿ,প্রয়োগ করা জ্যামিতি
ಅನ್ವಯಿಕ ಗಣಿತ,ফলিত গণিত
ಅನ್ವಯಿಕ ಅಂಕಿಅಂಶಗಳು,ফলিত পরিসংখ্যান
"ಸರಿಸುಮಾರು, ಸರಿಸುಮಾರು","প্রায়, প্রায়"
ಸರಿಸುಮಾರು ನಿರಂತರ ಕಾರ್ಯ,প্রায় একটানা ফাংশন
