Marathi,Malayalam
एसी समतुल्य सर्किट,എ.സി തുല്യമായ സർക്യൂട്ട്
एनालॉग ते अंकीय कनवर्टर,അനലോഗ് ടു ന്യൂമെറിക് കൺവെർട്ടർ
पूर्ण शून्य,കേവല പൂജ്യം
शोषण गुणांक,ആഗിരണം ഗുണകം
शोषण स्पेक्ट्रम,ആഗിരണം സ്പെക്ട്രം
रिसेप्टर अणू,റിസപ്റ്റർ ആറ്റം
पर्यायी वर्तमान जोडणी,ആൾട്ടർനേറ്റിംഗ് കറന്റ് കപ്ലിംഗ്
इलेक्ट्रॉन कापणी,ഇലക്ട്രോൺ വിളവെടുപ്പ്
भोक संचयन,ദ്വാര സംഭരണം
सक्रियता ऊर्जा,സജീവമാക്കൽ ഊർജ്ജം
सक्रिय अॅम्प्लीफायर,സജീവ ആംപ്ലിഫയർ
सक्रिय डायोड सर्किट,സജീവ ഡയോഡ് സർക്യൂട്ട്
सक्रिय फिल्टर,സജീവ ഫിൽട്ടർ
सक्रिय उच्च वारंवारता पर्केट फिल्टर,സജീവമായ ഉയർന്ന ഫ്രീക്വൻസി പാർക്ക്വെറ്റ് ഫിൽട്ടർ
सक्रिय भार,സജീവ ലോഡ്
सक्रिय कमी वारंवारता पार्स फिल्टर,സജീവമായ ലോ ഫ്രീക്വൻസി പാഴ്സ് ഫിൽട്ടർ
सक्रिय क्षेत्र,സജീവമായ പ്രദേശം
अनुकूली इलेक्ट्रॉनिक्स,അഡാപ്റ്റീവ് ഇലക്ട്രോണിക്സ്
जोडणारा,ചേർക്കുന്നയാൾ
समायोज्य बँड विस्तार,ക്രമീകരിക്കാവുന്ന ബാൻഡ് വിപുലീകരണം
प्रवेश,നുഴഞ്ഞുകയറ്റം
एरियल,ഏരിയൽ
pep वारंवारता,പെപ് ആവൃത്തി
एअर कंडिशनर,എയർ കണ്ടീഷണർ
संरेखन,വിന്യാസം
अल्गोरिदम,അൽഗോരിതം
सर्व पास फिल्टर,എല്ലാ പാസ് ഫിൽട്ടറും
मिश्र धातु जंक्शन,അലോയ് ജംഗ്ഷൻ
क्षीणन,ശോഷണം
पर्यायी प्रवाह,ആൾട്ടർനേറ്റിംഗ് കറന്റ്
वातावरणीय तापमान,അന്തരീക്ഷ ഊഷ്മാവ്
द्विध्रुवीय,ബൈപോളാർ
प्रवर्धन,ആംപ്ലിഫിക്കേഷൻ
अॅम्प्लिफायर,ആംപ്ലിഫയർ
एम्पलीफायर कार्यक्षमता,ആംപ്ലിഫയർ കാര്യക്ഷമത
परिमाण,അളവുകൾ
मोठेपणा क्षीणन,ആംപ്ലിറ്റ്യൂഡ് അറ്റൻവേഷൻ
अॅम्प्लिट्यूड मॉड्युलेटेड एएम ऑसिलेटर,ആംപ്ലിറ്റ്യൂഡ് മോഡുലേറ്റഡ് AM ഓസിലേറ്റർ
मोठेपणा मॉड्यूलेशन,ആംപ്ലിറ്റ്യൂഡ് മോഡുലേഷൻ
मोठेपणा मॉड्युलेटर,ആംപ്ലിറ്റ്യൂഡ് മോഡുലേറ്റർ
अँग्स्ट्रोम युनिट,angstrom യൂണിറ്റ്
अॅनालॉग सर्किट,അനലോഗ് സർക്യൂട്ട്
अॅनालॉग संगणक,അനലോഗ് കമ്പ്യൂട്ടർ
अॅनालॉग फिल्टर,അനലോഗ് ഫിൽട്ടർ
अॅनालॉग मल्टीमीटर,അനലോഗ് മൾട്ടിമീറ്റർ
अॅनालॉग स्विच,അനലോഗ് സ്വിച്ച്
आणि गेट,ഒപ്പം ഗേറ്റും
कोनीय वारंवारता,കോണീയ ആവൃത്തി
"anion, anion","അയോൺ, അയോൺ"
एनीलिंग तापमान,അനീലിംഗ് താപനില
एनोड,ആനോഡ്
एनोड अॅम्प्लिफायर,ആനോഡ് ആംപ്ലിഫയർ
anodyne,അനോഡൈൻ
अँटेना,ആന്റിന
अँटेना घटक,ആന്റിന ഘടകം
विरोधी परावर्तक कोटिंग,ആന്റി-റിഫ്ലക്ടീവ് കോട്ടിംഗ്
अँटिलॉगिन अॅम्प्लिफायर,ആന്റിലോഗിൻ ആംപ്ലിഫയർ
अँटीरेझोनंट सर्किट,antiresonant സർക്യൂട്ട്
द्वारक काळ,ദ്വാരക കാലഘട്ടം
आभासी शक्ती,വെർച്വൽ പവർ
वायर कनेक्शन,വയർ കണക്ഷൻ
अंदाजे व्होल्टेज वाढ,ഏകദേശ വോൾട്ടേജ് നേട്ടം
आर्मस्ट्राँग मॉड्युलेटर,ആംസ്ട്രോങ് മോഡുലേറ്റർ
अँटेना अॅरे,ആന്റിന അറേ
"आकार गुणोत्तर, गुणोत्तर","വലുപ്പ അനുപാതം, വീക്ഷണ അനുപാതം"
फ्लोटिंग सर्किट (फ्री ऑपरेटिंग सर्किट),ഫ്ലോട്ടിംഗ് സർക്യൂട്ട് (സ്വതന്ത്ര ഓപ്പറേറ്റിംഗ് സർക്യൂട്ട്)
स्वयंचलित मल्टीव्हायब्रेटर,ഓട്ടോമാറ്റിക് മൾട്ടിവൈബ്രേറ്റർ
फ्लोटिंग मल्टीव्हायब्रेटर,ഫ്ലോട്ടിംഗ് മൾട്ടിവൈബ്രേറ്റർ
असममित जंक्शन,അസമമായ ജംഗ്ഷൻ
असिंक्रोनस कॅल्क्युलेटर,അസിൻക്രണസ് കാൽക്കുലേറ്റർ
आण्विक,ആണവ
अणुक्रमांक,ആറ്റോമിക നമ്പർ
अणु रचना,ആറ്റോമിക് ഘടന
ऑडिओ अॅम्प्लीफायर,ഓഡിയോ ആംപ്ലിഫയർ
ऑडिओ अॅम्प्लीफायर,ഓഡിയോ ആംപ്ലിഫയർ
ऑडिओ कॅसेट,ഓഡിയോ കാസറ്റ്
ऑडिओ सर्किट,ഓഡിയോ സർക്യൂട്ട്
ऐकण्यायोग्य वारंवारता,കേൾക്കാവുന്ന ആവൃത്തി
स्वयंचलित व्होल्टेज नियंत्रण,ഓട്ടോമാറ്റിക് വോൾട്ടേജ് നിയന്ത്രണം
हिमस्खलन,ഹിമപാതം
सरासरी डिटेक्टर,ശരാശരി ഡിറ്റക്ടർ
अक्षीय मोड,അക്ഷീയ മോഡ്
अक्षीय प्रमाण,അക്ഷീയ അനുപാതം
अँटेना,ആന്റിന
बॅक इलेक्ट्रोमोटिव्ह फोर्स,ബാക്ക് ഇലക്ട്രോമോട്ടീവ് ഫോഴ്സ്
मागील क्षेत्र,പിൻ പ്രദേശം
परत स्कॅटर,തിരികെ ചിതറിക്കിടക്കുക
पार्श्वभूमी शुल्क,പശ്ചാത്തല ചാർജ്
बाजूचा आवाज,സൈഡ് ശബ്ദം
प्रतिगामी,പിന്നോക്കാവസ്ഥ
पोस्टरियर इरॅडिएशन,പിൻഭാഗത്തെ വികിരണം
बॅकवर्ड डायोड / बॅकवर्ड डायोड,ബാക്ക്വേർഡ് ഡയോഡ് / ബാക്ക്വേർഡ് ഡയോഡ്
बॅकवर्ड वेव्ह ऑसिलेटर,ബാക്ക്വേർഡ് വേവ് ഓസിലേറ്റർ
"अडथळा, अडथळा","തടസ്സം, തടസ്സം"
अडथळा,തടസ്സം
संतुलित पूल,സമതുലിതമായ പാലം
संतुलित मॉड्युलेटर,സമതുലിതമായ മോഡുലേറ്റർ
संतुलित मॉड्युलेटर,സമതുലിതമായ മോഡുലേറ്റർ
संतुलित सर्किट,സമതുലിതമായ സർക്യൂട്ട്
संतुलित ग्रेडियंट डिटेक्टर,സമതുലിതമായ ഗ്രേഡിയന്റ് ഡിറ്റക്ടർ
वर्तमान स्टॅबिलायझर प्रतिरोध,നിലവിലെ സ്റ്റെബിലൈസർ പ്രതിരോധം
बोलोमीटर,ബൊലോമീറ്റർ
बोलोमीटर पूल,ബോലോമീറ്റർ പാലം
फुगा,ബലൂണ്
केळी जॅक,ബനാന ജാക്ക്
केळी प्लग,ബനാന പ്ലഗ്
"पट्टी, पट्टी","ബാൻഡ്, ബാൻഡേജ്"
बँड चालक,ബാൻഡ് ഡ്രൈവർ
बँड ऊर्जा,ബാൻഡ് ഊർജ്ജം
बँड अंतर,ബാൻഡ് വിടവ്
बॅडपार्क अॅम्प्लीफायर,ബാഡ്പാർക്ക് ആംപ്ലിഫയർ
बँड पास फिल्टर,ബാൻഡ് പാസ് ഫിൽട്ടർ
बॉड रेट जनरेटर,ബോഡ് റേറ്റ് ജനറേറ്റർ
banddispersion,ബാൻഡ് ഡിസ്പെർഷൻ
बँड रेझिस्टर,ബാൻഡ് റെസിസ്റ്റർ
बँड ब्रेकर फिल्टर,ബാൻഡ് ബ്രേക്കർ ഫിൽട്ടർ
बँड विस्तार,ബാൻഡ് വിപുലീകരണം
बँड रिमूव्हर फिल्टर,ബാൻഡ് റിമൂവർ ഫിൽട്ടർ
बँड विस्तार विक्षेप गुणक,ബാൻഡ് എക്സ്പാൻഷൻ ഡിഫ്ലെക്ഷൻ മൾട്ടിപ്ലയർ
बँड विस्तार अंतर गुणक,ബാൻഡ് എക്സ്റ്റൻഷൻ ഡിസ്റ്റൻസ് മൾട്ടിപ്ലയർ
"बीम कॅपेसिटर, बँक कॅपेसिटर","ബീം കപ്പാസിറ്റർ, ബാങ്ക് കപ്പാസിറ്റർ"
"बार्कर कोड, बार्कर कोड","ബാർക്കർ കോഡ്, ബാർക്കർ കോഡ്"
barravaugen निकष,barravaugen മാനദണ്ഡം
बॅरेटर,ബാരേറ്റർ
अडथळा,തടസ്സം
इन्सुलेट कॅपेसिटर,ഇൻസുലേറ്റിംഗ് കപ്പാസിറ്റർ
अडथळा ऊर्जा,തടസ്സം ഊർജ്ജം
रेझिस्टर व्होल्टेज,റെസിസ്റ്റർ വോൾട്ടേജ്
बार्टलेट विंडो,ബാർട്ട്ലെറ്റ് വിൻഡോ
"आधार, आधार","അടിസ്ഥാനം, അടിസ്ഥാനം"
बेस बँड,അടിസ്ഥാന ബാൻഡ്
बेस बँड ट्रान्समिशन,അടിസ്ഥാന ബാൻഡ് ട്രാൻസ്മിഷൻ
बेस चार्ज,അടിസ്ഥാന ചാർജ്
बेस करंट,അടിസ്ഥാന കറന്റ്
मूळ वर्तमान स्रोत,അടിസ്ഥാന നിലവിലെ ഉറവിടം
बेस कातरणे,അടിസ്ഥാന കത്രിക
आधार मदन,ആധാർ മദൻ
बेस एमिटर फीड,അടിസ്ഥാന എമിറ്റർ ഫീഡ്
बेस एमिटर जंक्शन,അടിസ്ഥാന എമിറ്റർ ജംഗ്ഷൻ
बेस इंजेक्शन,അടിസ്ഥാന കുത്തിവയ്പ്പ്
ग्राउंड लाईन,ഗ്രൗണ്ട് ലൈൻ
बेस प्रतिकार,അടിസ്ഥാന പ്രതിരോധം
मूळ स्रोत,അടിസ്ഥാന ഉറവിടം
बेस विस्तार प्रतिकार,അടിസ്ഥാന വിപുലീകരണ പ്രതിരോധം
बेस विस्तार प्रतिकार,അടിസ്ഥാന വിപുലീകരണ പ്രതിരോധം
बेस जाडी,അടിസ്ഥാന കനം
बेस प्रवेश,അടിസ്ഥാന പ്രവേശനം
"बेस विड्थ मॉड्युलेशन, बेस एक्सपेन्शन मॉड्युलेशन","ബേസ് വിഡ്ത്ത് മോഡുലേഷൻ, ബേസ് എക്സ്പാൻഷൻ മോഡുലേഷൻ"
बेस कलेक्टर करार,അടിസ്ഥാന കളക്ടർ ഉടമ്പടി
वास,മണം
बास वारंवारता,ബാസ് ആവൃത്തി
बॅटरी,ബാറ്ററി
बॉड,ബൗഡ്
बॉड दर,ബാഡ് നിരക്ക്
बॉड रेट जनरेटर,ബോഡ് റേറ്റ് ജനറേറ്റർ
बोडो कोड,ബോഡോ കോഡ്
"सिग्नल, बीकन","സിഗ്നൽ, ബീക്കൺ"
"माणिका, बीड","മാണിക, ബീഡ്"
मॅनिक कॅपेसिटर,മാനിക് കപ്പാസിറ്റർ
मणिकर्तपी प्रतिरोधक,മണികർത്താപി റെസിസ്റ്ററുകൾ
"बीम अँटेना, बीम अँटेना","ബീം ആന്റിന, ബീം ആന്റിന"
बीम डिटेक्टर,ബീം ഡിറ്റക്ടർ
बीम पॉवर नळी,ബീം പവർ ഹോസ്
बीम स्विचिंग नोजल,ബീം സ്വിച്ചിംഗ് നോസിലുകൾ
तुळई विस्तार,ബീം വികാസം
बीट वारंवारता,അടി ആവൃത്തി
बीट-फ्रिक्वेंसी ऑसिलेटर,ബീറ്റ്-ഫ്രീക്വൻസി ഓസിലേറ്റർ
पल्स ऑसिलेटर,പൾസ് ഓസിലേറ്റർ
घंटा,മണി
वाकणे नुकसान,വളയുന്ന നഷ്ടം
बेसल फिल्टर,ബെസൽ ഫിൽട്ടർ
बीटा,ബീറ്റ
b-h वक्र,b-h വക്രം
"पक्षपात, पक्षपात","പക്ഷപാതം, പക്ഷപാതം"
पूर्वाग्रह वर्तमान,ബയസ് കറന്റ്
पूर्वाग्रह प्रतिकार,പക്ഷപാത പ്രതിരോധം
दुहेरी अँटेना,ഇരട്ട ആന്റിന
द्विदिशात्मक भार प्रवाह,ദ്വിദിശ ലോഡ് കറന്റ്
द्विदिश अँटेना,ദ്വിദിശ ആന്റിന
द्विदिश प्रकाश उत्सर्जक डायोड,ദ്വിദിശ പ്രകാശം പുറപ്പെടുവിക്കുന്ന ഡയോഡ്
द्विदिशात्मक थायरिस्टर,ദ്വിദിശയിലുള്ള തൈറിസ്റ്റർ
bi FET तंत्रज्ञान,bi FET സാങ്കേതികവിദ്യ
द्वि-बिंदू ट्रान्सफॉर्मर,ബൈ പോയിന്റ് ട്രാൻസ്ഫോർമർ
दुहेरी संलयन,ഇരട്ട സംയോജനം
द्विपक्षीय सर्किट,ഉഭയകക്ഷി സർക്യൂട്ട്
बायनरी,ബൈനറി
बायनरी बेरीज,ബൈനറി തുക
बायनरी सर्किट,ബൈനറി സർക്യൂട്ട്
बायनरी कोडेड दशांश,ബൈനറി കോഡ് ചെയ്ത ദശാംശം
बायनरी कोडेड दशांश प्रणाली,ബൈനറി കോഡഡ് ഡെസിമൽ സിസ്റ്റം
बायनरी द्विध्रुवीय कॅपेसिटर,ബൈനറി ദ്വിധ്രുവ കപ്പാസിറ്റർ
बायनरी कॅल्क्युलेटर,ബൈനറി കാൽക്കുലേറ്റർ
बायनरी कॅल्क्युलेटर,ബൈനറി കാൽക്കുലേറ്റർ
बायनरी डीकोडर,ബൈനറി ഡീകോഡർ
बायनरी शिडी,ബൈനറി ഗോവണി
बायनरी पॅथोमीटर,ബൈനറി പാത്തോമീറ്റർ
बायनरी स्थिती,ബൈനറി അവസ്ഥ
बायनरी-दशांश डिकोडर,ബൈനറി-ഡെസിമൽ ഡീകോഡർ
बायनरी लोड,ബൈനറി ലോഡ്
बायनरी शब्द,ബൈനറി വാക്കുകൾ
द्विध्रुवीय,ബൈപോളാർ
द्विध्रुवीय कॅपेसिटर,ബൈപോളാർ കപ്പാസിറ്റർ
द्विध्रुवीय उपकरण,ബൈപോളാർ ഉപകരണം
द्विध्रुवीय स्रोत,ബൈപോളാർ ഉറവിടം
द्विध्रुवीय ट्रान्झिस्टर,ബൈപോളാർ ട്രാൻസിസ്റ്റർ
द्विध्रुवीय जंक्शन ट्रान्झिस्टर,ബൈപോളാർ ജംഗ്ഷൻ ട്രാൻസിസ്റ്റർ
चतुर्भुज फिल्टर,ക്വാഡ്രാറ്റിക് ഫിൽട്ടർ
दुहेरी स्थिती,ഇരട്ട സ്ഥാനം
दोन-स्टेज मल्टीव्हायब्रेटर,രണ്ട്-ഘട്ട മൾട്ടിവൈബ്രേറ്റർ
द्विदिशात्मक रिले,ദ്വിദിശ റിലേ
biphasic स्थिती,രണ്ട്-ഘട്ട സംസ്ഥാനം
दोन-स्थिती ट्रिगर,രണ്ട്-സ്ഥാന ട്രിഗർ
बिट त्रुटी,ബിറ്റ് പിശക്
बिट त्रुटी दर,ബിറ്റ് പിശക് നിരക്ക്
बिट त्रुटी,ബിറ്റ് പിശക്
बिटकल त्रुटी,ബിറ്റ്കാൽ പിശക്
आंधळा बॉक्स,അന്ധമായ പെട്ടി
घनरूप नाडी,ഘനീഭവിച്ച പൾസ്
