Assamese,Punjabi
abeli গ্ৰুপ,ਅਬੇਲੀ ਸਮੂਹ
abeli গ্ৰুপ,ਅਬੇਲੀ ਸਮੂਹ
হাত,ਹੱਥ
"নিৰপেক্ষ, নিৰপেক্ষ, ধ্ৰুৱক, নিখুঁত","ਪੂਰਨ, ਸੰਪੂਰਨ, ਸਥਿਰ, ਸਟੀਕ"
নিৰপেক্ষ অভিসৰণ,ਪੂਰਨ ਕਨਵਰਜੈਂਸ
নিৰপেক্ষ ভুল,ਪੂਰਨ ਗਲਤੀ
পৰম পৰম,ਪਰਮ ਸਰਵਉੱਚ
নিৰপেক্ষ সৰ্বনিম্ন,ਸਭ ਤੋਂ ਘੱਟ
নিৰপেক্ষ মূল্য,ਸਹੀ ਮੁੱਲ
নিৰপেক্ষ বেগ,ਪੂਰਨ ਗਤੀ
বিমূৰ্ত বীজগণিত,ਸਾਰ ਅਲਜਬਰਾ
বিমূৰ্ত গোট তত্ত্ব,ਐਬਸਟਰੈਕਟ ਗਰੁੱਪ ਥਿਊਰੀ
বেগ বৃদ্ধি,ਪ੍ਰਵੇਗ
মহাকৰ্ষণীয় ত্বৰণ,ਗਰੈਵੀਟੇਸ਼ਨਲ ਪ੍ਰਵੇਗ
গ্ৰহণযোগ্য নিৰ্বাচক,ਸਵੀਕਾਰਯੋਗ ਚੋਣਕਾਰ
গ্ৰহণযোগ্য গুণগত মানৰ স্তৰ,ਸਵੀਕਾਰਯੋਗ ਗੁਣਵੱਤਾ ਪੱਧਰ
গ্ৰহণযোগ্য চৌহদ,ਸਵੀਕਾਰਯੋਗ ਜਗ੍ਹਾ
বৈধ নিৰ্ভৰযোগ্যতা স্তৰ,ਵੈਧ ਭਰੋਸੇਯੋਗਤਾ ਪੱਧਰ
গ্ৰহণযোগ্যতা নমুনা সংগ্ৰহ কৰা,ਸਵੀਕ੍ਰਿਤੀ ਨਮੂਨਾ
সঞ্চিত ভুল,ਸੰਚਿਤ ਗਲਤੀ
শুদ্ধতা,ਸ਼ੁੱਧਤਾ
প্ৰয়োগ কৰা বল,ਲਾਗੂ ਫੋਰਸ
"কাৰ্য্য, কাৰ্য্য","ਕਾਰਵਾਈ, ਕੰਮ"
ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া,ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ
বীমা বিজ্ঞান,ਬੀਮਾ ਵਿਗਿਆਨ
তীব্ৰ ত্ৰিভুজ,ਤੀਬਰ ਤਿਕੋਣ
অচক্ৰীয়,acyclic
সামৰণিত,ਸੰਪੇਕਸ਼ਤ
adder,ਜੋੜਨ ਵਾਲਾ
"যোগফল, যোগ, যোগফল (c.), যোগ (v.)","ਜੋੜ, ਜੋੜ, ਜੋੜ (c.), ਜੋੜ (v.)"
যোগৰ সূত্ৰ,ਯੋਗਾ ਦਾ ਫਾਰਮੂਲਾ
জটিল সংখ্যাৰ যোগফল,ਮਿਸ਼ਰਿਤ ਸੰਖਿਆਵਾਂ ਦਾ ਜੋੜ
ফলনৰ যোগফল,ਫੰਕਸ਼ਨਾਂ ਦਾ ਜੋੜ
মেট্ৰিক্সৰ যোগফল,ਮੈਟ੍ਰਿਕਸ ਦਾ ਜੋੜ
