Telugu,Kannada
తగ్గింపు,ದಾಟುವುದು
సంక్షిప్తీకరణ,ಸಂಕ್ಷಿಪ್ತ ರೂಪ
అపహరణ,ಅಪಹರಣ
Abeyance,ನಿರುತ್ಸಾಹಗೊಳಿಸುವಿಕೆ
సామర్థ్యం,ಸಾಮರ್ಥ್ಯ
అబ్ ఇనిషియో,ಎಬಿ ಇನಿಶಿಯೋ
సామర్థ్యం,ಸಮರ್ಥ
అసాధారణ,ಅಸಹಜ
రద్దు,ನಿರ್ಮೂಲನ
నిర్మూలన పోస్ట్,ರದ್ದುಮಾಡುವಿಕೆ
పైన పేర్కొన్నారు,ಮೇಲೆ ತಿಳಿಸಿದ
పైన కోట్ చేయబడింది,ಮೇಲೆ ಉಲ್ಲೇಖಿಸಲಾಗಿದೆ
పైన చెప్పారు,ಮೇಲೆ ಹೇಳಿದರು
లేకపోవడం,ಅನುಪಸ್ಥಿತಿ
హాజరుకాని,ಗೈರುಹಾಜರಿ
హాజరుకానితనం,ಗೈರುಹಾಜರಿ
హాజరుకాని ప్రకటన,ಗೈರುಹಾಜರಿ ಹೇಳಿಕೆ
సంపూర్ణ,ಸಂಪೂರ್ಣ
సంపూర్ణ గుత్తాధిపత్యం,ಸಂಪೂರ್ಣ ಏಕಸ್ವಾಮ್ಯ
సంపూర్ణ యాజమాన్యం,ಸಂಪೂರ್ಣ ಮಾಲೀಕತ್ವ
శోషణ,ಹೀರುವಿಕೆ
నైరూప్య,ಅಮೂರ್ತ
అబ్స్ట్రాక్ట్ స్టేట్మెంట్,ಅಮೂರ್ತತೆ
అసంబద్ధం,ಅಸಂಬದ್ಧ
సమృద్ధి,ಹೇರಳವಾಗಿರುವುದು
అధికార దుర్వినియోగం,ಅಧಿಕಾರದ ದುರುಪಯೋಗ
దుర్వినియోగ భాష,ನಿಂದಕ ಭಾಷೆ
విద్యావేత్త,ಶೈಕ್ಷಣಿಕ
విద్యా చర్చ,ಶೈಕ್ಷಣಿಕ ಚರ್ಚೆ
విద్యా సెలవు,ಶೈಕ್ಷಣಿಕ ರಜೆ
విద్యా అర్హత,ಶೈಕ್ಷಣಿಕ ಅರ್ಹತೆ
విద్యా రికార్డు,ಶೈಕ್ಷಣಿಕ ದಾಖಲೆ
ACCEDE,ತಪ್ಪೊಟ್ಟು
అంగీకరించండి,ಒಪ್ಪಿಕೊಳ್ಳಿ
అంగీకారం,ಸ್ವೀಕಾರಾರ್ಹತೆ
కార్యాలయం అంగీకారం,ಕಚೇರಿಯ ಸ್ವೀಕಾರ
టెండర్ అంగీకారం,ಟೆಂಡರ್ ಸ್ವೀಕಾರ
యాక్సెస్,ಪ್ರವೇಶ
ప్రవేశం,ಪ್ರವೇಶ
అనుబంధ,ಪರಿಕರ
ప్రమాదం,ಅಪಘಾತ
అలవాటు,ಒಗ್ಗೂಡಿಸುವಿಕೆ
వసతి,ಸೌಕರ್ಯ
తోడు,ಜೊತೆಗಾರ
ఒప్పందం,ಸ ೦ ಗೀತ
అనుగుణంగా,ಪ್ರೇಕ್ಷಕ
దీని ప్రకారం,ಹಾಗೆಯೇ
ఖాతా,ಖಾತೆ
జవాబుదారీతనం,ಹೊಣೆಗಾರಿಕೆ
జవాబుదారీతనం,ಹೊಣೆಗಾರ
అకౌంటెన్సీ,ಹೊಣೆ
అకౌంటెంట్,ಲೆಕ್ಕಪರಿಶೋಧಕ
ఖాతా,ಇದಕ್ಕೆ ಖಾತೆ
ఖాతా హెడ్,ಖಾತೆ
సేకరించిన ప్రయోజనం,ಸಂಚಿತ ಲಾಭ
పెన్షన్ పెన్షన్,ಸಂಚಿತ ಪಿಂಚಣಿ
చేరడం,ಸಂಗ್ರಹಣೆ
ఖచ్చితత్వం,ನಿಖರತೆ
ఖచ్చితమైనది,ನಿಖರವಾದ
నిందించండి,ಆರೋಪಿಸು
ఆరోపణలు,ಆರೋಪಿ
సాధన,ಸಾಧನೆ
గుర్తింపు,ಸ್ವೀಕೃತಿ
రసీదు గడువు,ಸ್ವೀಕೃತಿ ಕಾರಣ
పరిచయము,ಪರಿಚಯ
సముపార్జన,ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು
సముపార్జన,ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು
చట్టం,ಕಯ
నటన భత్యం,ನಟನಾ ಭತ್ಯೆ
చర్య,ಕ್ರಿಯಾಶೀಲತೆ
కార్య ప్రణాళిక,ಕಾರ್ಯ ತಂತ್ರ
క్రియాశీల,ಸಕ್ರಿಯ
చురుకుగా,ಸಕ್ರಿಯವಾಗಿ
కార్యకర్త,ಕಾರ್ಯಕರ್ತ
దైవఘటన,ಭಗವಂತನ ಆಟ
దుష్ప్రవర్తన చర్య,ದುಷ್ಕೃತ್ಯದ ಕ್ರಿಯೆ
కమీషన్ మరియు కమీషన్,ಆಯೋಗ ಮತ್ತು ಲೋಪದ ಕ್ರಿಯೆ
అసలు,ನಿಜವಾದ
వాస్తవాలు,ವಾಸ್ತವಿಕ
అనుసరణ,ರೂಪಾಂತರ
అదనంగా,ಸೇರ್ಪಡೆ
అదనపు ఛార్జ్,ಹೆಚ್ಚುವರಿ ಶುಲ್ಕ
అదనపు ఫండ్,ಹೆಚ್ಚುವರಿ ನಿಧಿ
అదనపు గ్రాంట్,ಹೆಚ್ಚುವರಿ ಅನುದಾನ
అదనపు సమాచారం,ಹೆಚ್ಚುವರಿ ಮಾಹಿತಿ
అదనపు వేతనం,ಹೆಚ್ಚುವರಿ ವೇತನ
అదనంగా మరియు మార్పు,ಸೇರ್ಪಡೆ ಮತ್ತು ಬದಲಾವಣೆ
చిరునామా,ಭಾಷಣ
చిరునామా,ವಿಳಾಸದಾರ
స్వాగత చిరునామా,ಸ್ವಾಗತದ ವಿಳಾಸ
తగినంత,ಸಮರ್ಪಕ
కట్టుబడి,ಅಂಟಿಕೊಳ್ಳಿ
తాత్కాలిక హాక్,ತಾತ್ಕಾಲಿಕ
తాత్కాలిక దావా,ತಾತ್ಕಾಲಿಕ ಹಕ್ಕು
తాత్కాలిక కమిటీ,ತಾತ್ಕಾಲಿಕ ಸಮಿತಿ
తాత్కాలిక పెరుగుదల,ತಾತ್ಕಾಲಿಕ ಹೆಚ್ಚಳ
తాత్కాలిక చెల్లింపు,ತಾತ್ಕಾಲಿಕ ಪಾವತಿ
ప్రక్కనే,ಪಕ್ಕದ
ప్రక్కనే (= పరస్పర),ಪಕ್ಕದ (= ಸಮೀಪ)
వాయిదా,ಮುಂದೂಡಿಕೆ
వాయిదా చలన,ಮುಂದೂಡುವ ಚಲನೆ
అనుబంధం,ತೀರ್ಪು
తీర్పు,ತೀರ್ಮಾನಿಸು
తీర్పు,ಯಜಮಾನ
న్యాయాధికారి,ತೀರ್ಪುಗಾರ
సర్దుబాటు,ಹೊಂದಾಣಿಕೆ
నిర్వహించండి,ನಿರ್ವಹಿಸು
ప్రమాణం చేయండి,ಪ್ರಮಾಣವಚನ ಸ್ವೀಕರಿಸಿ
పరిపాలన,ಆಡಳಿತ
న్యాయం యొక్క పరిపాలన,ನ್ಯಾಯದ ಆಡಳಿತ
పరిపాలనా,ಆಡಳಿತಕಾರಿಯಾದ
పరిపాలనా చర్య,ಆಡಳಿತಾಧಿಕಾರಿ ಕ್ರಿಯೆ
అడ్మినిస్ట్రేటివ్ అప్రైసల్,ಆಡಳಿತಾಧಿಕಾರಿ ಮೌಲ್ಯಮಾಪನ
పరిపాలనా ఆమోదం,ಆಡಳಿತಾಧಿಕಾರಿ ಅನುಮೋದನೆ
పరిపాలనా అధికారం,ಆಡಳಿತ ಪ್ರಾಧಿಕಾರದ
పరిపాలనా నియంత్రణ,ಆಡಳಿತ ನಿಯಂತ್ರಣ
పరిపాలనా నిర్ణయం,ಆಡಳಿತಾತ್ಮಕ ನಿರ್ಧಾರ
పరిపాలనా విభాగం,ಆಡಳಿತ ಇಲಾಖೆ
అడ్మినిస్ట్రేటివ్ హెడ్,ಆಡಳಿತಾಧಿಕಾರಿ
పరిపాలనా ప్రధాన కార్యాలయం,ಆಡಳಿತ ಕೇಂದ್ರ ಕಚೇರಿ
పరిపాలనా చర్యలు,ಆಡಳಿತಾತ್ಮಕ ಕ್ರಮಗಳು
పరిపాలనా శక్తి,ಆಡಳಿತ ಅಧಿಕಾರ
పరిపాలనా అనుమతి,ಆಡಳಿತಾಧಿಕಾರಿ ಅನುಮೋದನೆ
పరిపాలనా సాంకేతికత,ಆಡಳಿತ ತಂತ್ರ
అడ్మినిస్ట్రేటివ్ ట్రిబ్యునల్,ಆಡಳಿತ ನ್ಯಾಯಸಮ್ಮತ
ప్రవేశం,ಪ್ರವೇಶಸಾಧ್ಯತೆ
ఆమోదయోగ్యమైన వ్యయం,ಸ್ವೀಕಾರಾರ್ಹ ಖರ್ಚು
అంగీకరించండి,ಒಪ್ಪಿಸು
అడ్మిట్ కార్డ్,ಪ್ರವೇಶ ಕಾರ್ಡ್
