Marathi,Tamil
"1.अॅबॅकस, 2. मोजणी","1.அபாகஸ், 2. எண்ணும்"
असामान्य शेवट,அசாதாரண முடிவு
इंटरसेप्ट,இடைமறிக்கவும்
"1. निरपेक्ष, 2. सर्वोच्च","1. முழுமையான, 2. உச்சம்"
परिपूर्ण पत्ता,முழுமையான முகவரி
परिपूर्ण पत्ता योग्यता,முழுமையான முகவரித்திறன்
परिपूर्ण असेंबलर,முழுமையான அசெம்பிளர்
"1. संपूर्ण कोड, 2. परिपूर्ण कोड","1. முழுமையான குறியீடு, 2. முழுமையான குறியீடு"
निरपेक्ष आज्ञा,முழுமையான கட்டளை
"1. परिपूर्ण आकडे, 2. परिपूर्ण डेटा","1. முழுமையான புள்ளிவிவரங்கள், 2. முழுமையான தரவு"
परिपूर्ण सूचना,முழுமையான அறிவுறுத்தல்
परिपूर्ण मोड,முழுமையான பயன்முறை
परिपूर्ण मार्ग,முழுமையான பாதை
"1. परिपूर्ण प्रोग्रामिंग, 2. परिपूर्ण प्रोग्रामिंग","1. முழுமையான நிரலாக்கம், 2. முழுமையான நிரலாக்கம்"
अमूर्त वर्ग,சுருக்க வர்க்கம்
अमूर्त डेटा प्रकार,சுருக்க தரவு வகை
अमूर्त मशीन,சுருக்க இயந்திரம்
अमूर्त चिन्ह,சுருக்க சின்னம்
अमूर्त वाक्यरचना,சுருக்க தொடரியல்
स्वीकृती चाचणी,ஏற்பு சோதனை
प्रवेश प्रमाणपत्र,அணுகல் சான்றிதழ்
"1. प्रवेश कोड, 2. प्रवेश कोड","1. அணுகல் குறியீடு, 2. அணுகல் குறியீடு"
प्रवेश नियंत्रण,நுழைவு கட்டுப்பாடு
प्रवेश स्कॅनिंग,அணுகல் ஸ்கேனிங்
उपकरणे,பாகங்கள்
लेखा,கணக்கியல்
"1. खाते आयडी, 2. लेखा ओळख","1. கணக்கு ஐடி, 2. கணக்கியல் அடையாளம்"
संचयक,திரட்டி
"1. अचूकता, 2. अचूकता","1. துல்லியம், 2. துல்லியம்"
प्रवेश,அணுகல்
