Malayalam,Marathi
"1.അബാക്കസ്, 2. എണ്ണുന്നു","1.अॅबॅकस, 2. मोजणी"
അസാധാരണമായ അവസാനം,असामान्य शेवट
തടസ്സപ്പെടുത്തുക,इंटरसेप्ट
"1. കേവലം, 2. പരമോന്നത","1. निरपेक्ष, 2. सर्वोच्च"
സമ്പൂർണ്ണ വിലാസം,परिपूर्ण पत्ता
സമ്പൂർണ്ണ വിലാസക്ഷമത,परिपूर्ण पत्ता योग्यता
കേവല അസംബ്ലർ,परिपूर्ण असेंबलर
"1. കേവല കോഡ്, 2. കേവല കോഡ്","1. संपूर्ण कोड, 2. परिपूर्ण कोड"
സമ്പൂർണ്ണ കമാൻഡ്,निरपेक्ष आज्ञा
"1. കേവല കണക്കുകൾ, 2. സമ്പൂർണ്ണ ഡാറ്റ","1. परिपूर्ण आकडे, 2. परिपूर्ण डेटा"
സമ്പൂർണ്ണ നിർദ്ദേശം,परिपूर्ण सूचना
കേവല മോഡ്,परिपूर्ण मोड
കേവല പാത,परिपूर्ण मार्ग
"1. സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്, 2. സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്","1. परिपूर्ण प्रोग्रामिंग, 2. परिपूर्ण प्रोग्रामिंग"
അമൂർത്ത ക്ലാസ്,अमूर्त वर्ग
അമൂർത്ത ഡാറ്റ തരം,अमूर्त डेटा प्रकार
അമൂർത്ത യന്ത്രം,अमूर्त मशीन
അമൂർത്ത ചിഹ്നം,अमूर्त चिन्ह
അമൂർത്തമായ വാക്യഘടന,अमूर्त वाक्यरचना
സ്വീകാര്യത പരിശോധന,स्वीकृती चाचणी
പ്രവേശന സർട്ടിഫിക്കേഷൻ,प्रवेश प्रमाणपत्र
"1. ആക്സസ് കോഡ്, 2. പ്രവേശന കോഡ്","1. प्रवेश कोड, 2. प्रवेश कोड"
പ്രവേശന നിയന്ത്രണം,प्रवेश नियंत्रण
ആക്സസ് സ്കാനിംഗ്,प्रवेश स्कॅनिंग
സാധനങ്ങൾ,उपकरणे
അക്കൌണ്ടിംഗ്,लेखा
"1. അക്കൗണ്ട് ഐഡി, 2. അക്കൗണ്ടിംഗ് തിരിച്ചറിയൽ","1. खाते आयडी, 2. लेखा ओळख"
ശേഖരണം,संचयक
"1. കൃത്യത, 2. കൃത്യത","1. अचूकता, 2. अचूकता"
പ്രവേശനം,प्रवेश
ആക്സസ് കൺട്രോൾ ബൈറ്റുകൾ,प्रवेश नियंत्रण बाइट्स
പ്രവേശന സൂചകം,प्रवेश सूचक
ആക്സസ് കീ,प्रवेश की
"1. ആക്സസ് മാട്രിക്സ്, 2. ആക്സസ് മാട്രിക്സ്","1. प्रवेश मॅट्रिक्स, 2. प्रवेश मॅट्रिक्स"
ആക്സസ് മോഡ്,प्रवेश मोड
പ്രവേശനാവകാശങ്ങൾ,प्रवेश विशेषाधिकार
ആക്സസ് സുരക്ഷ,प्रवेश सुरक्षा
"1. ആക്സസ് സെർവർ, 2. ആക്സസ് സെർവർ","1. ऍक्सेस सर्व्हर, 2. प्रवेश सर्व्हर"
പ്രവേശന സമയം,प्रवेश वेळ
