Telugu,Punjabi
తగ్గింపు,ਪਰੇਸ਼ਾਨੀ
సంక్షిప్తీకరణ,ਸੰਖੇਪ
అపహరణ,ਅਗਵਾ
Abeyance,ਧਾਰਨਾ
సామర్థ్యం,ਯੋਗਤਾ
అబ్ ఇనిషియో,ਏਬੀ ਦੀ ਸ਼ੁਰੂਆਤ
సామర్థ్యం,ਯੋਗ
అసాధారణ,ਅਸਧਾਰਨ
రద్దు,ਖਤਮ
నిర్మూలన పోస్ట్,ਅਬੋਲੋਜੀਫ ਪੋਸਟ
పైన పేర్కొన్నారు,ਉੱਪਰ ਦੱਸਿਆ ਗਿਆ
పైన కోట్ చేయబడింది,ਉੱਪਰ ਹਵਾਲਾ ਦਿੱਤਾ
పైన చెప్పారు,ਉਪਰੋਕਤ ਕਿਹਾ
లేకపోవడం,ਗੈਰਹਾਜ਼ਰੀ
హాజరుకాని,ਗੈਰਹਾਜ਼ਰ
హాజరుకానితనం,ਗੈਰਹਾਜ਼ਰ
హాజరుకాని ప్రకటన,ਗੈਰਹਾਜ਼ਰ ਬਿਆਨ
సంపూర్ణ,ਅਸੀਮ
సంపూర్ణ గుత్తాధిపత్యం,ਪੂਰੀ ਏਕਾਅਧਿਕਾਰ
సంపూర్ణ యాజమాన్యం,ਸੰਪੂਰਨ ਮਾਲਕੀ
శోషణ,ਸਮਾਈ
నైరూప్య,ਸਾਰ
అబ్స్ట్రాక్ట్ స్టేట్మెంట్,ਸੰਖੇਪ
అసంబద్ధం,ਬੇਹੂਦਾ
సమృద్ధి,ਬਹੁਤਾਤ
అధికార దుర్వినియోగం,ਸ਼ਕਤੀ ਦੀ ਦੁਰਵਰਤੋਂ
దుర్వినియోగ భాష,ਗਾਲਾਂ ਕੱ .ਣ ਵਾਲੀ ਭਾਸ਼ਾ
విద్యావేత్త,ਅਕਾਦਮਿਕ
విద్యా చర్చ,ਅਕਾਦਮਿਕ ਵਿਚਾਰ ਵਟਾਂਦਰੇ
విద్యా సెలవు,ਅਕਾਦਮਿਕ ਛੁੱਟੀ
విద్యా అర్హత,ਅਕਾਦਮਿਕ ਯੋਗਤਾ
విద్యా రికార్డు,ਅਕਾਦਮਿਕ ਰਿਕਾਰਡ
ACCEDE,ਐੱਸ
అంగీకరించండి,ਸਵੀਕਾਰ ਕਰੋ
అంగీకారం,ਮਨਜ਼ੂਰ
కార్యాలయం అంగీకారం,ਦਫਤਰ ਦੀ ਪ੍ਰਵਾਨਗੀ
టెండర్ అంగీకారం,ਟੈਂਡਰ ਦੀ ਪ੍ਰਵਾਨਗੀ
యాక్సెస్,ਪਹੁੰਚ
ప్రవేశం,ਐਕਸੈਸਿੰਗ
అనుబంధ,ਸਹਾਇਕ
ప్రమాదం,ਹਾਦਸਾ
అలవాటు,ਅਨੁਕੂਲਤਾ
వసతి,ਰਿਹਾਇਸ਼
తోడు,ਦੇ ਨਾਲ
ఒప్పందం,ਸਮਝੌਤਾ
అనుగుణంగా,ਦੇ ਅਨੁਸਾਰ
దీని ప్రకారం,ਇਸ ਅਨੁਸਾਰ
ఖాతా,ਖਾਤਾ
జవాబుదారీతనం,ਜਵਾਬਦੇਹੀ
జవాబుదారీతనం,ਜਵਾਬਦੇਹ
అకౌంటెన్సీ,ਖਾਤੇ ਦੀ
అకౌంటెంట్,ਲੇਖਾਕਾਰ
ఖాతా,ਲਈ ਖਾਤਾ
ఖాతా హెడ్,ਖਾਤਾ ਸਿਰ
సేకరించిన ప్రయోజనం,ਇਕੱਠਾ ਕੀਤਾ ਲਾਭ
పెన్షన్ పెన్షన్,ਇਕੱਠੀ ਕੀਤੀ ਪੈਨਸ਼ਨ
చేరడం,ਇਕੱਠਾ
ఖచ్చితత్వం,ਸ਼ੁੱਧਤਾ
ఖచ్చితమైనది,ਸਹੀ
నిందించండి,ਦੋਸ਼ ਲਾਉਂਦਾ ਹੈ
ఆరోపణలు,ਦੋਸ਼ੀ
సాధన,ਪ੍ਰਾਪਤੀ
గుర్తింపు,ਪ੍ਰਵਾਨਗੀ
రసీదు గడువు,ਬਣ ਰਹੇ
పరిచయము,ਜਾਣ-ਪਛਾਣ
సముపార్జన,ਗ੍ਰਹਿਣ
