Marathi,Kannada
ऍसिडॉइड,ಆಸಿಡಾಯ್ಡ್
एओलियन माती,ಅಯೋಲಿಯನ್ ಮಣ್ಣು
एकूण,ಒಟ್ಟು
एकत्रीकरण,ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ
कृषीशास्त्र,ಕೃಷಿಶಾಸ್ತ್ರ
कृषीशास्त्र,ಕೃಷಿಶಾಸ್ತ್ರ
A-क्षितिज,ಎ-ಹಾರಿಜಾನ್
Ao-क्षितिज,Ao-ಹಾರಿಜಾನ್
Aoo-क्षितिज,Aoo-ಹಾರಿಜಾನ್
मातीची हवेची क्षमता,ಮಣ್ಣಿನ ಗಾಳಿಯ ಸಾಮರ್ಥ್ಯ
मातीतील हवेचे प्रमाण,ಮಣ್ಣಿನ ಗಾಳಿಯ ಅಂಶ
एअर पिकनोमीटर,ಏರ್ ಪಿಕ್ನೋಮೀಟರ್
ऍलिटिक माती,ಆಲಿಟಿಕ್ ಮಣ್ಣು
गाळाची माती,ಮೆಕ್ಕಲು ಮಣ್ಣು
अॅम्फोलायटॉइड,ಆಂಫೋಲಿಟಾಯ್ಡ್
आयन,ಅಯಾನ್
"स्पष्ट विशिष्ट गुरुत्व खंड वजन किंवा मोठ्या प्रमाणात विशिष्ट गुरुत्व,&quot;","ಸ್ಪಷ್ಟವಾದ ನಿರ್ದಿಷ್ಟ ಗುರುತ್ವಾಕರ್ಷಣೆಯ ಪರಿಮಾಣದ ತೂಕ ಅಥವಾ ಬೃಹತ್ ನಿರ್ದಿಷ್ಟ ಗುರುತ್ವಾಕರ್ಷಣೆ,&quot;"
ऍरिस,ಅರ್ರಿಸ್
Ashlar दंड दगडी बांधकाम,ಆಶ್ಲರ್ ಉತ್ತಮವಾದ ಕಲ್ಲು
Ashlar दगडी बांधकाम,ಆಶ್ಲರ್ ಕಲ್ಲು
अझोनल माती,ಅಜೋನಲ್ ಮಣ್ಣು
मागचा अभिनेता,ಹಿಂದೆ ನಟ
मागची कमान,ಹಿಂದಿನ ಕಮಾನು
बॅक बँड,ಬ್ಯಾಕ್ ಬ್ಯಾಂಡ್
मागे ब्रश,ಬ್ಯಾಕ್ ಬ್ರಷ್
परत तपासणी,ಹಿಂತಿರುಗಿ ಪರಿಶೀಲಿಸಿ
मागे काउंटर,ಹಿಂದಿನ ಕೌಂಟರ್
परत कटिंग,ಬೆನ್ನು ಕತ್ತರಿಸುವುದು
बॅक ड्राफ्ट डँपर,ಬ್ಯಾಕ್ ಡ್ರಾಫ್ಟ್ ಡ್ಯಾಂಪರ್
मागे निचरा,ಬ್ಯಾಕ್ ಡ್ರೈನ್
बॅक ड्रॉप,ಬ್ಯಾಕ್ ಡ್ರಾಪ್
परत भरा,ಹಿಂದೆ ಭರ್ತಿ
बॅक फिलेट,ಬ್ಯಾಕ್ ಫಿಲೆಟ್
बॅक फ्लॅप बिजागर,ಬ್ಯಾಕ್ ಫ್ಲಾಪ್ ಹಿಂಜ್
परत प्रवाह कनेक्शन,ಬ್ಯಾಕ್ ಫ್ಲೋ ಸಂಪರ್ಕ
परत प्रवाह प्रतिबंधक,ಬ್ಯಾಕ್ ಫ್ಲೋ ತಡೆಗಟ್ಟುವಿಕೆ
बॅक गेज,ಬ್ಯಾಕ್ ಗೇಜ್
मागे गटार,ಹಿಂಭಾಗದ ಗಟಾರ
मागे चूल,ಹಿಂಬದಿ ಒಲೆ
पाठीराखा,ಹಿಮ್ಮೇಳ
बॅकिंग बोर्ड,ಬ್ಯಾಕಿಂಗ್ ಬೋರ್ಡ್
पाठीचा दाब,ಬೆನ್ನಿನ ಒತ್ತಡ
बॅक प्रोप,ಬ್ಯಾಕ್ ಪ್ರಾಪ್
मागची दृष्टी,ಹಿಂದಿನ ದೃಷ್ಟಿ
परत पाणी,ಹಿಂಬದಿ ನೀರು
गोंधळ,ಅಡ್ಡಿಪಡಿಸು
बॅगवर्क,ಬ್ಯಾಗ್ವರ್ಕ್
गिट्टी,ನಿಲುಭಾರ
बॉल क्ले,ಬಾಲ್ ಕ್ಲೇ
बॉल कोन क्लॅम्प,ಬಾಲ್ ಕೋನ್ ಕ್ಲಾಂಪ್
काटेरी तार,ಮುಳ್ಳುತಂತಿ
बार कुत्रा,ಬಾರ್ ನಾಯಿ
बार्ज बोर्ड,ಬಾರ್ಜ್ ಬೋರ್ಡ್
बेरियम सल्फेट चाचणी,ಬೇರಿಯಮ್ ಸಲ್ಫೇಟ್ ಪರೀಕ್ಷೆ
बॅरेज,ಬ್ಯಾರೇಜ್
बॅरेट,ಬ್ಯಾರೆಟ್
पाया,ಬೇಸ್
बेस एक्सचेंज,ಮೂಲ ವಿನಿಮಯ
बेस लाइन,ಬೇಸ್ ಲೈನ್
तळघर,ನೆಲಮಾಳಿಗೆ
तळघर भिंत,ನೆಲಮಾಳಿಗೆಯ ಗೋಡೆ
तळपट्टी,ಬೇಸ್ ಪ್ಲೇಟ್
"बेस प्लेट, समायोज्य","ಬೇಸ್ ಪ್ಲೇಟ್, ಹೊಂದಾಣಿಕೆ"
बेस संपृक्तता,ಮೂಲ ಶುದ್ಧತ್ವ
बेसॉइड,ಬಸಾಯಿಡ್
वटवाघूळ,ಬ್ಯಾಟ್
बाथ आणि WC,ಬಾತ್ ಮತ್ತು WC
पिठात पेग,ಬ್ಯಾಟರ್ ಪೆಗ್
पिठात घाट,ಬ್ಯಾಟರ್ ಪಿಯರ್
पिठात नियम,ಬ್ಯಾಟರ್ ನಿಯಮ
बल्क (बाल्क),ಬಾಲ್ಕ್ (ಬಾಲ್ಕ್)
खाडी,ಕೊಲ್ಲಿ
वाहक,ಬೇರರ್
सहन करण्याची क्षमता,ತಾಳಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ
पत्करणे ब्लॉकला,ಬೇರಿಂಗ್ ಪೈಲ್
बेअरिंग स्ट्रॅटम,ಬೇರಿಂಗ್ ಸ್ಟ್ರಾಟಮ್
पलंग,ಹಾಸಿಗೆ
बेडिंग विमान,ಹಾಸಿಗೆ ವಿಮಾನ
बेड संयुक्त,ಬೆಡ್ ಜಂಟಿ
बेड रॉक,ಬೆಡ್ ರಾಕ್
बेड रूम,ಮಲಗುವ ಕೋಣೆ
मेण,ಜೇನುಮೇಣ
बेल बॉक्स,ಬೆಲ್ ಬಾಕ್ಸ್
बेलिंग बादली,ಬೆಲ್ಲಿಂಗ್ ಬಕೆಟ್
बेलोफ्राम,ಬೆಲ್ಲೋಫ್ರಾಮ್
बेंच केलेला पाया,ಬೆಂಚ್ಡ್ ಅಡಿಪಾಯ
बेंचिंग,ಬೆಂಚಿಂಗ್
बेंच मार्क,ಮಾನದಂಡ
लाभ खर्चाचे विश्लेषण,ಲಾಭದ ವೆಚ್ಚದ ವಿಶ್ಲೇಷಣೆ
बर्म,ಬೆರ್ಮ್
Bevelled बंद,ಬೆವೆಲ್ಡ್ ಮುಚ್ಚುವಿಕೆ
"B-क्षितिज,&quot;B-","ಬಿ-ಹಾರಿಜಾನ್,&quot;ಬಿ-"
बायट,ಬಿಯಾಟ್
बाईंडर,ಬೈಂಡರ್
बंधनकारक साहित्य,ಬೈಂಡಿಂಗ್ ವಸ್ತು
बायोटचा सिद्धांत,ಬಯೋಟ್ ಸಿದ್ಧಾಂತ
बिटुमेन,ಬಿಟುಮೆನ್
काळी कापूस माती,ಕಪ್ಪು ಹತ್ತಿ ಮಣ್ಣು
काळी पृथ्वी,ಕಪ್ಪು ಭೂಮಿ
काळी हरळीची माती,ಕಪ್ಪು ಟರ್ಫ್ ಮಣ್ಣು
ब्लेड,ಬ್ಲೇಡ್
ब्लास्ट फर्नेस स्लॅग सिमेंट,ಬ್ಲಾಸ್ಟ್ ಫರ್ನೇಸ್ ಸ್ಲ್ಯಾಗ್ ಸಿಮೆಂಟ್
ब्लॉक रचना,ಬ್ಲಾಕ್ ರಚನೆ
बोगी प्रतिकार,ಬೋಗಿ ಪ್ರತಿರೋಧ
बोग-लोह धातू,ಬಾಗ್-ಕಬ್ಬಿಣದ ಅದಿರು
बाँड,ಕರಾರುಪತ್ರ
बंधपत्रित सदस्य,ಬಂಧಿತ ಸದಸ್ಯ
बंध पोस्ट टेंशनिंग,ಬಂಧಿತ ಪೋಸ್ಟ್ ಟೆನ್ಷನಿಂಗ್
बोंड दगड,ಬಾಂಡ್ ಕಲ್ಲು
बांधलेले पाणी,ಬೌಂಡ್ ನೀರು
पेटी गटर,ಬಾಕ್ಸ್ ಗಟರ್
ब्रेस,ಬ್ರೇಸ್
वीट-ऑन-एज,ಬ್ರಿಕ್ ಆನ್ ಎಡ್ಜ್
लगाम,ಬ್ರಿಡ್ಲ್
तेज,ಹೊಳಪು
तपकिरी माती,ಕಂದು ಮಣ್ಣು
इमारत,ಕಟ್ಟಡ
इमारत सर्वेक्षक,ಕಟ್ಟಡ ಸರ್ವೇಯರ್
बफर,ಬಫರ್
बफर वक्र,ಬಫರ್ ಕರ್ವ್
बफरिंग,ಬಫರಿಂಗ್
बफरिंग क्षमता,ಬಫರಿಂಗ್ ಸಾಮರ್ಥ್ಯ
बंदर,ಬಂದರ್
बट्रेस,ಬಟ್ರೆಸ್
सी-क्षितिज,ಸಿ-ಹಾರಿಜಾನ್
केबल,ಕೇಬಲ್
केबल मोल्डिंग,ಕೇಬಲ್ ಮೋಲ್ಡಿಂಗ್
केबल टाकणे,ಕೇಬಲ್ ಹಾಕುವುದು
केबिन,ಕ್ಯಾಬಿನ್
केबिन हुक,ಕ್ಯಾಬಿನ್ ಹುಕ್
कपाट,ಕ್ಯಾಬಿನೆಟ್
कॅबोल्ट सोडला,ಕಾಬೋಲ್ಟ್ ತೊರೆದರು
कॅफेटेरिया,ಕೆಫೆಟೇರಿಯಾ
पिंजरा,ಪಂಜರ
पिंजरा बांधकाम,ಪಂಜರ ನಿರ್ಮಾಣ
काईनचे सूत्र,ಕೇನ್ ಅವರ ಸೂತ್ರ
कैसन,ಕೈಸನ್
कॅसन रोग,ಕೈಸನ್ ಕಾಯಿಲೆ
Caisson पाया,ಕೈಸನ್ ಅಡಿಪಾಯ
Caisson ढीग,ಕೈಸನ್ ರಾಶಿ
चुनखडीची वीट,ಸುಣ್ಣದ ಇಟ್ಟಿಗೆ
चुनखडीयुक्त चिकणमाती,ಸುಣ್ಣದ ಜೇಡಿಮಣ್ಣು
चुनखडीयुक्त कवच,ಕ್ಯಾಲ್ಕೇರಿಯಸ್ ಕ್ರಸ್ಟ್
कॅल्सिफिकेशन,ಕ್ಯಾಲ್ಸಿಫಿಕೇಶನ್
कॅल्सीनेशन,ಕ್ಯಾಲ್ಸಿನೇಷನ್
कॅल्सीन,ಕ್ಯಾಲ್ಸಿನ್
कॅल्साइट,ಕ್ಯಾಲ್ಸೈಟ್
