Odiya,English
ଆବେଲି ଗୋଷ୍ଠୀ |,Abelian group
ଆବେଲି ଗୋଷ୍ଠୀ |,abelian semigroup
ହାତ,abscissa
"ସଂପୂର୍ଣ୍ଣ, ସଂପୂର୍ଣ୍ଣ, ସ୍ଥିର, ସଠିକ୍ |",absolute
ସଂପୂର୍ଣ୍ଣ ସମ୍ମିଶ୍ରଣ |,absolute convergence
ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |,absolute error
ସର୍ବୋଚ୍ଚ ସର୍ବୋଚ୍ଚ,absolute maximum
ସଂପୂର୍ଣ୍ଣ ସର୍ବନିମ୍ନ |,absolute minimum
ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ,absolute value
ସଂପୂର୍ଣ୍ଣ ବେଗ,absolute velocity
ବିସ୍ତୃତ ବୀଜ ବର୍ଣ୍ଣନା |,abstract algebra
ବିସ୍ତୃତ ଗୋଷ୍ଠୀ ସିଦ୍ଧାନ୍ତ |,abstract group theory
ତ୍ୱରଣ,acceleration
ମାଧ୍ୟାକର୍ଷଣ ତ୍ୱରଣ |,acceleration due to gravity
ଗ୍ରହଣୀୟ ଚୟନକର୍ତ୍ତା |,acceptable choice set
ଗ୍ରହଣୀୟ ଗୁଣବତ୍ତା ସ୍ତର |,acceptable quality level
ଗ୍ରହଣୀୟ ପରିସର,acceptable range
ବ valid ଧ ବିଶ୍ୱସନୀୟତା ସ୍ତର |,acceptable reliability level
ଗ୍ରହଣ ନମୁନା,acceptable sampling
ସଂଗୃହିତ ତ୍ରୁଟି |,accumulated error
ସଠିକତା,accuracy
ପ୍ରୟୋଗ ଶକ୍ତି,acting force
"କାର୍ଯ୍ୟ, କାର୍ଯ୍ୟ",action
କାର୍ଯ୍ୟ ଏବଂ ପ୍ରତିକ୍ରିୟା,action and reaction
ବୀମା ବିଜ୍ଞାନ |,acturial science
ତୀବ୍ର ତ୍ରିରଙ୍ଗା |,acute angled triangle
acyclic,acyclic
ସଂକ୍ଷେପରେ,add
ଆଡର୍,adder
"ରାଶି, ଯୋଗ, ସମୀକରଣ (ଗ।), ଯୋଗୀ (v।)",addition
ଯୋଗର ସୂତ୍ର,addition formula
ଜଟିଳ ସଂଖ୍ୟାଗୁଡ଼ିକର ସମଷ୍ଟି |,addition of complex numbers
କାର୍ଯ୍ୟଗୁଡ଼ିକର ସମଷ୍ଟି,addition of functions
ମାଟ୍ରିକ୍ସର ରାଶି,addition of matrices
ବହୁଜନର ସମଷ୍ଟି |,addition of polynomials
ସମ୍ଭାବ୍ୟତାର ସମଷ୍ଟି,addition of probabilities
ଭେକ୍ଟରର ରାଶି,addition of vectors
"ଯୋଗ ଥିଓରେମ୍, ବିରି ଥିଓରୀ,",addition theorem
ଯୋଗୀ ଗୋଷ୍ଠୀ |,additive group
ଯୋଗୀ ଓଲଟା |,additive inverse
ଯୋଗନୀୟତା |,additive property
ଯୋଗନୀୟତା |,additivity
ସଂଲଗ୍ନ ମ୍ୟାଟ୍ରିକ୍ସ |,adjacency matrix
"ସଂଲଗ୍ନ, ସଂଲଗ୍ନ, ସଂଲଗ୍ନ",adjacent
ସଂଲଗ୍ନ କୋଣ,adjacent angles
ସଂଲଗ୍ନ ଭର୍ଟେକ୍ସ |,adjacent vertex
ସହଯୋଗ କରିବାକୁ,adjoin
"ସଂଲଗ୍ନ ଏନକ୍ଲୋଜର,",adjoining
ସାଧାରଣ ନିର୍ଣ୍ଣୟକାରୀ |,adjoint determinant
ସଂଲଗ୍ନ ଡିଫେରିଏଲ୍ ସମୀକରଣ |,adjoint differential equation
ସଂଲଗ୍ନ ସମୀକରଣ,adjoint equation
କୋହୋମୋଜେନସ୍ ମ୍ୟାଟ୍ରିକ୍ସ |,adjoint matrix
ମ୍ୟାଟ୍ରିକ୍ସ କୋଭାରିଆନ୍ସ |,adjoint of matrix
କୋହୋମୋଜେନସ୍ ମ୍ୟାଟ୍ରିକ୍ସ |,adjugate matrix
ଗ୍ରହଣୀୟ ନିଷ୍ପତ୍ତି କାର୍ଯ୍ୟ,admissible decision function
ଗ୍ରହଣୀୟ ଅନୁମାନ,admissible hypothesis
ଏରୋଡାଇନାମିକ୍ ଫୋର୍ସ |,aerodynamic force
ଏରୋଡାଇନାମିକ୍ସ |,aerodynamics
ଏକମାତ୍ର ଜ୍ୟାମିତି |,affine geometry
ଏକମାତ୍ର ମ୍ୟାପିଙ୍ଗ୍ |,affine mapping
ଏକମାତ୍ର ପରିବର୍ତ୍ତନ,affine transformation
ଏଗ୍ରିଗେଟ୍ ଭେରିଏବଲ୍ |,aggregating variables
"ବୀଜ ବିବେଚନା, ବୀଜ ବିବେଚନା, ବୀଜ ବିବେଚନା",algebra
"ବିହନ ବନ୍ଦ, ବିହନଯୁକ୍ତ |",algebraically closed
ବୀଜ ବର୍ଣ୍ଣିତ ସମୀକରଣ |,algebraic equation
ବୀଜ ବର୍ଣ୍ଣନା,algebraic expression
ବୀଜ ବର୍ଣ୍ଣିତ ଏକତା |,algebraic form
ବୀଜ ବର୍ଣ୍ଣିତ କାର୍ଯ୍ୟ,algebraic function
ବୀଜ ବର୍ଣ୍ଣିତ ଜ୍ୟାମିତି |,algebraic geometry
ବୀଜ ବର୍ଣ୍ଣିତ ବହୁଳତା |,algebraic multiplicity
ବୀଜ ବର୍ଣ୍ଣିତ ପ୍ରଣାଳୀ |,algebraic system
ସମସ୍ତ-ପୂର୍ଣ୍ଣ ସମସ୍ୟା |,all-integer problem
"ଆସାଇନମେଣ୍ଟ ସମସ୍ୟା ୱାଟ ପ୍ରଶ୍ନ,",allocation problem
ବର୍ଣ୍ଣାନୁକ୍ରମିକ ଟିପ୍ପଣୀ |,alphabetical notation
