Marathi,Odiya
अँपिअर (युनिट),ଆମ୍ପେର୍ (ୟୁନିଟ୍)
angstrum,ଆଙ୍ଗଷ୍ଟ୍ରମ୍ |
ए-क्लास अॅम्प्लिफायर,ଏକ ଶ୍ରେଣୀ ଏମ୍ପ୍ଲିଫାୟର୍ |
एएन रेडिओ सहाय,ଏକ ରେଡିଓ ସାହା |
एक-स्कॅनिंग सादरीकरण,ଏକ ସ୍କାନିଂ ଉପସ୍ଥାପନା |
a-darsh,a-darsh
ए-स्कोप कामगिरी,ଏକ ପରିସର କାର୍ଯ୍ୟଦକ୍ଷତା |
A-T वक्र क्रिस्टल,A-T ବକ୍ର ସ୍ଫଟିକ୍ |
"एसी डीसी फायदे, ए. सीडी. सी.लाभी, ए. सीडी. c. प्रवर्धन","ଏସି ଡିସି ଲାଭ, a। CD C. Labhi, A. CD ଗ"
आहे,ମୁଁ
AMU (अणु वस्तुमान एकक),AMU (ପରମାଣୁ ମାସ ଏକକ)
आर्ड-वार्क*,aard-vark *
ab-ampere,ab-ampere
A-B वर्ग अॅम्प्लिफायर,A-B ଶ୍ରେଣୀ ଏମ୍ପ୍ଲିଫାୟର୍ |
adah,ଆଦା
A-B शक्ती पिटक,A-B ଶକ୍ତି ପିଟାକା |
abc = संरेखन चार्ट = nomograph,abc = ଆଲାଇନ୍ମେଣ୍ଟ ଚାର୍ଟ = ନାମୋଗ୍ରାଫ୍ |
अबे क्रमांक (अबे स्थिरांक),ଆବେ ସଂଖ୍ୟା (ଆବେ ସ୍ଥିର)
abe refractometer,abe refractometer
अबे साइन राज्य,ଆବେ ସାଇନ ଅବସ୍ଥା |
स्वयंचलित पूर्वाग्रह भरपाई,ସ୍ୱୟଂଚାଳିତ ପକ୍ଷପାତ କ୍ଷତିପୂରଣ |
abcoulom,abcoulom
विकृती,"ଘୃଣ୍ୟତା, ଅବକ୍ଷୟ |"
विकृती सुधारक लेन्स,ଅବରାଟେସନ୍ ସଂଶୋଧନକାରୀ ଲେନ୍ସ |
आकाश विकृती,ଆକାଶ ଅବକ୍ଷୟ |
abfarad,abfarad
एबेनरी,ଏବେନେରୀ |
इबोनी प्रभाव,ଇବୋନି ପ୍ରଭାବ |
असामान्य ध्रुवीकरण,ଅସ୍ୱାଭାବିକ ପୋଲାରାଇଜେସନ୍ |
असामान्य प्रसार,ଅସ୍ୱାଭାବିକ ସଂକ୍ରମଣ
अलौकिक प्रतिबिंब,ପରମାନନ୍ଦ ପ୍ରତିଫଳନ |
असामान्य अपवर्तन*,ଅସ୍ୱାଭାବିକ ପ୍ରତିକ୍ରିୟା *
अलौकिक प्रतिकार,ପରମାନନ୍ଦ ପ୍ରତିରୋଧ |
ab-om,ab-om
"प्राबल्य, अपयश","ଅଗ୍ରାଧିକାର, ବିଫଳତା |"
"संलग्न, सहसा, उभे, विभक्त, खंडित","ସଂଲଗ୍ନ, ସାଧାରଣତ, ଠିଆ, ବିଚ୍ଛିନ୍ନ, ଖଣ୍ଡବିଖଣ୍ଡିତ |"
अनेकदा उडी मारते,ବାରମ୍ବାର ଡେଇଁପଡେ |
हात*,ହାତ *
हरवलेले प्रतिबिंब,ହଜିଯାଇଥିବା ପ୍ରତିଫଳନ |
गहाळ स्पेक्ट्रम,ସ୍ପେକ୍ଟ୍ରମ୍ ଅନୁପସ୍ଥିତ |
"निरपेक्ष, निरपेक्ष, स्थिर, परिपूर्ण","ସଂପୂର୍ଣ୍ଣ, ସଂପୂର୍ଣ୍ଣ, ସ୍ଥିର, ସିଦ୍ଧ |"
परिपूर्ण प्रवेग,ସଂପୂର୍ଣ୍ଣ ତ୍ୱରଣ
परिपूर्ण वास्तव,ସଂପୂର୍ଣ୍ଣ ବାସ୍ତବତା |
परिपूर्ण पत्ता,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
भौगोलिक उच्चांक,ଜିଓ-ଆପେକ୍ଷିକ ଉଚ୍ଚତା |
भौगोलिक उंची,ଭ ge ଗୋଳିକ ଉଚ୍ଚତା |
परिपूर्ण अँपिअर,ସଂପୂର୍ଣ୍ଣ ଆମ୍ପେର୍ |
परिपूर्ण उकळत्या बिंदू,ସଂପୂର୍ଣ୍ଣ ଫୁଟିବା ବିନ୍ଦୁ |
परिपूर्ण प्रकाश,ସଂପୂର୍ଣ୍ଣ ଉଜ୍ଜ୍ୱଳତା |
परिपूर्ण क्षमता,ସଂପୂର୍ଣ୍ଣ କ୍ଷମତା
परिपूर्ण उंची,ସଂପୂର୍ଣ୍ଣ ଉଚ୍ଚତା |
परिपूर्ण रंगद्रव्य,ସଂପୂର୍ଣ୍ଣ ପିଗମେଣ୍ଟ |
"परिपूर्ण कॉन्फिगरेशन, अस्पष्ट कॉन्फिगरेशन","ସଂପୂର୍ଣ୍ଣ ବିନ୍ୟାସ, ଅସ୍ପଷ୍ଟ ବିନ୍ୟାସ |"
परिपूर्ण कूलॉम्ब,ସଂପୂର୍ଣ୍ଣ କୁଲମ୍ବ |
पूर्ण अंधार,ସମ୍ପୂର୍ଣ୍ଣ ଅନ୍ଧକାର |
परिपूर्ण वेळापत्रक,ସଂପୂର୍ଣ୍ଣ କାର୍ଯ୍ୟସୂଚୀ
परिपूर्ण घनता*,ସଂପୂର୍ଣ୍ଣ ଘନତା *
पूर्ण निचरा,ସଂପୂର୍ଣ୍ଣ ଜଳ ନିଷ୍କାସନ |
संपूर्ण EMU (विद्युत चुंबकीय एकक),ସଂପୂର୍ଣ୍ଣ EMU | (ବ elect ଦ୍ୟୁତିକ ଚୁମ୍ବକୀୟ ଏକକ)
संपूर्ण ESU (स्थिर एकक),ସଂପୂର୍ଣ୍ଣ ESU | (ଷ୍ଟାଟିକ୍ ୟୁନିଟ୍)
परिपूर्ण कार्यक्षमता,ସଂପୂର୍ଣ୍ଣ ଦକ୍ଷତା |
परिपूर्ण इलेक्ट्रोमीटर,ସଂପୂର୍ଣ୍ଣ ଇଲେକ୍ଟ୍ରୋମିଟର |
परिपूर्ण वारंवारता परिपूर्ण वारंवारता,ସଂପୂର୍ଣ୍ଣ ଫ୍ରିକ୍ୱେନ୍ସି ସଂପୂର୍ଣ୍ଣ ଫ୍ରିକ୍ୱେନ୍ସି |
परिपूर्ण आर्द्रता,ସଂପୂର୍ଣ୍ଣ ଆର୍ଦ୍ରତା |
परिपूर्ण घटना,ସଂପୂର୍ଣ୍ଣ ଘଟଣା
परिपूर्ण अपवर्तक निर्देशांक,ସଂପୂର୍ଣ୍ଣ ପ୍ରତୀକାତ୍ମକ ସୂଚକାଙ୍କ |
पूर्ण अस्थिरता,ସଂପୂର୍ଣ୍ଣ ଅସ୍ଥିରତା |
पूर्ण अस्थिरता,ସଂପୂର୍ଣ୍ଣ ଅସ୍ଥିରତା |
"परिपूर्ण तीव्रता, परिपूर्ण तीव्रता","ସଂପୂର୍ଣ୍ଣ ତୀବ୍ରତା, ସଂପୂର୍ଣ୍ଣ ତୀବ୍ରତା |"
अस्थेनियाची परिपूर्ण मर्यादा,ଆଥେନିଆର ସଂପୂର୍ଣ୍ଣ ସୀମା |
परिपूर्ण प्रदीपन खिडकीच्या चौकटीचा खालचा आडवा,ସଂପୂର୍ଣ୍ଣ ଆଲୋକୀକରଣ ସିଲ୍ |
परिपूर्ण प्रकाश वक्र,ସଂପୂର୍ଣ୍ଣ ଆଲୋକ ବକ୍ର
परिपूर्ण परिमाण,ସଂପୂର୍ଣ୍ଣ ପରିମାଣ
परिपूर्ण बॅरोमीटर,ସଂପୂର୍ଣ୍ଣ ବାରୋମିଟର |
सर्वोच्च सर्वोच्च,ସର୍ବୋଚ୍ଚ ସର୍ବୋଚ୍ଚ
पूर्ण टोक,ସଂପୂର୍ଣ୍ଣ ଚରମ
परिपूर्ण सर्वात कमी,ସଂପୂର୍ଣ୍ଣ ସର୍ବନିମ୍ନ |
परिपूर्ण गती,ସଂପୂର୍ଣ୍ଣ ଗତି
परिपूर्ण गती,ସଂପୂର୍ଣ୍ଣ ଗତି
परिपूर्ण संगीत,ସଂପୂର୍ଣ୍ଣ ସଂଗୀତ |
परिपूर्ण निरीक्षण,ସଂପୂର୍ଣ୍ଣ ନିରୀକ୍ଷଣ |
परिपूर्ण ओम,ସଂପୂର୍ଣ୍ଣ ଓହମ୍ |
परिपूर्ण अभिमुखता,ସଂପୂର୍ଣ୍ଣ ଆଭିମୁଖ୍ୟ
परिपूर्ण विद्युत ऋणात्मकता,ସଂପୂର୍ଣ୍ଣ ଇଲେକ୍ଟ୍ରୋନେଗେଟିଭିଟି |
परिपूर्ण गुरुत्व,ସଂପୂର୍ଣ୍ଣ ମାଧ୍ୟାକର୍ଷଣ |
परिपूर्ण दबाव,ସଂପୂର୍ଣ୍ଣ ଚାପ |
परिपूर्ण मालमत्ता,ସଂପୂର୍ଣ୍ଣ ସମ୍ପତ୍ତି |
परिपूर्ण स्केलर,ସଂପୂର୍ଣ୍ଣ ସ୍କାଲାର୍ |
तापमानाचे अंतिम प्रमाण*,ତାପମାତ୍ରାର ଚରମ ମାପ *
"परिपूर्ण समक्रमण, परिपूर्ण समक्रमण","ସଂପୂର୍ଣ୍ଣ ସିଙ୍କ୍ରୋନି, ସଂପୂର୍ଣ୍ଣ ସିଙ୍କ୍ରୋନି |"
पूर्ण ताण,ସଂପୂର୍ଣ୍ଣ ଚାପ |
परिपूर्ण सममिती,ସଂପୂର୍ଣ୍ଣ ସମୃଦ୍ଧତା |
परिपूर्ण गती शरीर,ସଂପୂର୍ଣ୍ଣ ଗତି ଶରୀର |
परिपूर्ण एकक प्रणाली,ସଂପୂର୍ଣ୍ଣ ୟୁନିଟ୍ ସିଷ୍ଟମ୍ |
परिपूर्ण तापमान,ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |
परिपूर्ण वेळ,ସଂପୂର୍ଣ୍ଣ ସମୟ |
निरपेक्ष एकके,ସଂପୂର୍ଣ୍ଣ ଏକକ |
परिपूर्ण मूल्य,ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ
पूर्णांक कॅल्क्युलेटर,ପୂର୍ଣ୍ଣ କାଲକୁଲେଟର
परिपूर्ण वेग,ସଂପୂର୍ଣ୍ଣ ବେଗ
परिपूर्ण चिकटपणा,ସଂପୂର୍ଣ୍ଣ ସାନ୍ଦ୍ରତା |
परिपूर्ण वजन,ସଂପୂର୍ଣ୍ଣ ଓଜନ |
