Gujarati,Telugu
ગર્ભપાત,అబార్ట్
ગર્ભપાત સમય,అబార్ట్ టైమర్
અબાધિત સંબોધન,సంపూర్ణ చిరునామా
પૂર્ણ સંબોધન,సంపూర్ణ చిరునామా
સંપૂર્ણ સંમેલન,సంపూర్ణ సమీకరించేవాడు
પૂર્ણ સંહિતા,సంపూర్ణ కోడ్
પૂર્ણ સંહિતા,సంపూర్ణ కోడింగ్
પૂર્ણ આદેશ,సంపూర్ణ ఆదేశం
સંપૂર્ણ સંકલન,సంపూర్ణ కోఆర్డినేట్
અબાધિત આંકડા,సంపూర్ణ డేటా
નિરપેક્ષ ભૂલ,సంపూర్ణ లోపం
પૂર્ણ અભિવ્યક્તિ,సంపూర్ణ వ్యక్తీకరణ
અબાધિત સૂચના,సంపూర్ణ సూచన
અબાધિત લોડર,సంపూర్ణ లోడర్
સંપૂર્ણ,సంపూర్ణ క్రమం
પૂર્ણ કાર્યક્રમ,సంపూర్ణ ప్రోగ్రామింగ్
અબાધિત મુદત,సంపూర్ణ పదం
અબાધિત મૂલ્ય,సంపూర్ణ విలువ
અબાધિત વેક્ટર,సంపూర్ణ వెక్టర్
નિષ્ક્રિય,నైరూప్య
યોગ્યતા,సంగ్రహించడం
સાર -સારાંશ,నైరూప్య చిహ్నం
પ્રવેગશ ગાળો,త్వరణం కాలం
પ્રવેગકોનો સમય,త్వరణం సమయం
ઉચ્ચારણ,యాస
સ્વીકૃતિ કસોટી,అంగీకార పరీక్ష
પ્રવેશ,యాక్సెస్
પ્રવેશ હાથ,యాక్సెస్ ఆర్మ్
પ્રવેશ -વ્યવસ્થા,యాక్సెస్ అమరిక
પ્રવેશ સત્તાવાર,యాక్సెస్ అథారిటీ
પ્રવેશ -ખર્ચ,యాక్సెస్ ఛార్జ్
પ્રવેશ -વર્ગ,యాక్సెస్ క్లాస్
પ્રવેશ -આધાર વ્યવસ્થાપન,డేటా బేస్ మేనేజ్‌మెంట్ యాక్సెస్
પર્યાવરણ,యాక్సెస్ ఎన్విరాన్మెంట్
પ્રવેશ અંતર,యాక్సెస్ గ్యాప్
પ્રવેશ -સૂચિ,ప్రాప్యత సూచిక
પ્રવેશ -રેખા,యాక్సెస్ లైన్
પ્રવેશ -પદ્ધતિ,యాక్సెస్ మెకానిజం
પ્રવેશ પદ્ધતિ,యాక్సెస్ పద్ధతి
પ્રવેશ -પદ્ધતિ,యాక్సెస్ పద్ధతి దినచర్య
પ્રવેશ -પદ્ધતિ,యాక్సెస్ మోడ్
પ્રવેશ -હક,హక్కును యాక్సెస్ చేయండి
પ્રવેશ -સ્કેન,యాక్సెస్ స్కాన్
પ્રવેશ સમય,ప్రాప్యత సమయం
નામું,అకౌంటింగ్
હિસાબ -પદ્ધતિ પદ્ધતિ,అకౌంటింగ్ ఫైనాన్స్ సిస్టమ్
હિસાબ -વ્યવસ્થા,అకౌంటింగ్ మెషిన్
ખાતા નંબર,ఖాతా సంఖ్య
સંચયી પ્રજનનકર્તા,పునరుత్పత్తిదారుని కూడబెట్టుకోవడం
એકઠા કરનાર,సంచితం
સંચિત રજિસ્ટર,సంచిత రిజిస్టర్
સંચય -પાળી સૂચના,సంచిత షిఫ్ట్ సూచన
ચોકસાઈ,ఖచ్చితత్వం
ચોકસાઈ નિયંત્રણ,ఖచ్చితత్వ నియంత్రణ పాత్ర
ચોકસાઈ નિયંત્રણ પદ્ધતિ,ఖచ్చితత్వ నియంత్రణ వ్యవస్థ
પાસાનો પાસાનો પો,ఏస్ పైలట్
પાત્ર સ્વીકારવું,పాత్రను గుర్తించండి
ધ્વનિકર્તા,ఎకౌస్టిక్ కప్లర్
ધ્વનિ -જોડાણ,శబ్ద కలపడం
ધ્વનિ વિલંબ રેખા,శబ్ద ఆలస్యం రేఖ
ધ્વનિમૂર્તિ,శబ్ద జ్ఞాపకశక్తి
ધ્વનિ -મોડેમ,ఎకౌస్టిక్ మోడెమ్
ધ્વનિ સંકેત,శబ్ద సిగ్నల్
ધ્વનિ સંગ્રહ,శబ్ద నిల్వ
ટૂંકાક્ષર,ఎక్రోనిం
ક્રિયા,చర్య
કાર્ય -ચક્ર,చర్య చక్రం
ક્રિયા -રેખ,యాక్షన్ లైన్
ક્રિયા,చర్య సందేశం
કાર્ય -સ્પષ્ટીકરણ,చర్య స్పెసిఫికేషన్
સક્રિય,క్రియాశీలత
સક્રિય,క్రియాశీల
સક્રિય ફાઈલ,యాక్టివ్ ఫైల్
સક્રિય રેખા,యాక్టివ్ లైన్
સક્રિય કડી,క్రియాశీల లింక్
સક્રિય માસ્ટર ફાઇલ,యాక్టివ్ మాస్టర్ ఫైల్
સક્રિય મુખ્ય વસ્તુ,యాక్టివ్ మాస్టర్ ఐటెమ్
સક્રિય ઉપગ્રહ,క్రియాశీల ఉపగ్రహం
સક્રિય કેન્દ્ર,యాక్టివ్ స్టేషన్
સક્રિય સંગ્રહ,క్రియాశీల నిల్వ
પ્રવૃત્તિ,కార్యాచరణ
પ્રવૃત્તિ સ્તરે,కార్యాచరణ స్థాయి
પ્રવૃત્તિ લોડિંગ,కార్యాచరణ లోడింగ్
પ્રવૃત્તિ ગુણોત્તર,కార్యాచరణ నిష్పత్తి
વાસ્તવિક સરનામું (= સંપૂર્ણ સરનામું),వాస్తవ చిరునామా (= సంపూర్ణ చిరునామా)
