Hindi,Kannada
अपसामान्य,ಅಸಹಜ
विफलन,ಸ್ಥಗಿತಗೊಳಿಸು
" अपघर्षण , घिसाई",ಸವೆದುಹೋಗುವಿಕೆ
" असंलग्न , अचानक, सहसा   , विच्छिन्न",ಹಠಾತ್ತಾಗಿ
निरपेक्ष क्षेत्र सामर्थ्य,ಸಂಪೂರ್ಣ ಕ್ಷೇತ್ರ ಶಕ್ತಿ
परम ताप,ಸಂಪೂರ್ಣ ತಾಪಮಾನ
निरपेक्ष मान,ಸಂಪೂರ್ಣ ಮೌಲ್ಯ
"अवशोषित करना, अवशोषण करना",ಹೀರಿಕೊಳ್ಳಿ
अवशोषण गुणांक,ಹೀರಿಕೊಳ್ಳುವ ಸಹ-ಸಮರ್ಥ
अवशोषण हानि,ಹೀರಿಕೊಳ್ಳುವ ನಷ್ಟ
" अमूर्त , सारांश, सार, संक्षेप",ಅಮೂರ್ತ
त्वरणमापी,ವೇಗವರ್ಧಕ ಮಾಪಕ
स्वीकृति परीक्षण,ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ
अभिगम,ಪ್ರವೇಶ
अभिगम नियंत्रण,ಪ್ರವೇಶ ನಿಯಂತ್ರಣ
अभिगम बिंदु,ಪ್ರವೇಶ
अभिगम काल,ಪ್ರವೇಶ ಸಮಯ
अभिगम्यता,ಪ್ರವೇಶಿಸುವಿಕೆ
संचायक सेल,ಸಂಚಯಕ ಕೋಶ
यथार्थता,ನಿಖರತೆ
यथार्थ,ನಿಖರವಾದ
अवर्णक लेन्स,ವರ್ಣರಂಜಿತ ಮಸೂರದ
"अम्ल, ऐसिड",ಆಮ್ಲ
अम्लसह,ಆಮ್ಲ ಪುರಾವೆ
अम्लता,ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ
"पावती द्वयंक, पावती बिट",ಸ್ವೀಕೃತ ಬಿಟ್
ध्वानिक,Acೇಳ್ಳರದ
ध्वानिक संचार,ಅಕೌಸ್ಟಿಕ್ ಸಂವಹನ
ध्वानिक विसरण,ಅಕೌಸ್ಟಿಕ್ ಪ್ರಸರಣ
ध्वानिक समकारी,ಅಕೌಸ್ಟಿಕ್ ಸಮೀಕರಣ
"ध्वानिक पुनर्भरण, ध्वानिक पुनर्निवेश",ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ
"ध्वानिक फिल्टर, ध्वानिक निस्यंदक",ಕೊಳೆತ ಫಿಲ್ಟರ್
ध्वानिक प्रतिबाधा,ಸಕಲಿಯ ಪ್ರತಿರೋಧ
"ध्वानिक आवरण, ध्वानिक प्रच्छादन",ಅಕೌಸ್ಟಿಕ್ ಮರೆಮಾಚುವ
ध्वानिक षक्ति,ಅಕೌಸ್ಟಿಕ್ ಶಕ್ತಿ
ध्वानिक गुणधर्म,ಅಕೌಸ್ಟಿಕ್ ಆಸ್ತಿ
ध्वानिक प्रतिघात,ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ
ध्वानिक प्रतिवर्त,ಅಕೌಸ್ಟಿಕ್ ರಿಫ್ಲೆಕ್ಸ್
ध्वानिक टाइल,ಅಕೌಸ್ಟಿಕ್ ಟೈಲ್
ध्वानिक तरंग,ಸ ೦ ವರ ತರಂಗ
ध्वानिक अवशोषण गुणांक,ಅಕೌಸ್ಟಿಕ್ ಹೀರಿಕೊಳ್ಳುವಿಕೆ
