Marathi,Gujarati
असामान्य,અસામાન્ય
गर्भपात,ગર્ભપાત
घर्षण,ઘર્ષણ
अचानक,અચાનક
परिपूर्ण फील्ड सामर्थ्य,સંપૂર્ણ ક્ષેત્ર શક્તિ
परिपूर्ण तापमान,સંપૂર્ણ તાપમાન
परिपूर्ण मूल्य,અબાધિત મૂલ્ય
शोषून घ्या,શોષવું
शोषण सह-कार्यक्षम,સહ-કાર્યક્ષમ
शोषण तोटा,શોષણ
गोषवारा,નિષ્ક્રિય
एक्सेलरोमीटर,પ્રવેગમાપક
स्वीकृती चाचणी,સ્વીકૃતિ કસોટી
प्रवेश,પ્રવેશ
प्रवेश नियंत्रण,વપરાશ નિયંત્રણ
प्रवेश बिंदू,પ્રવેશ -બિંદુ
प्रवेश वेळ,પ્રવેશ સમય
प्रवेशयोग्यता,ઉપલ્બધતા
संचयक सेल,સંકુચિત સેલી
अचूकता,ચોકસાઈ
अचूक,ચોક્કસ
अ‍ॅक्रोमॅटिक लेन्स,ઘેટાંના લેન્સ
आम्ल,તેજાબ
आम्ल पुरावा,એસિડ પ્રૂફ
आंबटपणा,અમલ્ય
पावती बिट,સ્વીકૃતિ
ध्वनिक,ધ્વનિશાસ્ત્ર
ध्वनिक संप्रेषण,ધ્વનિશાસ્ત્ર
ध्वनिक प्रसार,ધ્વનિ -પ્રસરણ
ध्वनिक समतुल्य,ધ્વનિ -બરાબરી
ध्वनिक अभिप्राय,ધ્વનિ -પ્રતિસાદ
ध्वनिक फिल्टर,ધ્વનિ ફિલ્ટર
ध्वनिक प्रतिबाधा,ધ્વનિ અવરોધ
ध्वनिक मास्किंग,ધ્વનિ -માસ્કીંગ
ध्वनिक शक्ती,ધ્વનિની શક્તિ
ध्वनिक मालमत्ता,ધ્વનિપક્ષીય મિલકત
ध्वनिक प्रतिक्रिया,ધ્વનિની પ્રતિક્રિયા
ध्वनिक प्रतिक्षेप,ધ્વનિ -પ્રતિબિંબ
ध्वनिक टाइल,ધ્વનિ ટાઇલ
ध्वनिक लाट,ધ્વનિ તરંગ
ध्वनिक शोषण,શ્રવ -શોષણ
ध्वनीविषयक क्षीणन स्थिर,શ્રવણશક્તિ એટેન્યુએશન
ध्वनिकी ओलसर,શ્રવણની ભીનાશ
ध्वनिक विलंब रेखा,ધ્વનિ વિલંબ રેખા
ध्वनिक विकृती,ધ્વનિની વિકૃતિ
ध्वनिक नलिका,શ્રવણ નલિક
ध्वनिक ऊर्जा,શ્રવણશક્તિ
ध्वनिक अभिप्राय,શ્રવણશક્તિ
ध्वनिक फिल्टर,શ્રદ્ધ ફિલ્ટર
ध्वनीविषयक प्रतिबाधा,શ્રવણનો અવરોધ
ध्वनीविषयक प्रसार स्थिर,ધ્વનિ -પ્રચાર
ध्वनिक प्रतिकार,શ્રવણ પ્રતિકાર
ध्वनिकरित्या इन्सुलेटेड,ધ્વનિભ્રમણાથી ઇન્સ્યુલેટેડ
ध्वनिकी,ધ્વનિશાસ્ત્ર
संपादन,સંપાદન
परिवर्णी शब्द,ટૂંકાક્ષર
कृती क्षेत्र,કાર્યવાહી ક્ષેત્ર
सक्रिय फिलामेंट,સક્રિય ફિલામેન્ટ
सक्रिय,સક્રિય
सक्रिय क्षेत्र,સક્રિય ક્ષેત્ર
सक्रिय विंडो,સક્રિય બારી
अनुकूलता,અનુકૂલનક્ષમતા
अ‍ॅडॉप्टर (अ‍ॅडॉप्टर),એડેપ્ટર (એડેપ્ટર)
अ‍ॅडॉप्टिव्ह डिफरेंशनल पल्स कोड मॉड्यूलेशन,અનુકૂલનશીલ વિભેદક પલ્સ મોડ્યુલેશન
अॅड्रेस बुक,સરનામા પુસ્તિકા
अ‍ॅड्रेस बस,સરનાવ બસ
पत्ता ठराव,ઠરાવ
लगतच चॅनेल हस्तक्षेप,સંલગ્ન ચેનલ દખલ
लगतच चॅनेल निवड,સંલગ્ન ચેનલ પસંદગી
समीप वारंवारता,સંલગ્ન આવર્તન
समीप फ्रिक्वेन्सी चॅनेल,સંલગ્ન આવર્તન ચેનલ
लगतचे चित्र वाहक,અડીને ચિત્ર વાહક
समीप ध्वनी वाहक,અડીને ધ્વનિ વાહક
समीप स्टेशन,સંલગ્ન મથક
समायोज्य,ગોઠવણપાત્ર
समायोज्य कंडेन्सर,ગોઠવણપાત્ર કન્ડેન્સર
दबाव समायोजित करणे,ગોઠવણ
पाना समायोजित करणे,સમાયોજન
समायोजन,સમાયોજન
प्रशासक,વહીવટકર્તા
आधुनिक तंत्रज्ञान,અદ્યતન ટેકનોલોજી
हवाई,હવાઈ
एरियल अ‍ॅरे,હવાઈ ​​એરે
एरियल बूस्टर,હવાઈ ​​બૂસ્ટર
एरियल करंट,હવાઈ ​​પ્રવાહ
एरियल अर्थिंग स्विच,હવાઈ ​​કમાણી સ્વીચ
हवाई कार्यक्षमता,હવાઈ ​​કાર્યક્ષમતા
हवाई प्रतिबाधा,હવાઈ ​​અવરોધ
एरियल इंडक्टन्स,હવાઈ ​​લિટક્શન
एरियल इन्सुलेटर,હવાઈ ​​ઇન્સ્યુલેટર
एरियल लोडिंग कॉइल,હવાઈ ​​લોડિંગ કોઇલ
एरियल फोटोग्राफी,હવાઈ ​​ફોટોગ્રાફી
हवाई शक्ती,હવાઈ ​​શક્તિ
एरियल रेडिएशन रीस्टन्स,હવાઈ ​​કિરણોત્સર્ગ
हवाई प्रतिक्रिया,હવાઈ ​​પ્રતિક્રિયા
एरोडायनामिक्स,વાયુમિશ્રણશાસ્ત્ર
एजन्सी,સંસ્થા
एअर कॉम्प्रेसर,હવાઈ ​​સંકોચન
एअर कंडेन्सर,હવાઈ ​​કન્ડેન્સર
वातानुकूलित,હવાઈ ​​ઠંડુ
एअर कोर्ड कॉइल,હવાઈ ​​બાંધેલી કોથળી
वातानुकुलीत,વાતાનુકૂલન
अल्बेडो,અલ્બેડો
अल्गोरिदम,અલ્ગોરિધમનો
अलियासिंग,પરવાના
संरेखित,સંલગ્ન
संरेखन,ગોઠવણી
सर्व वेव्ह एरियल,બધા તરંગ હવાઈ
वाटप,ફાળવણી
वर्णमाला,વર્ણાનુક્રમ
अल्फान्यूमेरिक,મૂર્તિમંત
अल्फान्यूमेरिक वर्ण,વર્ણ -અક્ષર
अल्फान्यूमेरिक माहिती,વર્ણ -મૂર્તિમંત માહિતી
वैकल्पिक चालू (ए.सी.),વૈકલ્પિક વર્તમાન (એ.સી.)
वैकल्पिक,એકાંતરણ
अल्टरनेटर,પરાકારી
समुद्रसपाटीपासूनची उंची,Altંચાઈ
अपोजीची उंची,અનુગામી alt ંચાઇ
पेरिगीची उंची,પેરગીની alt ંચાઇ
हौशी रेडिओ संप्रेषण,કલાપ્રેમી રેડિયો સંચાર
वातावरण,વાતાવરણ
वातावरण मायक्रोफोन,આજુબાજુના માઇક્રોફોન
वातावरणीय स्थिती,આસપાસની શરત
वातावरणीय प्रकाश,આસપાસની આજુબાજુની પ્રકાશ
सभोवतालचा आवाज,આજુબાજુનો અવાજ
वातावरणीय तापमान,આસપાસનું તાપમાન
अमेरिकन मानक कोड,અમેરિકન માનક સંહિતા
अँपियर,ષડયંત્ર
अ‍ॅम्पेअर मीटर,Amાંદું મીટર
प्रवर्धन,વિસ્તૃત કરવું તે
प्रवर्धन घटक,વિસ્તૃત પરિબળ
एम्पलीफायर,પ્રવેધક
एम्पलीफायर गेन,વિપુલ લાભ
एम्पलीफायर आवाज,એમ્પ્લીફાયર અવાજ
एम्प्लिफाइंग उपकरणे,વિસ્તૃત સાધનસામગ્રી
क्लीस्ट्रॉनचे विस्तार,ક્લીસ્ટ્રોનને વિસ્તૃત કરવું
एम्प्लिफाइंग युनिट,વિસ્તૃત એકમ
मोठेपणा,કંપનવિસ્તાર
मोठेपणा विकृती,કંપનવિસ્તારની વિકૃતિ
मोठेपणा सहन,કંપનવિસ્તાર
मोठेपणा घटक,કંપનવિસ્તાર પરિબળ
मोठेपणा मर्यादा,મર્યાદિત મર્યાદા
मोठेपणा मॉड्यूलेटेड,કંપનવિસ્તાર -મોડ્યુલેટેડ
मोठेपणा मॉड्यूलेशन,કંપનલી -મોડ્યુલેશન
एनालॉग (अ‍ॅनालॉग),એનાલોગ (એનાલોગ)
एनालॉग सर्किट,એનાશ
एनालॉग संगणक,એનાલોગ કમ્પ્યુટર
एनालॉग रेडिओ फ्रिक्वेन्सी चॅनेल,એનાલોગ રેડિયો આવર્તન ચેનલ માટે એનાલોગ રેડિયો આવર્તન ચેનલ
