Gujarati,English
એમ્પીયર (એકમ),A (Ampere unit of current)
એંગસ્ટ્રમ,A (angstrom)
એ-ક્લાસ એમ્પ્લીફાયર,A amplifier
એએન રેડિયો સહાય,A-N radio range
a-સ્કેનીંગ પ્રસ્તુતિ,A-scan presentation
a-દર્શ,A-scope
A-સ્કોપ કામગીરી,A-scope display
A-T વક્ર ક્રિસ્ટલ,A-T Cut crystal
"એસી ડીસી લાભો, એ. સીડી. સી.લાભી, એ. સીડી. c. એમ્પ્લીફિકેશન",A.c-d.c. gain
છું,A.M. (ante meridiem)
AMU (અણુ સમૂહ એકમ),A.m.u. (atomic mass unit)
આર્ડ-વાર્ક*,Aard-vark
એબ-એમ્પીયર,Ab ampere
A-B વર્ગ એમ્પ્લીફાયર,AB amplifier
અદાહ,Ab initio
A-B શક્તિ પિટક,AB power pack
abc = ગોઠવણી ચાર્ટ = નોમોગ્રાફ,Abac=alignment chart=nomograph
અબે નંબર (અબે સતત),Abbe number (=Abbe constant)
અબે રીફ્રેક્ટોમીટર,ABBE refractometer
અબે સાઈન સ્ટેટ,Abbe sine condition
આપોઆપ પૂર્વગ્રહ વળતર,Abc (automatic bias compensation)
abcoulom,Abcoulomb
વિકૃતિ,Aberration
વિકૃતિ સુધારક લેન્સ,Aberration corrector lens
આકાશ વિકૃતિ,Aberration of light
અફરદ,Abfarad
એબેનરી,Abhenry
ઇબોની અસર,Abney effect (=Abney law)
અસામાન્ય ધ્રુવીકરણ,Abnormal polarisation
અસામાન્ય ટ્રાન્સમિશન,Abnormal propagation
પેરાનોર્મલ પ્રતિબિંબ,Abnormal reflection
અસામાન્ય રીફ્રેક્શન*,Abnormal refraction
પેરાનોર્મલ પ્રતિકાર,Abnormal resistance
ab-om,Abohm
"પ્રબળતા, નિષ્ફળતા",Abortion
"જોડાયેલ, સામાન્ય રીતે, સ્થાયી, વિચ્છેદિત, ખંડિત",Abrupt
ઘણી વાર કૂદકો,Abrupt jump
હાથ*,Abscissa
પ્રતિબિંબ ગુમાવ્યું,Absent reflection
ગુમ થયેલ સ્પેક્ટ્રમ,Absent spectrum
"નિરપેક્ષ, નિરપેક્ષ, અચળ, સંપૂર્ણ",Absolute
સંપૂર્ણ પ્રવેગક,Absolute acceleration
સંપૂર્ણ વાસ્તવિકતા,Absolute accuracy
સંપૂર્ણ સરનામું,Absolute address-specific address
જિયો-રિલેટિવ અલ્ટીમીટર,Absolute altimeter
ભૌગોલિક ઊંચાઈ,Absolute altitude
સંપૂર્ણ એમ્પીયર,Absolute ampere
સંપૂર્ણ ઉત્કલન બિંદુ,Absolute boilling point
સંપૂર્ણ તેજ,Absolute bolometric luminosity
સંપૂર્ણ ક્ષમતા,Absolute capacity
ચોક્કસ ઊંચાઈ,Absolute ceiling
સંપૂર્ણ રંગદ્રવ્ય,Absolute colour index
"સંપૂર્ણ રૂપરેખાંકન, અસ્પષ્ટ રૂપરેખાંકન",Absolute configuration
સંપૂર્ણ કૂલમ્બ,Absolute coulomb
સંપૂર્ણ અંધકાર,Absolute darkness
સંપૂર્ણ સમયપત્રક,Absolute dating
સંપૂર્ણ ઘનતા*,Absolute density
સંપૂર્ણ ડ્રેનેજ,Absolute drift
સંપૂર્ણ EMU (ઇલેક્ટ્રોમેગ્નેટિક એકમ),Absolute e.m.u.
સંપૂર્ણ ESU (સ્થિર એકમ),Absolute e.s.u.
સંપૂર્ણ કાર્યક્ષમતા,Absolute efficiency
સંપૂર્ણ ઇલેક્ટ્રોમીટર,Absolute electrometer
સંપૂર્ણ આવર્તન સંપૂર્ણ આવર્તન,Absolute frequency
સંપૂર્ણ ભેજ,Absolute humidity
સંપૂર્ણ ઘટના,Absolute incidence
સંપૂર્ણ રીફ્રેક્ટિવ ઇન્ડેક્સ,Absolute index of refraction
સંપૂર્ણ અસ્થિરતા,Absolute instability
સંપૂર્ણ અસ્થિરતા,Absolute intensity
"સંપૂર્ણ તીવ્રતા, સંપૂર્ણ તીવ્રતા",Absolute length
અસ્થેનિયાની સંપૂર્ણ મર્યાદા,Absolute limit of hysteresis
સંપૂર્ણ રોશની,Absolute luminance threshold
સંપૂર્ણ પ્રકાશ વળાંક,Absolute luminosity curve
સંપૂર્ણ તીવ્રતા,Absolute magnitude
સંપૂર્ણ બેરોમીટર,Absolute manometer
સર્વોચ્ચ સર્વોચ્ચ,Absolute maximum
સંપૂર્ણ મર્યાદા,Absolute maximum rating
એકદમ નીચું,Absolute minimum
સંપૂર્ણ વેગ,Absolute momentum
સંપૂર્ણ ઝડપ,Absolute motion
સંપૂર્ણ સંગીત,Absolute music=pure music
સંપૂર્ણ અવલોકન,Absolute observation
સંપૂર્ણ ઓહ્મ,Absolute ohm
સંપૂર્ણ અભિગમ,Absolute orientation
સંપૂર્ણ ઇલેક્ટ્રોનેગેટિવિટી,Absolute permittivity
સંપૂર્ણ ગુરુત્વાકર્ષણ,Absolute pitch
સંપૂર્ણ દબાણ,Absolute pressure = true pressure
સંપૂર્ણ મિલકત,Absolute property
સંપૂર્ણ સ્કેલર,Absolute scalar
તાપમાનનું સંપૂર્ણ માપ*,Absolute scale of temperature
"સંપૂર્ણ સુમેળ, સંપૂર્ણ સુમેળ",Absolute simultancity
સંપૂર્ણ તણાવ,Absolute stress
સંપૂર્ણ સમપ્રમાણતા,Absolute symmetry
સંપૂર્ણ ગતિ શરીર,Absolute system of motion
સંપૂર્ણ એકમ સિસ્ટમ,Absolute system of units
સંપૂર્ણ તાપમાન,Absolute temperature
ચોક્કસ સમય,Absolute time
સંપૂર્ણ એકમો,Absolute unit
સંપૂર્ણ મૂલ્ય,Absolute value
પૂર્ણાંક કેલ્ક્યુલેટર,Absolute value computer
સંપૂર્ણ વેગ,Absolute velocity
સંપૂર્ણ સ્નિગ્ધતા,Absolute viscosity
સંપૂર્ણ વજન,Absolute weight
સંપૂર્ણ શૂન્ય*,Absolute zero
શૂન્યનો સંપૂર્ણ વિભાજક,Absolute zero devisor
શોષી લેવું,Absorb
શોષણ સૂચકાંક*,Absorbance
શોષિત ઊર્જા,Absorbed energy
"શોષક, શોષક",Absorber
શોષક માધ્યમ*,Absorbing medium
શોષણ ક્ષમતા,Absorbing power
શોષણ,Absorptance
શોષણમાપક*,Absorptiometer
શોષણમેટ્રી*,Absorptiometry
શોષણ,Absorption
શોષણ - બેન્ડ*,Absorption band
શોષણ સર્કિટ,Absorption circuit
શોષણ ગુણાંક,Absorption coeffieient
શોષણ કૉલમ,Absorption column
સતત શોષણ,Absorption constant
શોષણ સાતત્ય,Absorption continua
શોષણ ઝોન,Absorption cross section
શોષણ વર્તમાન,Absorption current
શોષણ વક્ર*,Absorption curve (=transmission curve)
શોષણ અસ્થિભંગ,Absorption discontinuity
શોષણ કોર,Absorption edge
શોષણ પરિબળ,Absorption factor
શોષણ ફિલ્ટર,Absorption filter
શોષણ જ્યોત ફોટોમેટ્રી*,Absorption flame photometry
શોષણ હાઇગ્રોમીટર,Absorption hygrometer
શોષણ ઘાતાંક,Absorption index
શોષણ સીમાંત,Absorption limit
શોષણ રેખા,Absorption line
શોષણ નુકશાન,Absorption loss
શોષણ મોડ્યુલેશન,Absorption modulation=loss modulation
પ્રકાશ શોષણ,Absorption of light
રેડિયેશન ઊર્જાનું શોષણ,Absorption of radiant energy
શોષણની ટોચ,Absorption peak
શોષણ ફોટોમેટ્રી,Absorption photometry
શોષણ ગુણોત્તર,Absorption ratio
શોષણ શ્રેણી*,Absorption series
શોષણ સ્પેક્ટ્રમ ફોટોમેટ્રી*,Absorption spectro photometry
શોષણ સ્પેક્ટ્રમ*,Absorption spectrum
"શોષણ નળી, શોષણ નળી",Absorption tube
શોષણ હાઇગ્રોમીટર,Absorption vavemeter
શોષક*,Absorptive
