Punjabi,Bengali
ਐਂਪੀਅਰ (ਯੂਨਿਟ),অ্যাম্পিয়ার (একক)
angstrum,অ্যাংস্ট্রাম
ਏ-ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ,A-শ্রেণীর পরিবর্ধক
ਏਐਨ ਰੇਡੀਓ ਸਹਾਏ,এএন রেডিও সহায়
ਇੱਕ-ਸਕੈਨਿੰਗ ਪੇਸ਼ਕਾਰੀ,একটি-স্ক্যানিং উপস্থাপনা
a-ਦਰਸ਼,a-দর্শ
ਏ-ਸਕੋਪ ਪ੍ਰਦਰਸ਼ਨ,A-স্কোপ কর্মক্ষমতা
A-T ਕਰਵਡ ਕ੍ਰਿਸਟਲ,A-T বাঁকা স্ফটিক
"AC-DC ਲਾਭ, ਏ. ਸੀ.ਡੀ. ਸੀ.ਲਾਭੀ, ਏ. ਸੀ.ਡੀ. c. ਪ੍ਰਸਾਰਣ","এসি ডিসি উপকারিতা, ক. সিডি। সি.লাভী, এ. সিডি। গ. পরিবর্ধন"
am,am
ਏ.ਐੱਮ.ਯੂ (ਪਰਮਾਣੂ ਪੁੰਜ ਯੂਨਿਟ),এএমইউ (পারমাণবিক ভর একক)
ਆਰਡ-ਵਰਕ*,আর্ড-ওয়ার্ক*
ਐਬ-ਐਂਪੀਅਰ,ab-ampere
ਏ-ਬੀ ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ,A-B শ্রেণীর পরিবর্ধক
adah,adah
ਏ-ਬੀ ਸ਼ਕਤੀ ਪਿਟਕ,A-B শক্তি পিটক
abc = ਅਲਾਈਨਮੈਂਟ ਚਾਰਟ = ਨਾਮੋਗ੍ਰਾਫ,abc = প্রান্তিককরণ চার্ট = নোমোগ্রাফ
ਅਬੇ ਨੰਬਰ (ਆਬੇ ਸਥਿਰ),আবে নম্বর (আবে ধ্রুবক)
abe refractometer,abe রিফ্র্যাক্টোমিটার
ਅਬੇ ਸਾਈਨ ਸਟੇਟ,অ্যাবে সাইন স্টেট
ਆਟੋਮੈਟਿਕ ਪੱਖਪਾਤ ਮੁਆਵਜ਼ਾ,স্বয়ংক্রিয় পক্ষপাত ক্ষতিপূরণ
abcoulom,abcoulom
ਵਿਗਾੜ,"aberration, aberration"
ਵਿਗਾੜ ਠੀਕ ਕਰਨ ਵਾਲਾ ਲੈਂਸ,বিকৃতি সংশোধনকারী লেন্স
ਅਸਮਾਨ ਵਿਕਾਰ,আকাশ বিকৃতি
abfarad,আবফারদ
ਈਬੇਨਰੀ,ইবেনরি
ਈਬੋਨੀ ਪ੍ਰਭਾਵ,আবলুস প্রভাব
ਅਸਧਾਰਨ ਧਰੁਵੀਕਰਨ,অস্বাভাবিক মেরুকরণ
ਅਸਧਾਰਨ ਸੰਚਾਰ,অস্বাভাবিক সংক্রমণ
ਅਲੌਕਿਕ ਪ੍ਰਤੀਬਿੰਬ,অলৌকিক প্রতিফলন
ਅਸਧਾਰਨ ਅਪਵਰਤਨ*,অস্বাভাবিক প্রতিসরণ*
ਅਲੌਕਿਕ ਵਿਰੋਧ,অস্বাভাবিক প্রতিরোধ
ab-om,ab-om
"ਪ੍ਰਬਲਤਾ, ਅਸਫਲਤਾ","preponderance, ব্যর্থতা"
"ਜੁੜੇ ਹੋਏ, ਆਮ ਤੌਰ &#39;ਤੇ, ਖੜ੍ਹੇ, ਕੱਟੇ ਹੋਏ, ਖੰਡਿਤ","সংযুক্ত, সাধারণত, দাঁড়ানো, বিচ্ছিন্ন, খণ্ডিত"
ਅਕਸਰ ਛਾਲ ਮਾਰਦਾ ਹੈ,প্রায়ই লাফ দেয়
ਹੱਥ*,হাত*
ਗੁੰਮ ਪ੍ਰਤੀਬਿੰਬ,হারিয়ে যাওয়া প্রতিফলন
ਗੁੰਮ ਸਪੈਕਟ੍ਰਮ,অনুপস্থিত বর্ণালী
"ਪੂਰਨ, ਸੰਪੂਰਨ, ਨਿਰੰਤਰ, ਸੰਪੂਰਨ","পরম, পরম, ধ্রুবক, নিখুঁত"
ਪੂਰਨ ਪ੍ਰਵੇਗ,পরম ত্বরণ
ਪੂਰਨ ਅਸਲੀਅਤ,পরম বাস্তবতা
ਪੂਰਾ ਪਤਾ,পরম ঠিকানা
ਭੂ-ਸੰਬੰਧੀ ਉਚਾਈ ਮੀਟਰ,ভূ-আপেক্ষিক উচ্চতা মিটার
ਭੂ-ਵਿਗਿਆਨਕ ਉਚਾਈ,ভূতাত্ত্বিক উচ্চতা
ਪੂਰਨ ਐਂਪੀਅਰ,পরম অ্যাম্পিয়ার
ਪੂਰਨ ਉਬਾਲ ਬਿੰਦੂ,পরম ফুটন্ত বিন্দু
ਪੂਰਨ ਪ੍ਰਕਾਸ਼,পরম আলোকসজ্জা
ਪੂਰਨ ਸਮਰੱਥਾ,পরম ক্ষমতা
ਪੂਰਨ ਉਚਾਈ,পরম উচ্চতা
ਪੂਰਨ ਰੰਗ,পরম রঙ্গক
"ਪੂਰਨ ਸੰਰਚਨਾ, ਅਸਪਸ਼ਟ ਸੰਰਚਨਾ","পরম কনফিগারেশন, দ্ব্যর্থহীন কনফিগারেশন"
ਪੂਰਨ ਕੂਲੰਬ,পরম কুলম্ব
ਪੂਰਾ ਹਨੇਰਾ,সম্পূর্ণ অন্ধকার
ਪੂਰਨ ਸਮਾਂ-ਸਾਰਣੀ,পরম সময়সূচী
ਸੰਪੂਰਨ ਘਣਤਾ*,পরম ঘনত্ব*
ਪੂਰਨ ਡਰੇਨੇਜ,পরম নিষ্কাশন
ਸੰਪੂਰਨ EMU (ਇਲੈਕਟਰੋਮੈਗਨੈਟਿਕ ਯੂਨਿਟ),পরম ইএমইউ (ইলেক্ট্রোম্যাগনেটিক ইউনিট)
ਸੰਪੂਰਨ ESU (ਸਥਿਰ ਇਕਾਈ),পরম ESU (স্থির শক্তি ইউনিট)
ਪੂਰਨ ਕੁਸ਼ਲਤਾ,পরম দক্ষতা
ਪੂਰਨ ਇਲੈਕਟ੍ਰੋਮੀਟਰ,পরম ইলেক্ট্রোমিটার
ਸੰਪੂਰਨ ਬਾਰੰਬਾਰਤਾ ਸੰਪੂਰਨ ਬਾਰੰਬਾਰਤਾ,পরম ফ্রিকোয়েন্সি পরম ফ্রিকোয়েন্সি
ਪੂਰਨ ਨਮੀ,পরম আর্দ্রতা
ਸੰਪੂਰਨ ਘਟਨਾ,পরম ঘটনা
ਪੂਰਨ ਪ੍ਰਤੀਕ੍ਰਿਆਤਮਕ ਸੂਚਕਾਂਕ,পরম প্রতিসরাঙ্ক সূচক
ਪੂਰਨ ਅਸਥਿਰਤਾ,পরম অস্থিরতা
ਪੂਰਨ ਅਸਥਿਰਤਾ,পরম অস্থিরতা
"ਪੂਰਨ ਤੀਬਰਤਾ, ਸੰਪੂਰਨ ਤੀਬਰਤਾ","পরম তীব্রতা, পরম তীব্রতা"
ਅਸਥਨੀਆ ਦੀ ਪੂਰਨ ਸੀਮਾ,অ্যাথেনিয়ার পরম সীমা
ਪੂਰਨ ਰੋਸ਼ਨੀ ਸਿਲ,পরম আলোকসজ্জা সিল
ਪੂਰਨ ਰੌਸ਼ਨੀ ਵਕਰ,পরম হালকা বক্ররেখা
ਪੂਰਨ ਵਿਸ਼ਾਲਤਾ,পরম মাত্রা
ਪੂਰਨ ਬੈਰੋਮੀਟਰ,পরম ব্যারোমিটার
ਪਰਮ ਸਰਵਉੱਚ,সর্বোচ্চ সর্বোচ্চ
ਪੂਰਨ ਅਤਿ,পরম চরম
ਸਭ ਤੋਂ ਘੱਟ,পরম সর্বনিম্ন
ਪੂਰਨ ਗਤੀ,পরম গতিবেগ
ਪੂਰਨ ਗਤੀ,পরম গতি
ਪੂਰਨ ਸੰਗੀਤ,পরম সঙ্গীত
ਪੂਰਨ ਨਿਰੀਖਣ,পরম পর্যবেক্ষণ
ਪੂਰਨ ਓਮ,পরম ওম
ਪੂਰਨ ਸਥਿਤੀ,পরম অভিযোজন
ਪੂਰਨ ਇਲੈਕਟ੍ਰੋਨੈਗੇਟਿਵਿਟੀ,পরম বৈদ্যুতিক ঋণাত্মকতা
ਪੂਰਨ ਗੰਭੀਰਤਾ,পরম মাধ্যাকর্ষণ
ਪੂਰਨ ਦਬਾਅ,পরম চাপ
ਪੂਰਨ ਸੰਪਤੀ,পরম সম্পত্তি
ਪੂਰਨ ਸਕੇਲਰ,পরম স্কেলার
ਤਾਪਮਾਨ ਦਾ ਪੂਰਨ ਪੈਮਾਨਾ*,তাপমাত্রার পরম স্কেল*
"ਸੰਪੂਰਨ ਸਮਕਾਲੀ, ਸੰਪੂਰਨ ਸਮਕਾਲੀ","পরম সমলয়, পরম সমলয়"
ਪੂਰਨ ਤਣਾਅ,পরম চাপ
ਪੂਰਨ ਸਮਰੂਪਤਾ,পরম প্রতিসাম্য
ਪੂਰਨ ਗਤੀ ਸਰੀਰ,পরম গতি শরীর
ਪੂਰਨ ਯੂਨਿਟ ਸਿਸਟਮ,পরম ইউনিট সিস্টেম
ਪੂਰਨ ਤਾਪਮਾਨ,পরম তাপমাত্রা
ਪੂਰਾ ਸਮਾਂ,পরম সময়
ਪੂਰਨ ਇਕਾਈਆਂ,পরম একক
ਸਹੀ ਮੁੱਲ,পরম মান
ਪੂਰਨ ਅੰਕ ਕੈਲਕੁਲੇਟਰ,পূর্ণসংখ্যা ক্যালকুলেটর
ਪੂਰਨ ਗਤੀ,পরম বেগ
ਪੂਰਨ ਲੇਸ,পরম সান্দ্রতা
ਪੂਰਨ ਭਾਰ,পরম ওজন
ਪੂਰਨ ਜ਼ੀਰੋ*,পরম শূন্য*
ਜ਼ੀਰੋ ਦਾ ਪੂਰਨ ਭਾਜਕ,শূন্যের পরম ভাজক
ਸੋਖਣਾ,শোষণ করা
ਸ਼ੋਸ਼ਣ ਸੂਚਕਾਂਕ*,শোষণ সূচক*
ਲੀਨ ਊਰਜਾ,শোষিত শক্তি
"ਸੋਖਣ ਵਾਲਾ, ਸੋਖਣ ਵਾਲਾ","শোষক, শোষক"
ਸੋਖਣ ਵਾਲਾ ਮਾਧਿਅਮ*,শোষক মাধ্যম*
ਸਮਾਈ ਸਮਰੱਥਾ,শোষণ ক্ষমতা
ਸਮਾਈ,শোষণ
ਸ਼ੋਸ਼ਣ ਮੀਟਰ*,শোষণ যন্ত্র*
ਸੋਖਣ ਗਣਿਤ*,শোষণমিতি*
ਸਮਾਈ,শোষণ
ਸਮਾਈ - ਬੈਂਡ*,শোষণ - ব্যান্ড*
ਸਮਾਈ ਸਰਕਟ,শোষণ সার্কিট
ਸਮਾਈ ਗੁਣਾਂਕ,শোষণ গুণাঙ্ক
ਸਮਾਈ ਕਾਲਮ,শোষণ কলাম
ਸਮਾਈ ਸਥਿਰ,শোষণ ধ্রুবক
ਸਮਾਈ ਨਿਰੰਤਰਤਾ,শোষণ ধারাবাহিকতা
ਸਮਾਈ ਜ਼ੋਨ,শোষণ অঞ্চল
ਸਮਾਈ ਮੌਜੂਦਾ,শোষণ বর্তমান
ਸਮਾਈ ਕਰਵ*,শোষণ বক্ররেখা*
ਸਮਾਈ ਫ੍ਰੈਕਚਰ,শোষণ ফ্র্যাকচার
ਸਮਾਈ ਕੋਰ,শোষণ কোর
ਸਮਾਈ ਕਾਰਕ,শোষণ ফ্যাক্টর
ਸਮਾਈ ਫਿਲਟਰ,শোষণ ফিল্টার
ਸੋਖਣ ਫਲੇਮ ਫੋਟੋਮੈਟਰੀ*,শোষণ শিখা ফটোমেট্রি*
ਸਮਾਈ ਹਾਈਗਰੋਮੀਟਰ,শোষণ হাইগ্রোমিটার
ਸਮਾਈ ਘਾਤਕ,শোষণ সূচক
ਸਮਾਈ ਮਾਮੂਲੀ,শোষণ প্রান্তিক
ਸਮਾਈ ਲਾਈਨ,শোষণ লাইন
ਸਮਾਈ ਨੁਕਸਾਨ,শোষণ ক্ষতি
ਸਮਾਈ ਮੋਡੂਲੇਸ਼ਨ,শোষণ মড্যুলেশন
ਰੋਸ਼ਨੀ ਸਮਾਈ,আলো শোষণ
ਰੇਡੀਏਸ਼ਨ ਊਰਜਾ ਦੀ ਸਮਾਈ,বিকিরণ শক্তি শোষণ
ਸਮਾਈ ਸਿਖਰ,শোষণ শিখর
ਸਮਾਈ ਫੋਟੋਮੈਟਰੀ,শোষণ ফটোমেট্রি
ਸਮਾਈ ਅਨੁਪਾਤ,শোষণ অনুপাত
ਸਮਾਈ ਸੀਮਾ*,শোষণ পরিসীমা*
ਸ਼ੋਸ਼ਣ ਸਪੈਕਟ੍ਰਮ ਫੋਟੋਮੈਟਰੀ*,শোষণ স্পেকট্রাম ফটোমেট্রি*
ਸਮਾਈ ਸਪੈਕਟ੍ਰਮ*,শোষণ বর্ণালী*
"ਸਮਾਈ ਟਿਊਬ, ਸਮਾਈ ਟਿਊਬ","শোষণ নল, শোষণ নল"
ਸਮਾਈ ਹਾਈਗਰੋਮੀਟਰ,শোষণ হাইগ্রোমিটার
ਸੋਖਣ ਵਾਲਾ*,শোষক*
ਜਜ਼ਬ ਕਰਨ ਵਾਲਾ evaporator,শোষক বাষ্পীভবনকারী
ਸਮਾਈ ਕਾਨੂੰਨ*,শোষণ আইন*
ਸਮਾਈ ਮਾਧਿਅਮ,শোষণ মাধ্যম
"ਸੋਖਣ ਦੀ ਸਮਰੱਥਾ, ਸਮਾਈ*","শোষণ ক্ষমতা, শোষণ*"
ਸਮਾਈ*,শোষণ*
ਸਟੂਡੀਓ ਸਜਾਵਟ,স্টুডিও সজ্জা
ਗੁਣਾ ਅਨੁਪਾਤ,বহুগুণ অনুপাত
ਰੱਦ ਕਰਨਾ,বিভ্রান্তি
ਬਾਰੇ,সম্পর্কিত
ਤੇਜ਼ ਕਰੋ,ত্বরান্বিত করা
ਪ੍ਰਵੇਗ-ਸਟਾਪ ਦੂਰੀ,ত্বরণ-স্টপ দূরত্ব
ਜਲਦੀ,তাড়াতাড়ি
ਤੇਜ਼ ਸਮਾਂ ਪ੍ਰਭਾਵ ਟੈਸਟ,দ্রুত সময়ের প্রভাব পরীক্ষা
ਤੇਜ਼ ਵਹਾਅ,দ্রুত প্রবাহ
ਤੇਜ਼ ਰਫ਼ਤਾਰ,দ্রুত গতি
ਤੇਜ਼ ਸਰੀਰ,দ্রুত শরীর
ਐਕਸਲੇਟਰ ਤੋਲਣ ਵਾਲਾ,এক্সিলারেটর ওজনকারী
ਐਕਸਲੇਟਰ ਇਲੈਕਟ੍ਰੋਡ*,এক্সিলারেটর ইলেক্ট্রোড*
ਐਕਸਲੇਟਰ ਸਮਾਂ*,এক্সিলারেটরের সময়*
ਐਕਸਲੇਟਰ ਪੜਾਅ,এক্সিলারেটর ফেজ
ਐਕਸਲੇਟਰ ਦਰ,অ্যাক্সিলারেটর হার
ਐਕਸਲੇਟਰ ਵੋਲਟੇਜ*,এক্সিলারেটর ভোল্টেজ*
ਪ੍ਰਵੇਗ,ত্বরণ
ਤੇਜ਼ ਬਲਨ,ত্বরিত জ্বলন
ਪ੍ਰਵੇਗ ਗੁਣਾਂਕ,ত্বরণ সহগ
ਪ੍ਰਵੇਗ ਭਾਗ,ত্বরণ উপাদান
ਗੰਭੀਰਤਾ ਦੇ ਕਾਰਨ ਪ੍ਰਵੇਗ,মাধ্যাকর্ষণ বলের প্রভাবে গতি বৃদ্ধি
ਪ੍ਰਵੇਗ ਕਾਰਕ,ত্বরণ ফ্যাক্টর
ਪ੍ਰਵੇਗਿਤ ਚਾਰਜ,ত্বরিত চার্জ
ਗੰਭੀਰਤਾ ਦਾ ਪ੍ਰਵੇਗ,অভিকর্ষের ত্বরণ
ਪ੍ਰਵੇਗ ਸੰਭਾਵਨਾ,ত্বরণ সম্ভাবনা
ਪ੍ਰਵੇਗ ਕਾਨੂੰਨ,ত্বরণ আইন
ਪ੍ਰਵੇਗ ਪ੍ਰਕਿਰਿਆ,ত্বরণ প্রক্রিয়া
ਪ੍ਰਵੇਗ ਜ਼ੋਨ,ত্বরণ অঞ্চল
ਪ੍ਰਵੇਗ ਵਿਧੀ,ত্বরণ পদ্ধতি
