Bengali,Kannada
গর্ভপাত,ಸ್ಥಗಿತಗೊಳಿಸು
গর্ভপাত টাইমার,ಟೈಮರ್ ಅನ್ನು ಸ್ಥಗಿತಗೊಳಿಸಿ
পরম ঠিকানা,ಸಂಪೂರ್ಣ ವಿಳಾಸ
পরম ঠিকানা,ಸಂಪೂರ್ಣ ವಿಳಾಸ
পরম এসেম্বলার,ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್
পরম কোড,ಸಂಪೂರ್ಣ ಕೋಡ್
পরম কোডিং,ಸಂಪೂರ್ಣ ಕೋಡಿಂಗ್
পরম কমান্ড,ಸಂಪೂರ್ಣ ಆಜ್ಞೆ
পরম সমন্বয়,ಸಂಪೂರ್ಣ ಸಮನ್ವಯ
পরম ডেটা,ಸಂಪೂರ್ಣ ಡೇಟಾ
পরম ত্রুটি,ಸಂಪೂರ್ಣ ದೋಷ
পরম অভিব্যক্তি,ಸಂಪೂರ್ಣ ಅಭಿವ್ಯಕ್ತಿ
পরম নির্দেশ,ಸಂಪೂರ್ಣ ಸೂಚನೆ
পরম লোডার,ಸಂಪೂರ್ಣ ಲೋಡರ್
পরম আদেশ,ಸಂಪೂರ್ಣ ಕ್ರಮ
পরম প্রোগ্রামিং,ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್
পরম শব্দ,ಸಂಪೂರ್ಣ ಪದ
পরম মান,ಸಂಪೂರ್ಣ ಮೌಲ್ಯ
পরম ভেক্টর,ಸಂಪೂರ್ಣ ವೆಕ್ಟರ್
বিমূর্ত,ಅಮೂರ್ತ
বিমূর্ত,ಅಮೂರ್ತಗೊಳಿಸುವ
বিমূর্ত প্রতীক,ಅಮೂರ್ತ ಚಿಹ್ನೆ
ত্বরণ সময়কাল,ವೇಗವರ್ಧನೆ ಅವಧಿ
ত্বরণের সময়,ವೇಗವರ್ಧಕ ಸಮಯ
অ্যাকসেন্ট,ಉಚ್ಚಾರಣಾ
স্বীকৃতি পরীক্ষা,ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ
অ্যাক্সেস,ಪ್ರವೇಶ
অ্যাক্সেস আর্ম,ಪ್ರವೇಶ
অ্যাক্সেস ব্যবস্থা,ಪ್ರವೇಶ ವ್ಯವಸ್ಥೆ
অ্যাক্সেস কর্তৃপক্ষ,ಪ್ರವೇಶ
অ্যাক্সেস চার্জ,ಪ್ರವೇಶ
অ্যাক্সেস ক্লাস,ಪ್ರವೇಶ ವರ್ಗ
অ্যাক্সেস ডেটা বেস ম্যানেজমেন্ট,ಡೇಟಾ ಬೇಸ್ ನಿರ್ವಹಣೆಯನ್ನು ಪ್ರವೇಶಿಸಿ
অ্যাক্সেস পরিবেশ,ಪ್ರವೇಶ ಪರಿಸರ
অ্যাক্সেস ফাঁক,ಪ್ರವೇಶದ ಅಂತರ
অ্যাক্সেস সূচক,ಪ್ರವೇಶ ಸೂಚ್ಯಂಕ
অ্যাক্সেস লাইন,ಪ್ರವೇಶ
অ্যাক্সেস প্রক্রিয়া,ಪ್ರವೇಶ ಕಾರ್ಯ
অ্যাক্সেস পদ্ধতি,ಪ್ರವೇಶ ವಿಧಾನ
অ্যাক্সেস পদ্ধতির রুটিন,ಪ್ರವೇಶ ವಿಧಾನ ದಿನಚರಿ
অ্যাক্সেস মোড,ಪ್ರವೇಶ ಕ್ರಮ
এক্সেস অধিকার,ಪ್ರವೇಶ ಬಲ
অ্যাক্সেস স্ক্যান,ಪ್ರವೇಶ ಸ್ಕ್ಯಾನ್
প্রবেশাধিকার সময়,ಪ್ರವೇಶ ಸಮಯ
অ্যাকাউন্টিং,ಲೆಕ್ಕಪತ್ರ
অ্যাকাউন্টিং ফিনান্স সিস্টেম,ಲೆಕ್ಕಪರಿಶೋಧನಾ ವ್ಯವಸ್ಥೆ
অ্যাকাউন্টিং মেশিন,ಅಕೌಂಟಿಂಗ್ ಯಂತ್ರ
হিসাব নাম্বার,ಖಾತೆ ಸಂಖ್ಯೆ
প্রজননকারী জমে,ಸಂತಾನೋತ್ಪತ್ತಿ ಮಾಡುವವರನ್ನು ಸಂಗ್ರಹಿಸುವುದು
জমে,ಸಂಗ್ರಹಣೆದಾರ
সংগ্রহকারী রেজিস্টার,ಸಂಚಯಕ ನೋಂದಣಿ
সংগ্রহকারী শিফট নির্দেশনা,ಸಂಚಯಕ ಶಿಫ್ಟ್ ಸೂಚನೆ
সঠিকতা,ನಿಖರತೆ
নির্ভুলতা নিয়ন্ত্রণ চরিত্র,ನಿಖರತೆ ನಿಯಂತ್ರಣ ಪಾತ್ರ
নির্ভুলতা নিয়ন্ত্রণ ব্যবস্থা,ನಿಖರತೆ ನಿಯಂತ್ರಣ ವ್ಯವಸ್ಥೆ
এস পাইলট,ಏಸ್ ಪೈಲಟ್
চরিত্র স্বীকৃতি,ಪಾತ್ರವನ್ನು ಅಂಗೀಕರಿಸಿ
অ্যাকোস্টিক কাপলার,ಅಕೌಸ್ಟಿಕ್ ಕೋಪ್ಲರ್
অ্যাকোস্টিক কাপলিং,ಅಕೌಸ್ಟಿಕ್ ಜೋಡಣೆ
অ্যাকোস্টিক বিলম্ব লাইন,ಅಕೌಸ್ಟಿಕ್ ವಿಳಂಬ ರೇಖೆ
অ্যাকোস্টিক মেমরি,ಅಕೌಸ್ಟಿಕ್ ಸ್ಮರಣೆ
অ্যাকোস্টিক মডেম,ಸಕೌಸ್ಟಿಕ್ ಮೋಡೆಮ್
অ্যাকোস্টিক সিগন্যাল,ಅಕೌಸ್ಟಿಕ್ ಸಂಕೇತ
অ্যাকোস্টিক স্টোরেজ,ಅಕೌಸ್ಟಿಕ್ ಸಂಗ್ರಹ
সংক্ষিপ্ত বিবরণ,ಸಂಕ್ಷಿಪ್ತ ರೂಪ
কর্ম,ಕ್ರಿಯಾಶೀಲತೆ
অ্যাকশন চক্র,ಕ್ರಿಯಾಶೀಲತೆ
অ্যাকশন লাইন,ಕ್ರಿಯಾಶೀಲ ರೇಖೆ
অ্যাকশন বার্তা,ಕ್ರಿಯಾಶೀಲ
ক্রিয়া স্পেসিফিকেশন,ಕ್ರಿಯಾಶೀಲತೆ
অ্যাক্টিভেশন,ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ
সক্রিয়,ಸಕ್ರಿಯ
সক্রিয় ফাইল,ಸಕ್ರಿಯ ಫೈಲ್
সক্রিয় লাইন,ಸಕ್ರಿಯ ರೇಖೆ
সক্রিয় লিঙ্ক,ಸಕ್ರಿಯ ಲಿಂಕ್
সক্রিয় মাস্টার ফাইল,ಸಕ್ರಿಯ ಮಾಸ್ಟರ್ ಫೈಲ್
সক্রিয় মাস্টার আইটেম,ಸಕ್ರಿಯ ಮಾಸ್ಟರ್ ಐಟಂ
সক্রিয় স্যাটেলাইট,ಸಕ್ರಿಯ ಉಪಗ್ರಹ
সক্রিয় স্টেশন,ಸಕ್ರಿಯ ನಿಲ್ದಾಣ
সক্রিয় স্টোরেজ,ಸಕ್ರಿಯ ಸಂಗ್ರಹಣೆ
ক্রিয়াকলাপ,ಚಟುವಟಿಕೆ
কর্মকান্ডের পর্যায়,ಚಟುವಟಿಕೆ ಮಟ್ಟ
ক্রিয়াকলাপ লোড হচ্ছে,ಚಟುವಟಿಕೆ ಲೋಡಿಂಗ್
ক্রিয়াকলাপ অনুপাত,ಚಟುವಟಿಕೆ ಅನುಪಾತ
আসল ঠিকানা (= পরম ঠিকানা),ನಿಜವಾದ ವಿಳಾಸ (= ಸಂಪೂರ್ಣ ವಿಳಾಸ)
আসল কোড (= পরম কোড),ನಿಜವಾದ ಕೋಡ್ (= ಸಂಪೂರ್ಣ ಕೋಡ್)
প্রকৃত ডেটা স্থানান্তর হার,ನಿಜವಾದ ಡೇಟಾ ವರ್ಗಾವಣೆ ದರ
আসল দশমিক পয়েন্ট,ವಾಸ್ತವಿಕ ದಶಮಾಂಶ ಬಿಂದು
প্রকৃত নির্দেশ (= কার্যকর নির্দেশ),ನಿಜವಾದ ಸೂಚನೆ (= ಪರಿಣಾಮಕಾರಿ ಸೂಚನೆ)
আসল কী,ವಾಸ್ತವಿಕ ಕೀ
প্রকৃত সময়,ವಾಸ್ತವಿಕ ಸಮಯ
আসল কাজের সময়,ನಿಜವಾದ ಕೆಲಸದ ಸಮಯ
অ্যাকিউটিং সিগন্যাল,ಸಂಕೇತ
অভিযোজনযোগ্যতা,ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ
অ্যাডাপ্টার,ಅಳವಡಗಾರ
অভিযোজিত চ্যানেল বরাদ্দ,ಹೊಂದಾಣಿಕೆಯ ಚಾನಲ್ ಹಂಚಿಕೆ
অভিযোজিত সংহতকরণ,ಹೊಂದಾಣಿಕೆಯ ಏಕೀಕರಣ
অভিযোজিত ট্রান্সভার্সাল ইকুয়ালাইজার,ಅಡಾಪ್ಟಿವ್ ಟ್ರಾನ್ಸ್‌ವರ್ಸಲ್ ಈಕ್ವಲೈಜರ್
যুক্ত এন্ট্রি,ಪ್ರವೇಶವನ್ನು ಸೇರಿಸಲಾಗಿದೆ
সংযোজন,ಸೇರಿಸು
সংযোজন,ಸೇರಿಸುವವನು
অ্যাডার সাবট্র্যাক্টর,ಸೇಡ್ ಸಬ್ಟ್ರಾಕ್ಟರ್
