Gujarati,Kannada
અસામાન્ય,ಅಸಹಜ
ગર્ભપાત,ಸ್ಥಗಿತಗೊಳಿಸು
ઘર્ષણ,ಸವೆದುಹೋಗುವಿಕೆ
અચાનક,ಹಠಾತ್ತಾಗಿ
સંપૂર્ણ ક્ષેત્ર શક્તિ,ಸಂಪೂರ್ಣ ಕ್ಷೇತ್ರ ಶಕ್ತಿ
સંપૂર્ણ તાપમાન,ಸಂಪೂರ್ಣ ತಾಪಮಾನ
અબાધિત મૂલ્ય,ಸಂಪೂರ್ಣ ಮೌಲ್ಯ
શોષવું,ಹೀರಿಕೊಳ್ಳಿ
સહ-કાર્યક્ષમ,ಹೀರಿಕೊಳ್ಳುವ ಸಹ-ಸಮರ್ಥ
શોષણ,ಹೀರಿಕೊಳ್ಳುವ ನಷ್ಟ
નિષ્ક્રિય,ಅಮೂರ್ತ
પ્રવેગમાપક,ವೇಗವರ್ಧಕ ಮಾಪಕ
સ્વીકૃતિ કસોટી,ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ
પ્રવેશ,ಪ್ರವೇಶ
વપરાશ નિયંત્રણ,ಪ್ರವೇಶ ನಿಯಂತ್ರಣ
પ્રવેશ -બિંદુ,ಪ್ರವೇಶ
પ્રવેશ સમય,ಪ್ರವೇಶ ಸಮಯ
ઉપલ્બધતા,ಪ್ರವೇಶಿಸುವಿಕೆ
સંકુચિત સેલી,ಸಂಚಯಕ ಕೋಶ
ચોકસાઈ,ನಿಖರತೆ
ચોક્કસ,ನಿಖರವಾದ
ઘેટાંના લેન્સ,ವರ್ಣರಂಜಿತ ಮಸೂರದ
તેજાબ,ಆಮ್ಲ
એસિડ પ્રૂફ,ಆಮ್ಲ ಪುರಾವೆ
અમલ્ય,ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ
સ્વીકૃતિ,ಸ್ವೀಕೃತ ಬಿಟ್
ધ્વનિશાસ્ત્ર,Acೇಳ್ಳರದ
ધ્વનિશાસ્ત્ર,ಅಕೌಸ್ಟಿಕ್ ಸಂವಹನ
ધ્વનિ -પ્રસરણ,ಅಕೌಸ್ಟಿಕ್ ಪ್ರಸರಣ
ધ્વનિ -બરાબરી,ಅಕೌಸ್ಟಿಕ್ ಸಮೀಕರಣ
ધ્વનિ -પ્રતિસાદ,ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ
ધ્વનિ ફિલ્ટર,ಕೊಳೆತ ಫಿಲ್ಟರ್
ધ્વનિ અવરોધ,ಸಕಲಿಯ ಪ್ರತಿರೋಧ
ધ્વનિ -માસ્કીંગ,ಅಕೌಸ್ಟಿಕ್ ಮರೆಮಾಚುವ
ધ્વનિની શક્તિ,ಅಕೌಸ್ಟಿಕ್ ಶಕ್ತಿ
ધ્વનિપક્ષીય મિલકત,ಅಕೌಸ್ಟಿಕ್ ಆಸ್ತಿ
ધ્વનિની પ્રતિક્રિયા,ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ
ધ્વનિ -પ્રતિબિંબ,ಅಕೌಸ್ಟಿಕ್ ರಿಫ್ಲೆಕ್ಸ್
ધ્વનિ ટાઇલ,ಅಕೌಸ್ಟಿಕ್ ಟೈಲ್
ધ્વનિ તરંગ,ಸ ೦ ವರ ತರಂಗ
શ્રવ -શોષણ,ಅಕೌಸ್ಟಿಕ್ ಹೀರಿಕೊಳ್ಳುವಿಕೆ
શ્રવણશક્તિ એટેન્યુએશન,ಅಕೌಸ್ಟಿಕ್ ಅಟೆನ್ಯೂಯೇಷನ್ ​​ಸ್ಥಿರ
શ્રવણની ભીનાશ,ಕೊಳೆತ ಡ್ಯಾಂಪಿಂಗ್
