English,Assamese
A B amplifier,এটা B শ্ৰেণীৰ এম্প্লিফায়াৰ
aberration,বিচ্যুতি
abnormal propagation,অস্বাভাৱিক সংক্ৰমণ
abrupt,"অসংলগ্ন, সাধাৰণতে, গাঁতযুক্ত, কাটি পেলোৱা, ভাঙি যোৱা"
absent spectrum,অনুপস্থিত বৰ্ণালী
absolute,"নিৰপেক্ষ, নিৰপেক্ষ, ধ্ৰুৱক, নিখুঁত"
absolute humidity,নিৰপেক্ষ আৰ্দ্ৰতা
absolute motion,নিৰপেক্ষ গতি
absolute observation,নিৰপেক্ষ পৰ্যবেক্ষণ
absolute temperature,নিৰপেক্ষ উষ্ণতা
absolute zero,নিৰপেক্ষ শূন্য
absorb,শুহি লোৱা
absorber,"শোষক, শোষক"
absorbing power,শোষণ ক্ষমতা
absorptance,শোষণ ক্ষমতা
absorptive,শোষক
absorptivity,শোষণ ক্ষমতা
abundance ratio,বহুগুণতা অনুপাত
accelerate,ত্বৰান্বিত কৰক
accelerated,খৰধৰকৈ উঠিল
acceleration,বেগ বৃদ্ধি
acceleration of gravity,মাধ্যাকৰ্ষণৰ ত্বৰণ
accelerative,ত্বৰণকাৰী
accelerator,ত্বৰণকাৰী
accelerometer,এক্সিলেৰমিটাৰ
accentuator,প্ৰিষ্ট্ৰেছাৰ
acceptance test,গ্ৰহণযোগ্য পৰীক্ষা
acceptor,গ্ৰহণকাৰী
acceptor molecule,দাতা অণু
access,"প্ৰৱেশ, অপেক্ষা, অভিগম্যতা"
accessibility,অভিগম্যতা
accessory,"অতিৰিক্ত, আনুষংগিক, আনুষংগিক (v.), আনুষংগিক (ed.)"
access time,প্ৰৱেশ সময়
accidental error,দৰ্শকৰ ভুল
accommodation,সমন্বয়
accumulated,সঞ্চিত কৰা হৈছে
accumulation,"সঞ্চয়, সঞ্চয়"
accumulator,এক্যুলেটৰ
accuracy,শুদ্ধতা
accurate,বাস্তৱতা
achromat,ৰঙীন লেন্স
achromatic,achromatic
achromatism,achromaticity
acoustical,একাউষ্টিক
acoustically insulated,শব্দ নিবাৰণ
acoustical phonon,একাউষ্টিক ফ&#39;নন
acoustical unit,শব্দ একক
acoustic,একাউষ্টিক
acoustic generator,শব্দ উৎপাদক
action and reaction,ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া
activation,সক্ৰিয়কৰণ
"activation ,energy",সক্ৰিয়কৰণ শক্তি
activator,"সক্ৰিয়কৰ্তা, সক্ৰিয়কৰ্তা"
active,সক্ৰিয়
activity,সক্ৰিয়তা
actual stress,প্ৰকৃত মানসিক চাপ
