Kannada,Tamil
ಆಂಪಿಯರ್ (ಘಟಕ),ஆம்பியர் (அலகு)
ಆಂಗ್ಸ್ಟ್ರಮ್,ஆங்ஸ்ட்ரம்
ಎ-ಕ್ಲಾಸ್ ಆಂಪ್ಲಿಫಯರ್,ஏ-வகுப்பு பெருக்கி
ಎಎನ್ ರೇಡಿಯೋ ಸಹಾಯ್,ஏஎன் ரேடியோ சஹே
ಎ-ಸ್ಕ್ಯಾನಿಂಗ್ ಪ್ರಸ್ತುತಿ,ஒரு ஸ்கேனிங் விளக்கக்காட்சி
a-ದರ್ಶ್,ஒரு-தர்ஷ்
ಎ-ಸ್ಕೋಪ್ ಕಾರ್ಯಕ್ಷಮತೆ,ஏ-ஸ்கோப் செயல்திறன்
A-T ಕರ್ವ್ಡ್ ಕ್ರಿಸ್ಟಲ್,ஏ-டி வளைந்த படிகம்
"ಎಸಿ ಡಿಸಿ ಪ್ರಯೋಜನಗಳು, ಎ. ಸಿಡಿ. ಸಿ.ಲಭಿ, ಎ. ಸಿಡಿ. c. ವರ್ಧನೆ","ஏசி-டிசி நன்மைகள், ஏ. குறுவட்டு. சி.லாபி, ஏ. குறுவட்டு. c. பெருக்கம்"
ಬೆಳಗ್ಗೆ,நான்
AMU (ಪರಮಾಣು ದ್ರವ್ಯರಾಶಿ ಘಟಕ),AMU (அணு நிறை அலகு)
aard-vark*,aard-vark*
ಅಬ್-ಆಂಪಿಯರ್,ab-ஆம்பியர்
A-B ವರ್ಗ ಆಂಪ್ಲಿಫಯರ್,A-B வகுப்பு பெருக்கி
ಅದಾ,அட
ಎ-ಬಿ ಶಕ್ತಿ ಪಿಟಕ,ஏ-பி சக்தி பிடகா
abc = ಜೋಡಣೆ ಚಾರ್ಟ್ = ನೊಮೊಗ್ರಾಫ್,abc = சீரமைப்பு விளக்கப்படம் = nomograph
ಅಬೆ ಸಂಖ್ಯೆ (ಅಬೆ ಸ್ಥಿರ),அபே எண் (அபே மாறிலி)
ಅಬೆ ವಕ್ರೀಕಾರಕ,அபே ரிஃப்ராக்டோமீட்டர்
ಅಬೆ ಸೈನ್ ರಾಜ್ಯ,அபே சைன் நிலை
ಸ್ವಯಂಚಾಲಿತ ಪಕ್ಷಪಾತ ಪರಿಹಾರ,தானியங்கி சார்பு இழப்பீடு
abcoulom,abcoulom
"ವಿಪಥನ, ವಿಪಥನ","பிறழ்வு, பிறழ்வு"
ವಿಪಥನ ಸರಿಪಡಿಸುವ ಮಸೂರ,பிறழ்வு திருத்தி லென்ஸ்
