Assamese,Malayalam
"১.এবাকাছ, ২. গণনা কৰি আছে","1.അബാക്കസ്, 2. എണ്ണുന്നു"
অস্বাভাৱিক অন্ত,അസാധാരണമായ അവസാനം
ইন্টাৰচেপ্ট,തടസ്സപ്പെടുത്തുക
"১.নিৰপেক্ষ, ২. পৰম","1. കേവലം, 2. പരമോന്നത"
নিৰপেক্ষ ঠিকনা,സമ്പൂർണ്ണ വിലാസം
নিৰপেক্ষ ঠিকনাযোগ্যতা,സമ്പൂർണ്ണ വിലാസക്ഷമത
নিৰপেক্ষ এছেম্বলাৰ,കേവല അസംബ്ലർ
"১.নিৰপেক্ষ ক&#39;ড, ২. নিৰপেক্ষ ক&#39;ড","1. കേവല കോഡ്, 2. കേവല കോഡ്"
নিৰপেক্ষ আদেশ,സമ്പൂർണ്ണ കമാൻഡ്
"১.নিৰপেক্ষ চিত্ৰ, ২. নিৰপেক্ষ তথ্য","1. കേവല കണക്കുകൾ, 2. സമ്പൂർണ്ണ ഡാറ്റ"
নিৰপেক্ষ নিৰ্দেশনা,സമ്പൂർണ്ണ നിർദ്ദേശം
নিৰপেক্ষ ধৰণ,കേവല മോഡ്
নিৰপেক্ষ পথ,കേവല പാത
"1. নিৰপেক্ষ প্ৰগ্ৰেমিং, 2. নিৰপেক্ষ প্ৰগ্ৰেমিং","1. സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്, 2. സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്"
বিমূৰ্ত শ্ৰেণী,അമൂർത്ത ക്ലാസ്
বিমূৰ্ত তথ্যৰ ধৰণ,അമൂർത്ത ഡാറ്റ തരം
বিমূৰ্ত মেচিন,അമൂർത്ത യന്ത്രം
বিমূৰ্ত চিহ্ন,അമൂർത്ത ചിഹ്നം
বিমূৰ্ত বাক্যবিন্যাস,അമൂർത്തമായ വാക്യഘടന
গ্ৰহণযোগ্যতা পৰীক্ষা,സ്വീകാര്യത പരിശോധന
প্ৰৱেশ প্ৰমাণীকৰণ,പ്രവേശന സർട്ടിഫിക്കേഷൻ
"1. প্ৰৱেশ ক&#39;ড, 2. প্ৰৱেশ ক&#39;ড","1. ആക്സസ് കോഡ്, 2. പ്രവേശന കോഡ്"
প্ৰৱেশ নিয়ন্ত্ৰণ,പ്രവേശന നിയന്ത്രണം
অভিগম স্কেনিং,ആക്സസ് സ്കാനിംഗ്
আনুষংগিক বস্তু,സാധനങ്ങൾ
হিচাপ-নিকাচ,അക്കൌണ്ടിംഗ്
"1. একাউণ্ট আইডি, 2. একাউণ্টিং চিনাক্তকৰণ","1. അക്കൗണ്ട് ഐഡി, 2. അക്കൗണ്ടിംഗ് തിരിച്ചറിയൽ"
এক্যুলেটৰ,ശേഖരണം
"১/ সঠিকতা, ২. শুদ্ধতা","1. കൃത്യത, 2. കൃത്യത"
প্ৰৱেশাধিকাৰ,പ്രവേശനം
অভিগম নিয়ন্ত্ৰণ বাইটসমূহ,ആക്സസ് കൺട്രോൾ ബൈറ്റുകൾ
প্ৰৱেশ সূচক,പ്രവേശന സൂചകം
অভিগম কি&#39;,ആക്സസ് കീ
"1. অভিগম মেট্ৰিক্স, 2. অভিগম মেট্ৰিক্স","1. ആക്സസ് മാട്രിക്സ്, 2. ആക്സസ് മാട്രിക്സ്"
অভিগম ধৰণ,ആക്സസ് മോഡ്
অভিগম বিশেষাধিকাৰসমূহ,പ്രവേശനാവകാശങ്ങൾ
অভিগম সুৰক্ষা,ആക്സസ് സുരക്ഷ
"1. অভিগম চাৰ্ভাৰ, 2. অভিগম চাৰ্ভাৰ","1. ആക്സസ് സെർവർ, 2. ആക്സസ് സെർവർ"
প্ৰৱেশ সময়,പ്രവേശന സമയം
স্বীকৃতি,അംഗീകാരം
শব্দবিজ্ঞান,ശബ്ദശാസ്ത്രം
"১. সংক্ষিপ্ত ৰূপ, ২. সংক্ষিপ্ত ৰূপ, ৩. ৰ পৰা চুটি","1. ചുരുക്കെഴുത്ത്, 2. ചുരുക്കെഴുത്ത്, 3. മുതൽ ചുരുക്കി"
কাৰ্য্য বাৰ্তা,പ്രവർത്തന സന്ദേശം
সক্ৰিয়কৰণ,സജീവമാക്കൽ
সক্ৰিয় চাৰ্ভাৰ পৃষ্ঠা,സജീവ സെർവർ പേജ്
সক্ৰিয় সংস্কৰণ,സജീവ പതിപ്പ്
অচক্ৰীয়,അസൈക്ലിക്
"১.অচক্ৰীয় গ্ৰাফ, ২. অচক্ৰীয় গ্ৰাফ","1. അസൈക്ലിക് ഗ്രാഫ്, 2. അസൈക്ലിക് ഗ്രാഫ്"
আদা কম্পিউটাৰ ভাষা,അഡാ കമ്പ്യൂട്ടർ ഭാഷ
"১.অপ্টিমাইজাৰ, ২. অপ্টিমাইজাৰ","1. ഒപ്റ്റിമൈസർ, 2. ഒപ്റ്റിമൈസർ"
to sum),ആകെ)
যোগফল নথিপত্ৰ,തുക ഫയൽ
"1. যোগ কাৰ্য্য, 2. যোগফল কাৰ্য্য","1. കൂട്ടിച്ചേർക്കൽ പ്രവർത്തനം, 2. ആകെ പ്രവർത്തനം"
adder,ചേർക്കുന്നയാൾ
ঠিকনা,അറിയുക
ঠিকনা বাছ,വിലാസം ബസ്
ঠিকনা নথিপত্ৰ,വിലാസ ഫയൽ
ঠিকনা বিন্যাস,വിലാസ ഫോർമാറ്റ്
ঠিকনা উৎপাদক,വിലാസ ജനറേറ്റർ
ঠিকনা ৰেখা,വിലാസ ലൈൻ
ঠিকনা মেপিং,വിലാസ മാപ്പിംഗ്
ঠিকনা সূচক,വിലാസ സൂചകം
ঠিকনা পঞ্জীয়ন,വിലാസ രജിസ്റ്റർ
ঠিকনা ভাঙি যোৱা,വിലാസ തകർച്ച
ঠিকনা অনুবাদ,വിലാസ വിവർത്തനം
"1. ঠিকনাযোগ্য স্মৃতিশক্তি, 2. ঠিকনাযোগ্য মেমৰি","1. അഡ്രസ് ചെയ്യാവുന്ന മെമ്മറി, 2. അഭിസംബോധന ചെയ്യാവുന്ന മെമ്മറി"
সম্বোধন কৰা,അഭിസംബോധന
"১.পৰ্যাপ্ততাৰ মাপকাঠী, ২. পৰ্যাপ্ততাৰ মাপকাঠী","1. പര്യാപ്തത മാനദണ്ഡം, 2. പര്യാപ്തത മാനദണ്ഡം"
সংলগ্ন কৰা হৈছে,ബന്ധം
"1. ব্যৱস্থাপনা , 2. নিয়ন্ত্ৰণ","1. മാനേജ്മെന്റ്, 2. നിയന്ത്രണം"
"১.পৰিচালক, ২. নিয়ন্ত্ৰক","1. മാനേജർ, 2. കണ്ട്രോളർ"
এডোব এক্ৰ&#39;বেট,അഡോബ് അക്രോബാറ്റ്
এডোব ফটোশ্বপ,അഡോബ് ഫോട്ടോഷോപ്പ്
ABAP (উন্নত ব্যৱসায়িক প্ৰগ্ৰেমিং),ABAP (അഡ്വാൻസ്ഡ് ബിസിനസ് പ്രോഗ്രാമിംഗ്)
"1. উন্নত তথ্য, 2. উন্নত তথ্য","1. വിപുലമായ ഡാറ്റ, 2. വിപുലമായ ഡാറ്റ"
উন্নত তথ্য ব্যৱস্থা,വിപുലമായ വിവര സംവിധാനം
উন্নত প্ৰযুক্তি (AT),അഡ്വാൻസ്ഡ് ടെക്നോളജി (AT)
কাৰ্য কৰা,നടപടി
একত্ৰীকৰণ,സമാഹരണം
বায়ুমণ্ডলীয় কম্পিউটাৰ ব্যৱস্থা,വായുവിലൂടെയുള്ള കമ്പ്യൂട്ടർ സംവിധാനം
aldus পৃষ্ঠা-নিৰ্মাণ,ആൽഡസ് പേജ് മേക്ക്
সতৰ্কবাণী বাকচ,മുന്നറിയിപ്പ് ബോക്സ്
algol (কম্পিউটাৰ ভাষা),അൽഗോൾ (കമ്പ്യൂട്ടർ ഭാഷ)
"1. এলগৰিদম , 2. এলগৰিদম","1. അൽഗോരിതം, 2. അൽഗോരിതം"
"১.এলগৰিদম বিশ্লেষণ, ২. এলগৰিদম বিশ্লেষণ","1. അൽഗോരിതം വിശകലനം, 2. അൽഗോരിതം വിശകലനം"
এলগৰিদম দক্ষতা,അൽഗോരിതം കാര്യക്ഷമത
"১.ইলিয়াছ, ২. ডাকনাম, ৩. aka","1. ഏലിയാസ്, 2. വിളിപ്പേര്, 3. അല്ലെങ്കിൽ"
প্ৰান্তিককৰণ,വിന്യാസം
"১.আবণ্টন, ২. আবণ্টন","1. വിഹിതം, 2. വിഹിതം"
"১.বৰ্ণানুক্ৰমিক, ২. বৰ্ণানুক্ৰমিক ক্ৰম","1. അക്ഷരമാല, 2. അക്ഷരമാല ക്രമത്തിൽ"
আলফানিউমেৰিক,ആൽഫാന്യൂമെറിക്
"1. আলফানিউমেৰিক কিবৰ্ড ,2. আলফানিউমেৰিক কিবৰ্ড","1. ആൽഫാന്യൂമെറിക് കീബോർഡ്, 2. ആൽഫാന്യൂമെറിക് കീബോർഡ്"
আলফা-পৰীক্ষণ (১ম স্তৰৰ পৰীক্ষা),ആൽഫ-ടെസ്റ്റിംഗ് (ഒന്നാം ലെവൽ ടെസ്റ്റ്)
"1. আলফা সংস্কৰণ, 2. আলফা ৰূপ","1. ആൽഫ പതിപ്പ്, 2. ആൽഫ രൂപം"
alt কি&#39;,alt കീ
আলতাভিস্তা,ആൾട്ടാവിസ്റ്റ
বহুগুণতা,ബഹുസ്വരത
অস্পষ্ট ব্যাকৰণ,അവ്യക്തമായ വ്യാകരണം
আমেৰিকান নেচনেল ষ্টেণ্ডিজ ইনষ্টিটিউট (ANSI),അമേരിക്കൻ നാഷണൽ സ്റ്റാൻഡീസ് ഇൻസ്റ്റിറ്റ്യൂട്ട് (ANSI)
আমেৰিকান ষ্টেণ্ডাৰ্ড কাট (ascii),അമേരിക്കൻ സ്റ്റാൻഡേർഡ് കട്ട് (ascii)
"1. অনুৰূপ, ২. এনালগ","1. സാദൃശ്യം, 2. അനലോഗ്"
"১.এনালগ কম্পিউটাৰ, ২.এনালগ কম্পিউটাৰ","1. അനലോഗ് കമ്പ്യൂട്ടർ, 2. അനലോഗ് കമ്പ്യൂട്ടർ"
"1. এনালগ ডিভাইচ, 2. এনালগ ডিভাইচ","1. അനലോഗ് ഉപകരണം, 2. അനലോഗ് ഉപകരണം"
"1. এনালগ মডেম, 2. এনালগ মডেম","1. അനലോഗ് മോഡം, 2. അനലോഗ് മോഡം"
এনালগ টু ডিজিটেল কনভাৰ্টাৰ,അനലോഗ് ടു ഡിജിറ്റൽ കൺവെർട്ടർ
শেষ (ডিজিটেল/প্লেন লজিক &#39;আৰু&#39; ব্যৱহৃত),അവസാനം (ഡിജിറ്റൽ/പ്ലെയിൻ ലോജിക് &#39;ഉം&#39; ഉപയോഗിച്ചു)
শেষ বৰ্তনী,അവസാന സർക്യൂട്ട്
শেষৰ গেট আৰু গেট,അവസാന ഗേറ്റും ഗേറ്റും
অপাৰেচন শেষ নহয় (বৰ্জন),എൻഡ് അല്ല ഓപ്പറേഷൻ (ഒഴിവാക്കൽ)
"১.এনিমেচন, ২.কম্পন","1. ആനിമേഷൻ, 2. വൈബ്രേഷൻ"
দ্ৰষ্টব্য,കുറിപ്പ്
অসামঞ্জস্যতা,പൊരുത്തക്കേട്
পূৰ্ৱবৰ্তী,മുമ്പത്തെ
প্ৰত্যাশিত পেজিং,മുൻകൂർ പേജിംഗ്
প্ৰতি-সমমিতিক,എതിർ-സമമിതി
এন্টিভাইৰেল প্ৰগ্ৰেম,ആൻറിവൈറൽ പ്രോഗ്രാം
"১.এপলেট, ২. দৰ্খাস্ত","1. ആപ്ലെറ്റ്, 2. അപേക്ഷ"
এপ্লিকেচন ডেভেলপাৰ,ആപ്ലിക്കേഷൻ ഡെവലപ്പർ
এপ্লিকেচন প্ৰগ্ৰেমিং,ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ്
"1. এপ্লিকেচন প্ৰগ্ৰামিং আন্তঃপৃষ্ঠ, 2. এপ্লিকেচন প্ৰগ্ৰেমিং আন্তঃপৃষ্ঠ (API)","1. ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ് ഇന്റർഫേസ്, 2. ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ് ഇന്റർഫേസ് (API)"
এপ্লিকেচন চফ্টৱেৰ,ആപ്ലിക്കേഷൻ സോഫ്റ്റ്വെയർ
আবেদন ভাষা,ആപ്ലിക്കേഷൻ ഭാഷ
আনুমানিক নীতি,ഏകദേശ തത്വം
গাঁঠনি,ഘടന
ক্ষেত্ৰ স্থানান্তৰ,ഫീൽഡ് കൈമാറ്റം
"1. প্ৰাচল, স্বাধীন চলক, 2. কোণ","1. പരാമീറ്റർ, സ്വതന്ത്ര വേരിയബിൾ, 2. ആംഗിൾ"
"1. গাণিতিক আৰু যুক্তি একক, 2. গাণিতিক আৰু যুক্তি একক","1. അരിത്മെറ്റിക് ആൻഡ് ലോജിക് യൂണിറ്റ്, 2. അരിത്മെറ്റിക് ആൻഡ് ലോജിക് യൂണിറ്റ്"
গাণিতিক পৰীক্ষা,ഗണിത പരിശോധന
গাণিতিক ধ্ৰুৱক,ഗണിത സ്ഥിരാങ്കം
গাণিতিক তথ্য,ഗണിത ഡാറ്റ
গাণিতিক নিৰ্দেশনা,ഗണിത നിർദ്ദേശം
গাণিতিক আৰু যুক্তিসংগত একক (ALU),മാത്തമാറ്റിക്കൽ ആൻഡ് ലോജിക്കൽ യൂണിറ്റ് (ALU)
ARPA নেট (RPNet),ARPA നെറ്റ് (RPNet)
এৰে,അറേ
"1. এৰে কেচ, 2. এৰেৰ গতি, ৩. এৰে মেমৰি","1. അറേ കാഷെ, 2. അറേ വേഗത, 3. അറേ മെമ്മറി"
এৰে কম্পিউটাৰ,അറേ കമ്പ്യൂട്ടർ
এৰে উপাদান,അറേ ഘടകം
এৰেৰ নাম,അറേ പേര്
এৰে প্ৰচেছৰ,അറേ പ്രോസസർ
কাঁড় চিহ্ন,അമ്പടയാള കീ
সন্ধি,ഉടമ്പടി
জংচন পইণ্ট,ജംഗ്ഷൻ പോയിന്റ്
কৃত্ৰিম সংকোচন,കൃത്രിമ കോംപാക്ഷൻ
কৃত্ৰিম নিয়ন্ত্ৰণ,കൃത്രിമ നിയന്ത്രണം
কৃত্ৰিম ইন্দ্ৰিয়,കൃത്രിമബോധം
মাউন্ট,മൗണ്ട്
আৰোহী সজাই পৰাই তোলা,ആരോഹണ തരം
ascii বৰ্ণমালা,ascii അക്ഷരമാല
ascii নিয়ন্ত্ৰণ চিহ্ন,ascii നിയന്ത്രണ ചിഹ്നം
ascii ফাইল,ascii ഫയൽ
ascii ফন্ট,ascii ഫോണ്ട്
ASCII স্থানান্তৰ,ASCII കൈമാറ്റം
এস্পেক্ট ৰেচিঅ&#39;,വീക്ഷണാനുപാതം
"১.এছপি, ২. এ এছ পি আই","1. ആസ്പി, 2. എ.എസ്.പി.ഐ"
এ এছ আৰ কালাদ,എ എസ് ആർ കാലാട്
"১/ স্মৰণ, ২। একত্ৰিত কৰা, ৩. একত্ৰিত কৰা","1. ഓർമ്മപ്പെടുത്തൽ, 2. കൂട്ടിച്ചേർക്കൽ, 3. കൂട്ടിച്ചേർക്കാൻ"
"১.সমাবেশকাৰী, ২. স্মাৰক","1. അസംബ്ലർ, 2. ഓർമ്മപ്പെടുത്തൽ"
"1. একত্ৰিত কৰা, ২. স্মৃতি","1. അസംബ്ലിംഗ്, 2. അനുസ്മരണം"
"১/ মুখস্থ কৰা ভাষা, ২. ভাষা একত্ৰিত কৰা","1. ഓർമ്മപ്പെടുത്തൽ ഭാഷ, 2. അസംബ്ലിംഗ് ഭാഷ"
সংকল্প,ദൃഢനിശ്ചയം
"1. নিৰ্দিষ্ট কাম, 2. আবণ্টন","1. നിർദ്ദിഷ്ട ജോലി, 2. വിഹിതം"
সংগীত্ব,കൂട്ടുകെട്ട്
সহযোগী ঠিকনা,അനുബന്ധ വിലാസം
"১.সংগত স্মৃতি, ২. সহযোগী স্মৃতিশক্তি","1. അനുബന്ധ മെമ്മറി, 2. അനുബന്ധ മെമ്മറി"
তাৰকা চিহ্ন (* চিহ্ন),നക്ഷത്രചിഹ്നം (* ചിഹ്നം)
অসমতাপূৰ্ণ,അസമമായ
"1. এচিনক্ৰ&#39;নাছ , 2. এচিনক্ৰ&#39;নাছ","1. അസമന്വിത, 2. അസമന്വിത"
এচিনক্ৰ&#39;নাছ ডিজিটেল গ্ৰাহক লাইন (ADSL),അസിൻക്രണസ് ഡിജിറ്റൽ സബ്സ്ക്രൈബർ ലൈൻ (ADSL)
এচিংক্ৰ&#39;নাছ সময় বিভাজন মাল্টিপ্লেক্সিং (ATDM),അസിൻക്രണസ് ടൈം ഡിവിഷൻ മൾട്ടിപ്ലെക്സിംഗ് (ATDM)
এচিনক্ৰ&#39;নাছ স্থানান্তৰ,അസമന്വിത കൈമാറ്റം
এচিংক্ৰ&#39;নাছ ট্ৰেন্সফাৰ মোড (ATM),അസിൻക്രണസ് ട്രാൻസ്ഫർ മോഡ് (എടിഎം)
"১.পৰমাণু, ২. পৰমণ","1. ആറ്റം, 2. പരമൻ"
সংলগ্ন নথিপত্ৰ,അറ്റാച്ചുചെയ്ത പ്രമാണം
"1. সংলগ্ন ফাইল/মিছিল, 2. সংলগ্ন ফাইল","1. അറ്റാച്ചുചെയ്ത ഫയൽ/മിസിൽ, 2. അറ്റാച്ചുചെയ്ത ഫയൽ"
"১.আৱৰণ, ২. সংযুক্ত","1. എൻക്ലോഷർ, 2. അഫിലിയേറ്റഡ്"
"১.গুণ, ২. বৈশিষ্ট্য","1. പ്രോപ്പർട്ടികൾ, 2. സ്പെഷ്യാലിറ്റി"
শ্ৰৱণযোগ্য,കേൾക്കാവുന്ന
"1. অডিট প্ৰগ্ৰেমিং, 2. অডিট প্ৰগ্ৰেমিং","1. ഓഡിറ്റ് പ്രോഗ്രാമിംഗ്, 2. ഓഡിറ്റ് പ്രോഗ്രാമിംഗ്"
একাউণ্ট পৰীক্ষণ,അക്കൗണ്ട് സ്ഥിരീകരണം
প্ৰচাৰ,പ്രമോഷൻ
প্ৰমাণীকৰণ প্ৰট&#39;কল,സർട്ടിഫിക്കേഷൻ പ്രോട്ടോക്കോൾ
লেখক পদ্ধতি,എഴുത്ത് രീതി
"১.কৰ্তৃত্ব, ২. কৰ্তৃত্ব, ৩. ন্যায়াধিকৰণ","1. അധികാരം, 2. അധികാരം, 3. ട്രിബ്യൂണൽ"
অটো বিমূৰ্ত,യാന്ത്രിക സംഗ്രഹം
"1. স্বয়ংক্ৰিয় বুটিং, 2. self বুট","1. ഓട്ടോ ബൂട്ടിംഗ്, 2. സ്വയം ബൂട്ട്"
AutoCAD (এটা কম্পিউটাৰ ভাষা),ഓട്ടോകാഡ് (ഒരു കമ്പ്യൂട്ടർ ഭാഷ)
স্বয়ংক্ৰিয় লগ-অন,യാന്ത്രിക ലോഗ്-ഓൺ
automata,ഓട്ടോമാറ്റ
automata তত্ত্ব,ഓട്ടോമാറ്റ സിദ്ധാന്തം
স্বয়ংক্ৰিয় গণনা,ഓട്ടോമാറ്റിക് കണക്കുകൂട്ടൽ
স্বয়ংক্ৰিয় তথ্য প্ৰক্ৰিয়াকৰণ,ഓട്ടോമാറ്റിക് ഡാറ്റ പ്രോസസ്സിംഗ്
স্বয়ংক্ৰিয় ভুল সংশোধন,യാന്ത്രിക പിശക് തിരുത്തൽ
অটো ফাংচন,യാന്ത്രിക പ്രവർത്തനം
"1. স্বয়ংক্ৰিয় সূচীভুক্তকৰণ, 2. স্বয়ংক্ৰিয় তালিকাভুক্তকৰণ","1. ഓട്ടോമാറ്റിക് ഇൻഡക്‌സിംഗ്, 2. യാന്ത്രിക ലിസ്റ്റിംഗ്"
অটো-সংগ্ৰহ কল,യാന്ത്രിക ശേഖരണ കോൾ
"1. স্বয়ংক্ৰিয় প্ৰগ্ৰেমিং, 2. স্বয়ংক্ৰিয় প্ৰগ্ৰেমিং","1. ഓട്ടോമാറ്റിക് പ്രോഗ്രാമിംഗ്, 2. ഓട്ടോമാറ്റിക് പ്രോഗ്രാമിംഗ്"
"1. স্বয়ংক্ৰিয় পুনৰুদ্ধাৰ প্ৰগ্ৰেম, 2. স্বয়ংক্ৰিয় পুনৰুদ্ধাৰ প্ৰগ্ৰেম","1. ഓട്ടോമാറ്റിക് റിക്കവറി പ്രോഗ്രാം, 2. ഓട്ടോമാറ്റിക് റിക്കവറി പ്രോഗ്രാം"
অটো ৰুটিন,യാന്ത്രിക ദിനചര്യ
স্বয়ংক্ৰিয় চিস্টেম পুনৰুদ্ধাৰ,ഓട്ടോമാറ്റിക് സിസ്റ്റം വീണ്ടെടുക്കൽ
"১/ স্বয়ংক্ৰিয় টেলাৰ মেচিন (এটিএম), ২. স্বয়ং উলিওৱাৰ বাবে বেংকৰ ATM","1. ഓട്ടോമാറ്റിക് ടെല്ലർ മെഷീനുകൾ (എടിഎം), 2. സ്വയം പിൻവലിക്കാൻ ബാങ്ക് എ.ടി.എം"
অটোমেচন,ഓട്ടോമേഷൻ
"1. অটোপ্লে , 2. অটো ৱাক","1. ഓട്ടോപ്ലേ, 2. ഓട്ടോ നടത്തം"
কণ্ঠদান,വോക്കലൈസേഷൻ
সহায়ক,അസിസ്റ്റന്റ്
সহায়ক স্মৃতিশক্তি,സഹായ മെമ്മറി
সহায়ক সংৰক্ষণ,സഹായ സംഭരണം
উপলব্ধ তালিকা,ലഭ്യമായ പട്ടിക
উপলব্ধ সময়,ലഭ്യമായ സമയം
গড়,ശരാശരി
AWK (এটা কম্পিউটাৰ কমাণ্ড),AWK (ഒരു കമ്പ്യൂട്ടർ കമാൻഡ്)
পাছত,ശേഷം
পোষ্ট প্ৰচেছৰ,പോസ്റ്റ് പ്രോസസർ
পশ্চাৎ কাৰ্য্য বিলোপন,പിൻഭാഗത്തെ പ്രവർത്തനം ഇല്ലാതാക്കൽ
পটভূমি প্ৰক্ৰিয়াকৰণ,പശ്ചാത്തല പ്രോസസ്സിംഗ്
আনুষংগিক দোকানসমূহ,അനുബന്ധ സ്റ്റോറുകൾ
বেক পেচিং,ബാക്ക് പാച്ചിംഗ്
