Gujarati,Marathi
ગર્ભપાત,गर्भपात
ગર્ભપાત સમય,गर्भपात टाइमर
અબાધિત સંબોધન,परिपूर्ण पत्ता
પૂર્ણ સંબોધન,परिपूर्ण पत्ता
સંપૂર્ણ સંમેલન,परिपूर्ण असेंबलर
પૂર્ણ સંહિતા,परिपूर्ण कोड
પૂર્ણ સંહિતા,परिपूर्ण कोडिंग
પૂર્ણ આદેશ,परिपूर्ण आज्ञा
સંપૂર્ણ સંકલન,परिपूर्ण समन्वय
અબાધિત આંકડા,परिपूर्ण डेटा
નિરપેક્ષ ભૂલ,परिपूर्ण त्रुटी
પૂર્ણ અભિવ્યક્તિ,परिपूर्ण अभिव्यक्ती
અબાધિત સૂચના,परिपूर्ण सूचना
અબાધિત લોડર,परिपूर्ण लोडर
સંપૂર્ણ,परिपूर्ण ऑर्डर
પૂર્ણ કાર્યક્રમ,परिपूर्ण प्रोग्रामिंग
અબાધિત મુદત,परिपूर्ण संज्ञा
અબાધિત મૂલ્ય,परिपूर्ण मूल्य
અબાધિત વેક્ટર,परिपूर्ण वेक्टर
નિષ્ક્રિય,गोषवारा
યોગ્યતા,अमूर्त
સાર -સારાંશ,अमूर्त प्रतीक
પ્રવેગશ ગાળો,प्रवेग कालावधी
પ્રવેગકોનો સમય,प्रवेग वेळ
ઉચ્ચારણ,उच्चारण
સ્વીકૃતિ કસોટી,स्वीकृती चाचणी
પ્રવેશ,प्रवेश
પ્રવેશ હાથ,प्रवेश आर्म
પ્રવેશ -વ્યવસ્થા,प्रवेश व्यवस्था
પ્રવેશ સત્તાવાર,प्रवेश प्राधिकरण
પ્રવેશ -ખર્ચ,प्रवेश शुल्क
પ્રવેશ -વર્ગ,प्रवेश वर्ग
પ્રવેશ -આધાર વ્યવસ્થાપન,प्रवेश डेटा बेस व्यवस्थापन
પર્યાવરણ,प्रवेश वातावरण
પ્રવેશ અંતર,प्रवेश अंतर
પ્રવેશ -સૂચિ,प्रवेश निर्देशांक
પ્રવેશ -રેખા,Line क्सेस लाइन
પ્રવેશ -પદ્ધતિ,प्रवेश यंत्रणा
પ્રવેશ પદ્ધતિ,प्रवेश पद्धत
પ્રવેશ -પદ્ધતિ,प्रवेश पद्धत दिनचर्या
પ્રવેશ -પદ્ધતિ,प्रवेश मोड
પ્રવેશ -હક,प्रवेश बरोबर
પ્રવેશ -સ્કેન,प्रवेश स्कॅन
પ્રવેશ સમય,प्रवेश वेळ
નામું,लेखा
હિસાબ -પદ્ધતિ પદ્ધતિ,लेखा वित्त प्रणाली
હિસાબ -વ્યવસ્થા,लेखा मशीन
ખાતા નંબર,खाते क्रमांक
સંચયી પ્રજનનકર્તા,पुनरुत्पादक संचय
એકઠા કરનાર,संचयक
સંચિત રજિસ્ટર,संचयक नोंदणी
સંચય -પાળી સૂચના,संचयक शिफ्ट सूचना
ચોકસાઈ,अचूकता
ચોકસાઈ નિયંત્રણ,अचूकता नियंत्रण वर्ण
ચોકસાઈ નિયંત્રણ પદ્ધતિ,अचूकता नियंत्रण प्रणाली
પાસાનો પાસાનો પો,ऐस पायलट
પાત્ર સ્વીકારવું,चरित्र कबूल करा
ધ્વનિકર્તા,ध्वनिक कपलर
ધ્વનિ -જોડાણ,ध्वनिक कपलिंग
ધ્વનિ વિલંબ રેખા,ध्वनिक विलंब रेखा
ધ્વનિમૂર્તિ,ध्वनिक मेमरी
ધ્વનિ -મોડેમ,ध्वनिक मॉडेम
ધ્વનિ સંકેત,ध्वनिक सिग्नल
ધ્વનિ સંગ્રહ,ध्वनिक संचयन
ટૂંકાક્ષર,परिवर्णी शब्द
ક્રિયા,क्रिया
કાર્ય -ચક્ર,कृती चक्र
ક્રિયા -રેખ,कृती ओळ
ક્રિયા,कृती संदेश
કાર્ય -સ્પષ્ટીકરણ,कृती तपशील
સક્રિય,सक्रियकरण
સક્રિય,सक्रिय
સક્રિય ફાઈલ,सक्रिय फाईल
સક્રિય રેખા,सक्रिय ओळ
સક્રિય કડી,सक्रिय दुवा
સક્રિય માસ્ટર ફાઇલ,सक्रिय मास्टर फाइल
સક્રિય મુખ્ય વસ્તુ,सक्रिय मास्टर आयटम
સક્રિય ઉપગ્રહ,सक्रिय उपग्रह
સક્રિય કેન્દ્ર,सक्रिय स्टेशन
સક્રિય સંગ્રહ,सक्रिय संचयन
પ્રવૃત્તિ,क्रियाकलाप
પ્રવૃત્તિ સ્તરે,क्रियाकलाप पातळी
પ્રવૃત્તિ લોડિંગ,क्रियाकलाप लोडिंग
પ્રવૃત્તિ ગુણોત્તર,क्रियाकलाप प्रमाण
વાસ્તવિક સરનામું (= સંપૂર્ણ સરનામું),वास्तविक पत्ता (= परिपूर्ण पत्ता)
વાસ્તવિક કોડ (= સંપૂર્ણ કોડ),वास्तविक कोड (= परिपूर्ण कोड)
વાસ્તવિક ડેટા ટ્રાન્સફર રેટ,वास्तविक डेटा हस्तांतरण दर
વાસ્તવિક દશાંશ બિંદુ,वास्तविक दशांश बिंदू
વાસ્તવિક સૂચના (= અસરકારક સૂચના),वास्तविक सूचना (= प्रभावी सूचना)
ખરેખર ચા,वास्तविक की
વાસ્તવિક સમય,वास्तविक वेळ
વાસ્તવિક કામનો સમય,वास्तविक कामाची वेळ
કાર્યકારી સંકેત,अ‍ॅक्ट्युएटिंग सिग्नल
અનુકૂલનક્ષમતા,अनुकूलता
અનુકૂલન,अ‍ॅडॉप्टर
અનુકૂલનશીલ ચેનલ ફાળવણી,अ‍ॅडॉप्टिव्ह चॅनेल वाटप
અનુકૂલનશીલ એકીકરણ,अनुकूली एकत्रीकरण
અનુકૂલનશીલ બરાબરી,अ‍ॅडॉप्टिव्ह ट्रान्सव्हर्सल इक्वेलायझर
ઉમેરાયેલ નોંધ,जोडलेली प्रविष्टी
પરિવર્તન,परिशिष्ट
પ્રહાર,अ‍ॅडर
ઉપદેશક,अ‍ॅडडर सबट्रॅक्टर
ફાઇલ ઉમેરો,फाईल जोडा
વધારાના પાત્ર (= વિશેષ પાત્ર),अतिरिक्त वर्ण (= विशेष वर्ण)
વધારાની રેકોર્ડર,व्यतिरिक्त रेकॉर्डर
વધારાનો કોઠો,व्यतिरिक्त सारणी
ઉમેરણ લક્ષણ,अ‍ॅडिटिव्ह विशेषता
મોડમાં ઉમેરો,मोड जोडा
કામગીરી ઉમેરો,ऑपरेशन जोडा
સંબોધન,पत्ता
સરનામા -માપદંડ,पत्तेपणाचा उपाय
સરનામું આડી સ્થિતિ,पत्ते करण्यायोग्य क्षैतिज स्थिती
સંબોધન - બિંદુ,पत्ता योग्य बिंदू
પ્રતિયોગી સ્થિતિ,पत्ता योग्य स्थिती
સરનામું રજિસ્ટર,पत्ते करण्यायोग्य नोंदणी
પ્રત્યુત્તરપાત્ર સંગ્રહ,पत्ता योग्य स्टोरेज
સરનાક verભી સ્થિતિ,पत्ता योग्य अनुलंब स्थिती
સરનાવ બસ,अ‍ॅड्रेस बस
સરનામું,पत्ता कोड
સરખામણી કરનાર,पत्ता तुलनात्मक
સરનામું,पत्ता गणना
નિવારણ,पत्ता स्थिर
ધર્મપરિવર્તન,पत्ता रूपांतरण
માહિતી,पत्ता डेटा
સંબોધિત મેમરી,संबोधित मेमरी
સંબોધન અસરકારક,पत्ता प्रभावी
સરનાવનું ક્ષેત્ર,पत्ता फील्ड
સરનાકનું બંધારણ,पत्ता स्वरूप
મફત કાર્યક્રમ,पत्ता विनामूल्य कार्यक्रम
સંબોધન,पत्ता
સંબોધન  પાત્ર,पत्ता  वर्ण
સંબોધન,व्यत्यय संबोधित करणे
સંબોધન,पळवाट पळवाट
વર્ચુઅલ મેમરીને સંબોધવા,आभासी मेमरी संबोधित करणे
સરનામું,पत्ता इंटरलॅकिंग
સરનામાંહીન સૂચના બંધારણ,पत्ता नसलेली सूचना स्वरूप
સરનામા,पत्ता ओळ
સરનામાંનું નકશો,पत्ता मॅपिंग
સરનાવ,पत्ता चिन्ह
સરનામા -ફેરફાર,पत्ता बदल
સરનામા ભાગ,पत्ता भाग
સરનાક નિર્દેશક,पत्ता पॉईंटर
સરના નોંધણી,पत्ता नोंदणी
સરનામે સંકેત,पत्ता सिग्नल
સરનાવનું કદ,पत्ता आकार
સરનાવની જગ્યા,पत्ता जागा
સરનામું સ્થાન ઓળખકર્તા,पत्ता जागा अभिज्ञापक
સરનાવ બંધ,पत्ता थांबा
સરનામા,पत्ता ट्रेस
સરનામા,पत्ता ट्रॅक
અનુવાદ,पत्ता अनुवाद
અનુવાદક,पत्ता अनुवादक
સબમટ્રેક્ટ સમય ઉમેરવો,अ‍ॅड-सबस्ट्रॅक्ट वेळ
સમય ઉમેરો,वेळ जोडा
સંલગ્નતા,समीप
સંલગ્ન માળખું,जवळची रचना
સંલગ્ન માતૃભાષા,समीप चॅनेल
સંલગ્ન ડોમેન,समीप डोमेन
