Telugu,Kannada
అసాధారణ,ಅಸಹಜ
అబార్ట్,ಸ್ಥಗಿತಗೊಳಿಸು
అబ్రేషన్,ಸವೆದುಹೋಗುವಿಕೆ
ఆకస్మిక,ಹಠಾತ್ತಾಗಿ
సంపూర్ణ క్షేత్ర బలం,ಸಂಪೂರ್ಣ ಕ್ಷೇತ್ರ ಶಕ್ತಿ
సంపూర్ణ ఉష్ణోగ్రత,ಸಂಪೂರ್ಣ ತಾಪಮಾನ
సంపూర్ణ విలువ,ಸಂಪೂರ್ಣ ಮೌಲ್ಯ
గ్రహించండి,ಹೀರಿಕೊಳ್ಳಿ
శోషణ సహ-సమర్థత,ಹೀರಿಕೊಳ್ಳುವ ಸಹ-ಸಮರ್ಥ
శోషణ నష్టం,ಹೀರಿಕೊಳ್ಳುವ ನಷ್ಟ
నైరూప్య,ಅಮೂರ್ತ
యాక్సిలెరోమీటర్,ವೇಗವರ್ಧಕ ಮಾಪಕ
అంగీకార పరీక్ష,ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ
యాక్సెస్,ಪ್ರವೇಶ
యాక్సెస్ నియంత్రణ,ಪ್ರವೇಶ ನಿಯಂತ್ರಣ
యాక్సెస్ పాయింట్,ಪ್ರವೇಶ
ప్రాప్యత సమయం,ಪ್ರವೇಶ ಸಮಯ
సౌలభ్యాన్ని,ಪ್ರವೇಶಿಸುವಿಕೆ
సంచిత కణం,ಸಂಚಯಕ ಕೋಶ
ఖచ్చితత్వం,ನಿಖರತೆ
ఖచ్చితమైనది,ನಿಖರವಾದ
అచ్రోమాటిక్ లెన్స్,ವರ್ಣರಂಜಿತ ಮಸೂರದ
ఆమ్లము,ಆಮ್ಲ
యాసిడ్ ప్రూఫ్,ಆಮ್ಲ ಪುರಾವೆ
ఆమ్లత్వం,ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ
రసీదు బిట్,ಸ್ವೀಕೃತ ಬಿಟ್
శబ్ద,Acೇಳ್ಳರದ
ఎకౌస్టిక్ కమ్యూనికేషన్,ಅಕೌಸ್ಟಿಕ್ ಸಂವಹನ
శబ్ద వ్యాప్తి,ಅಕೌಸ್ಟಿಕ್ ಪ್ರಸರಣ
ఎకౌస్టిక్ ఈక్వలైజర్,ಅಕೌಸ್ಟಿಕ್ ಸಮೀಕರಣ
శబ్ద అభిప్రాయం,ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ
శబ్ద వడపోత,ಕೊಳೆತ ಫಿಲ್ಟರ್
శబ్ద ఇంపెడెన్స్,ಸಕಲಿಯ ಪ್ರತಿರೋಧ
ఎకౌస్టిక్ మాస్కింగ్,ಅಕೌಸ್ಟಿಕ್ ಮರೆಮಾಚುವ
శబ్ద శక్తి,ಅಕೌಸ್ಟಿಕ್ ಶಕ್ತಿ
శబ్ద ఆస్తి,ಅಕೌಸ್ಟಿಕ್ ಆಸ್ತಿ
శబ్ద ప్రతిచర్య,ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ
