Kannada,Marathi
ಸ್ಥಗಿತಗೊಳಿಸು,गर्भपात
ಟೈಮರ್ ಅನ್ನು ಸ್ಥಗಿತಗೊಳಿಸಿ,गर्भपात टाइमर
ಸಂಪೂರ್ಣ ವಿಳಾಸ,परिपूर्ण पत्ता
ಸಂಪೂರ್ಣ ವಿಳಾಸ,परिपूर्ण पत्ता
ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್,परिपूर्ण असेंबलर
ಸಂಪೂರ್ಣ ಕೋಡ್,परिपूर्ण कोड
ಸಂಪೂರ್ಣ ಕೋಡಿಂಗ್,परिपूर्ण कोडिंग
ಸಂಪೂರ್ಣ ಆಜ್ಞೆ,परिपूर्ण आज्ञा
ಸಂಪೂರ್ಣ ಸಮನ್ವಯ,परिपूर्ण समन्वय
ಸಂಪೂರ್ಣ ಡೇಟಾ,परिपूर्ण डेटा
ಸಂಪೂರ್ಣ ದೋಷ,परिपूर्ण त्रुटी
ಸಂಪೂರ್ಣ ಅಭಿವ್ಯಕ್ತಿ,परिपूर्ण अभिव्यक्ती
ಸಂಪೂರ್ಣ ಸೂಚನೆ,परिपूर्ण सूचना
ಸಂಪೂರ್ಣ ಲೋಡರ್,परिपूर्ण लोडर
ಸಂಪೂರ್ಣ ಕ್ರಮ,परिपूर्ण ऑर्डर
ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್,परिपूर्ण प्रोग्रामिंग
ಸಂಪೂರ್ಣ ಪದ,परिपूर्ण संज्ञा
ಸಂಪೂರ್ಣ ಮೌಲ್ಯ,परिपूर्ण मूल्य
ಸಂಪೂರ್ಣ ವೆಕ್ಟರ್,परिपूर्ण वेक्टर
ಅಮೂರ್ತ,गोषवारा
ಅಮೂರ್ತಗೊಳಿಸುವ,अमूर्त
ಅಮೂರ್ತ ಚಿಹ್ನೆ,अमूर्त प्रतीक
ವೇಗವರ್ಧನೆ ಅವಧಿ,प्रवेग कालावधी
ವೇಗವರ್ಧಕ ಸಮಯ,प्रवेग वेळ
ಉಚ್ಚಾರಣಾ,उच्चारण
ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ,स्वीकृती चाचणी
ಪ್ರವೇಶ,प्रवेश
ಪ್ರವೇಶ,प्रवेश आर्म
ಪ್ರವೇಶ ವ್ಯವಸ್ಥೆ,प्रवेश व्यवस्था
ಪ್ರವೇಶ,प्रवेश प्राधिकरण
ಪ್ರವೇಶ,प्रवेश शुल्क
ಪ್ರವೇಶ ವರ್ಗ,प्रवेश वर्ग
ಡೇಟಾ ಬೇಸ್ ನಿರ್ವಹಣೆಯನ್ನು ಪ್ರವೇಶಿಸಿ,प्रवेश डेटा बेस व्यवस्थापन
ಪ್ರವೇಶ ಪರಿಸರ,प्रवेश वातावरण
ಪ್ರವೇಶದ ಅಂತರ,प्रवेश अंतर
ಪ್ರವೇಶ ಸೂಚ್ಯಂಕ,प्रवेश निर्देशांक
ಪ್ರವೇಶ,Line क्सेस लाइन
ಪ್ರವೇಶ ಕಾರ್ಯ,प्रवेश यंत्रणा
ಪ್ರವೇಶ ವಿಧಾನ,प्रवेश पद्धत
ಪ್ರವೇಶ ವಿಧಾನ ದಿನಚರಿ,प्रवेश पद्धत दिनचर्या
ಪ್ರವೇಶ ಕ್ರಮ,प्रवेश मोड
ಪ್ರವೇಶ ಬಲ,प्रवेश बरोबर
ಪ್ರವೇಶ ಸ್ಕ್ಯಾನ್,प्रवेश स्कॅन
ಪ್ರವೇಶ ಸಮಯ,प्रवेश वेळ
ಲೆಕ್ಕಪತ್ರ,लेखा
ಲೆಕ್ಕಪರಿಶೋಧನಾ ವ್ಯವಸ್ಥೆ,लेखा वित्त प्रणाली
ಅಕೌಂಟಿಂಗ್ ಯಂತ್ರ,लेखा मशीन
ಖಾತೆ ಸಂಖ್ಯೆ,खाते क्रमांक
ಸಂತಾನೋತ್ಪತ್ತಿ ಮಾಡುವವರನ್ನು ಸಂಗ್ರಹಿಸುವುದು,पुनरुत्पादक संचय
ಸಂಗ್ರಹಣೆದಾರ,संचयक
ಸಂಚಯಕ ನೋಂದಣಿ,संचयक नोंदणी
ಸಂಚಯಕ ಶಿಫ್ಟ್ ಸೂಚನೆ,संचयक शिफ्ट सूचना
ನಿಖರತೆ,अचूकता
ನಿಖರತೆ ನಿಯಂತ್ರಣ ಪಾತ್ರ,अचूकता नियंत्रण वर्ण
ನಿಖರತೆ ನಿಯಂತ್ರಣ ವ್ಯವಸ್ಥೆ,अचूकता नियंत्रण प्रणाली
ಏಸ್ ಪೈಲಟ್,ऐस पायलट
ಪಾತ್ರವನ್ನು ಅಂಗೀಕರಿಸಿ,चरित्र कबूल करा
ಅಕೌಸ್ಟಿಕ್ ಕೋಪ್ಲರ್,ध्वनिक कपलर
ಅಕೌಸ್ಟಿಕ್ ಜೋಡಣೆ,ध्वनिक कपलिंग
ಅಕೌಸ್ಟಿಕ್ ವಿಳಂಬ ರೇಖೆ,ध्वनिक विलंब रेखा
ಅಕೌಸ್ಟಿಕ್ ಸ್ಮರಣೆ,ध्वनिक मेमरी
ಸಕೌಸ್ಟಿಕ್ ಮೋಡೆಮ್,ध्वनिक मॉडेम
ಅಕೌಸ್ಟಿಕ್ ಸಂಕೇತ,ध्वनिक सिग्नल
ಅಕೌಸ್ಟಿಕ್ ಸಂಗ್ರಹ,ध्वनिक संचयन
ಸಂಕ್ಷಿಪ್ತ ರೂಪ,परिवर्णी शब्द
ಕ್ರಿಯಾಶೀಲತೆ,क्रिया
ಕ್ರಿಯಾಶೀಲತೆ,कृती चक्र
ಕ್ರಿಯಾಶೀಲ ರೇಖೆ,कृती ओळ
ಕ್ರಿಯಾಶೀಲ,कृती संदेश
ಕ್ರಿಯಾಶೀಲತೆ,कृती तपशील
ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ,सक्रियकरण
ಸಕ್ರಿಯ,सक्रिय
ಸಕ್ರಿಯ ಫೈಲ್,सक्रिय फाईल
ಸಕ್ರಿಯ ರೇಖೆ,सक्रिय ओळ
ಸಕ್ರಿಯ ಲಿಂಕ್,सक्रिय दुवा
ಸಕ್ರಿಯ ಮಾಸ್ಟರ್ ಫೈಲ್,सक्रिय मास्टर फाइल
ಸಕ್ರಿಯ ಮಾಸ್ಟರ್ ಐಟಂ,सक्रिय मास्टर आयटम
ಸಕ್ರಿಯ ಉಪಗ್ರಹ,सक्रिय उपग्रह
ಸಕ್ರಿಯ ನಿಲ್ದಾಣ,सक्रिय स्टेशन
ಸಕ್ರಿಯ ಸಂಗ್ರಹಣೆ,सक्रिय संचयन
ಚಟುವಟಿಕೆ,क्रियाकलाप
ಚಟುವಟಿಕೆ ಮಟ್ಟ,क्रियाकलाप पातळी
ಚಟುವಟಿಕೆ ಲೋಡಿಂಗ್,क्रियाकलाप लोडिंग
ಚಟುವಟಿಕೆ ಅನುಪಾತ,क्रियाकलाप प्रमाण
ನಿಜವಾದ ವಿಳಾಸ (= ಸಂಪೂರ್ಣ ವಿಳಾಸ),वास्तविक पत्ता (= परिपूर्ण पत्ता)
ನಿಜವಾದ ಕೋಡ್ (= ಸಂಪೂರ್ಣ ಕೋಡ್),वास्तविक कोड (= परिपूर्ण कोड)
ನಿಜವಾದ ಡೇಟಾ ವರ್ಗಾವಣೆ ದರ,वास्तविक डेटा हस्तांतरण दर
ವಾಸ್ತವಿಕ ದಶಮಾಂಶ ಬಿಂದು,वास्तविक दशांश बिंदू
ನಿಜವಾದ ಸೂಚನೆ (= ಪರಿಣಾಮಕಾರಿ ಸೂಚನೆ),वास्तविक सूचना (= प्रभावी सूचना)
ವಾಸ್ತವಿಕ ಕೀ,वास्तविक की
ವಾಸ್ತವಿಕ ಸಮಯ,वास्तविक वेळ
ನಿಜವಾದ ಕೆಲಸದ ಸಮಯ,वास्तविक कामाची वेळ
ಸಂಕೇತ,अ‍ॅक्ट्युएटिंग सिग्नल
ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ,अनुकूलता
ಅಳವಡಗಾರ,अ‍ॅडॉप्टर
ಹೊಂದಾಣಿಕೆಯ ಚಾನಲ್ ಹಂಚಿಕೆ,अ‍ॅडॉप्टिव्ह चॅनेल वाटप
ಹೊಂದಾಣಿಕೆಯ ಏಕೀಕರಣ,अनुकूली एकत्रीकरण
ಅಡಾಪ್ಟಿವ್ ಟ್ರಾನ್ಸ್‌ವರ್ಸಲ್ ಈಕ್ವಲೈಜರ್,अ‍ॅडॉप्टिव्ह ट्रान्सव्हर्सल इक्वेलायझर
ಪ್ರವೇಶವನ್ನು ಸೇರಿಸಲಾಗಿದೆ,जोडलेली प्रविष्टी
ಸೇರಿಸು,परिशिष्ट
ಸೇರಿಸುವವನು,अ‍ॅडर
ಸೇಡ್ ಸಬ್ಟ್ರಾಕ್ಟರ್,अ‍ॅडडर सबट्रॅक्टर
ಕಡತವನ್ನು ಸೇರಿಸು,फाईल जोडा
ಹೆಚ್ಚುವರಿ ಅಕ್ಷರ (= ವಿಶೇಷ ಅಕ್ಷರ),अतिरिक्त वर्ण (= विशेष वर्ण)
ಸೇರ್ಪಡೆ ರೆಕಾರ್ಡರ್,व्यतिरिक्त रेकॉर्डर
ಸೇರ್ಪಡೆ ಮೇಜು,व्यतिरिक्त सारणी
ಸಂಯೋಜಕ ಗುಣಲಕ್ಷಣ,अ‍ॅडिटिव्ह विशेषता
ಮೋಡ್ ಸೇರಿಸಿ,मोड जोडा
ಕಾರ್ಯಾಚರಣೆ ಸೇರಿಸಿ,ऑपरेशन जोडा
ಭಾಷಣ,पत्ता
ವಿಳಾಸದ ಅಳತೆ,पत्तेपणाचा उपाय
ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸಮತಲ ಸ್ಥಾನ,पत्ते करण्यायोग्य क्षैतिज स्थिती
ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಬಿಂದು,पत्ता योग्य बिंदू
ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸ್ಥಾನ,पत्ता योग्य स्थिती
ವಿಳಾಸ ಮಾಡಬಹುದಾದ ರಿಜಿಸ್ಟರ್,पत्ते करण्यायोग्य नोंदणी
ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸಂಗ್ರಹಣೆ,पत्ता योग्य स्टोरेज
ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಲಂಬ ಸ್ಥಾನ,पत्ता योग्य अनुलंब स्थिती
ವಿಳಾಸ ಬಸ್,अ‍ॅड्रेस बस
ವಿಳಾಸ ಕೋಡ್,पत्ता कोड
ವಿಳಾಸ ಹೋಲಿಕೆದಾರ,पत्ता तुलनात्मक
ವಿಳಾಸ ಗಣನೆ,पत्ता गणना
ವಿಳಾಸ ಸ್ಥಿರ,पत्ता स्थिर
ವಿಳಾಸ ಪರಿವರ್ತನೆ,पत्ता रूपांतरण
ವಿಳಾಸ ಡೇಟಾ,पत्ता डेटा
ವಿಳಾಸ ಮೆಮೊರಿ,संबोधित मेमरी
ವಿಳಾಸ ಪರಿಣಾಮಕಾರಿ,पत्ता प्रभावी
ವಿಳಾಸ ಕ್ಷೇತ್ರ,पत्ता फील्ड
ವಿಳಾಸ ಸ್ವರೂಪ,पत्ता स्वरूप
ವಿಳಾಸ ಉಚಿತ ಕಾರ್ಯಕ್ರಮ,पत्ता विनामूल्य कार्यक्रम
ಸಂಬೋಧಿಸುವುದು,पत्ता
ಸಂಬೋಧಿಸುವುದು  ಪಾತ್ರ,पत्ता  वर्ण
ಅಡಚಣೆಯನ್ನು ಉದ್ದೇಶಿಸಿ,व्यत्यय संबोधित करणे
ವಿಳಾಸ ಲೂಪ್,पळवाट पळवाट
ವರ್ಚುವಲ್ ಮೆಮೊರಿಯನ್ನು ಉದ್ದೇಶಿಸಿ,आभासी मेमरी संबोधित करणे
ವಿಳಾಸ ಇಂಟರ್ಲೇಟಿಂಗ್,पत्ता इंटरलॅकिंग
ವಿಳಾಸವಿಲ್ಲದ ಸೂಚನಾ ಸ್ವರೂಪ,पत्ता नसलेली सूचना स्वरूप
ವಿಳಾಸ ಸಾಲು,पत्ता ओळ
ವಿಳಾಸ ಮ್ಯಾಪಿಂಗ್,पत्ता मॅपिंग
ವಿಳಾಸ ಗುರುತು,पत्ता चिन्ह
ವಿಳಾಸ ಮಾರ್ಪಾಡು,पत्ता बदल
ವಿಳಾಸದ ಭಾಗ,पत्ता भाग
ವಿಳಾಸ ಪಾಯಿಂಟರ್,पत्ता पॉईंटर
ವಿಳಾಸ ನೋಂದಣಿ,पत्ता नोंदणी
ವಿಳಾಸ ಸಂಕೇತ,पत्ता सिग्नल
ವಿಳಾಸದ ಗಾತ್ರ,पत्ता आकार
ವಿಳಾಸ ಸ್ಥಳ,पत्ता जागा
ವಿಳಾಸ ಬಾಹ್ಯಾಕಾಶ ಗುರುತಿಸುವಿಕೆ,पत्ता जागा अभिज्ञापक
ವಿಳಾಸ ನಿಲುಗಡೆ,पत्ता थांबा
ವಿಳಾಸ ಜಾಡಿನ,पत्ता ट्रेस
ವಿಳಾಸ ಟ್ರ್ಯಾಕ್,पत्ता ट्रॅक
ವಿಳಾಸ ಅನುವಾದ,पत्ता अनुवाद
ವಿಳಾಸ ಅನುವಾದಕ,पत्ता अनुवादक
ಕಕ್ಸಚ್ಚುವಿಕೆಯನ್ನು ಸೇರಿಸಿ ಸಮಯ,अ‍ॅड-सबस्ट्रॅक्ट वेळ
ಸಮಯವನ್ನು ಸೇರಿಸಿ,वेळ जोडा
ಪಕ್ಕದ,समीप
ಪಕ್ಕದ ರಚನೆ,जवळची रचना
ಪಕ್ಕದ ಚಾನಲ್,समीप चॅनेल
ಪಕ್ಕದ ಡೊಮೇನ್,समीप डोमेन
ಪಕ್ಕದ ಮ್ಯಾಟ್ರಿಕ್ಸ್,समीप मॅट्रिक्स
ಪಕ್ಕದ ನೋಡ್,समीप नोड
ಪಕ್ಕದ ಸುಬೇರಿಯಾ,समीप सुबेरिया
ಹೊಂದಾಣಿಕೆ (ಸಿಸ್ಟಮ್),संक्षिप्त रुप (सिस्टम)
ಸರಿಹೊಂದಿಸು,समायोजित करा
ಹೊಂದಾಣಿಕೆ ವ್ಯಾಪ್ತಿ,समायोज्य मर्यादा
ಪಠ್ಯ ಮೋಡ್ ಅನ್ನು ಹೊಂದಿಸಿ,मजकूर मोड समायोजित करा
ಆಡಳಿತ ದತ್ತಾಂಶ ಸಂಸ್ಕರಣೆ,प्रशासकीय डेटा प्रक्रिया
ಆಡಳಿತಾತ್ಮಕ ಕಾರ್ಯಾಚರಣೆ,प्रशासकीय ऑपरेशन
ಆಡಳಿತಕಾರಕ,प्रशासकीय ऑपरेटर
ಆಡಳಿತ ನಿರ್ವಾಹಕ ಕೇಂದ್ರ,प्रशासकीय ऑपरेटर स्टेशन
ಆಡಳಿತಾತ್ಮಕ ಬೆಂಬಲ ವ್ಯವಸ್ಥೆ,प्रशासकीय समर्थन प्रणाली
ಸುಧಾರಿತ ಸಂವಹನ ಸೇವೆ,प्रगत संप्रेषण सेवा
ಸುಧಾರಿತ ಮಾಹಿತಿ ವ್ಯವಸ್ಥೆ,प्रगत माहिती प्रणाली
ಸುಧಾರಿತ ಆಪ್ಟಿಕಲ್ ಕ್ಯಾರೆಕ್ಟರ್ ರೀಡರ್,प्रगत ऑप्टिकल कॅरेक्टर रीडर
ಸುಧಾರಿತ ವೈಜ್ಞಾನಿಕ ಕಂಪ್ಯೂಟರ್,प्रगत वैज्ञानिक संगणक
ವೈಮಾನಿಕ,हवाई
ಒಟ್ಟು,एकूण
ಒಟ್ಟು ಅಭಿವ್ಯಕ್ತಿ,एकूण अभिव्यक्ती
ಗುರಿ ವೃತ್ತ,लक्ष्य वर्तुळ
ಗುರಿ ಕ್ಷೇತ್ರ (= ಗುರಿ ಚಿಹ್ನೆ),लक्ष्य फील्ड (= लक्ष्य चिन्ह)
ಗುರಿ ಚಿಹ್ನೆ,लक्ष्य प्रतीक
ವಾಯುಗಾಮಿ ಕಂಪ್ಯೂಟರ್ ವ್ಯವಸ್ಥೆ,एअरबोर्न संगणक प्रणाली
ಬೀಜಗಣಿತ ಐಜೆನ್ವಾಲ್ಯು ಸಮಸ್ಯೆ,बीजगणित ईगेनव्हल्यू समस्या
ಬೀಜಗಣಿತದ  ಏಕೀಕರಣ,बीजगणित  एकत्रीकरण
ಬೀಜಗಣಿತದ ಭಾಷೆ,बीजगणित भाषा
ಬೀಜಗಣಿತದ ಕುಶಲ,बीजगणित हाताळणी
ಬೀಜಗಣಿತದ ಕುಶಲ ಭಾಷೆ,बीजगणित मॅनिपुलेशन भाषा
ಬೀಜಗಣಿತ ಆಧಾರಿತ ಭಾಷೆ,बीजगणित ओरिएंटेड भाषा
ಬೀಜಗಣಿತದ ಶಿಫ್ಟ್,बीजगणित शिफ्ट
ಬೀಜಗಣಿತ ಚಿಹ್ನೆ ಸಮಾವೇಶ,बीजगणित साइन कन्व्हेन्शन
ಪಾಚಕ,अल्गोल
ಆಲ್ಗೋಲ್ ವೈಶಿಷ್ಟ್ಯ,अल्गोल वैशिष्ट्य
ಅಲ್ಗೋಲ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್,अल्गोल प्रोग्रामिंग
ಅಲ್ಗಾರಿದಮ್,अल्गोरिदम
ಅಲ್ಗಾರಿದಮ್ ಸಹಾಯಕ ಭಾಷೆ,अल्गोरिदम असोसिएटिव्ह भाषा
ಅಲ್ಗಾರಿದಮ್ ವರ್ಗೀಕರಣ,अल्गोरिदम वर्गीकरण
ಅಲ್ಗಾರಿದಮ್ ಸಂಕೀರ್ಣತೆ,अल्गोरिदम जटिलता
ಅಲ್ಗಾರಿದಮ್ ಗಣನೀಯತೆ,अल्गोरिदम संगणन
ಕ್ರಮಾವಧಿಕ ವಿಶ್ಲೇಷಣೆ,अल्गोरिदम विश्लेषण
ಕ್ರಮಾವಧಿಕ ವಿಧಾನ,अल्गोरिदम दृष्टिकोन
ಕ್ರಮಬದ್ಧ ಭಾಷೆ,अल्गोरिदम भाषा
ಅಲ್ಗಾರಿದಮಿಕ್ ವಾಡಿಕೆಯ,अल्गोरिदम नित्यक्रम
ಕ್ರಮಾವಧಿಕ ಸಿದ್ಧಾಂತ,अल्गोरिदम सिद्धांत
ಅಲಿಯಾಸ್,उर्फ
ಅಲಿಯಾಸೆ,अलियासिंग
ಅಲಿಯಾಸ್ ಹೆಸರು (= ಪರ್ಯಾಯ ಹೆಸರು),उर्फ नाव (= वैकल्पिक नाव)
ಜೋಡಣೆ,संरेखन
ನಿಯೋಜಿಸು,वाटप
ಹಂಚಿಕೆ ರಚನೆ,वाटप रचना
ಎಲ್ಲಾ ಉದ್ದೇಶದ ಕಂಪ್ಯೂಟರ್,सर्व हेतू संगणक
ವರ್ಣಮಾಲೆಯ ಪಾತ್ರ,वर्णमाला वर्ण
ವರ್ಣಮಾಲೆಯ ಅಕ್ಷರಗಳ ಸೆಟ್,वर्णमाला वर्ण सेट
ವರ್ಣಮಾಲೆಯ ಅಕ್ಷರ ಉಪವಿಭಾಗ,अल्फाबेटिक कॅरेक्टर सबसेट
ವರ್ಣಮಾಲೆ ಸಂಕೇತ,वर्णमाला कोड
ವರ್ಣಮಾಲೆ ಶಿಫ್ಟ್,वर्णमाला शिफ्ट
ವರ್ಣಮಾಲೆಯ ದಾರ,वर्णमाला स्ट्रिंग
ವರ್ಣಮಾಲೆ ಪದ,वर्णमाला शब्द
ವರ್ಣಮಾಲೆ,वर्णमाला
ಆಲ್ಫೇಜೀಟ್ರಿಕ್ಸ್,अल्फेजोमेट्रिक्स
ಆಲ್ಫಾಮನ,अल्फामेरिक
ವರ್ಣಮಾಲೆಯ,अल्फामोसॅक
ವರ್ಣಮಾಲೆಯ,अल्फान्यूमेरिक
ಆಲ್ಫಾನ್ಯೂಮರಿಕಲ್ ಕೀಬೋರ್ಡ್ ಸಾಧನ,अल्फान्यूमरिकल कीबोर्ड डिव्हाइस
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಅಕ್ಷರ ಸೆಟ್,अल्फान्यूमेरिक कॅरेक्टर सेट
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೋಡ್,अल्फान्यूमेरिक कोड
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೋಡೆಡ್ ಅಕ್ಷರ ಸೆಟ್,अल्फान्यूमेरिक कोडेड कॅरेक्टर सेट
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಡೇಟಾ,अल्फान्यूमेरिक डेटा
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಪ್ರದರ್ಶನ ಸಾಧನ,अल्फान्यूमेरिक डिस्प्ले डिव्हाइस
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಸಂಪಾದಿತ ಪಾತ್ರ,अल्फान्यूमेरिक संपादित वर्ण
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕ್ಷೇತ್ರ,अल्फान्यूमेरिक फील्ड
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಸೂಚನೆ,अल्फान्यूमेरिक सूचना
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೀಬೋರ್ಡ್,अल्फान्यूमेरिक कीबोर्ड
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ವಿಂಗಡಣೆ,अल्फान्यूमेरिक क्रमवारी
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಸಂಗ್ರಹ,अल्फान्यूमेरिक स्टोरेज
ಬದಲಾಯಿಸಬಹುದಾದ ಮೆಮೊರಿ,बदलण्यायोग्य मेमरी
ಬದಲಾವಣೆ ಸ್ವಿಚ್,बदल स्विच
ಬದಲಾಯಿಸುವ,बदल
ಬದಲಾದ ಮೋಡ್,बदल मोड
ಪರ್ಯಾಯ ಚೇತರಿಕೆ,वैकल्पिक पुनर्प्राप्ती
ಪರ್ಯಾಯ ಮಾರ್ಗ,वैकल्पिक मार्ग
