Punjabi,Tamil
"1. ਅਬੈਕਸ, 2. ਗਿਣਤੀ","1.அபாகஸ், 2. எண்ணும்"
ਅਸਧਾਰਨ ਅੰਤ,அசாதாரண முடிவு
ਰੁਕਾਵਟ,இடைமறிக்கவும்
"1. ਸੰਪੂਰਨ, 2. ਸੁਪਰੀਮ","1. முழுமையான, 2. உச்சம்"
ਪੂਰਾ ਪਤਾ,முழுமையான முகவரி
ਸੰਪੂਰਨ ਪਤਾਯੋਗਤਾ,முழுமையான முகவரித்திறன்
ਪੂਰਨ ਅਸੈਂਬਲਰ,முழுமையான அசெம்பிளர்
"1. ਸੰਪੂਰਨ ਕੋਡ, 2. ਪੂਰਨ ਕੋਡ","1. முழுமையான குறியீடு, 2. முழுமையான குறியீடு"
ਪੂਰਨ ਹੁਕਮ,முழுமையான கட்டளை
"1. ਸੰਪੂਰਨ ਅੰਕੜੇ, 2. ਪੂਰਨ ਡਾਟਾ","1. முழுமையான புள்ளிவிவரங்கள், 2. முழுமையான தரவு"
ਪੂਰਨ ਹਦਾਇਤ,முழுமையான அறிவுறுத்தல்
ਪੂਰਨ ਮੋਡ,முழுமையான பயன்முறை
ਪੂਰਨ ਮਾਰਗ,முழுமையான பாதை
"1. ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ, 2. ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ","1. முழுமையான நிரலாக்கம், 2. முழுமையான நிரலாக்கம்"
ਐਬਸਟਰੈਕਟ ਕਲਾਸ,சுருக்க வர்க்கம்
ਸੰਖੇਪ ਡਾਟਾ ਕਿਸਮ,சுருக்க தரவு வகை
ਐਬਸਟਰੈਕਟ ਮਸ਼ੀਨ,சுருக்க இயந்திரம்
ਸੰਖੇਪ ਚਿੰਨ੍ਹ,சுருக்க சின்னம்
ਸੰਖੇਪ ਸੰਟੈਕਸ,சுருக்க தொடரியல்
ਸਵੀਕ੍ਰਿਤੀ ਟੈਸਟ,ஏற்பு சோதனை
ਪਹੁੰਚ ਪ੍ਰਮਾਣੀਕਰਣ,அணுகல் சான்றிதழ்
"1. ਪਹੁੰਚ ਕੋਡ, 2. ਐਕਸੈਸ ਕੋਡ","1. அணுகல் குறியீடு, 2. அணுகல் குறியீடு"
ਪਹੁੰਚ ਕੰਟਰੋਲ,நுழைவு கட்டுப்பாடு
ਐਕਸੈਸ ਸਕੈਨਿੰਗ,அணுகல் ஸ்கேனிங்
ਸਹਾਇਕ ਉਪਕਰਣ,பாகங்கள்
ਲੇਖਾਕਾਰੀ,கணக்கியல்
"1. ਖਾਤਾ ID, 2. ਲੇਖਾ ਪਛਾਣ","1. கணக்கு ஐடி, 2. கணக்கியல் அடையாளம்"
ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ,திரட்டி
"1. ਸ਼ੁੱਧਤਾ, 2. ਸ਼ੁੱਧਤਾ","1. துல்லியம், 2. துல்லியம்"
ਪਹੁੰਚ,அணுகல்
ਪਹੁੰਚ ਕੰਟਰੋਲ ਬਾਈਟ,அணுகல் கட்டுப்பாட்டு பைட்டுகள்
ਪਹੁੰਚ ਸੂਚਕ,அணுகல் காட்டி
ਪਹੁੰਚ ਕੁੰਜੀ,அணுகல் விசை
"1. ਪਹੁੰਚ ਮੈਟਰਿਕਸ, 2. ਪਹੁੰਚ ਮੈਟਰਿਕਸ","1. அணுகல் அணி, 2. அணுகல் அணி"
ਪਹੁੰਚ ਮੋਡ,அணுகல் முறை
ਪਹੁੰਚ ਅਧਿਕਾਰ,அணுகல் சலுகைகள்
ਪਹੁੰਚ ਸੁਰੱਖਿਆ,அணுகல் பாதுகாப்பு
"1. ਐਕਸੈਸ ਸਰਵਰ, 2. ਸਰਵਰ ਤੱਕ ਪਹੁੰਚ","1. அணுகல் சேவையகம், 2. அணுகல் சர்வர்"
ਪਹੁੰਚ ਦਾ ਸਮਾਂ,அணுகல் நேரம்
ਮਾਨਤਾ,ஒப்புகை
ਧੁਨੀ ਵਿਗਿਆਨ,ஒலியியல்
"1. ਸੰਖੇਪ ਰੂਪ, 2. ਸੰਖੇਪ, 3. ਤੋਂ ਛੋਟਾ","1. சுருக்கம், 2. சுருக்கம், 3. இருந்து குறுகிய"
ਕਾਰਵਾਈ ਸੁਨੇਹਾ,செயல் செய்தி
ਸਰਗਰਮੀ,செயல்படுத்துதல்
ਸਰਗਰਮ ਸਰਵਰ ਪੰਨਾ,செயலில் உள்ள சர்வர் பக்கம்
ਕਿਰਿਆਸ਼ੀਲ ਸੰਸਕਰਣ,செயலில் உள்ள பதிப்பு
acyclic,அசைக்ளிக்
"1. ਏਸਾਈਕਲਿਕ ਗ੍ਰਾਫ਼, 2. acyclic ਗ੍ਰਾਫ਼","1. அசைக்ளிக் வரைபடம், 2. அசைக்ளிக் வரைபடம்"
ਅਦਾ ਕੰਪਿਊਟਰ ਭਾਸ਼ਾ,அட கணினி மொழி
"1. ਆਪਟੀਮਾਈਜ਼ਰ, 2. ਆਪਟੀਮਾਈਜ਼ਰ","1. ஆப்டிமைசர், 2. உகப்பாக்கி"
ਜੋੜ),மொத்தத்தில்)
sum ਫਾਈਲ,தொகை கோப்பு
"1. ਐਡੀਸ਼ਨ ਓਪਰੇਸ਼ਨ, 2. ਸੰਯੁਕਤ ਕਾਰਵਾਈ","1. கூட்டல் செயல்பாடு, 2. மொத்த செயல்பாடு"
ਜੋੜਨ ਵਾਲਾ,சேர்ப்பான்
ਜਾਣੋ,தெரியும்
ਪਤਾ ਬੱਸ,முகவரி பேருந்து
ਐਡਰੈੱਸ ਫਾਈਲ,முகவரி கோப்பு
ਪਤਾ ਫਾਰਮੈਟ,முகவரி வடிவம்
ਪਤਾ ਜਨਰੇਟਰ,முகவரி ஜெனரேட்டர்
ਐਡਰੈੱਸ ਲਾਈਨ,முகவரி வரி
ਪਤਾ ਮੈਪਿੰਗ,முகவரி மேப்பிங்
ਪਤਾ ਸੂਚਕ,முகவரி காட்டி
ਪਤਾ ਰਜਿਸਟਰ,முகவரி பதிவு
ਪਤਾ ਟੁੱਟਣ,முகவரி முறிவு
ਪਤਾ ਅਨੁਵਾਦ,முகவரி மொழிபெயர்ப்பு
"1. ਪਤਾ ਕਰਨ ਯੋਗ ਮੈਮੋਰੀ, 2. ਪਤਾ ਕਰਨ ਯੋਗ ਮੈਮੋਰੀ","1. முகவரி நினைவகம், 2. முகவரியிடக்கூடிய நினைவகம்"
ਸੰਬੋਧਨ ਕਰਦੇ ਹੋਏ,உரையாற்றுதல்
