Kannada,Hindi
ಅಬಾಕ್ಸಿಯಲ್ ಮೇಲ್ಮೈ,अपाक्ष पृष्ठ
ಹೊಟ್ಟೆ,उदर
ಕಿಬ್ಬೊಟ್ಟೆಯ ಮಹಾಪಧಮ,उदर महाधमनी
ಕಿಬ್ಬೊಟ್ಟೆಯ ಗ್ಯಾಂಗ್ಲಿಯಾ,उदर गुच्छिका
ಅಬೆಲ್ಮೋಸ್ಕಸ್ ಎಸ್ಕುಲೆಂಟಸ್,अबेलमॉस्कस एस्कुलेन्टस
ವಿರೂಪಗೊಳಿಸುವಿಕೆ,विपथन
ಅಬ್ಬರ,ऐबीज (बलूत)
ಅಬಿಂಗ್ಡನ್ ಆಮೆ,ऐबिंग्डन कछुआ
ಕ್ಷು ತನ್ನತೆ,अजीवात्जनन
ಅಸಹ್ಯವಾದ,अजीवीय
ಉದಾಸೀಯ ಅಂಶ,"अजीवीय कारक, अजैव कारक"
ಅಸಹಜ ಮೂತ್ರ,अपसामानय मूत्र
ಅಬೊ ಬ್ಲಡ್ ಗ್ರೂಪ್,ए.बी.ओ. रुधिर वर्ग
ಅಬ್ಸಿಸಿಕ್ ಆಮ್ಲ,एब्सिसिक अम्ल
ಕಂದಿಸುವುದು,विलगन
ಹೀರಿಕೊಳ್ಳಿ,अवशोषण करना
ಹೀರಿಕೊಳ್ಳುವ ಶಿಖರ,अवशोषण शिखर
ಹೀರುವಿಕೆ,अवशोषण
ಅಕಿಯಾ ಕ್ಯಾಟೆಚು,अकेशिया कैटेच्यू
ಅಕ್ಯಾಬಿಕಾ,अकेशिया अरेबिका (बबूल)
ಅಣಕಾದ,ऐकैप्रिन
ಸ್ವೀಕಾರಾರ್ಹ ಲೈಂಗಿಕ ನಡವಳಿಕೆ,स्वीकार्य लैंगिक व्यवहार
ಪರಿಕರ ಗ್ರಂಥಿ,सहायक ग्रंथि
ಪರಿಕರ ಗ್ರಂಥಿ,अतिरिक्त ग्रंथि
ಪರಿಕರ ಅಂಗ,सहायक अंग
ಒಗ್ಗೂಡಿಸುವಿಕೆ,"पर्यनुकूलन, दशानुकूलन"
ಒಗ್ಗಿಸು,"पर्यनुकूलित करना, दशानुकूलित करना"
ವಸತಿ (ಕೇಂದ್ರೀಕರಿಸುವುದು),समंजन (फोकसन)
ಕಣ್ಣಿನ ವಸತಿ,नेत्र की समंजन क्षमता
ಸನ್ಯಾಸಿಗಳ ಬೆಳವಣಿಗೆ,अभिवर्धी वृद्धि
ಸಂಗ್ರಹಣೆ,"संचय, संचयन"
ಸಾವಯವ ವಸ್ತುಗಳ ಸಂಗ್ರಹ,कार्बनिक पदार्थों का एकत्रीकरण
ಮಣ್ಣಿನ ಸಂಗ್ರಹ,मृदा संचयन
ಉಭಯಾಕಾರದ,अकोशिकीय
ಅಸೆಲ್ಯುಲಾರ್ ಜೀವಿ,अकोशिकीय जीव
ಅಸೆಟಾಬುಮ್,"श्रोणिउलूखल, ऐसीटैबुलम"
ಅಸೆಟಾಲ್ಡಿಹೈಡ್,ऐसीटेल्डिहाइड
ಅಸೆಟೈಲ್ ಕೊಯೆನ್ಜೈಮ್,ऐसीटिल सह-ऐंजाइम
ಕಸ,ऐकेटाइना
ಮೊಲ ಪ್ರಕಾರ,ऐकीन प्रकार
ಉಂಗುರ,ऐकीन
ಅಕ್ಲಾಮಿಡೋಸ್ಪೋರಿಯಾ,ऐक्लेमाइडोस्पोरी
ಆಮ್ಲ ಮಳೆ,अम्ल वर्षा
ಆಮ್ಲೀಯ,अम्लीय
ಆಮ್ಲೀಯ ಅನಿಲ,अम्लीय गैस
ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ,अम्लता
ಅಸಿನಾರ್ ಕೋಶ,गुच्छकोष्ठक कोशिका
ಜಾಮಕೀಯ,अगुहिक
ಅನನಟ,ऐकोनिटम
ಆಕ್ರೋಶದ ಹುಳು,"एकॉर्न कृमि, बंजुक कृमि"
ಅಕೌಸ್ಟಿಕ್ ವಲಯ,"ध्वानिक मंडलन, ध्वानिक जोननिर्माण"
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಂಡ ಪಾತ್ರ,उपार्जित लक्षण
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಂಡ ರೋಗನಿರೋಧಕ ಶಕ್ತಿ,उपार्जित प्रतिरक्षा
