English,Malayalam
abacus,"1.അബാക്കസ്, 2. എണ്ണുന്നു"
abnormal termination,അസാധാരണമായ അവസാനം
abort,തടസ്സപ്പെടുത്തുക
absolute,"1. കേവലം, 2. പരമോന്നത"
absolute address,സമ്പൂർണ്ണ വിലാസം
absolute addressing,സമ്പൂർണ്ണ വിലാസക്ഷമത
absolute assembler,കേവല അസംബ്ലർ
absolute code,"1. കേവല കോഡ്, 2. കേവല കോഡ്"
absolute command,സമ്പൂർണ്ണ കമാൻഡ്
absolute data,"1. കേവല കണക്കുകൾ, 2. സമ്പൂർണ്ണ ഡാറ്റ"
absolute instruction,സമ്പൂർണ്ണ നിർദ്ദേശം
absolute mode,കേവല മോഡ്
absolute path,കേവല പാത
absolute programming,"1. സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്, 2. സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്"
abstract class,അമൂർത്ത ക്ലാസ്
abstract data type,അമൂർത്ത ഡാറ്റ തരം
abstract machine,അമൂർത്ത യന്ത്രം
abstract symbol,അമൂർത്ത ചിഹ്നം
abstract syntax,അമൂർത്തമായ വാക്യഘടന
acceptance testing,സ്വീകാര്യത പരിശോധന
access authentication,പ്രവേശന സർട്ടിഫിക്കേഷൻ
access code,"1. ആക്സസ് കോഡ്, 2. പ്രവേശന കോഡ്"
access control,പ്രവേശന നിയന്ത്രണം
access scan,ആക്സസ് സ്കാനിംഗ്
accessory,സാധനങ്ങൾ
account,അക്കൌണ്ടിംഗ്
account ID,"1. അക്കൗണ്ട് ഐഡി, 2. അക്കൗണ്ടിംഗ് തിരിച്ചറിയൽ"
accumulator,ശേഖരണം
accuracy,"1. കൃത്യത, 2. കൃത്യത"
acess,പ്രവേശനം
acess control byte,ആക്സസ് കൺട്രോൾ ബൈറ്റുകൾ
acess index,പ്രവേശന സൂചകം
acess key,ആക്സസ് കീ
acess matrix,"1. ആക്സസ് മാട്രിക്സ്, 2. ആക്സസ് മാട്രിക്സ്"
acess mode,ആക്സസ് മോഡ്
acess privilege,പ്രവേശനാവകാശങ്ങൾ
acess security,ആക്സസ് സുരക്ഷ
acess server,"1. ആക്സസ് സെർവർ, 2. ആക്സസ് സെർവർ"
acess time,പ്രവേശന സമയം
acknowledgement,അംഗീകാരം
acoustics,ശബ്ദശാസ്ത്രം
acronym,"1. ചുരുക്കെഴുത്ത്, 2. ചുരുക്കെഴുത്ത്, 3. മുതൽ ചുരുക്കി"
action message,പ്രവർത്തന സന്ദേശം
activation,സജീവമാക്കൽ
active server page (ASP),സജീവ സെർവർ പേജ്
active version,സജീവ പതിപ്പ്
acyclic,അസൈക്ലിക്
acyclic graph,"1. അസൈക്ലിക് ഗ്രാഫ്, 2. അസൈക്ലിക് ഗ്രാഫ്"
Ada language,അഡാ കമ്പ്യൂട്ടർ ഭാഷ
adapter,"1. ഒപ്റ്റിമൈസർ, 2. ഒപ്റ്റിമൈസർ"
add,ആകെ)
add file,തുക ഫയൽ
add operation,"1. കൂട്ടിച്ചേർക്കൽ പ്രവർത്തനം, 2. ആകെ പ്രവർത്തനം"
adder,ചേർക്കുന്നയാൾ
address,അറിയുക
address bus,വിലാസം ബസ്
address file,വിലാസ ഫയൽ
address format,വിലാസ ഫോർമാറ്റ്
address generator,വിലാസ ജനറേറ്റർ
address line,വിലാസ ലൈൻ
address mapping,വിലാസ മാപ്പിംഗ്
address pointer,വിലാസ സൂചകം
address register,വിലാസ രജിസ്റ്റർ
address resolution,വിലാസ തകർച്ച
address translation,വിലാസ വിവർത്തനം
addressed memory,"1. അഡ്രസ് ചെയ്യാവുന്ന മെമ്മറി, 2. അഭിസംബോധന ചെയ്യാവുന്ന മെമ്മറി"
addressing,അഭിസംബോധന
adequacy criteria,"1. പര്യാപ്തത മാനദണ്ഡം, 2. പര്യാപ്തത മാനദണ്ഡം"
adjoint,ബന്ധം
administration,"1. മാനേജ്മെന്റ്, 2. നിയന്ത്രണം"
administrator,"1. മാനേജർ, 2. കണ്ട്രോളർ"
adobe acrobat,അഡോബ് അക്രോബാറ്റ്
adobe photoshop,അഡോബ് ഫോട്ടോഷോപ്പ്
Advance Business Application Programming (ABAP),ABAP (അഡ്വാൻസ്ഡ് ബിസിനസ് പ്രോഗ്രാമിംഗ്)
advanced data,"1. വിപുലമായ ഡാറ്റ, 2. വിപുലമായ ഡാറ്റ"
advanced information system,വിപുലമായ വിവര സംവിധാനം
advanced technology (AT),അഡ്വാൻസ്ഡ് ടെക്നോളജി (AT)
agent,നടപടി
aggregation,സമാഹരണം
airborne computer system,വായുവിലൂടെയുള്ള കമ്പ്യൂട്ടർ സംവിധാനം
aldus page maker,ആൽഡസ് പേജ് മേക്ക്
alert box,മുന്നറിയിപ്പ് ബോക്സ്
algol,അൽഗോൾ (കമ്പ്യൂട്ടർ ഭാഷ)
algorithm,"1. അൽഗോരിതം, 2. അൽഗോരിതം"
algorithm analysis,"1. അൽഗോരിതം വിശകലനം, 2. അൽഗോരിതം വിശകലനം"
algorithm efficiency,അൽഗോരിതം കാര്യക്ഷമത
alias,"1. ഏലിയാസ്, 2. വിളിപ്പേര്, 3. അല്ലെങ്കിൽ"
alignment,വിന്യാസം
allocation,"1. വിഹിതം, 2. വിഹിതം"
alphabetic,"1. അക്ഷരമാല, 2. അക്ഷരമാല ക്രമത്തിൽ"
alphanumeric,ആൽഫാന്യൂമെറിക്
alphanumeric key board,"1. ആൽഫാന്യൂമെറിക് കീബോർഡ്, 2. ആൽഫാന്യൂമെറിക് കീബോർഡ്"
