Tamil,Punjabi
அசாதாரணமானது,ਅਸਧਾਰਨ
கருக்கலைப்பு,ਅਧੂਰਾ ਛੱਡਣਾ
சிராய்ப்பு,ਘ੍ਰਿਣਾ
திடீரென்று,ਅਚਾਨਕ
முழுமையான புல வலிமை,ਪੂਰੀ ਫੀਲਡ ਤਾਕਤ
முழுமையான வெப்பநிலை,ਪੂਰਨ ਤਾਪਮਾਨ
துல்லியமான மதிப்பு,ਸਹੀ ਮੁੱਲ
உறிஞ்சும்,ਸੋਖਣਾ
உறிஞ்சுதல் சக செயல்திறன்,ਸਮਾਈ ਸਹਿਕਾਰਤਾ
உறிஞ்சுதல் இழப்பு,ਸਮਾਈ ਨੁਕਸਾਨ
சுருக்கம்,ਸਾਰ
முடுக்கமானி,ਐਕਸੀਲਾਮੀਟਰ
ஏற்பு சோதனை,ਪ੍ਰਵਾਨਗੀ ਟੈਸਟ
அணுகல்,ਪਹੁੰਚ
நுழைவு கட்டுப்பாடு,ਐਕਸੈਸ ਕੰਟਰੋਲ
அணுகல் புள்ளி,ਐਕਸੈਸ ਪੁਆਇੰਟ
அணுகல் நேரம்,ਐਕਸੈਸ ਟਾਈਮ
அணுகல்,ਪਹੁੰਚਯੋਗਤਾ
குவிப்பான் செல்,ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ ਸੈੱਲ
துல்லியம்,ਸ਼ੁੱਧਤਾ
துல்லியமானது,ਸਹੀ
முடிச்சு லென்ஸ்,ਅਕੀਰੋਮੈਟਿਕ ਲੈਂਜ਼
அமிலம்,ਐਸਿਡ
அமில ஆதாரம்,ਐਸਿਡ ਦਾ ਸਬੂਤ
அமிலத்தன்மை,ਐਸਿਡਿਟੀ
ஒப்புதல் பிட்,ਪ੍ਰਵਾਨਗੀ ਬਿੱਟ
ஒலி,ਧੁਨੀ
ஒலி தொடர்பு,ਧੁਨੀ ਸੰਚਾਰ
ஒலி பரவல்,ਧੁਨੀ ਫੈਲਾਉਣ
ஒலி சமநிலைப்படுத்தி,ਧੁਨੀ ਬਰਾਬਰੀ
ஒலி கருத்து,ਧੁਨੀ ਫੀਡਬੈਕ
ஒலி வடிகட்டி,ਧੁਨੀ ਫਿਲਟਰ
ஒலி மின்மறுப்பு,ਧੁਨੀ ਰੁਕਾਵਟ
ஒலி முகமூடி,ਧੁਨੀ ਮਾਸਕਿੰਗ
ஒலி சக்தி,ਧੁਨੀ ਸ਼ਕਤੀ
சட்டவிரோத சொத்து,ਧੁਨੀ ਸੰਪਤੀ
ஒலி எதிர்வினை,ਧੁਨੀ ਪ੍ਰਤੀਕਰਮ
ஒலி ரிஃப்ளெக்ஸ்,ਧੁਨੀ ਪ੍ਰਤੀਬਿੰਬ
ஒலி ஓடு,ਧੁਨੀ ਟਾਈਲ
ஒலி அலை,ਧੁਨੀ ਲਹਿਰ
