Tamil,Bengali
அசாதாரணமானது,অস্বাভাবিক
கருக்கலைப்பு,গর্ভপাত
சிராய்ப்பு,ঘর্ষণ
திடீரென்று,আকস্মিক
முழுமையான புல வலிமை,পরম ক্ষেত্র শক্তি
முழுமையான வெப்பநிலை,পরম তাপমাত্রা
துல்லியமான மதிப்பு,পরম মান
உறிஞ்சும்,শোষণ
உறிஞ்சுதல் சக செயல்திறன்,শোষণ গুণাঙ্ক
உறிஞ்சுதல் இழப்பு,শোষণ ক্ষতি
சுருக்கம்,বিমূর্ত
முடுக்கமானி,অ্যাক্সিলোমিটার
ஏற்பு சோதனை,স্বীকৃতি পরীক্ষা
அணுகல்,অ্যাক্সেস
நுழைவு கட்டுப்பாடு,প্রবেশাধিকার নিয়ন্ত্রণ
அணுகல் புள்ளி,এক্সেস পয়েন্ট
அணுகல் நேரம்,প্রবেশাধিকার সময়
அணுகல்,অ্যাক্সেসযোগ্যতা
குவிப்பான் செல்,একুমুলেটর সেল
துல்லியம்,সঠিকতা
துல்லியமானது,নির্ভুল
முடிச்சு லென்ஸ்,অ্যাক্রোমেটিক লেন্স
அமிலம்,অ্যাসিড
அமில ஆதாரம்,অ্যাসিড প্রুফ
அமிலத்தன்மை,অম্লতা
ஒப்புதல் பிட்,স্বীকৃতি বিট
ஒலி,অ্যাকোস্টিক
ஒலி தொடர்பு,অ্যাকোস্টিক যোগাযোগ
ஒலி பரவல்,অ্যাকোস্টিক প্রসারণ
ஒலி சமநிலைப்படுத்தி,অ্যাকোস্টিক ইকুয়ালাইজার
ஒலி கருத்து,অ্যাকোস্টিক প্রতিক্রিয়া
ஒலி வடிகட்டி,অ্যাকোস্টিক ফিল্টার
ஒலி மின்மறுப்பு,শব্দের সংরোধ
ஒலி முகமூடி,অ্যাকোস্টিক মাস্কিং
ஒலி சக்தி,অ্যাকোস্টিক শক্তি
சட்டவிரோத சொத்து,অ্যাকোস্টিক সম্পত্তি
