Gujarati,Telugu
વેસ્ટમિન્સ્ટરના એબી,అబ్బే ఆఫ్ వెస్ట్‌మినిస్టర్
ત્યાગી,పదవీ విరమణ
ગુલામી નાબૂદી,బానిసత్వ నిర్మూలన
એબોરિજિનલ,ఆదివాసి
અબ્રાહમ યુગ,అబ్రహం యుగం
ગેરહાજર મકાનમાલિકો,గైర్హాజరు భూస్వాములు
એકેડમી,అకాడమీ
અકરા કોન્ફરન્સ,అక్ర సమావేశం
સંસાધનો,సంపాదన
સંવર્ધન,సంస్కారము
એસેલડામા,అసెల్డామా
અચેઅન (=અચિયન),అచెయన్ (=అచియన్)
આચિયન લીગ (=એચિયન લીગ),అచీయన్ లీగ్ (=అచియన్ లీగ్)
એક્રોપોલિસ,అక్రోపోలిస్
એક્ટા દીર્ના,ఆక్టా డియుర్నా
એક્ટા સેનાટસ,ఆక్టా సెనాటస్
એક્ટ એડિશનલ,యాక్టే అడిషనల్
સક્રિય રેકોર્ડ (=વર્તમાન રેકોર્ડ),యాక్టివ్ రికార్డ్ (=ప్రస్తుత రికార్డు)
પ્રાપ્ત કરનારનું કાર્ય,సాధించేవారి చర్య
ક્ષતિપૂર્તિ અને વિસ્મૃતિનું કાર્ય,నష్టపరిహారం మరియు ఉపేక్ష చట్టం
સમાધાનનો અધિનિયમ,సెటిల్మెంట్ చట్టం
જાહેરાત કરાર સીલ,ప్రకటన ఒప్పంద ముద్ర
અદુલ્લામાઈટસ,అడుల్లామైట్స్
વિરોધી,విరోధి
વિરોધી,విరోధి
એઓન,అయాన్
એરેરિયમ,ఏరోరియం
હવાઈ યુદ્ધ,వైమానిక యుద్ధం
એટોલિયન લીગ,ఏటోలియన్ లీగ్
ઉંમર,వయస్సు
વૃદ્ધત્વ (=વૃદ્ધત્વ),వృద్ధాప్యం (=వృద్ధాప్యం)
વૃદ્ધત્વ પ્રક્રિયા,వృద్ధాప్య ప్రక్రియ
અગેલાઈ,అగెలై
શૌર્યની ઉંમર,శౌర్య యుగం
જ્ઞાનની ઉંમર,జ్ఞానోదయం వయస్సు
પેરિકલ્સની ઉંમર,పెరికిల్స్ వయస్సు
કારણની ઉંમર,కారణం వయస్సు
કૃષિવાદ,వ్యవసాయం
કૃષિ આંદોલન,వ్యవసాయ ఉద్యమం
એલ્બિયન,అల్బియాన్
આલ્બમ,ఆల్బమ్
એલ્ડરમેન,ఆల్డర్మాన్
મોહક શસ્ત્રો,అల్లుడు చేతులు
સૌમ્યતા,సఖ్యత
એમ્ફિક્ટિઓનિક કાઉન્સિલ,యాంఫిక్యోనిక్ కౌన్సిల్
એમ્ફિક્ટિઓનિક લીગ,యాంఫిక్యోనిక్ లీగ్
એમ્ફીથિયેટર,యాంఫీ థియేటర్
અમરી નલ જૂથ (માટીના વાસણો),అమ్రి నల్ గ్రూప్ (కుండల)
અનાક્રોનિઝમ,అనాక్రోనిజం
એનાક્રોનિસ્ટિક,అనాక్రోనిస్టిక్
પૂર્વજ,పూర్వీకుడు
પૂર્વજની પૂજા,పూర్వీకుల ఆరాధన
વંશ,పూర్వీకులు
વંશ,పూర్వీకులు
વંશ,పూర్వీకులు
વંશ,పూర్వీకులు
પ્રાચીન શાસન,ప్రాచీన పాలన
પ્રાચીન,ప్రాచీన
પ્રાચીન લોકગીત,పురాతన బల్లాడ్
પ્રાચીન માન્યતા,పురాతన నమ్మకం
પ્રાચીન રિવાજ,ప్రాచీన ఆచారం
પ્રાચીન ઇતિહાસ,పురాతన చరిత్ర
પ્રાચીન સ્મારકો,పురాతన స్మారక చిహ్నాలు
ટુચકો,ఉదంతము
એન્જેલોટ,ఏంజెలోట్
એન્જલસ,ఏంజెలస్
એન્જેવિન (=એન્જેવિન),అంజివిన్ (=అంజెవిన్)
ખૂણો,కోణాలు
એંગ્લિકન,ఆంగ్లికన్
એંગ્લિકન કોમ્યુનિયન,ఆంగ్లికన్ కమ్యూనియన్
અંગ્રેજવાદ,ఆంగ్లికనిజం
એંગ્લો-ફોબ,ఆంగ్లో-ఫోబ్
એંગ્લો-ફોબિયા,ఆంగ్లో-ఫోబియా
એંગ્લો-સેક્સન,ఆంగ్లో-సాక్సన్
એંગ્લો-સેક્સોનિઝમ,ఆంగ్లో-సాక్సోనిజం
એનાલિસ્ટ,అన్నలిస్ట్
ઇતિહાસ,అన్నల్స్
જોડાણ,అనుబంధం
એન્ટિ-બેલમ,యాంటీ-బెల్లం
તારીખ પહેલાં,ముందు తేదీ
ક્લેરિકલિઝમ વિરોધી,మత వ్యతిరేకత
કારકુની વિરોધી કાયદો,మతాధికారుల వ్యతిరేక చట్టం
પ્રાચીનકાળ,ప్రాచీనకాలం
વિરોધી ભાડા,వ్యతిరేక అద్దె
વિરોધી ભાડા,వ్యతిరేక అద్దె
વિરોધી સેમિટિઝમ,సెమిటిజం వ్యతిరేకత
એન્ઝેક,అంజాక్
અપેલા,అపెల్లా
અરાલુ,అరలు
આર્ક બિશપ,ఆర్చ్ బిషప్
કમાન ડચી,ఆర్చ్ డచీ
આર્ક ડ્યુક,ఆర్చ్ డ్యూక్
આર્કાઇફ (=આર્કાઇવલ સંગ્રહ),ఆర్కైఫ్ (=ఆర్కైవల్ సేకరణ)
આર્કિપીસ્કોપેટ,ఆర్కిపిస్కోపేట్
કુલીન વર્ગ,దొర
કુલીન,దొర
કુલીન સ્નોબરી,కులీన స్నోబరీ
એરિસ્ટોટેલિયન,అరిస్టాటిలియన్
આર્માડા,ఆర్మడ
આર્મડા (=ધ સ્પેનિશ આર્મડા),ఆర్మడ (=ది స్పానిష్ ఆర్మడ)
આર્મોરિસ્ટ (=આર્મરિસ્ટ),ఆయుధాగాడు (=ఆయుధాకారుడు)
બખ્તર (=બખ્તર),కవచం (=కవచం)
આર્મરિસ્ટ,ఆయుధాగాడు
આર્યન,ఆర్యన్
આર્યન,ఆర్యన్
અસ્કરી,అస్కారి
સોંપણી,కేటాయించండి
સહાય કરો,అసైజ్ చేయండి
સહાય કરો,అసైజ్ చేయండి
સહાય કરો,అసైజ్ చేయండి
આર્મ્સ એક્ટની સહાય,అసైజ్ ఆఫ్ ఆర్మ్స్ యాక్ట్
ડેરેન પ્રેઝન્ટમેન્ટની સહાય,డారీన్ ప్రెజెంట్‌మెంట్ అసైజ్
મોર્ટ &#39;ડી&#39; પૂર્વજની સહાય,మోర్ట్ &#39;D&#39; పూర్వీకుల అస్సైజ్
નવલકથા ડીસીસીનની સહાય,అసైజ్ ఆఫ్ నవల డిస్సీసిన్
અત્યાચાર,దారుణం
હુમલો,దాడి
ઓલિક કાઉન્સિલ,ఆలిక్ కౌన్సిల్
દેવીની કુહાડી (=દેવીની કુહાડી),గెడ్డెస్ యొక్క గొడ్డలి (=ది గెడెస్ గొడ్డలి)
એક્સિસ (=ધ રોમ-બર્લિન-ટોક્યો એક્સિસ),యాక్సిస్ (=ది రోమ్-బెర్లిన్-టోక్యో యాక్సిస్)
બેબીલોન,బాబిలోన్
બેબીલોનીયન કેદ (=બેબીલોનીશ કેદ),బాబిలోనియన్ బందిఖానా (=బాబిలోనియన్ బందిఖానా)
બચનલ ભક્ત,బచ్చనాల్ భక్తుడు
બચ્ચનલિયા,బచ్చనాలియా
સ્નાતક,బ్రహ్మచారి
બગદાદ કરાર,బాగ్దాద్ ఒప్పందం
બાલ્કન લીગ,బాల్కన్ లీగ్
બાલ્કન કરાર,బాల్కన్ ఒప్పందం
બાલ્કન યુદ્ધો,బాల్కన్ యుద్ధాలు
બાલ્ટિક સંધિ,బాల్టిక్ ఒప్పందం
ડાકુ,బందిపోటు
બાંડુંગ કોન્ફરન્સ,బాండుంగ్ కాన్ఫరెన్స్
દેશનિકાલ,బహిష్కరణ
બેનર,బ్యానర్
અસંસ્કારી,బార్బేరియన్
બાર્બીકન,బార్బికన్
બારડોલી સત્યાગ્રહ,బార్డోలీ సత్యాగ్రహం
બાર્ન બર્નર્સ,బార్న్ బర్నర్స్
બેરોન,బారన్
બેરોનેજ,బారోనేజ్
બેરોન્સ મેજર,బారోన్స్ మేజర్లు
બેરોન્સ સગીર,బారోన్స్ మైనర్లు
બેરોનેસ,బారోనెస్
બેરોનેટ,బారోనెట్
બેરોનેટેજ,బారోనెటేజ్
બેરોનેટેજ,బారోనెటేజ్
બેરોનેટસી,బారోనెట్సీ
બેરોની,బారోనీ
બેરાકૂન,బారకూన్
બેરાકૂન,బారకూన్
બેરિકેડ (=બેરિકેડ),బారికేడ్ (=బారికాడో)
બેરિકેડ (=બેરિકેડ),బారికేడ్ (=బారికాడో)
બેરિકેડ (=બેરિકેડ),బారికేడ్ (=బారికాడో)
મુખ્ય છાવણી,మూల శిబిరం
બેસિલિકા,బసిలికా
બેસિલિકા,బసిలికా
બેસ્ટિલા,బస్తీలా
બેસ્ટિલ,బాస్టిల్
બેસ્ટિલ,బాస్టిల్
બેટરી,బ్యాటరీ
યુદ્ધ,యుద్ధం
Batlle-એરે,బాటిల్-అరే
યુદ્ધ ક્રાય,యుద్ధానికి వెళ్ళే సైనికులు చేసే నినాదాలు
યુદ્ધ દિન,బాటిల్ డిన్
યુદ્ધ ક્ષેત્ર,యుద్ధ క్షేత్రం
યુદ્ધ સ્તોત્ર,యుద్ధ శ్లోకం
સ્પર્સનું યુદ્ધ,స్పర్స్ యుద్ధం
ધોરણનું યુદ્ધ,స్టాండర్డ్ యుద్ధం
યુદ્ધજહાજ,యుద్ధనౌక
યુદ્ધજહાજ-શક્તિ,యుద్ధనౌక-బలం
Bayeux ટેપેસ્ટ્રી,Bayeux వస్త్రం
બીકન,బెకన్
બીકન ટાવર,బెకన్ టవర్
બીવર,బీవర్
બીવર,బీవర్
સમુદ્રના ભિખારીઓ,సముద్రపు బిచ్చగాళ్ళు
બેલીકોઝ,బెల్లికోస్
બેલીકોઝ,బెల్లికోస్
બેલીકોઝ,బెల్లికోస్
બેલીકોસીટી,బెల్లికోసిటీ
બેલોના,బెలోనా
લાભ,ప్రయోజనం
ધર્મગુરુઓનો લાભ,మతపెద్దల వల్ల ప్రయోజనం
બેનેલક્સ,బెనెలక్స్
બર્લિન હુકમનામું,బెర్లిన్ డిక్రీ
બેર્સકર,బెర్సెర్కర్
બેસન્ટ (=બેઝન્ટ),బెసెంట్ (=బెజాంట్)
બેથેલ,బేతేలు
