Marathi,English
A B वर्ग अॅम्प्लीफायर,A B amplifier
विकृती,aberration
असामान्य प्रसार,abnormal propagation
"जोडलेले, सहसा, खड्डे पडलेले, विच्छेदन केलेले, फ्रॅक्चर केलेले",abrupt
गहाळ स्पेक्ट्रम,absent spectrum
"निरपेक्ष, निरपेक्ष, स्थिर, परिपूर्ण",absolute
परिपूर्ण आर्द्रता,absolute humidity
परिपूर्ण गती,absolute motion
परिपूर्ण निरीक्षण,absolute observation
परिपूर्ण तापमान,absolute temperature
पूर्ण शून्य,absolute zero
शोषून घेणे,absorb
"शोषक, शोषक",absorber
शोषण क्षमता,absorbing power
शोषण,absorptance
शोषक,absorptive
शोषकता,absorptivity
गुणोत्तर गुणोत्तर,abundance ratio
गती वाढवणे,accelerate
घाई केली,accelerated
प्रवेग,acceleration
गुरुत्वाकर्षणाचा प्रवेग,acceleration of gravity
प्रवेगक,accelerative
प्रवेगक,accelerator
प्रवेगमापक,accelerometer
prestresser,accentuator
स्वीकार्य चाचणी,acceptance test
स्वीकारणारा,acceptor
दाता रेणू,acceptor molecule
"प्रवेश, प्रतीक्षा, प्रवेशयोग्यता",access
प्रवेशयोग्यता,accessibility
"सुटे, ऍक्सेसरी, ऍक्सेसरी (v.), ऍक्सेसरी (सं.)",accessory
प्रवेश वेळ,access time
अभ्यागत त्रुटी,accidental error
समायोजन,accommodation
जमा,accumulated
"जमा करणे, जमा करणे",accumulation
संचयक,accumulator
अचूकता,accuracy
वास्तव,accurate
अॅक्रोमॅटिक लेन्स,achromat
अक्रोमॅटिक,achromatic
अक्रोमॅटिकता,achromatism
ध्वनिक,acoustical
ध्वनीरोधक,acoustically insulated
ध्वनिक फोनन,acoustical phonon
ध्वनी युनिट,acoustical unit
ध्वनिक,acoustic
ध्वनी जनरेटर,acoustic generator
क्रिया आणि प्रतिक्रिया,action and reaction
सक्रियकरण,activation
सक्रियता ऊर्जा,"activation, energy"
"सक्रिय करणारा, सक्रिय करणारा",activator
सक्रिय,active
सक्रियता,activity
वास्तविक ताण,actual stress
कुजबुजणे,acute exposure
बेरीज करणे,add
"बेरीज, बेरीज, एकत्रित (सं.), बेरीज (v.)",addition
"संयुक्त स्वर, अतिरिक्त स्वर (स्वर)",additional tone
additive,additive
आसंजन,adhesion
चिकट ऊर्जा,adhesional energy
adiabat,adiabat
adiabatic,adiabatic
उष्णता इन्सुलेट,adiathermanous
संलग्नक,adjacent
बदलानुकारी,adjustable
प्रवेश,admittance
शोषण,adsorption
पुढे,advanced
प्रगतीशील,advancing
"आकाशी, वायु (वि.), हवाई (सं.)",aerial
अँटेना प्रवाह,aerial current
हवाई सर्वेक्षण,aerial survey
हवेचा वेग,aerial velocity
वायुगतिकीय गुणांक,aerodynamic coefficient
वायुगतिकीय,aerodynamic
वायुगतिकी,aerodynamics
वैमानिक,aeronautical
वैमानिक,aeronautics
हवेची नाडी,aeropulse
"वातावरण, वायूमंडल",aerosphere
फोकस सिस्टम,afocal system
परत प्रज्वलन,after burning
परत प्रकाश,after glow
आघात,aftershock
"वय, वय, वय, युग (सं.), वेळेवर परिणाम करणे (व्हेर.), वेळ, काळाने प्रभावित होणे",age
वेळ प्रभावित,aged
"वृद्धत्व, वृद्धत्व",ageing (aging)
वेळेचा प्रभाव,aging (=ageing)
वेळ प्रभाव चाचणी,aging test
गुरुत्वाकर्षणरहित,agravic
समेट,aim
"हवाई रडार, हवाई रडार",airborne radar
"हवाई लक्ष्य, हवाई लक्ष्य",airborne target
हवा श्वसन यंत्र,air breather
वातानुकुलीत,air conditioning
विंडप्रूफ ट्रान्सफॉर्मर,aircore transformer
विमान,aircraft
संरेखन,alignment
संरेखन त्रुटी,alignment error
थेट सर्किट,alive circuit
पूर्ण काचेची ट्यूब,all glass tube
संपूर्ण धातूची नळी,all metal tube
निराकरण,allocate
"मिश्रातु (सं.), मिश्रत्व (क्र.)",alloy
मिश्रत्व,alloying
सर्वव्यापी माध्यम,all-pervading medium
सर्व अँटेना,all-wave antenna
पंचांग,almanac
अल्फा,alpha
अल्फा क्रियाकलाप,alpha-activity
अल्फान्यूमेरिक,alphabetical
अल्फा किरण,alpha ray
बदला,alteration
"पर्यायी, पर्यायी",alternating
अल्टरनेटर,alternator
अल्टिमीटर,altigraph
अल्टिमीटर,altimeter
altimetry,altimetry
"उंची, उंची, उंची, उंची",altitude
अंकगणित तर्क युनिट (ALU),ALU (Arithmatic Logic Unit)
amaget नियम,Amagat law
वातावरण,ambient
amicron,amicron
ammeter,amméter
अँपिअर,ampere
अँपिअर-लॉ,Ampere's rule
उभयचर आयन,amphoteric ion
प्रवर्धन,amplification
अॅम्प्लीफायर,amplifier
"कोन, परिमाण",amplitude
a एम. यू. (अणु वस्तुमान एकक),a. m. u. (atomic mass unit)
सुसंगत,analog (=analogue)
साधर्म्य,analogy
विश्लेषक,analyser
विश्लेषण,analysis
विश्लेषणात्मक,analytical
नॉन पॉइंट,anastigmatic
विसंगत,anastigmatism
आणि दरवाजा,AND gate
गैर-ध्वनी,anechoic
विसंगत लवचिकता,anelasticity
निर्जल,aneroid
कोन,angle
अँग्स्ट्रोम युनिट,Angstrom unit
टोकदार,angular
protractor vernier,angular vernier
विवादास्पद,anharmonic
अनादर,anharmonicity
अक्रोमॅटिक चुंबकीकरण,anhysteresis
सुस्त,anhysteretic
anion,anion
असममित,anisodimensional
समस्थानिक,anisotropic
isotropism,anisotropy
हटवणे,annihilation
कटकारस्थान,annunciator
एनोड,anode
anodization,anodize
विसंगत,anomalous
ऑप्टिकल प्रणाली,anoptic system
अँटेना,antenna
अँटीबेरियन,antibaryon
अँटी-बॉन्डिंग गुणधर्म,antibinding property
काउंटर बाँड,anitibonding
उलट शक्ती,antiferroelectricity
डायमॅग्नेटिक,antiferromagnetic
डायमॅग्नेटिक सामग्री,antiferromagnetics
विरोधी दाहक,antifoggant
गुरुत्वाकर्षण,antigravity
antilamda कण,anti-lambda particle
ऍलेलेप्टन,anti-lepton
डायमॅग्नेटिक,antimagnetic
प्रतिपदार्थ,antimatter
क्षेपणास्त्र विरोधी,antimissile
अँटीन्यूट्रॉन,antineutron
pulsating,antinode
अँटीन्यूक्लिओन,antinucleon
प्रतिकण,antiparticle
अँटीप्रोटॉन,antiproton
परावर्तक,antireflection
विषमताविरोधी,antisymmetric
आवर्ती नाही,aperiodical
अनाक्रोनिझम,aperiodicity
छिद्रित स्कॅनिंग डिस्क,apertural disc
द्वारक,aperture
"वर, वर, समोर",apex
"उच्च सूर्य, उच्च सूर्य",aphelion
उदासीन लेस,aplanat
गैर-दयनीय,aplanatic
अपंगत्व नसणे,aplanatism
अतिशय वर्णवर्धक,apochromatic
"जमीन-उंच, apogee",apogee
"nonpolar, circumpolar",apolar
parapolarity,apolarity
साधन,apparatus
"आभासी, दृश्य",apparent
दृश्यमान सूर्य,apparent sun
दृश्य वेळ,apparent time
उदयोन्मुख देखावा,appearance
अर्ज,appliance
लागू,applicability
लागू,applied
निरीक्षण करण्यायोग्य,appreciable
दृष्टीकोन,approach
"जवळ, अंदाजे",approximate
अंदाजे,approximation
बाष्प दाब,aqueous tension
ऐच्छिक,arbitrary
"चाप भट्टी, चाप भट्टी",arc furnace
आर्किमिडीजचा कायदा,Archimedes principle
आर्किटेक्चरल ध्वनीशास्त्र,architectural acoustics
चाप दिवा,arc lamp
आर्क-स्पेक्ट्रम,arc spectrum
"क्षेत्र, क्षेत्र",area
"प्रादेशिक, प्रादेशिक",areal
"हात, हात, शाखा",arm
हौशी,armature
"अॅरे, अॅरे",array
प्राप्तकर्ता,arrester
उच्चार स्पष्टता,articulation
सिंथेटिक,artificial
कृत्रिम संक्रमण,artificial transmutation
चढत्या,ascending
आरोहण,ascension of the star
चढणे,ascent
अगोली,aspheric
एकत्रीकरण,aspherizing
संच,assemblage
"एकत्र करणे, एकत्र करणे",assemble
"एकत्र करणे, एकत्र करणे, एकत्र करणे",assembly (=assemblage)
अचूक अंदाज,assessment of accuracy
निर्दिष्ट (क्वांटम संख्यांची) वैशिष्ट्ये,assigned assignment (of quantum numbers)
"संबंधित, सहयोगी, संयुग्मित",associated
स्वराचा उच्चार,assonance
स्वयंचलित मल्टीव्हायब्रेटर,astable multivibrator (=free running multivibrator)
अस्थेनिक,astatic
"संयम, दृष्टिवैषम्य",astigmatism
अंतराळ प्रवास इलेक्ट्रॉनिक्स,astrionics
खगोल भौतिकशास्त्र,astrometry
अंतराळवीर,astronaut
खगोलशास्त्रज्ञ,astronomer
आकाशीय,astronomical
खगोलशास्त्र,astronomy
खगोल भौतिकशास्त्र,astrophysics
असममित,asymmetrical
लक्षणे नसलेला,asymptote
त्रासदायक,asymptotic
असिंक्रोनस,asynchronous
"वातावरण, वातावरण",atmosphere
वातावरणीय,atmospheric
वारा अशांतता,atmospherics
आण्विक,atom
अणू,atomic
आण्विकता,atomicity
आण्विक वस्तुमान,atomic mass
अणुक्रमांक,atomic number
"आण्विक अणुभट्टी, आण्विक ढीग",atomic reactor (=atomic pile)
अणू,atomistic
कण,atomization
कण,atomizer
"क्षीणता, क्षीणता",attenuation
"कमी करणे, कमी करणे",attenuator
मोहिनी,attraction
आकर्षण शक्ती,attractive forces
ऐकण्याची क्षमता,audibility
ऑडिओ वारंवारता अॅम्प्लिफायर,audio-amplifier
ऐकण्यायोग्य,audio
ऑडिओ जनरेटर,audio generator
श्रवणक्षमता आलेख,audiogram
श्रवण विज्ञान,audiology
ऑडिओमीटर,audiometer
ऐकण्यायोग्य वारंवारता ऑसिलेटर,audio oscillator
ध्वनी सिग्नल,audio signal
दृकश्राव्य,audiovisual
"सभागृह, सभागृह",auditorium
ओझेड प्रभाव,Auger effect
जाहिरात,augmentation
वर्धक,augmentor
ध्रुवीय ज्योत,aurora
दक्षिण ध्रुवीय ज्वाला,aurora australis
उत्तर ध्रुवीय ज्योत,aurora borealis
स्वयंचलित सूचना,autoalarm
स्वयं समांतर,autocollimator
"स्वयंचलित, स्वयंचलित, स्वयंचलित",automatic
"ऑटोमेशन, ऑटोमेशन",automation
"सहाय्यक, सहकारी, अतिरिक्त",auxiliary
"आडवा, हिमस्खलन",avalanche
"अर्थ, क्षुद्र",average
परिवार,avoidance
अक्षीय,axial
अक्ष,axis
दिगंश,azimuth
दिगंश,azimuthal
परत,back
"पार्श्वभूमी, पार्श्वभूमी",background
"मागासलेला, मागासलेला",backlash
टर्नअराउंड,backout
बॅक व्होल्टेज पल्सर,back swing voltage pulser
पोस्ट-रिलेशनशिप,back to back connection
प्रतिपूर्ती,back up
अँटी व्होल्टेज,back voltage (Freverse voltage)
पोस्टरियर स्कॅटरिंग,backward scattering
इंटरस्टिशियल लाट,back wave (=spacing wave)
इन्सुलेटर,bad conductor
हवाई छत्री वापरून घेतलेली उडी,bail out
गरम करणे,bakeout
"शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक",balance
बॅलन्सर,balancer
शिल्लक,balancing
गोलाकार,ball ended magnet
"बॅलिस्टिक, बॅलिस्टिक",ballistic
"प्रोजेक्शन गॅल्व्हानोमीटर, प्रोजेक्शन गॅल्व्हानोमीटर",ballistic galvanometer
क्षेपणास्त्र,ballistic missile
"बॅलिस्टिक्स, शस्त्रे",ballistics
प्रक्षेपण,ballistic throw
मुक्त मार्ग,ballistic trajectory
"फुगा, फुगा",balloon
balmer खंडितता,Balmer discontinuity
"बँड, बँड, बँड",band
स्फोट,bang
"अॅरे, बीम, किनारा, किनारा, किनारा",bank
"स्तंभ, बार, कोब, ब्लॉक, बार, रॉड, बार, 8. भिंत, 9. रेखा, 10. किनारा, 1 ब्लॉक, 1, बार, 1, रेखा, 1, चाचणी रेखा",bar
bardeen तत्त्व,Bardeen theory
barkhausen प्रभाव,Barkhausen effect
बारलो सायकल,Barlow's wheel
