Malayalam,Assamese
എ ബി ക്ലാസ് ആംപ്ലിഫയർ,এটা B শ্ৰেণীৰ এম্প্লিফায়াৰ
അപഭ്രംശം,বিচ্যুতি
അസാധാരണമായ സംക്രമണം,অস্বাভাৱিক সংক্ৰমণ
"ഘടിപ്പിക്കാത്ത, സാധാരണയായി, കുഴികളുള്ള, ഛേദിക്കപ്പെട്ട, ഒടിഞ്ഞ","অসংলগ্ন, সাধাৰণতে, গাঁতযুক্ত, কাটি পেলোৱা, ভাঙি যোৱা"
സ്പെക്ട്രം കാണുന്നില്ല,অনুপস্থিত বৰ্ণালী
"കേവല, കേവല, സ്ഥിരം, തികഞ്ഞ","নিৰপেক্ষ, নিৰপেক্ষ, ধ্ৰুৱক, নিখুঁত"
കേവല ഈർപ്പം,নিৰপেক্ষ আৰ্দ্ৰতা
കേവല വേഗത,নিৰপেক্ষ গতি
സമ്പൂർണ നിരീക്ഷണം,নিৰপেক্ষ পৰ্যবেক্ষণ
കേവല താപനില,নিৰপেক্ষ উষ্ণতা
കേവല പൂജ്യം,নিৰপেক্ষ শূন্য
ആഗിരണം ചെയ്യുക,শুহি লোৱা
"ആഗിരണം, ആഗിരണം","শোষক, শোষক"
ആഗിരണം ശേഷി,শোষণ ক্ষমতা
ആഗിരണം,শোষণ ক্ষমতা
ആഗിരണം ചെയ്യാവുന്ന,শোষক
ആഗിരണം,শোষণ ক্ষমতা
ഗുണിത അനുപാതം,বহুগুণতা অনুপাত
ത്വരിതപ്പെടുത്തുക,ত্বৰান্বিত কৰক
തിടുക്കപ്പെട്ടു,খৰধৰকৈ উঠিল
ത്വരണം,বেগ বৃদ্ধি
ഗുരുത്വാകർഷണ ത്വരണം,মাধ্যাকৰ্ষণৰ ত্বৰণ
ആക്സിലറേറ്റർ,ত্বৰণকাৰী
ആക്സിലറേറ്റർ,ত্বৰণকাৰী
ആക്സിലറോമീറ്റർ,এক্সিলেৰমিটাৰ
പ്രിസ്ട്രെസർ,প্ৰিষ্ট্ৰেছাৰ
സ്വീകാര്യമായ പരിശോധന,গ্ৰহণযোগ্য পৰীক্ষা
സ്വീകർത്താവ്,গ্ৰহণকাৰী
ദാതാവിന്റെ തന്മാത്ര,দাতা অণু
"പ്രവേശനം, കാത്തിരിപ്പ്, പ്രവേശനക്ഷമത","প্ৰৱেশ, অপেক্ষা, অভিগম্যতা"
പ്രവേശനക്ഷമത,অভিগম্যতা
"സ്പെയർ, ആക്സസറി, ആക്സസറി (വി.), ആക്സസറികൾ (എഡി.)","অতিৰিক্ত, আনুষংগিক, আনুষংগিক (v.), আনুষংগিক (ed.)"
പ്രവേശന സമയം,প্ৰৱেশ সময়
സന്ദർശക പിശക്,দৰ্শকৰ ভুল
ക്രമീകരിക്കൽ,সমন্বয়
കുമിഞ്ഞുകൂടി,সঞ্চিত কৰা হৈছে
"ശേഖരണം, ശേഖരണം","সঞ্চয়, সঞ্চয়"
ശേഖരണം,এক্যুলেটৰ
കൃത്യത,শুদ্ধতা
റിയാലിറ്റി,বাস্তৱতা
അക്രോമാറ്റിക് ലെൻസ്,ৰঙীন লেন্স
അക്രോമാറ്റിക്,achromatic
അക്രോമാറ്റിറ്റി,achromaticity
അക്കോസ്റ്റിക്,একাউষ্টিক
ശബ്ദപ്രതിരോധം,শব্দ নিবাৰণ
