Odiya,Hindi
ଏକ ବି ଶ୍ରେଣୀ ଏମ୍ପ୍ଲିଫାୟର୍ |,ए बी वर्ग प्रवर्धक
ଘୃଣ୍ୟତା |,"विपथन, अपेरण"
ଅସ୍ୱାଭାବିକ ସଂକ୍ରମଣ,असामान्य संचरण
"ସଂଲଗ୍ନ ହୋଇନଥିବା, ସାଧାରଣତ ,, ପିଟ୍, ଆମ୍ପ୍ୟୁଟେଡ୍, ଭଙ୍ଗା |","असंलग्न, सहसा, खड़आ, विच्छिन्न, खंडित"
ସ୍ପେକ୍ଟ୍ରମ୍ ଅନୁପସ୍ଥିତ |,लुप्त स्पेक्ट्रम
"ସଂପୂର୍ଣ୍ଣ, ସଂପୂର୍ଣ୍ଣ, ସ୍ଥିର, ସିଦ୍ଧ |","निरपेक्ष, परम, अचर, परिशुद्ध"
ସଂପୂର୍ଣ୍ଣ ଆର୍ଦ୍ରତା |,निरपेक्ष आर्द्रता
ସଂପୂର୍ଣ୍ଣ ଗତି,निरपेक्ष गति
ସଂପୂର୍ଣ୍ଣ ନିରୀକ୍ଷଣ |,निरपेक्ष प्रेक्षण
ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |,परम ताप
ସଂପୂର୍ଣ୍ଣ ଶୂନ,परम शून्य
ଶୋଷଣ,अवशोषण करना
"ଶୋଷକ, ଶୋଷକ","अवशोषक, अवशोषी"
ଅବଶୋଷଣ କ୍ଷମତା |,अवशोषण सामर्थ्य
ଅବସାଦ |,अवशोषणांश
ଶୋଷକ,अवशोषी
ଶୋଷଣ,अवशोषकता
ବହୁଗୁଣ ଅନୁପାତ |,बाहुल्य अनुपात
ତ୍ୱରାନ୍ୱିତ କର |,त्वरित करना
ଶୀଘ୍ର ଶୀଘ୍ର,त्वरित
ତ୍ୱରଣ,त्वरण
ମାଧ୍ୟାକର୍ଷଣର ତ୍ୱରଣ,गुरुत्व त्वरण
ତ୍ୱରକ,त्वरक
ତ୍ୱରକ,"त्वरित्र, त्वरक"
