Assamese,Gujarati
ৱেষ্টমিনিষ্টাৰৰ এবে,વેસ્ટમિન્સ્ટરના એબી
এবডিটৰী,ત્યાગી
দাসত্ব বিলুপ্ত কৰা,ગુલામી નાબૂદી
আদিবাসী,એબોરિજિનલ
আব্ৰাহাম যুগ,અબ્રાહમ યુગ
অনুপস্থিত ঘৰৰ মালিক,ગેરહાજર મકાનમાલિકો
একাডেমী,એકેડમી
আক্ৰা সন্মিলন,અકરા કોન્ફરન્સ
এক্ৰুৱেল,સંસાધનો
সংস্কৃতিকৰণ,સંવર્ધન
এচেলডামা,એસેલડામા
আখিয়ান (=আচিয়ান),અચેઅન (=અચિયન)
আচায়ান লীগ (=আচিয়ান লীগ),આચિયન લીગ (=એચિયન લીગ)
এক্ৰ&#39;পলিছ,એક્રોપોલિસ
এক্টা ডিউৰ্না,એક્ટા દીર્ના
এক্টা চেনেটাছ,એક્ટા સેનાટસ
এক্টে এডিচনেল,એક્ટ એડિશનલ
সক্ৰিয় ৰেকৰ্ড (=বৰ্তমান ৰেকৰ্ড),સક્રિય રેકોર્ડ (=વર્તમાન રેકોર્ડ)
প্ৰাপ্তিৰ কাৰ্য্য,પ્રાપ્ત કરનારનું કાર્ય
ক্ষতিপূৰণ আৰু বিস্মৃতিৰ আইন,ક્ષતિપૂર્તિ અને વિસ્મૃતિનું કાર્ય
বন্দোবস্তৰ আইন,સમાધાનનો અધિનિયમ
এড কন্ট্ৰেক্টাছ ছীল,જાહેરાત કરાર સીલ
এডুলামাইটছ,અદુલ્લામાઈટસ
বিৰোধী,વિરોધી
বিৰোধী,વિરોધી
ইয়ন,એઓન
এৰেৰিয়াম,એરેરિયમ
আকাশী যুদ্ধ,હવાઈ યુદ્ધ
এটলিয়ান লীগ,એટોલિયન લીગ
বয়স,ઉંમર
বয়স বৃদ্ধি (=বৃদ্ধাৱস্থা),વૃદ્ધત્વ (=વૃદ્ધત્વ)
বয়স বৃদ্ধিৰ প্ৰক্ৰিয়া,વૃદ્ધત્વ પ્રક્રિયા
আগেলাই,અગેલાઈ
অশ্বাৰোহীৰ যুগ,શૌર્યની ઉંમર
এজ অৱ ইংলাইটমেণ্ট,જ્ઞાનની ઉંમર
পেৰিক্লিছৰ বয়স,પેરિકલ્સની ઉંમર
যুক্তিৰ বয়স,કારણની ઉંમર
কৃষিবাদ,કૃષિવાદ
কৃষি আন্দোলন,કૃષિ આંદોલન
এলবিয়ন,એલ્બિયન
এলবাম,આલ્બમ
এলডাৰমেন,એલ્ડરમેન
আলোকসজ্জা বাহু,મોહક શસ્ત્રો
এমিটি,સૌમ્યતા
এম্ফিক্টয়নিক কাউন্সিল,એમ્ફિક્ટિઓનિક કાઉન્સિલ
এম্ফিক্টয়নিক লীগ,એમ્ફિક્ટિઓનિક લીગ
এম্ফিথিয়েটাৰ,એમ્ફીથિયેટર
অমৰি নল গোট (মৃৎশিল্পৰ),અમરી નલ જૂથ (માટીના વાસણો)
এনাক্ৰ’নিজম,અનાક્રોનિઝમ
এনাক্ৰ’নিষ্টিক,એનાક્રોનિસ્ટિક
পূৰ্বপুৰুষ,પૂર્વજ
পূৰ্বপুৰুষ পূজা,પૂર્વજની પૂજા
বংশ,વંશ
বংশ,વંશ
বংশ,વંશ
বংশ,વંશ
Ancien শাসন ব্যৱস্থা,પ્રાચીન શાસન
পৌৰাণিক,પ્રાચીન
প্ৰাচীন বেলাড,પ્રાચીન લોકગીત
প্ৰাচীন বিশ্বাস,પ્રાચીન માન્યતા
প্ৰাচীন প্ৰথা,પ્રાચીન રિવાજ
প্ৰাচীন ইতিহাস,પ્રાચીન ઇતિહાસ
প্ৰাচীন কীৰ্তিচিহ্ন,પ્રાચીન સ્મારકો
উপাখ্যান,ટુચકો
এঞ্জেলট,એન્જેલોટ
এঞ্জেলছ,એન્જલસ
এঞ্জেভিন (=anjevin),એન્જેવિન (=એન્જેવિન)
কোণ,ખૂણો
এংলিকান,એંગ્લિકન
এংলিকান কমিউনিয়ন,એંગ્લિકન કોમ્યુનિયન
এংলিকানিজম,અંગ્રેજવાદ
এংলো-ফ’ব,એંગ્લો-ફોબ
এংলো-ফ’বিয়া,એંગ્લો-ફોબિયા
এংলো-চেক্সন,એંગ્લો-સેક્સન
এংলো-চেক্সনবাদ,એંગ્લો-સેક્સોનિઝમ
এনালিষ্ট,એનાલિસ્ટ
এনালছ,ઇતિહાસ
সংলগ্নকৰণ,જોડાણ
এণ্টে-বেলাম,એન્ટિ-બેલમ
এণ্টে তাৰিখ,તારીખ પહેલાં
কেৰাণীবাদ বিৰোধী,ક્લેરિકલિઝમ વિરોધી
কেৰাণী বিৰোধী আইন,કારકુની વિરોધી કાયદો
প্ৰাচীনতা,પ્રાચીનકાળ
ভাড়া বিৰোধী,વિરોધી ભાડા
ভাড়া বিৰোধী,વિરોધી ભાડા
চেমিটিজম বিৰোধী,વિરોધી સેમિટિઝમ
এঞ্জেক,એન્ઝેક
এপেলা,અપેલા
আৰালু,અરાલુ
আৰ্ক বিচপ,આર્ક બિશપ
আৰ্ক ডাচি,કમાન ડચી
আৰ্ক ড্যুক,આર્ક ડ્યુક
আৰ্কাইফ (=আৰ্কাইভ সংগ্ৰহ),આર્કાઇફ (=આર્કાઇવલ સંગ્રહ)
আৰ্কিপিস্কোপেট,આર્કિપીસ્કોપેટ
অভিজাত শ্ৰেণী,કુલીન વર્ગ
অভিজাত,કુલીન
অভিজাত স্নোবৰী,કુલીન સ્નોબરી
এৰিষ্ট&#39;টেলিয়ান,એરિસ્ટોટેલિયન
আৰ্মাডা,આર્માડા
আৰ্মাডা (=স্পেনিছ আৰ্মাডা),આર્મડા (=ધ સ્પેનિશ આર્મડા)
আৰ্মৰিষ্ট (=armourist),આર્મોરિસ્ટ (=આર્મરિસ્ટ)
কৱচ (=কৱচ),બખ્તર (=બખ્તર)
আৰ্মৰিষ্ট,આર્મરિસ્ટ
আৰ্য্য,આર્યન
আৰ্য্য,આર્યન
আস্কৰী,અસ્કરી
