Tamil,Punjabi
"1.அபாகஸ், 2. எண்ணும்","1. ਅਬੈਕਸ, 2. ਗਿਣਤੀ"
அசாதாரண முடிவு,ਅਸਧਾਰਨ ਅੰਤ
இடைமறிக்கவும்,ਰੁਕਾਵਟ
"1. முழுமையான, 2. உச்சம்","1. ਸੰਪੂਰਨ, 2. ਸੁਪਰੀਮ"
முழுமையான முகவரி,ਪੂਰਾ ਪਤਾ
முழுமையான முகவரித்திறன்,ਸੰਪੂਰਨ ਪਤਾਯੋਗਤਾ
முழுமையான அசெம்பிளர்,ਪੂਰਨ ਅਸੈਂਬਲਰ
"1. முழுமையான குறியீடு, 2. முழுமையான குறியீடு","1. ਸੰਪੂਰਨ ਕੋਡ, 2. ਪੂਰਨ ਕੋਡ"
முழுமையான கட்டளை,ਪੂਰਨ ਹੁਕਮ
"1. முழுமையான புள்ளிவிவரங்கள், 2. முழுமையான தரவு","1. ਸੰਪੂਰਨ ਅੰਕੜੇ, 2. ਪੂਰਨ ਡਾਟਾ"
முழுமையான அறிவுறுத்தல்,ਪੂਰਨ ਹਦਾਇਤ
முழுமையான பயன்முறை,ਪੂਰਨ ਮੋਡ
முழுமையான பாதை,ਪੂਰਨ ਮਾਰਗ
"1. முழுமையான நிரலாக்கம், 2. முழுமையான நிரலாக்கம்","1. ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ, 2. ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ"
சுருக்க வர்க்கம்,ਐਬਸਟਰੈਕਟ ਕਲਾਸ
சுருக்க தரவு வகை,ਸੰਖੇਪ ਡਾਟਾ ਕਿਸਮ
சுருக்க இயந்திரம்,ਐਬਸਟਰੈਕਟ ਮਸ਼ੀਨ
சுருக்க சின்னம்,ਸੰਖੇਪ ਚਿੰਨ੍ਹ
சுருக்க தொடரியல்,ਸੰਖੇਪ ਸੰਟੈਕਸ
ஏற்பு சோதனை,ਸਵੀਕ੍ਰਿਤੀ ਟੈਸਟ
அணுகல் சான்றிதழ்,ਪਹੁੰਚ ਪ੍ਰਮਾਣੀਕਰਣ
"1. அணுகல் குறியீடு, 2. அணுகல் குறியீடு","1. ਪਹੁੰਚ ਕੋਡ, 2. ਐਕਸੈਸ ਕੋਡ"
நுழைவு கட்டுப்பாடு,ਪਹੁੰਚ ਕੰਟਰੋਲ
அணுகல் ஸ்கேனிங்,ਐਕਸੈਸ ਸਕੈਨਿੰਗ
பாகங்கள்,ਸਹਾਇਕ ਉਪਕਰਣ
கணக்கியல்,ਲੇਖਾਕਾਰੀ
"1. கணக்கு ஐடி, 2. கணக்கியல் அடையாளம்","1. ਖਾਤਾ ID, 2. ਲੇਖਾ ਪਛਾਣ"
திரட்டி,ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ
"1. துல்லியம், 2. துல்லியம்","1. ਸ਼ੁੱਧਤਾ, 2. ਸ਼ੁੱਧਤਾ"
அணுகல்,ਪਹੁੰਚ
அணுகல் கட்டுப்பாட்டு பைட்டுகள்,ਪਹੁੰਚ ਕੰਟਰੋਲ ਬਾਈਟ
அணுகல் காட்டி,ਪਹੁੰਚ ਸੂਚਕ
அணுகல் விசை,ਪਹੁੰਚ ਕੁੰਜੀ
"1. அணுகல் அணி, 2. அணுகல் அணி","1. ਪਹੁੰਚ ਮੈਟਰਿਕਸ, 2. ਪਹੁੰਚ ਮੈਟਰਿਕਸ"
அணுகல் முறை,ਪਹੁੰਚ ਮੋਡ
அணுகல் சலுகைகள்,ਪਹੁੰਚ ਅਧਿਕਾਰ
அணுகல் பாதுகாப்பு,ਪਹੁੰਚ ਸੁਰੱਖਿਆ
"1. அணுகல் சேவையகம், 2. அணுகல் சர்வர்","1. ਐਕਸੈਸ ਸਰਵਰ, 2. ਸਰਵਰ ਤੱਕ ਪਹੁੰਚ"
அணுகல் நேரம்,ਪਹੁੰਚ ਦਾ ਸਮਾਂ
ஒப்புகை,ਮਾਨਤਾ
ஒலியியல்,ਧੁਨੀ ਵਿਗਿਆਨ
"1. சுருக்கம், 2. சுருக்கம், 3. இருந்து குறுகிய","1. ਸੰਖੇਪ ਰੂਪ, 2. ਸੰਖੇਪ, 3. ਤੋਂ ਛੋਟਾ"
செயல் செய்தி,ਕਾਰਵਾਈ ਸੁਨੇਹਾ
செயல்படுத்துதல்,ਸਰਗਰਮੀ
செயலில் உள்ள சர்வர் பக்கம்,ਸਰਗਰਮ ਸਰਵਰ ਪੰਨਾ
செயலில் உள்ள பதிப்பு,ਕਿਰਿਆਸ਼ੀਲ ਸੰਸਕਰਣ
அசைக்ளிக்,acyclic
"1. அசைக்ளிக் வரைபடம், 2. அசைக்ளிக் வரைபடம்","1. ਏਸਾਈਕਲਿਕ ਗ੍ਰਾਫ਼, 2. acyclic ਗ੍ਰਾਫ਼"
அட கணினி மொழி,ਅਦਾ ਕੰਪਿਊਟਰ ਭਾਸ਼ਾ
"1. ஆப்டிமைசர், 2. உகப்பாக்கி","1. ਆਪਟੀਮਾਈਜ਼ਰ, 2. ਆਪਟੀਮਾਈਜ਼ਰ"
மொத்தத்தில்),ਜੋੜ)
தொகை கோப்பு,sum ਫਾਈਲ
"1. கூட்டல் செயல்பாடு, 2. மொத்த செயல்பாடு","1. ਐਡੀਸ਼ਨ ਓਪਰੇਸ਼ਨ, 2. ਸੰਯੁਕਤ ਕਾਰਵਾਈ"
சேர்ப்பான்,ਜੋੜਨ ਵਾਲਾ
தெரியும்,ਜਾਣੋ
முகவரி பேருந்து,ਪਤਾ ਬੱਸ
முகவரி கோப்பு,ਐਡਰੈੱਸ ਫਾਈਲ
முகவரி வடிவம்,ਪਤਾ ਫਾਰਮੈਟ
முகவரி ஜெனரேட்டர்,ਪਤਾ ਜਨਰੇਟਰ
முகவரி வரி,ਐਡਰੈੱਸ ਲਾਈਨ
முகவரி மேப்பிங்,ਪਤਾ ਮੈਪਿੰਗ
முகவரி காட்டி,ਪਤਾ ਸੂਚਕ
முகவரி பதிவு,ਪਤਾ ਰਜਿਸਟਰ
முகவரி முறிவு,ਪਤਾ ਟੁੱਟਣ
முகவரி மொழிபெயர்ப்பு,ਪਤਾ ਅਨੁਵਾਦ
"1. முகவரி நினைவகம், 2. முகவரியிடக்கூடிய நினைவகம்","1. ਪਤਾ ਕਰਨ ਯੋਗ ਮੈਮੋਰੀ, 2. ਪਤਾ ਕਰਨ ਯੋਗ ਮੈਮੋਰੀ"
உரையாற்றுதல்,ਸੰਬੋਧਨ ਕਰਦੇ ਹੋਏ
"1. போதுமான அளவுகோல்கள், 2. போதுமான அளவுகோல்","1. ਪੂਰਤੀ ਮਾਪਦੰਡ, 2. ਅਨੁਕੂਲਤਾ ਮਾਪਦੰਡ"
இணைப்பு,ਲਗਾਵ
"1. மேலாண்மை, 2. கட்டுப்பாடு","1. ਪ੍ਰਬੰਧਨ, 2. ਕੰਟਰੋਲ"
"1. மேலாளர், 2. கட்டுப்படுத்தி","1. ਮੈਨੇਜਰ, 2. ਕੰਟਰੋਲਰ"
அடோப் அக்ரோபேட்,ਅਡੋਬ ਐਕਰੋਬੈਟ
அடோ போட்டோஷாப்,ਅਡੋਬ ਫੋਟੋਸ਼ਾਪ
ABAP (மேம்பட்ட வணிக நிரலாக்கம்),ABAP (ਐਡਵਾਂਸਡ ਬਿਜ਼ਨਸ ਪ੍ਰੋਗਰਾਮਿੰਗ)
"1. மேம்பட்ட தரவு, 2. மேம்பட்ட தரவு","1. ਐਡਵਾਂਸਡ ਡੇਟਾ, 2. ਤਕਨੀਕੀ ਡਾਟਾ"
மேம்பட்ட தகவல் அமைப்பு,ਤਕਨੀਕੀ ਜਾਣਕਾਰੀ ਸਿਸਟਮ
மேம்பட்ட தொழில்நுட்பம் (AT),ਐਡਵਾਂਸਡ ਟੈਕਨਾਲੋਜੀ (ਏ.ਟੀ.)
நடவடிக்கை,ਕਾਰਵਾਈ
திரட்டுதல்,ਏਕੀਕਰਨ
