Tamil,Marathi
உயிரற்ற இனப்பெருக்கம்,अजैविक पुनरुत्पादन
அமானுஷ்ய,अलौकिक
1. நான்காவது வயிறு 2. எவோமாசோம்,1. चौथे पोट 2. इवोमासोम
வயிற்று வளர்ச்சி உறுப்பு,रंध्र वाढीचा अवयव
வளர்ச்சி குன்றிய விதை,वाढ खुंटलेले बीज
1. கருக்கலைப்பு 2. கருச்சிதைவு 3. வளர்ச்சி எதிர்ப்பு,1. गर्भपात 2. गर्भपात 3. वाढीचा प्रतिकार
1. தேவையற்ற களைகள் 2. முழுமையான களைகள்,1. अवांछित तण 2. पूर्ण तण
உறிஞ்சப்பட்ட கேஷன்,शोषलेले केशन
உறிஞ்சுதல்,शोषण
அபிசீனிய கடுகு,Abyssinian मोहरी
1. காரக்கொல்லி,1. ऍकेरिसाइड
மையவிலக்கு,केंद्राभिमुख
பெருக்கம் (செல்),प्रवर्धन (सेल)
அனுமதிக்கப்பட்ட சகிப்புத்தன்மை,मंजूर सहिष्णुता
1.கூடுதல் 2.துணை 3.துணை,1.अतिरिक्त 2.अॅक्सेसरी 3.अॅक्सेसरी
தழுவல்,रुपांतर
திரட்சி,जमा
1.vacuracy 2. துல்லியம்,1. अचूकता 2. अचूकता
1. அசெர்வலஸ் 2. ஸ்போரோஃபைட்,1. एसरव्हुलस 2. स्पोरोफाइट
1. அசிடைசேஷன் 2. வினிகர் தயாரித்தல் 3. அசிட்டிலின்,1. एसिटायझेशन 2. व्हिनेगर बनवणे 3. एसिटिलीन
1. அமிலமயமாக்கல் 2. அமிலமயமாக்கல்,1. आम्लीकरण 2. आम्लीकरण
1. அமிலமானி 2. அமிலமானி,1. ऍसिडोमीटर 2. ऍसिडीमीटर
அமிலத்தன்மை,आंबटपणा
அமிலத்தன்மை,ऍसिडोफाइल
அமிலமாக்கப்பட்ட ராக் பாஸ்பேட்,ऍसिडिफाइड रॉक फॉस्फेट
அமிலமாக்கப்பட்ட,आम्लीकृत
நீர்நிலை,जलचर
கையகப்படுத்தல்,संपादन
ஏக்கர்,एकर
1. பகுதி 2. பகுதி,1. क्षेत्रफळ 2. क्षेत्रफळ
இறுதி புள்ளி குரோமோசோம்,अंतिम बिंदू गुणसूत्र
முன்னோக்கு,पुढे दिसणारा
குரோசோம்,acrosome
ஆக்டினோமைசீட்ஸ்,actinomycetes
செயலில் உள்ள மைய,सक्रिय कोर
1. சீற்றம் 2. தீவிரம்,1. उग्र 2. तीव्र
தழுவல்,अनुकूलता
தனிப்பயனாக்கம்,सानुकूलन
1. ஒட்டுதல் 2. ஒட்டுதல்,1. आसंजन 2. आसंजन
செபாசியஸ்,सेबेशियस
சரிசெய்தல் சமன்பாடு,समायोजन समीकरण
அடோப் மண்,adobe माती
கலப்படம்,भेसळ करणारा
எக்டோபிக்,एक्टोपिक
இசிடியோஸ்போர் இசிடியம் ஸ்போர்,Isidiospore Isidium बीजाणू
ஏரோடைனமிக் செயல்முறை,वायुगतिकीय प्रक्रिया
வென்ட்ரல்,वेंट्रल
காற்றோட்டம் செய்ய,वायुवीजन करणे
1. காற்று 2. ஆகாஷி,1. हवा 2. आकाशी
1. ஏரோமீட்டர் 2. ஏரோமீட்டர் 3. ஏரோமீட்டர்,1. एरोमीटर 2. एरोमीटर 3. एरोमीटर
ஏரோசல்,एरोसोल
1. மஞ்சரி 2. கோடை உறக்கம்,1. फुलणे 2. उन्हाळी सुप्तता
நோய் அறிவியல்,रोग विज्ञान
காடு வளர்ப்பு,वनीकरण
1. கிளர்ச்சி 2. கொந்தளிப்பு,1. आंदोलन 2. अशांतता
அக்மார்க்,Agmark
1. நிலம் தொடர்பான 2. விவசாயம்,1. जमिनीशी संबंधित 2. कृषी
விவசாய மருத்துவமனை,कृषी चिकित्सालय
1. விவசாயத் தொழிலாளர்கள் 2. விவசாயத் தொழிலாளர்கள்,1. शेतमजूर 2. शेतमजूर
விவசாய சந்தைப்படுத்தல்,कृषी विपणन
விவசாய தொழில்நுட்பம்,कृषी तंत्रज्ञान
1. விவசாயம் 2. விவசாயம் 3. விவசாய அறிவியல்,1. शेती 2. शेती 3. कृषी विज्ञान
விவசாய காடுகள்,कृषी वनीकरण
விவசாய பல்லுயிர்,कृषी जैवविविधता
விவசாய கரிம குறைபாடுகள்,कृषी सेंद्रिय दोष
விவசாய உயிரியல்,कृषी जीवशास्त्र
விவசாய காலநிலை பன்முகத்தன்மை,कृषी-हवामान विविधता
வேளாண் காலநிலை மண்டலத்தை உருவாக்குதல்,कृषी हवामान क्षेत्र निर्मिती
வளர்ப்பு,कृषी वनीकरण
வேளாண்மை,कृषीशास्त्र
வேளாண்மை,कृषीविषयक
விவசாய மேய்ச்சல்,कृषी खेडूत
பயிர் செயலாக்கம்,पीक प्रक्रिया
புல் அறிவியல்,गवत विज्ञान
பயிர் வகை,पीक प्रकार
எபிஃபைட்,epiphyte
aikiochi மண்,aikiochi माती
வண்ண குருட்டுத்தன்மை,रंगाधळेपण
அல்பிசோல்,अल्फिसोल
பாசி,एकपेशीय वनस्पती
பாசி நோய்,एकपेशीय वनस्पती रोग
காரம் நீர்,अल्कली पाणी
காரமானது,अल्कधर्मी
மாற்று,पर्यायी
அலெலோ வேதியியல்,allelo रसायनशास्त्र
அலீல்,एलील
அலெலோபதி,ऍलेलोपॅथी
வேத்தி பயிர்,वेठी पीक
நிறைவு,पूर्णता
கருத்தரித்தல்,गर्भाधान
1. சார்பியல் 2. அலோமெட்ரி,1. सापेक्षता 2. अॅलोमेट्री
பலவகை,मल्टिप्लॉइडी
1. Parazygosity,1. पॅराझिगोसिटी
1. மாற்று ஆண்டு செயல்பாடு 2. மாற்று செயல்பாடு,1. पर्यायी वर्ष कार्य 2. पर्यायी कार्य
மாற்று நில பயன்பாடு,पर्यायी जमिनीचा वापर
சூழல்,वातावरण
சீர்திருத்தவாதி,सुधारक
மைடோசிஸ்,मायटोसिस
அமீனன்,आमीनान
அம்மோனியன்,अमोनियन
அம்னிஃபெரஸ்,amniferous
1. பயனற்ற வடிவம் 2. அரூபி,1. अप्रभावी रूप 2. अरुपी
நீர்வீழ்ச்சி கலவை,उभयचर मिश्रण
ஆம்போடெரிக்,एम्फोटेरिक
கையிருப்பு,साठा करणे
1. காற்றில்லா 2. காற்றில்லா உயிரினங்கள்,1. ऍनेरोबिक 2. ऍनेरोबिक जीव
ஹாப்ளாய்டு,हॅप्लॉइड
கோண நடவு,टोकदार लागवड
கால்நடை வளர்ப்பு,पशुसंवर्धन
விலங்கு மலம்,प्राण्यांचे मलमूत्र
வாழ்க்கை ஆற்றல்,जिवंत ऊर्जा
முரண்பாடான,विसंगत
ஒரு வருடம் பழமையான ஆலை,एक वर्ष जुनी वनस्पती
ஆண்டு,वार्षिक
1. பரவசம் 2. பிரகாசம்,1. परमानंद 2. तेज
ஆந்த்ராக்ஸ்,ऍन्थ्रॅक्स
மானுடவியல் காரணிகள்,मानववंशजन्य घटक
உயிர்வாழ்தல்,जगणे
1. ஆன்டிபயாடிக் 2. நுண்ணுயிர்க்கொல்லி,1. प्रतिजैविक 2. प्रतिजैविक
விரட்டும்,तिरस्करणीय
ஆக்ஸிஜனேற்ற,अँटिऑक्सिडंट
ஆன்டிடாக்சின்,अँटीटॉक्सिन
மோதிர விரல்,अनामिका
1. அசுவினி 2. மஹு 3. செபா,1. ऍफिड 2. महू 3. चेपा
மேல் மொட்டு,शीर्ष अंकुर
உச்ச செயல்திறன்,शिखर प्रभावीता
தேனீ வளர்ப்பு,मधमाशी पालन
ஓரினச்சேர்க்கை,लैंगिकता
அப்போப்டொசிஸ்,apoptosis
பிற்சேர்க்கைகள்,परिशिष्ट
பசியை உண்டாக்கும்,भूक वाढवणारे
விண்ணப்பித்தார்,लागू
நீர்வாழ் களை,जलीय तण
1. மரம் 2. மரத்தில் வசிப்பவர்,1. झाड 2. वृक्षवासी
கிளைகள்,शाखा
புரோட்டோபோட்டானிக்கல் பதிவுகள்,प्रोटोबोटॅनिकल रेकॉर्ड
மண்டல எண்,झोन क्रमांक
1. பகுதி 2. பகுதி,1. क्षेत्रफळ 2. क्षेत्रफळ
உலர் சுற்றுச்சூழல்,कोरडे इकोसिस्टम
கோட்டிலிடன்,cotyledon
சௌரப்,सौरभ
நறுமண ஆலை,सुगंधी वनस्पती
வாசனை அரிசி,सुवासिक तांदूळ
இக்ஷு புஷ்பன்,इक्षु पुष्पन
அசெப்டிக்,ऍसेप्टिक
1. அசெப்டிக் 2. அசெப்டிக்,1. ऍसेप्टिक 2. ऍसेप्टिक
பாலின இனப்பெருக்கம்,अलैंगिक पुनरुत्पादन
அளவு,आकार
சொத்து,मालमत्ता
1. ஒருங்கிணைப்பு 2. ஒருங்கிணைப்பு,1. आत्मसात करणे 2. आत्मसात करणे
1. சங்கம் 2. சங்கம்,1. संघटना 2. संघटना
1. நெடுவரிசை 2. துவர்ப்பு,1. स्तंभ 2. तुरटपणा
பன்முகத்தன்மை,heterozygosity
1. முன்னோர் 2. அடவிசம்,1. पूर्वज 2. Atavism
துகள்,कण
1. உறுதிப்படுத்தல் 2. குறைபாடு,1. पुष्टीकरण 2. कमजोरी
சுய இணைத்தல்,स्वत: ची जोडणी
தன்னியக்கம்,ऑटोलिसिस
1. தன்னிச்சையான ஆக்சிஜனேற்றம் 2. தன்னிச்சையான ஆக்சிஜனேற்றம்,1. उत्स्फूर्त ऑक्सीकरण 2. उत्स्फूर्त ऑक्सीकरण
சுய மல்டிபிளக்ஸ்,स्वत: मल्टिप्लेक्स
ஆக்சின்,ऑक्सिन
1. குலுக்கல் 2. தேரை,1. हादरले 2. टॉड
தண்டனை வைரஸ்,दंडात्मक व्हायरस
1. பேசிலஸ் 2. பேசிலஸ்,1. बॅसिलस 2. बॅसिलस
1. பாக்டீரியா 2. பாக்டீரியா,1. जीवाणू 2. जीवाणू
பாக்டீரியா நச்சு,जिवाणू विष
கரும்பு சக்கை,बॅगासे
இருப்பு தாள்,ताळेबंद
சீரான உர பயன்பாடு,संतुलित खतांचा वापर
சட்ட வரைபடம்,बार आलेख
பட்டை,झाडाची साल
1. காற்றழுத்தமானி 2. காற்றழுத்தமானி,1. बॅरोमीटर 2. बॅरोमीटर
1. buzzer 2. inert 3. barren,1. बजर 2. जड 3. वांझ
1. அடிப்படை 2. அடிப்படை 3. குபாங்,1. बेस 2. बेस 3. कपंग
1. தாலா 2. பேசின்,1. तळा 2. खोरे
தலபிசாரி,तलाबिसरी
1. பாசிஸ்டர்னம் 2. ரூட் ஹோல்டர்,1. बेसिस्टर्नम 2. रूट धारक
வளைகுடா பருவமழை,गल्फ मान्सून
பழ செடி,फळ वनस्पती
படுக்கை,पलंग
படுக்கை ஆலை,बेड प्लांट
படுக்கை,बेडिंग
பீற்று வெல்லப்பாகு,बीट मोलॅसेस
பெல்லோஸ்,घुंगरू
1. கீற்று 2. நிலப்பரப்பு,1. पट्टी 2. भूप्रदेश
இலாப-செலவு பகுப்பாய்வு,नफा-खर्च विश्लेषण
ஆர்வலர் (மாதிரி),इच्छुक (नमुना)
இரு ஆண்டு தாவரங்கள்,द्विवार्षिक वनस्पती
இருவகை,द्विपद
உயிர் காரணி,बायोफॅक्टर
உயிரியல் காலநிலை,जैविक हवामान
உயிர் ஆற்றல்,जैव ऊर्जा
விலங்கு சூழலியல்,प्राणी पर्यावरणशास्त्र
1. உயிர் செயலி 2. உயிர் உலை,1. बायो-प्रोसेसर 2. बायो-रिअॅक्टर
உயிர்க்கோளம்,बायोस्फीअर
உயிரியல்,जैविक
விலங்கினங்கள்,प्राणी
திவிலிங்கி,दिविलिंगी
தவலன்,धवलन
1. பிரத்வாசன் (நோய்) 2. குடல் நோய்,1. प्रध्‍वसन (रोग) 2. गुस्‍त रोग
கலத்தல்,मिश्रण
1. அங்கமாரி (நோய்) 2. ப்ளைட் (நோய்),1. अंगमारी (रोग) 2. अनिष्ट (रोग)
