Kannada,Gujarati
ಸ್ಥಗಿತಗೊಳಿಸು,ગર્ભપાત
ಟೈಮರ್ ಅನ್ನು ಸ್ಥಗಿತಗೊಳಿಸಿ,ગર્ભપાત સમય
ಸಂಪೂರ್ಣ ವಿಳಾಸ,અબાધિત સંબોધન
ಸಂಪೂರ್ಣ ವಿಳಾಸ,પૂર્ણ સંબોધન
ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್,સંપૂર્ણ સંમેલન
ಸಂಪೂರ್ಣ ಕೋಡ್,પૂર્ણ સંહિતા
ಸಂಪೂರ್ಣ ಕೋಡಿಂಗ್,પૂર્ણ સંહિતા
ಸಂಪೂರ್ಣ ಆಜ್ಞೆ,પૂર્ણ આદેશ
ಸಂಪೂರ್ಣ ಸಮನ್ವಯ,સંપૂર્ણ સંકલન
ಸಂಪೂರ್ಣ ಡೇಟಾ,અબાધિત આંકડા
ಸಂಪೂರ್ಣ ದೋಷ,નિરપેક્ષ ભૂલ
ಸಂಪೂರ್ಣ ಅಭಿವ್ಯಕ್ತಿ,પૂર્ણ અભિવ્યક્તિ
ಸಂಪೂರ್ಣ ಸೂಚನೆ,અબાધિત સૂચના
ಸಂಪೂರ್ಣ ಲೋಡರ್,અબાધિત લોડર
ಸಂಪೂರ್ಣ ಕ್ರಮ,સંપૂર્ણ
ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್,પૂર્ણ કાર્યક્રમ
ಸಂಪೂರ್ಣ ಪದ,અબાધિત મુદત
ಸಂಪೂರ್ಣ ಮೌಲ್ಯ,અબાધિત મૂલ્ય
ಸಂಪೂರ್ಣ ವೆಕ್ಟರ್,અબાધિત વેક્ટર
ಅಮೂರ್ತ,નિષ્ક્રિય
ಅಮೂರ್ತಗೊಳಿಸುವ,યોગ્યતા
ಅಮೂರ್ತ ಚಿಹ್ನೆ,સાર -સારાંશ
ವೇಗವರ್ಧನೆ ಅವಧಿ,પ્રવેગશ ગાળો
ವೇಗವರ್ಧಕ ಸಮಯ,પ્રવેગકોનો સમય
ಉಚ್ಚಾರಣಾ,ઉચ્ચારણ
ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ,સ્વીકૃતિ કસોટી
ಪ್ರವೇಶ,પ્રવેશ
ಪ್ರವೇಶ,પ્રવેશ હાથ
ಪ್ರವೇಶ ವ್ಯವಸ್ಥೆ,પ્રવેશ -વ્યવસ્થા
ಪ್ರವೇಶ,પ્રવેશ સત્તાવાર
ಪ್ರವೇಶ,પ્રવેશ -ખર્ચ
ಪ್ರವೇಶ ವರ್ಗ,પ્રવેશ -વર્ગ
ಡೇಟಾ ಬೇಸ್ ನಿರ್ವಹಣೆಯನ್ನು ಪ್ರವೇಶಿಸಿ,પ્રવેશ -આધાર વ્યવસ્થાપન
ಪ್ರವೇಶ ಪರಿಸರ,પર્યાવરણ
ಪ್ರವೇಶದ ಅಂತರ,પ્રવેશ અંતર
ಪ್ರವೇಶ ಸೂಚ್ಯಂಕ,પ્રવેશ -સૂચિ
ಪ್ರವೇಶ,પ્રવેશ -રેખા
ಪ್ರವೇಶ ಕಾರ್ಯ,પ્રવેશ -પદ્ધતિ
ಪ್ರವೇಶ ವಿಧಾನ,પ્રવેશ પદ્ધતિ
ಪ್ರವೇಶ ವಿಧಾನ ದಿನಚರಿ,પ્રવેશ -પદ્ધતિ
ಪ್ರವೇಶ ಕ್ರಮ,પ્રવેશ -પદ્ધતિ
ಪ್ರವೇಶ ಬಲ,પ્રવેશ -હક
ಪ್ರವೇಶ ಸ್ಕ್ಯಾನ್,પ્રવેશ -સ્કેન
ಪ್ರವೇಶ ಸಮಯ,પ્રવેશ સમય
ಲೆಕ್ಕಪತ್ರ,નામું
ಲೆಕ್ಕಪರಿಶೋಧನಾ ವ್ಯವಸ್ಥೆ,હિસાબ -પદ્ધતિ પદ્ધતિ
ಅಕೌಂಟಿಂಗ್ ಯಂತ್ರ,હિસાબ -વ્યવસ્થા
ಖಾತೆ ಸಂಖ್ಯೆ,ખાતા નંબર
ಸಂತಾನೋತ್ಪತ್ತಿ ಮಾಡುವವರನ್ನು ಸಂಗ್ರಹಿಸುವುದು,સંચયી પ્રજનનકર્તા
ಸಂಗ್ರಹಣೆದಾರ,એકઠા કરનાર
ಸಂಚಯಕ ನೋಂದಣಿ,સંચિત રજિસ્ટર
ಸಂಚಯಕ ಶಿಫ್ಟ್ ಸೂಚನೆ,સંચય -પાળી સૂચના
ನಿಖರತೆ,ચોકસાઈ
ನಿಖರತೆ ನಿಯಂತ್ರಣ ಪಾತ್ರ,ચોકસાઈ નિયંત્રણ
ನಿಖರತೆ ನಿಯಂತ್ರಣ ವ್ಯವಸ್ಥೆ,ચોકસાઈ નિયંત્રણ પદ્ધતિ
ಏಸ್ ಪೈಲಟ್,પાસાનો પાસાનો પો
ಪಾತ್ರವನ್ನು ಅಂಗೀಕರಿಸಿ,પાત્ર સ્વીકારવું
ಅಕೌಸ್ಟಿಕ್ ಕೋಪ್ಲರ್,ધ્વનિકર્તા
ಅಕೌಸ್ಟಿಕ್ ಜೋಡಣೆ,ધ્વનિ -જોડાણ
ಅಕೌಸ್ಟಿಕ್ ವಿಳಂಬ ರೇಖೆ,ધ્વનિ વિલંબ રેખા
ಅಕೌಸ್ಟಿಕ್ ಸ್ಮರಣೆ,ધ્વનિમૂર્તિ
ಸಕೌಸ್ಟಿಕ್ ಮೋಡೆಮ್,ધ્વનિ -મોડેમ
ಅಕೌಸ್ಟಿಕ್ ಸಂಕೇತ,ધ્વનિ સંકેત
ಅಕೌಸ್ಟಿಕ್ ಸಂಗ್ರಹ,ધ્વનિ સંગ્રહ
ಸಂಕ್ಷಿಪ್ತ ರೂಪ,ટૂંકાક્ષર
ಕ್ರಿಯಾಶೀಲತೆ,ક્રિયા
ಕ್ರಿಯಾಶೀಲತೆ,કાર્ય -ચક્ર
ಕ್ರಿಯಾಶೀಲ ರೇಖೆ,ક્રિયા -રેખ
ಕ್ರಿಯಾಶೀಲ,ક્રિયા
ಕ್ರಿಯಾಶೀಲತೆ,કાર્ય -સ્પષ્ટીકરણ
ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ,સક્રિય
ಸಕ್ರಿಯ,સક્રિય
ಸಕ್ರಿಯ ಫೈಲ್,સક્રિય ફાઈલ
ಸಕ್ರಿಯ ರೇಖೆ,સક્રિય રેખા
ಸಕ್ರಿಯ ಲಿಂಕ್,સક્રિય કડી
ಸಕ್ರಿಯ ಮಾಸ್ಟರ್ ಫೈಲ್,સક્રિય માસ્ટર ફાઇલ
ಸಕ್ರಿಯ ಮಾಸ್ಟರ್ ಐಟಂ,સક્રિય મુખ્ય વસ્તુ
ಸಕ್ರಿಯ ಉಪಗ್ರಹ,સક્રિય ઉપગ્રહ
ಸಕ್ರಿಯ ನಿಲ್ದಾಣ,સક્રિય કેન્દ્ર
ಸಕ್ರಿಯ ಸಂಗ್ರಹಣೆ,સક્રિય સંગ્રહ
ಚಟುವಟಿಕೆ,પ્રવૃત્તિ
ಚಟುವಟಿಕೆ ಮಟ್ಟ,પ્રવૃત્તિ સ્તરે
ಚಟುವಟಿಕೆ ಲೋಡಿಂಗ್,પ્રવૃત્તિ લોડિંગ
ಚಟುವಟಿಕೆ ಅನುಪಾತ,પ્રવૃત્તિ ગુણોત્તર
ನಿಜವಾದ ವಿಳಾಸ (= ಸಂಪೂರ್ಣ ವಿಳಾಸ),વાસ્તવિક સરનામું (= સંપૂર્ણ સરનામું)
ನಿಜವಾದ ಕೋಡ್ (= ಸಂಪೂರ್ಣ ಕೋಡ್),વાસ્તવિક કોડ (= સંપૂર્ણ કોડ)
ನಿಜವಾದ ಡೇಟಾ ವರ್ಗಾವಣೆ ದರ,વાસ્તવિક ડેટા ટ્રાન્સફર રેટ
ವಾಸ್ತವಿಕ ದಶಮಾಂಶ ಬಿಂದು,વાસ્તવિક દશાંશ બિંદુ
ನಿಜವಾದ ಸೂಚನೆ (= ಪರಿಣಾಮಕಾರಿ ಸೂಚನೆ),વાસ્તવિક સૂચના (= અસરકારક સૂચના)
ವಾಸ್ತವಿಕ ಕೀ,ખરેખર ચા
ವಾಸ್ತವಿಕ ಸಮಯ,વાસ્તવિક સમય
ನಿಜವಾದ ಕೆಲಸದ ಸಮಯ,વાસ્તવિક કામનો સમય
ಸಂಕೇತ,કાર્યકારી સંકેત
ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ,અનુકૂલનક્ષમતા
ಅಳವಡಗಾರ,અનુકૂલન
ಹೊಂದಾಣಿಕೆಯ ಚಾನಲ್ ಹಂಚಿಕೆ,અનુકૂલનશીલ ચેનલ ફાળવણી
ಹೊಂದಾಣಿಕೆಯ ಏಕೀಕರಣ,અનુકૂલનશીલ એકીકરણ
