English,Malayalam
A C equivalent circuit,എ.സി തുല്യമായ സർക്യൂട്ട്
A to D converter,അനലോഗ് ടു ന്യൂമെറിക് കൺവെർട്ടർ
Absolute zero,കേവല പൂജ്യം
Absorption coefficient,ആഗിരണം ഗുണകം
Absorption spectrum,ആഗിരണം സ്പെക്ട്രം
Acceptor atom,റിസപ്റ്റർ ആറ്റം
A C coupling,ആൾട്ടർനേറ്റിംഗ് കറന്റ് കപ്ലിംഗ്
Accumulation of electron,ഇലക്ട്രോൺ വിളവെടുപ്പ്
Accumulation of holes,ദ്വാര സംഭരണം
Activation energy,സജീവമാക്കൽ ഊർജ്ജം
Active amplifier,സജീവ ആംപ്ലിഫയർ
Active diode circuit,സജീവ ഡയോഡ് സർക്യൂട്ട്
Active filter,സജീവ ഫിൽട്ടർ
Active high pass filter,സജീവമായ ഉയർന്ന ഫ്രീക്വൻസി പാർക്ക്വെറ്റ് ഫിൽട്ടർ
Active load,സജീവ ലോഡ്
Active low pass filter,സജീവമായ ലോ ഫ്രീക്വൻസി പാഴ്സ് ഫിൽട്ടർ
Active region,സജീവമായ പ്രദേശം
Adaptive electronics,അഡാപ്റ്റീവ് ഇലക്ട്രോണിക്സ്
Adder,ചേർക്കുന്നയാൾ
Adjustable band width,ക്രമീകരിക്കാവുന്ന ബാൻഡ് വിപുലീകരണം
Admittance,നുഴഞ്ഞുകയറ്റം
Aerial,ഏരിയൽ
Agility frequency,പെപ് ആവൃത്തി
Air conditioner,എയർ കണ്ടീഷണർ
Alignment,വിന്യാസം
Algorithm,അൽഗോരിതം
All pass filter,എല്ലാ പാസ് ഫിൽട്ടറും
Alloy junction,അലോയ് ജംഗ്ഷൻ
Attenuation,ശോഷണം
Alternating current (AC),ആൾട്ടർനേറ്റിംഗ് കറന്റ്
Ambient temperature,അന്തരീക്ഷ ഊഷ്മാവ്
Ambipolar,ബൈപോളാർ
Amplification,ആംപ്ലിഫിക്കേഷൻ
Amplifier,ആംപ്ലിഫയർ
Amplifier efficiency,ആംപ്ലിഫയർ കാര്യക്ഷമത
Amplitude,അളവുകൾ
Amplitude altenuation,ആംപ്ലിറ്റ്യൂഡ് അറ്റൻവേഷൻ
Amplitude modulated oscillator,ആംപ്ലിറ്റ്യൂഡ് മോഡുലേറ്റഡ് AM ഓസിലേറ്റർ
Amplitude modulation,ആംപ്ലിറ്റ്യൂഡ് മോഡുലേഷൻ
Amplitude modulator,ആംപ്ലിറ്റ്യൂഡ് മോഡുലേറ്റർ
Angstrom unit,angstrom യൂണിറ്റ്
Analog circuit,അനലോഗ് സർക്യൂട്ട്
Analog computer,അനലോഗ് കമ്പ്യൂട്ടർ
Analog filter,അനലോഗ് ഫിൽട്ടർ
Analog multimeter,അനലോഗ് മൾട്ടിമീറ്റർ
Analog switch,അനലോഗ് സ്വിച്ച്
AND gate,ഒപ്പം ഗേറ്റും
Angular frequency,കോണീയ ആവൃത്തി
Anion,"അയോൺ, അയോൺ"
Annealing temperature,അനീലിംഗ് താപനില
Anode,ആനോഡ്
Anode amplifier,ആനോഡ് ആംപ്ലിഫയർ
Anodization,അനോഡൈൻ
Antenna,ആന്റിന
Antenna elements,ആന്റിന ഘടകം
Anti-reflection coating,ആന്റി-റിഫ്ലക്ടീവ് കോട്ടിംഗ്
Anti-log amplifier,ആന്റിലോഗിൻ ആംപ്ലിഫയർ
Anti-resonant circuit,antiresonant സർക്യൂട്ട്
Aperture time,ദ്വാരക കാലഘട്ടം
Apparent power,വെർച്വൽ പവർ
Apparent wiring,വയർ കണക്ഷൻ
Approximate voltage gain,ഏകദേശ വോൾട്ടേജ് നേട്ടം
Armstrong modulator,ആംസ്ട്രോങ് മോഡുലേറ്റർ
Arrays of antenna,ആന്റിന അറേ
Aspect ratio,"വലുപ്പ അനുപാതം, വീക്ഷണ അനുപാതം"
Astable circuit (free running circuit),ഫ്ലോട്ടിംഗ് സർക്യൂട്ട് (സ്വതന്ത്ര ഓപ്പറേറ്റിംഗ് സർക്യൂട്ട്)
Astable multivibrator,ഓട്ടോമാറ്റിക് മൾട്ടിവൈബ്രേറ്റർ
Astable multivibrator,ഫ്ലോട്ടിംഗ് മൾട്ടിവൈബ്രേറ്റർ
Asymmetrical junction,അസമമായ ജംഗ്ഷൻ
Asynchronous counters,അസിൻക്രണസ് കാൽക്കുലേറ്റർ
Atom,ആണവ
Atomic number,ആറ്റോമിക നമ്പർ
Atomic structure,ആറ്റോമിക് ഘടന
Audio amplifier,ഓഡിയോ ആംപ്ലിഫയർ
Audio amplifier,ഓഡിയോ ആംപ്ലിഫയർ
Audio cassette,ഓഡിയോ കാസറ്റ്
Audio circuit,ഓഡിയോ സർക്യൂട്ട്
Audio frequency,കേൾക്കാവുന്ന ആവൃത്തി
Automatic voltage control,ഓട്ടോമാറ്റിക് വോൾട്ടേജ് നിയന്ത്രണം
Avalanche,ഹിമപാതം
Average detector,ശരാശരി ഡിറ്റക്ടർ
Axial mode,അക്ഷീയ മോഡ്
Axial ratio,അക്ഷീയ അനുപാതം
Antenna,ആന്റിന
Back e.m.f.,ബാക്ക് ഇലക്ട്രോമോട്ടീവ് ഫോഴ്സ്
Back field,പിൻ പ്രദേശം
Back scattering,തിരികെ ചിതറിക്കിടക്കുക
Background charge,പശ്ചാത്തല ചാർജ്
Background noise,സൈഡ് ശബ്ദം
Backlash,പിന്നോക്കാവസ്ഥ
Backlobe radiation,പിൻഭാഗത്തെ വികിരണം
Backward diode,ബാക്ക്വേർഡ് ഡയോഡ് / ബാക്ക്വേർഡ് ഡയോഡ്
Backward wave oscillator,ബാക്ക്വേർഡ് വേവ് ഓസിലേറ്റർ
Baffle,"തടസ്സം, തടസ്സം"
Baffle shield,തടസ്സം
Balanced bridge,സമതുലിതമായ പാലം
Balanced demodulator,സമതുലിതമായ മോഡുലേറ്റർ
Balanced modulator,സമതുലിതമായ മോഡുലേറ്റർ
Balanced network,സമതുലിതമായ സർക്യൂട്ട്
Balancedslope detector,സമതുലിതമായ ഗ്രേഡിയന്റ് ഡിറ്റക്ടർ
Ballast resistors,നിലവിലെ സ്റ്റെബിലൈസർ പ്രതിരോധം
Balometer,ബൊലോമീറ്റർ
Balometer bridge,ബോലോമീറ്റർ പാലം
Balun,ബലൂണ്
Banana jack,ബനാന ജാക്ക്
Banana plug,ബനാന പ്ലഗ്
Band,"ബാൻഡ്, ബാൻഡേജ്"
Band conduction,ബാൻഡ് ഡ്രൈവർ
Band energy,ബാൻഡ് ഊർജ്ജം
Band gap,ബാൻഡ് വിടവ്
Band pass amplifier,ബാഡ്പാർക്ക് ആംപ്ലിഫയർ
Band pass filter,ബാൻഡ് പാസ് ഫിൽട്ടർ
Baud rate generator,ബോഡ് റേറ്റ് ജനറേറ്റർ
Band spreading,ബാൻഡ് ഡിസ്പെർഷൻ
Band stop,ബാൻഡ് റെസിസ്റ്റർ
Band stop filter,ബാൻഡ് ബ്രേക്കർ ഫിൽട്ടർ
Band width,ബാൻഡ് വിപുലീകരണം
Band-elimination filter,ബാൻഡ് റിമൂവർ ഫിൽട്ടർ
Bandwidth dispersion product,ബാൻഡ് എക്സ്പാൻഷൻ ഡിഫ്ലെക്ഷൻ മൾട്ടിപ്ലയർ
Bandwidth distance product,ബാൻഡ് എക്സ്റ്റൻഷൻ ഡിസ്റ്റൻസ് മൾട്ടിപ്ലയർ
Bank capacity,"ബീം കപ്പാസിറ്റർ, ബാങ്ക് കപ്പാസിറ്റർ"
Barker code,"ബാർക്കർ കോഡ്, ബാർക്കർ കോഡ്"
Barkhausen criterion,barravaugen മാനദണ്ഡം
Barretter,ബാരേറ്റർ
Barrier,തടസ്സം
Barrier capacitor,ഇൻസുലേറ്റിംഗ് കപ്പാസിറ്റർ
Barrier energy,തടസ്സം ഊർജ്ജം
Barrier voltage,റെസിസ്റ്റർ വോൾട്ടേജ്
Bartlett window,ബാർട്ട്ലെറ്റ് വിൻഡോ
Base,"അടിസ്ഥാനം, അടിസ്ഥാനം"
Base band,അടിസ്ഥാന ബാൻഡ്
Base band transmission,അടിസ്ഥാന ബാൻഡ് ട്രാൻസ്മിഷൻ
Base charge,അടിസ്ഥാന ചാർജ്
Base current,അടിസ്ഥാന കറന്റ്
Base current source,അടിസ്ഥാന നിലവിലെ ഉറവിടം
Base dipping,അടിസ്ഥാന കത്രിക
Base doping,ആധാർ മദൻ
Base emitter feedback,അടിസ്ഥാന എമിറ്റർ ഫീഡ്
Base emitter junction,അടിസ്ഥാന എമിറ്റർ ജംഗ്ഷൻ
Base infection,അടിസ്ഥാന കുത്തിവയ്പ്പ്
Base line,ഗ്രൗണ്ട് ലൈൻ
Base resistance,അടിസ്ഥാന പ്രതിരോധം
Base source,അടിസ്ഥാന ഉറവിടം
Base spreading resistance,അടിസ്ഥാന വിപുലീകരണ പ്രതിരോധം
Base spreading resistance,അടിസ്ഥാന വിപുലീകരണ പ്രതിരോധം
Base thickness,അടിസ്ഥാന കനം
Base transport,അടിസ്ഥാന പ്രവേശനം
Base width modulation,"ബേസ് വിഡ്ത്ത് മോഡുലേഷൻ, ബേസ് എക്സ്പാൻഷൻ മോഡുലേഷൻ"
Base-collector junction,അടിസ്ഥാന കളക്ടർ ഉടമ്പടി
Bass,മണം
Bass frequency,ബാസ് ആവൃത്തി
Battery,ബാറ്ററി
Baud,ബൗഡ്
Baud rate,ബാഡ് നിരക്ക്
Baud rate generator,ബോഡ് റേറ്റ് ജനറേറ്റർ
Baudot code,ബോഡോ കോഡ്
Beacon,"സിഗ്നൽ, ബീക്കൺ"
Bead,"മാണിക, ബീഡ്"
Bead capacitor,മാനിക് കപ്പാസിറ്റർ
Bead thermister,മണികർത്താപി റെസിസ്റ്ററുകൾ
Bean antenna,"ബീം ആന്റിന, ബീം ആന്റിന"
Beam finder,ബീം ഡിറ്റക്ടർ
Beam power tube,ബീം പവർ ഹോസ്
Beam switching tube,ബീം സ്വിച്ചിംഗ് നോസിലുകൾ
Beam width,ബീം വികാസം
Beat frequency,അടി ആവൃത്തി
Beat frequency oscillator,ബീറ്റ്-ഫ്രീക്വൻസി ഓസിലേറ്റർ
Beat oscillator,പൾസ് ഓസിലേറ്റർ
Bel,മണി
Bending loss,വളയുന്ന നഷ്ടം
Bessel filter,ബെസൽ ഫിൽട്ടർ
Beta,ബീറ്റ
B-H curve,b-h വക്രം
Bias,"പക്ഷപാതം, പക്ഷപാതം"
Bias current,ബയസ് കറന്റ്
Bias resistor,പക്ഷപാത പ്രതിരോധം
Biconical antenna,ഇരട്ട ആന്റിന
Bidirection load current,ദ്വിദിശ ലോഡ് കറന്റ്
Bi-directional antenna,ദ്വിദിശ ആന്റിന
Bidirectional LED,ദ്വിദിശ പ്രകാശം പുറപ്പെടുവിക്കുന്ന ഡയോഡ്
Bidirectional thyristor,ദ്വിദിശയിലുള്ള തൈറിസ്റ്റർ
Bi-FET technology,bi FET സാങ്കേതികവിദ്യ
Bifilar transformer,ബൈ പോയിന്റ് ട്രാൻസ്ഫോർമർ
Bifilar winding,ഇരട്ട സംയോജനം
Bilateral network,ഉഭയകക്ഷി സർക്യൂട്ട്
Binary,ബൈനറി
Binary addition,ബൈനറി തുക
Binary circuit,ബൈനറി സർക്യൂട്ട്
Binary coded decimal (BCD),ബൈനറി കോഡ് ചെയ്ത ദശാംശം
Binary coded decimal system,ബൈനറി കോഡഡ് ഡെസിമൽ സിസ്റ്റം
Binary commutating capacitor,ബൈനറി ദ്വിധ്രുവ കപ്പാസിറ്റർ
Binary counter,ബൈനറി കാൽക്കുലേറ്റർ
Binary counter,ബൈനറി കാൽക്കുലേറ്റർ
Binary decoder,ബൈനറി ഡീകോഡർ
Binary ladder,ബൈനറി ഗോവണി
Binary odometer,ബൈനറി പാത്തോമീറ്റർ
Binary state,ബൈനറി അവസ്ഥ
Binary to decimal decoders,ബൈനറി-ഡെസിമൽ ഡീകോഡർ
Binary weight,ബൈനറി ലോഡ്
Binary word,ബൈനറി വാക്കുകൾ
Bipolar,ബൈപോളാർ
Bipolar capacitor,ബൈപോളാർ കപ്പാസിറ്റർ
Bipolar device,ബൈപോളാർ ഉപകരണം
Bipolar power supply,ബൈപോളാർ ഉറവിടം
Bipolar transistor,ബൈപോളാർ ട്രാൻസിസ്റ്റർ
Bipolar junction transistor,ബൈപോളാർ ജംഗ്ഷൻ ട്രാൻസിസ്റ്റർ
Biquad filter,ക്വാഡ്രാറ്റിക് ഫിൽട്ടർ
Bistable,ഇരട്ട സ്ഥാനം
Bistable multivibratic,രണ്ട്-ഘട്ട മൾട്ടിവൈബ്രേറ്റർ
Bistable relay,ദ്വിദിശ റിലേ
Bistable state,രണ്ട്-ഘട്ട സംസ്ഥാനം
Bistable trigger,രണ്ട്-സ്ഥാന ട്രിഗർ
Bit error,ബിറ്റ് പിശക്
Bit error rate (BER),ബിറ്റ് പിശക് നിരക്ക്
Bit error,ബിറ്റ് പിശക്
Bit timing error,ബിറ്റ്കാൽ പിശക്
Black box,അന്ധമായ പെട്ടി
Blanking pulses,ഘനീഭവിച്ച പൾസ്
