Malayalam,Tamil
എ.സി തുല്യമായ സർക്യൂട്ട്,ஏசி சமமான சுற்று
അനലോഗ് ടു ന്യൂമെറിക് കൺവെർട്ടർ,எண் மாற்றிக்கு ஒப்புமை
കേവല പൂജ്യം,முழுமையான பூஜ்ஜியம்
ആഗിരണം ഗുണകം,உறிஞ்சுதல் குணகம்
ആഗിരണം സ്പെക്ട്രം,உறிஞ்சுதல் நிறமாலை
റിസപ്റ്റർ ആറ്റം,ஏற்பி அணு
ആൾട്ടർനേറ്റിംഗ് കറന്റ് കപ്ലിംഗ്,மாற்று மின்னோட்ட இணைப்பு
ഇലക്ട്രോൺ വിളവെടുപ്പ്,எலக்ட்ரான் அறுவடை
ദ്വാര സംഭരണം,துளை சேமிப்பு
സജീവമാക്കൽ ഊർജ്ജം,செயல்படுத்தும் ஆற்றல்
സജീവ ആംപ്ലിഫയർ,செயலில் பெருக்கி
സജീവ ഡയോഡ് സർക്യൂട്ട്,செயலில் உள்ள டையோடு சுற்று
സജീവ ഫിൽട്ടർ,செயலில் வடிகட்டி
സജീവമായ ഉയർന്ന ഫ്രീക്വൻസി പാർക്ക്വെറ്റ് ഫിൽട്ടർ,செயலில் உள்ள உயர் அதிர்வெண் பார்க்வெட் வடிகட்டி
സജീവ ലോഡ്,செயலில் சுமை
സജീവമായ ലോ ഫ്രീക്വൻസി പാഴ്സ് ഫിൽട്ടർ,செயலில் குறைந்த அதிர்வெண் பாகுபடுத்தும் வடிகட்டி
സജീവമായ പ്രദേശം,செயலில் உள்ள பகுதி
അഡാപ്റ്റീവ് ഇലക്ട്രോണിക്സ്,தகவமைப்பு மின்னணுவியல்
ചേർക്കുന്നയാൾ,சேர்ப்பான்
ക്രമീകരിക്കാവുന്ന ബാൻഡ് വിപുലീകരണം,சரிசெய்யக்கூடிய இசைக்குழு நீட்டிப்பு
നുഴഞ്ഞുകയറ്റം,ஊடுருவல்
ഏരിയൽ,ஏரியல்
പെപ് ആവൃത്തി,பெப் அதிர்வெண்
എയർ കണ്ടീഷണർ,காற்றுச்சீரமைப்பி
വിന്യാസം,சீரமைப்பு
അൽഗോരിതം,அல்காரிதம்
എല്ലാ പാസ് ഫിൽട്ടറും,அனைத்து பாஸ் வடிகட்டி
അലോയ് ജംഗ്ഷൻ,அலாய் சந்திப்பு
ശോഷണം,தணிவு
ആൾട്ടർനേറ്റിംഗ് കറന്റ്,மாறுதிசை மின்னோட்டம்
അന്തരീക്ഷ ഊഷ്മാവ്,சுற்றுப்புற வெப்பநிலை
ബൈപോളാർ,இருமுனை
ആംപ്ലിഫിക്കേഷൻ,பெருக்கம்
ആംപ്ലിഫയർ,பெருக்கி
ആംപ്ലിഫയർ കാര്യക്ഷമത,பெருக்கி செயல்திறன்
അളവുകൾ,பரிமாணங்கள்
ആംപ്ലിറ്റ്യൂഡ് അറ്റൻവേഷൻ,வீச்சு குறைதல்
ആംപ്ലിറ്റ്യൂഡ് മോഡുലേറ്റഡ് AM ഓസിലേറ്റർ,அலைவீச்சு மாடுலேட்டட் AM ஆஸிலேட்டர்
ആംപ്ലിറ്റ്യൂഡ് മോഡുലേഷൻ,வீச்சு பண்பேற்றம்
ആംപ്ലിറ്റ്യൂഡ് മോഡുലേറ്റർ,வீச்சு மாடுலேட்டர்
