English,Punjabi
Abaxial surface,ਐਬੈਕਸਿਅਲ ਸਤਹ
Abdomen,ਪੇਟ
Abdominal aorta,ਪੇਟ AORTA
Abdominal ganglia,ਪੇਟ ਗੰਗਾਲੀਆ
Abelmoschus esculentus,ਅਬੈਲਮੋਸਚਸ ਐਸਕੂਲਟਸ
Aberration,ਅਸਧਾਰਨ
Abies,ਅੱਛਾ
Abingdon tortoise,ਅਬਿੰਗਡਨ ਕਛੂਆ
Abiogenesis,ਅਬੀਓਜੀਨੇਸਿਸ
Abiotic,ਅਬੀਓਟਿਕ
Abiotic factor,ਅਬੀਓਟਿਕ ਕਾਰਕ
Abnormal urine,ਅਸਧਾਰਨ ਪਿਸ਼ਾਬ
ABO blood group,ਅਬੋ ਬਲੱਡ ਗਰੁੱਪ
Abscisic acid,Abscisic ਐਸਿਡ
Abscission,ਵਿਵੇਕ
Absorb,ਸੋਖਣਾ
Absorption peak,ਸਮਾਈ ਪੀਕ
Absorption,ਸਮਾਈ
Acacia catechu,ਅੱਕੀਆ ਕੈਟੂਯੂ
Acaria arabica,ਅਕਾਰੀਆ ਅਰਬੀ
Acaprin,ਐਕਾਪ੍ਰਿਨ
Acceptable sexual behaviour,ਮੰਨਣਯੋਗ ਜਿਨਸੀ ਵਿਵਹਾਰ
Accessory gland,ਐਕਸੈਸਰੀ ਗਲੈਂਡ
Accessory gland,ਐਕਸੈਸਰੀ ਗਲੈਂਡ
Accessory organ,ਸਹਾਇਕ ਅੰਗ
Acclimatization,ਅਨੁਕੂਲਤਾ
Acclimatize,ਅਹਿਮ
Accommodation (focusing),ਰਿਹਾਇਸ਼ (ਫੋਕਸ ਕਰਨਾ)
Accommodation of eye,ਅੱਖ ਦੀ ਰਿਹਾਇਸ਼
Accretionary growth,ਅਦਭੁਤ ਵਾਧਾ
Accumulation,ਇਕੱਠਾ
Accumulation of organic matter,ਜੈਵਿਕ ਪਦਾਰਥ ਦਾ ਇਕੱਠਾ ਹੋਣਾ
Accumulation of soil,ਮਿੱਟੀ ਦਾ ਇਕੱਠਾ ਹੋਣਾ
Acellular,ਐਸੀਲੂਲਰ
Acellular organism,ਐਸੀਲੂਲਰ ਜੀਵ
Acetabulum,ਐਸੀਟੌਮੂਲਮ
Acetaldehyde,ਐਸੀਟਲਾਈਡਾਈਡ
Acetyl coenzyme,ਐਸੀਟੇਲ ਰੀਜ਼ਨ
Achatina,ਅਮੀਥਿਨਾ
Achene type,ਅੱਕੇ
Achene,ਅਕੇਸ਼ੀ
Achlamydosporeae,AchlamyDosporeae
Acid rain,ਐਸਿਡ ਬਾਰਸ਼
Acidic,ਤੇਜਾਬ
Acidic gas,ਤੇਜ਼ਾਬ ਗੈਸ
Acidity,ਐਸਿਡਿਟੀ
Acinar cell,ਐਕਸੀਨਰ ਸੈੱਲ
Acoelomate,ਆਕੋਲੀਓਮੈਟ
Aconitum,ਐਕੋਨਿਟਮ
Acorn worm,ਐਕੋਰਨ ਕੀੜਾ
Acoustic zoning,ਧੁਨੀ ਜ਼ੋਨਿੰਗ
Acquired character,ਪਾਤਰ ਪਾਤਰ
Acquired immunity,ਸੀਮਤ ਸੀਮਤ
Acquired immuno deficiency syndrome (AIDS),ਐਕੁਆਇਰਡ ਇਮੂਨੋ ਦੀ ਘਾਟ ਸਿੰਡਰੋਮ (ਏਡਜ਼)
Acrania,ਅਰੇਂੀਆ
Acridine dye,ਐਸੀਰੇਸਾਈਨ ਡਾਇ
Acrocentric,ਐਕਰੋਸੀਐਸਟ੍ਰਿਕ
Acromion,ਐਕਰੋਮਰ
Acropetal sequence,ਅਸ਼ੋਕਲ ਤਰਤੀਬ
Acropetal order,ਐਕਰੋਪੇਟਲ ਆਰਡਰ
Acrosin,ਐਕਰੋਸਿਨ
Actin,ਐਕਟਿਨ
Actin-like protein,ਐਕਟਿਨ ਵਰਗੇ ਪ੍ਰੋਟੀਨ
Actinomorphic,ਐਕਟਿਨੀਮੋਰਿਕ
Actinomycetes,ਐਕਟਿਨੋਮਾਈਸਾਈਟਸ
Action potential,ਕਾਰਵਾਈ ਸੰਭਾਵਨਾ
Activated sludge,ਸਰਗਰਮ ਸਲੱਜ
Activated sludge floc,ਸਰਗਰਮ ਸਲੈਮ ਫਾਸਟ
Activation energy,ਐਕਟੀਵੇਸ਼ਨ Energy ਰਜਾ
Active absorption,ਐਕਟਿਵ ਸਮਾਈ
Active immunity,ਕਿਰਿਆਸ਼ੀਲ ਛੋਟ
Active radiation,ਸਰਗਰਮ ਰੇਡੀਏਸ਼ਨ
Active site,ਐਕਟਿਵ ਸਾਈਟ
Activin,ਐਕਟੀਵੇਟ
Acuminate,ਅਮੀਮਿਨੇਟ
Adamsia,ਐਡਮਜ਼ੀਆ
Adaptability,ਅਨੁਕੂਲਤਾ
Adaptation,ਅਨੁਕੂਲਤਾ
