Tamil,Odiya
"1.அபாகஸ், 2. எண்ணும்","1. ଆବାକସ୍, ୨। ଗଣନା"
அசாதாரண முடிவு,ଅସ୍ୱାଭାବିକ ସମାପ୍ତି |
இடைமறிக்கவும்,ବାଧା
"1. முழுமையான, 2. உச்சம்","1. ସଂପୂର୍ଣ୍ଣ, 2 ସର୍ବୋଚ୍ଚ"
முழுமையான முகவரி,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
முழுமையான முகவரித்திறன்,ସଂପୂର୍ଣ୍ଣ ଠିକଣା ଯୋଗ୍ୟତା |
முழுமையான அசெம்பிளர்,ସଂପୂର୍ଣ୍ଣ ସମାବେଶକାରୀ |
"1. முழுமையான குறியீடு, 2. முழுமையான குறியீடு","1. ସଂପୂର୍ଣ୍ଣ କୋଡ୍, 2 ସଂପୂର୍ଣ୍ଣ କୋଡ୍"
முழுமையான கட்டளை,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ |
"1. முழுமையான புள்ளிவிவரங்கள், 2. முழுமையான தரவு","1. ସଂପୂର୍ଣ୍ଣ ସଂଖ୍ୟା, 2 ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |"
முழுமையான அறிவுறுத்தல்,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ
முழுமையான பயன்முறை,ସଂପୂର୍ଣ୍ଣ ମୋଡ୍ |
முழுமையான பாதை,ସଂପୂର୍ଣ୍ଣ ପଥ
"1. முழுமையான நிரலாக்கம், 2. முழுமையான நிரலாக்கம்","1. ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ, 2 ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |"
சுருக்க வர்க்கம்,ବିସ୍ତୃତ ଶ୍ରେଣୀ |
சுருக்க தரவு வகை,ବିସ୍ତୃତ ତଥ୍ୟ ପ୍ରକାର |
சுருக்க இயந்திரம்,ବିସ୍ତୃତ ମେସିନ୍ |
சுருக்க சின்னம்,ବିସ୍ତୃତ ପ୍ରତୀକ |
சுருக்க தொடரியல்,ବିସ୍ତୃତ ବାକ୍ୟବିନ୍ୟାସ |
ஏற்பு சோதனை,ଗ୍ରହଣ ପରୀକ୍ଷା
அணுகல் சான்றிதழ்,ପ୍ରବେଶ ପ୍ରମାଣପତ୍ର
"1. அணுகல் குறியீடு, 2. அணுகல் குறியீடு","1. ପ୍ରବେଶ ସଂକେତ, 2 ପ୍ରବେଶ କୋଡ୍"
நுழைவு கட்டுப்பாடு,ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ
அணுகல் ஸ்கேனிங்,ସ୍କାନିଂ ଆକ୍ସେସ୍ କରନ୍ତୁ |
பாகங்கள்,ଆନୁଷଙ୍ଗିକ
கணக்கியல்,ହିସାବ
"1. கணக்கு ஐடி, 2. கணக்கியல் அடையாளம்","1. ଖାତା ID, 2 ଆକାଉଣ୍ଟିଂ ପରିଚୟ"
திரட்டி,ଜମାକାରୀ
"1. துல்லியம், 2. துல்லியம்","1. ସଠିକତା, 2 ସଠିକତା"
அணுகல்,ପ୍ରବେଶ
அணுகல் கட்டுப்பாட்டு பைட்டுகள்,ଆକ୍ସେସ୍ କଣ୍ଟ୍ରୋଲ୍ ବାଇଟ୍ |
அணுகல் காட்டி,ପ୍ରବେଶ ସୂଚକ
அணுகல் விசை,ପ୍ରବେଶ କୀ
"1. அணுகல் அணி, 2. அணுகல் அணி","1. ଆକ୍ସେସ୍ ମ୍ୟାଟ୍ରିକ୍ସ, 2 ମ୍ୟାଟ୍ରିକ୍ସ ଆକ୍ସେସ୍ କରନ୍ତୁ |"
அணுகல் முறை,ପ୍ରବେଶ ମୋଡ୍
அணுகல் சலுகைகள்,ସୁବିଧା ପ୍ରବେଶ
அணுகல் பாதுகாப்பு,ସୁରକ୍ଷା ପ୍ରବେଶ କରନ୍ତୁ |
"1. அணுகல் சேவையகம், 2. அணுகல் சர்வர்","1. ଆକ୍ସେସ୍ ସର୍ଭର, 2 ସର୍ଭରକୁ ପ୍ରବେଶ କରନ୍ତୁ |"
அணுகல் நேரம்,ପ୍ରବେଶ ସମୟ
