Hindi,English
आबेली समूह,Abelian group
आबेली सामिसमूह,abelian semigroup
भुज,abscissa
"निरपेक्ष, परम, अचर, परिशुद्‌ध",absolute
निरपेक्ष अभिसरण,absolute convergence
निरपेक्ष त्रुटि,absolute error
परम उच्चिष्ठ,absolute maximum
परम निम्निष्ठ,absolute minimum
निरपेक्ष मान,absolute value
निरपेक्ष वेग,absolute velocity
अमूर्त बीजगणित,abstract algebra
अमूर्त समूह सिद्‌धांत,abstract group theory
त्वरण,acceleration
गुरुत्वीय त्वरण,acceleration due to gravity
स्वीकार्य वरण-समुच्चय,acceptable choice set
स्वीकार्य गुणता स्तर,acceptable quality level
स्वीकार्य परिसर,acceptable range
मान्य विश्वसनीयता स्तर,acceptable reliability level
स्वीकरण-प्रतिचयन,acceptable sampling
संचित त्रुटि,accumulated error
यथार्थता,accuracy
लगा हुआ बल,acting force
" क्रिया , कर्म",action
क्रिया और प्रतिक्रिया,action and reaction
बीमा विज्ञान,acturial science
न्यूनकोण त्रिभुज,acute angled triangle
अचक्रीय,acyclic
"योग करना, जोड़ना",add
योजक,adder
"योग, जोड़, संकलन (स.), योगात्मक (वि.)",addition
योग का सूत्र,addition formula
सम्मिश्र संख्याओं का योग,addition of complex numbers
फलनों का योग,addition of functions
आव्यूहों का योग,addition of matrices
बहुपदों का योग,addition of polynomials
प्रायिकताओं का योग,addition of probabilities
सदिशों का योग,addition of vectors
"योग प्रमेय बेरीज सिद्‌धांत,",addition theorem
योज्य समूह,additive group
योज्य व्युत्क्रम,additive inverse
"योज्यता, योगशीलता",additive property
योज्यता,additivity
आसन्नता आव्यूह,adjacency matrix
" संलग्न, निकटवर्ती , आसन्न",adjacent
आसन्न कोण,adjacent angles
आसन्न शीर्ष,adjacent vertex
सहबद्‌ध करना,adjoin
"संलग्न संलग्नीत,",adjoining
सहखंडज सारणिक,adjoint determinant
संलग्न अवकल समीकरण,adjoint differential equation
संलग्न समीकरण,adjoint equation
सहखंडज आव्यूह,adjoint matrix
आव्यूह सहखंडज,adjoint of matrix
सहखंडज आव्यूह,adjugate matrix
ग्राह्य निर्णय फलन,admissible decision function
ग्राह्य परिकल्पना,admissible hypothesis
वायुगतिक बल,aerodynamic force
वायु गतिकी,aerodynamics
सजातीय ज्यामिति,affine geometry
सजातीय प्रतिचित्रण,affine mapping
सजातीय रूपांतरण,affine transformation
समुच्चयी चर,aggregating variables
" बीजगणित, ऐलजेब्रा , बीजावली , बीजक्रिया",algebra
"बीजतः संवृत, बीजतः",algebraically closed
बीजीय समीकरण,algebraic equation
बीजीय व्यंजक,algebraic expression
बीजीय समघात,algebraic form
बीजीय फलन,algebraic function
बीजीय ज्यामिति,algebraic geometry
बीजीय बहुकता,algebraic multiplicity
बीजीय निकाय,algebraic system
सर्व-पूर्णांक समस्या,all-integer problem
"नियतन समस्या वाटपप्रश्न,",allocation problem
अक्षरात्मक संकेत पद्‌धति,alphabetical notation
