Gujarati,Assamese
"1.એબેકસ, 2. ગણતરી","১.এবাকাছ, ২. গণনা কৰি আছে"
અસામાન્ય અંત,অস্বাভাৱিক অন্ত
ઇન્ટરસેપ્ટ,ইন্টাৰচেপ্ট
"1. સંપૂર્ણ, 2. સર્વોચ્ચ","১.নিৰপেক্ষ, ২. পৰম"
સંપૂર્ણ સરનામું,নিৰপেক্ষ ঠিকনা
સંપૂર્ણ સંબોધનક્ષમતા,নিৰপেক্ষ ঠিকনাযোগ্যতা
સંપૂર્ણ એસેમ્બલર,নিৰপেক্ষ এছেম্বলাৰ
"1. સંપૂર્ણ કોડ, 2. સંપૂર્ણ કોડ","১.নিৰপেক্ষ ক&#39;ড, ২. নিৰপেক্ষ ক&#39;ড"
સંપૂર્ણ આદેશ,নিৰপেক্ষ আদেশ
"1. સંપૂર્ણ આંકડા, 2. સંપૂર્ણ ડેટા","১.নিৰপেক্ষ চিত্ৰ, ২. নিৰপেক্ষ তথ্য"
સંપૂર્ણ સૂચના,নিৰপেক্ষ নিৰ্দেশনা
સંપૂર્ણ મોડ,নিৰপেক্ষ ধৰণ
સંપૂર્ણ માર્ગ,নিৰপেক্ষ পথ
"1. સંપૂર્ણ પ્રોગ્રામિંગ, 2. સંપૂર્ણ પ્રોગ્રામિંગ","1. নিৰপেক্ষ প্ৰগ্ৰেমিং, 2. নিৰপেক্ষ প্ৰগ্ৰেমিং"
અમૂર્ત વર્ગ,বিমূৰ্ত শ্ৰেণী
અમૂર્ત ડેટા પ્રકાર,বিমূৰ্ত তথ্যৰ ধৰণ
અમૂર્ત મશીન,বিমূৰ্ত মেচিন
અમૂર્ત પ્રતીક,বিমূৰ্ত চিহ্ন
અમૂર્ત વાક્યરચના,বিমূৰ্ত বাক্যবিন্যাস
સ્વીકૃતિ કસોટી,গ্ৰহণযোগ্যতা পৰীক্ষা
પ્રવેશ પ્રમાણપત્ર,প্ৰৱেশ প্ৰমাণীকৰণ
"1. એક્સેસ કોડ, 2. ઍક્સેસ કોડ","1. প্ৰৱেশ ক&#39;ড, 2. প্ৰৱেশ ক&#39;ড"
વપરાશ નિયંત્રણ,প্ৰৱেশ নিয়ন্ত্ৰণ
ઍક્સેસ સ્કેનિંગ,অভিগম স্কেনিং
એસેસરીઝ,আনুষংগিক বস্তু
નામું,হিচাপ-নিকাচ
"1. એકાઉન્ટ ID, 2. એકાઉન્ટિંગ ઓળખ","1. একাউণ্ট আইডি, 2. একাউণ্টিং চিনাক্তকৰণ"
સંચયક,এক্যুলেটৰ
"1. ચોકસાઈ, 2. ચોકસાઈ","১/ সঠিকতা, ২. শুদ্ধতা"
ઍક્સેસ,প্ৰৱেশাধিকাৰ
એક્સેસ કંટ્રોલ બાઇટ્સ,অভিগম নিয়ন্ত্ৰণ বাইটসমূহ
ઍક્સેસ સૂચક,প্ৰৱেশ সূচক
ઍક્સેસ કી,অভিগম কি&#39;
"1. એક્સેસ મેટ્રિક્સ, 2. એક્સેસ મેટ્રિક્સ","1. অভিগম মেট্ৰিক্স, 2. অভিগম মেট্ৰিক্স"
ઍક્સેસ મોડ,অভিগম ধৰণ
ઍક્સેસ વિશેષાધિકારો,অভিগম বিশেষাধিকাৰসমূহ
ઍક્સેસ સુરક્ષા,অভিগম সুৰক্ষা
"1. એક્સેસ સર્વર, 2. સર્વર ઍક્સેસ કરો","1. অভিগম চাৰ্ভাৰ, 2. অভিগম চাৰ্ভাৰ"
ઍક્સેસ સમય,প্ৰৱেশ সময়
સ્વીકૃતિ,স্বীকৃতি
ધ્વનિશાસ્ત્ર,শব্দবিজ্ঞান
"1. ટૂંકાક્ષર, 2. સંક્ષેપ, 3. થી ટૂંકું","১. সংক্ষিপ্ত ৰূপ, ২. সংক্ষিপ্ত ৰূপ, ৩. ৰ পৰা চুটি"
ક્રિયા સંદેશ,কাৰ্য্য বাৰ্তা
સક્રિયકરણ,সক্ৰিয়কৰণ
સક્રિય સર્વર પૃષ્ઠ,সক্ৰিয় চাৰ্ভাৰ পৃষ্ঠা
સક્રિય સંસ્કરણ,সক্ৰিয় সংস্কৰণ
એસાયક્લિક,অচক্ৰীয়
"1. એસાયક્લિક ગ્રાફ, 2. એસાયક્લિક ગ્રાફ","১.অচক্ৰীয় গ্ৰাফ, ২. অচক্ৰীয় গ্ৰাফ"
અદા કોમ્પ્યુટર ભાષા,আদা কম্পিউটাৰ ভাষা
"1. ઑપ્ટિમાઇઝર, 2. ઑપ્ટિમાઇઝર","১.অপ্টিমাইজাৰ, ২. অপ্টিমাইজাৰ"
સરવાળે),to sum)
સરવાળો ફાઇલ,যোগফল নথিপত্ৰ
"1. એડિશન ઓપરેશન, 2. સરવાળો કામગીરી","1. যোগ কাৰ্য্য, 2. যোগফল কাৰ্য্য"
ઉમેરનાર,adder
જાણો,ঠিকনা
સરનામું બસ,ঠিকনা বাছ
સરનામું ફાઇલ,ঠিকনা নথিপত্ৰ
સરનામું ફોર્મેટ,ঠিকনা বিন্যাস
સરનામું જનરેટર,ঠিকনা উৎপাদক
એડ્રેસ લાઇન,ঠিকনা ৰেখা
સરનામું મેપિંગ,ঠিকনা মেপিং
સરનામું સૂચક,ঠিকনা সূচক
સરનામું રજીસ્ટર,ঠিকনা পঞ্জীয়ন
સરનામું ભંગાણ,ঠিকনা ভাঙি যোৱা
સરનામા અનુવાદ,ঠিকনা অনুবাদ
"1. એડ્રેસેબલ મેમરી, 2. એડ્રેસેબલ મેમરી","1. ঠিকনাযোগ্য স্মৃতিশক্তি, 2. ঠিকনাযোগ্য মেমৰি"
સંબોધન,সম্বোধন কৰা
"1. પર્યાપ્તતા માપદંડ, 2. પર્યાપ્તતા માપદંડ","১.পৰ্যাপ্ততাৰ মাপকাঠী, ২. পৰ্যাপ্ততাৰ মাপকাঠী"
જોડાણ,সংলগ্ন কৰা হৈছে
"1. મેનેજમેન્ટ, 2. નિયંત્રણ","1. ব্যৱস্থাপনা, 2. নিয়ন্ত্ৰণ"
"1. મેનેજર, 2. નિયંત્રક","১.পৰিচালক, ২. নিয়ন্ত্ৰক"
એડોબ એક્રોબેટ,এডোব এক্ৰ&#39;বেট
એડોબ ફોટોશોપ,এডোব ফটোশ্বপ
ABAP (એડવાન્સ્ડ બિઝનેસ પ્રોગ્રામિંગ),ABAP (উন্নত ব্যৱসায়িক প্ৰগ্ৰেমিং)
"1. અદ્યતન ડેટા, 2. અદ્યતન ડેટા","1. উন্নত তথ্য, 2. উন্নত তথ্য"
અદ્યતન માહિતી સિસ્ટમ,উন্নত তথ্য ব্যৱস্থা
એડવાન્સ ટેકનોલોજી (AT),উন্নত প্ৰযুক্তি (AT)
ક્રિયા,কাৰ্য কৰা
એકત્રીકરણ,একত্ৰীকৰণ
એરબોર્ન કમ્પ્યુટર સિસ્ટમ,বায়ুমণ্ডলীয় কম্পিউটাৰ ব্যৱস্থা
aldus પૃષ્ઠ બનાવવું,aldus পৃষ্ঠা-নিৰ্মাণ
ચેતવણી બોક્સ,সতৰ্কবাণী বাকচ
અલ્ગોલ (કોમ્પ્યુટર ભાષા),algol (কম্পিউটাৰ ভাষা)
"1. અલ્ગોરિધમ , 2. અલ્ગોરિધમ","1. এলগৰিদম, 2. এলগৰিদম"
"1. અલ્ગોરિધમ વિશ્લેષણ, 2. અલ્ગોરિધમ વિશ્લેષણ","১.এলগৰিদম বিশ্লেষণ, ২. এলগৰিদম বিশ্লেষণ"
