Bengali,Odiya
অ্যাম্পিয়ার (একক),ଆମ୍ପେର୍ (ୟୁନିଟ୍)
অ্যাংস্ট্রাম,ଆଙ୍ଗଷ୍ଟ୍ରମ୍ |
A-শ্রেণীর পরিবর্ধক,ଏକ ଶ୍ରେଣୀ ଏମ୍ପ୍ଲିଫାୟର୍ |
এএন রেডিও সহায়,ଏକ ରେଡିଓ ସାହା |
একটি-স্ক্যানিং উপস্থাপনা,ଏକ ସ୍କାନିଂ ଉପସ୍ଥାପନା |
a-দর্শ,a-darsh
A-স্কোপ কর্মক্ষমতা,ଏକ ପରିସର କାର୍ଯ୍ୟଦକ୍ଷତା |
A-T বাঁকা স্ফটিক,A-T ବକ୍ର ସ୍ଫଟିକ୍ |
"এসি ডিসি উপকারিতা, ক. সিডি। সি.লাভী, এ. সিডি। গ. পরিবর্ধন","ଏସି ଡିସି ଲାଭ, a। CD C. Labhi, A. CD ଗ"
am,ମୁଁ
এএমইউ (পারমাণবিক ভর একক),AMU (ପରମାଣୁ ମାସ ଏକକ)
আর্ড-ওয়ার্ক*,aard-vark *
ab-ampere,ab-ampere
A-B শ্রেণীর পরিবর্ধক,A-B ଶ୍ରେଣୀ ଏମ୍ପ୍ଲିଫାୟର୍ |
adah,ଆଦା
A-B শক্তি পিটক,A-B ଶକ୍ତି ପିଟାକା |
abc = প্রান্তিককরণ চার্ট = নোমোগ্রাফ,abc = ଆଲାଇନ୍ମେଣ୍ଟ ଚାର୍ଟ = ନାମୋଗ୍ରାଫ୍ |
আবে নম্বর (আবে ধ্রুবক),ଆବେ ସଂଖ୍ୟା (ଆବେ ସ୍ଥିର)
abe রিফ্র্যাক্টোমিটার,abe refractometer
অ্যাবে সাইন স্টেট,ଆବେ ସାଇନ ଅବସ୍ଥା |
স্বয়ংক্রিয় পক্ষপাত ক্ষতিপূরণ,ସ୍ୱୟଂଚାଳିତ ପକ୍ଷପାତ କ୍ଷତିପୂରଣ |
abcoulom,abcoulom
"aberration, aberration","ଘୃଣ୍ୟତା, ଅବକ୍ଷୟ |"
বিকৃতি সংশোধনকারী লেন্স,ଅବରାଟେସନ୍ ସଂଶୋଧନକାରୀ ଲେନ୍ସ |
আকাশ বিকৃতি,ଆକାଶ ଅବକ୍ଷୟ |
আবফারদ,abfarad
ইবেনরি,ଏବେନେରୀ |
আবলুস প্রভাব,ଇବୋନି ପ୍ରଭାବ |
অস্বাভাবিক মেরুকরণ,ଅସ୍ୱାଭାବିକ ପୋଲାରାଇଜେସନ୍ |
অস্বাভাবিক সংক্রমণ,ଅସ୍ୱାଭାବିକ ସଂକ୍ରମଣ
অলৌকিক প্রতিফলন,ପରମାନନ୍ଦ ପ୍ରତିଫଳନ |
অস্বাভাবিক প্রতিসরণ*,ଅସ୍ୱାଭାବିକ ପ୍ରତିକ୍ରିୟା *
