Odiya,Bengali
ଅବକାଶର ପୃଷ୍ଠ |,অ্যাব্যাক্সিয়াল পৃষ্ঠ
ପେଟ,পেট
ପେଟର ଆର୍ଟା |,পেটের মহাধমনী
ପେଟର ଗ୍ୟାଙ୍ଗଲିଆ |,পেটের গ্যাংলিয়া
ଆବେଲୋମୋସସ୍ ଏସ୍କୁଲେଣ୍ଟସ୍ |,আবেলমোসচাস এসকুলেন্টাস
ଆବର୍ଗନ,অবসন্নতা
ଆବିସ୍,Abies
ଆବିଙ୍ଗଡନ୍ କଇଁଛ |,অ্যাবিংডন কচ্ছপ
Abognescesis,অ্যাবোজেনেসিস
ଅବିଟ,অ্যাবায়োটিক
ଅବିଟିକ୍ ଫ୍ୟାକ୍ଟର୍ |,জীবক্রিয়া ফ্যাক্টর
ଅସ୍ୱାଭାବିକ ପରିସ୍ରା |,অস্বাভাবিক প্রস্রাব
ଆବୋ ରକ୍ତ ଗୋଷ୍ଠୀ |,আবো ব্লাড গ্রুপ
ଅବସିସିକ୍ ଏସିଡ୍ |,অ্যাবসিসিক অ্যাসিড
ଅବସିସନ,অ্যাবসিশন
ଶୋଷଣ,শোষণ
ଅବଶୋଷଣ ଶିଖର |,শোষণ শিখর
ଶୋଷଣ,শোষণ
ଆକାସିଆ କ୍ୟାଚଚୁ |,বাবলা ক্যাটেকু
ଆକାରିଆ ଆରବୀ |,অ্যাকারিয়া আরবিকা
ଆକ୍ରିନ,অ্যাকাপ্রিন
ଗ୍ରହଣୀୟ ଯ sexual ନ ଆଚରଣ |,গ্রহণযোগ্য যৌন আচরণ
ଆନୁଷଙ୍ଗିକ ଗ୍ରନ୍ଥି |,আনুষঙ্গিক গ্রন্থি
ଆନୁଷଙ୍ଗିକ ଗ୍ରନ୍ଥି |,আনুষঙ্গিক গ্রন্থি
ଆନୁଷଙ୍ଗିକ ଅଙ୍ଗ |,আনুষঙ্গিক অঙ্গ
ସୁକମ୍ଲାଇଜେସନ୍,প্রশংসাপত্র
ଆକ୍ସଲାଇଜାଇଜ୍ କରନ୍ତୁ |,প্রশংসিত
ଆବାସ (ଧ୍ୟାନ),আবাসন (ফোকাসিং)
ଆଖିରେ ରହିବା,চোখের থাকার ব্যবস্থা
ଆକ୍ରେଟେନାରୀ ଅଭିବୃଦ୍ଧି |,স্বীকৃত বৃদ্ধি
ଜମା,জমা
ଜମାକାରୀ ପଦାର୍ଥର ଜମା |,জৈব পদার্থ জমে
ମାଟିର ଜମା |,মাটি জমে
Acellululula |,অ্যাসেলুলার
ଆରେଲେଲୁଲାର୍ ଜୀବଜନ୍ତୁ |,অ্যাসেলুলার জীব
ଏସିଟାବୁଲମ୍,অ্যাসিটাবুলাম
ACTalDeyDee,অ্যাসিটালডিহাইড
ACETIL କୋଏନୋଜିମ୍ |,এসিটাইল কোএনজাইম
ଆଖିନିନା |,আছাটিনা
ଅହିଯାଉଥିବା ପ୍ରକାର |,অ্যাকিন টাইপ
ଅହିଯେ,আচিন
ଅଖ୍ଲଣିଡୋସପୋରିଆ |,Achlamydosporye
ଅମ୍ଳ ବର୍ଷା,এসিড বৃষ্টি
ଅମ୍ଳୀୟ,অ্যাসিডিক
ଅମ୍ଳୀୟ ଗ୍ୟାସ୍ |,অ্যাসিডিক গ্যাস
ଅମ୍ଳତା,অম্লতা
ଆଖର ସେଲ୍ |,অ্যাকিনার সেল
ଆକ୍ୱେମିଲେଟ୍ |,অ্যাকোলোমেট
ଆକୋନିଟମ୍,অ্যাকোনিটাম
ଆକ୍ୟୁନ୍ ପୋକ |,অ্যাকর্ন কৃমি
ଆକାଶବାଣୀ ଜୋନିଂ |,অ্যাকোস্টিক জোনিং
ଅର୍ଜନ ବର୍ଣ୍ଣ,অর্জিত চরিত্র
ଅଜାଣତର କାରଣ,অনাক্রম্যতা অর্জিত
ଇମ୍ପୁନାଓ ଅଭାବ ସିଣ୍ଡ୍ରୋମ (ଏଡସ୍) ହାସଲ କରିଛି |,অর্জিত ইমিউনো ঘাটতি সিন্ড্রোম (এইডস)
ଅକାନିଆ,অ্যাক্রানিয়া
ଆକ୍ରିଡାଇନ୍ ରଙ୍ଗ,অ্যাক্রিডিন ডাই
ଆକ୍ରୋସେଣ୍ଟ୍ରିକ୍ |,অ্যাক্রোসেন্ট্রিক
ଆକ୍ରୋମିଅନ୍ |,অ্যাক্রোমিয়ন
ଆକ୍ରୋପେଟାଲ୍ କ୍ରମ |,অ্যাক্রোপেটাল সিকোয়েন্স
ଆକ୍ରୋପେଟାଲ୍ କ୍ରମ |,অ্যাক্রোপেটাল অর্ডার
ଆକ୍ରୋସିନ୍ |,অ্যাক্রোসিন
ଆକ୍ଟିନ୍ |,অ্যাক্টিন
ଆକ୍ଟିନ୍-ପ୍ରୋଟିନ୍ |,অ্যাক্টিনের মতো প্রোটিন
ଆକ୍ଟିନୋମୋରଫିକ୍ଫିକ୍ |,অ্যাক্টিনোমর্ফিক
ଆକ୍ଟିନୋମିସେସିସ୍ |,অ্যাক্টিনোমাইসেটস
କାର୍ଯ୍ୟ ସମ୍ଭାବନା,কর্ম সম্ভাব্য
ସକ୍ରିୟ ସ୍ଲେଜ୍ |,সক্রিয় কর্দম
ସକ୍ରିୟ ସ୍ଲେଜ୍ ଫ୍ଲୋକ |,সক্রিয় স্ল্যাজ ফ্লক
ସକ୍ରିୟ ଶକ୍ତି,অ্যাক্টিভেশন শক্তি
ସକ୍ରିୟ ଶୋଷଣ,সক্রিয় শোষণ
ସକ୍ରିୟ ପ୍ରତିରୋଧକତା |,সক্রিয় অনাক্রম্যতা
ସକ୍ରିୟ ବିକିରଣ |,সক্রিয় বিকিরণ
ସକ୍ରିୟ ସାଇଟ୍,সক্রিয় সাইট
କାର୍ଯ୍ୟକର୍ତ୍ତା,অ্যাক্টিভিন
ଆକ୍ରମିନେଟ୍ |,একুমিনেট
ଆଡାମାସିଆ |,অ্যাডামসিয়া
ଅନୁକେତ,অভিযোজনযোগ্যতা
ଆଡାପ୍ଟେସନ୍,অভিযোজন
ହାଲୁକା ଶାସନ ପାଇଁ ଆଡାପ୍ଟେସନ୍ |,হালকা শাসনের সাথে অভিযোজন
ଜଳ ଅଭାବରୁ ଆଡାପ୍ଟେସନ୍ |,জলের ঘাটতির সাথে অভিযোজন
ଆଡାପ୍ଟିଭ୍ ବ characteristics ଶିଷ୍ଟ୍ୟଗୁଡିକ |,অভিযোজিত বৈশিষ্ট্য
ଆଡାପ୍ଟିଭ୍ ଇନମୁନିଟି |,অভিযোজিত অনাক্রম্যতা
ଆଡାପ୍ଟିଭ୍ ବିକିରଣ |,অভিযোজিত বিকিরণ
ଆଡାପ୍ଟିଭ୍ ଗୁଣ |,অভিযোজিত বৈশিষ্ট্য
ଆଡକ୍ସିଆଲ୍ ଭୂପୃଷ୍ଠ |,অ্যাড্যাক্সিয়াল পৃষ্ঠ
ନିଶା ବ୍ୟାଧି |,আসক্তিজনিত ব্যাধি
ଆଡେନିନ୍,অ্যাডেনিন
ଆଡେନୋକର୍ଟିକୋଟ୍ରୋପିନ୍ |,অ্যাডেনোকোর্টিকোট্রপিন
Adenehiopophisisisis,অ্যাডেনোহাইপোফাইসিস
ଆଡେନୋଜିନ୍ ଡିଫୋସେଫେଟ୍ |,অ্যাডেনোসিন ডিফোসফেট
ଆଡେନୁସିନ୍ ତ୍ୟାଗ କର |,অ্যাডেনোসিন ডায়ামিনেজ
ଆଡେନୁସିନ୍ ମୋନୋଫୋସଫେଟ୍ |,অ্যাডেনোসিন মনোফসফেট
ଆଡେନୁସିନ୍ ଟ୍ରିପ୍ଫେଟ୍ (ATP),অ্যাডেনোসিন ট্রাইফোসফেট (এটিপি)
ଆଡେନିଲେଟ୍ ସାଇକ୍ଲାଜିନ୍ |,অ্যাডিনলেট সাইক্লাস
ଆଡେସିଭ୍ ଫୋର୍ସ |,আঠালো শক্তি
ଆଡିପେଟ୍ କରନ୍ତୁ |,Adipate
Adipocyte (ଫ୍ୟାଟ୍ ସେଲ୍),অ্যাডিপোকাইট (ফ্যাট সেল)
