English,Odiya
Abort,ପରିତ୍ୟାଗ
Abort timer,ଟାଇମର୍ ପରିତ୍ୟାଗ କରନ୍ତୁ |
Absolute address,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
Absolute addressing,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
Absolute assembler,ସଂପୂର୍ଣ୍ଣ ଏକତ୍ରିତ ବ୍ୟକ୍ତି |
Absolute code,ସଂପୂର୍ଣ୍ଣ କୋଡ୍
Absolute coding,ସଂପୂର୍ଣ୍ଣ କୋଡିଂ |
Absolute command,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ
Absolute coordinate,ସଂପୂର୍ଣ୍ଣ ସଂଯୋଜନା |
Absolute data,ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |
Absolute error,ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |
Absolute expression,ସଂପୂର୍ଣ୍ଣ ଅଭିବ୍ୟକ୍ତି |
Absolute instruction,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶନାମା
Absolute loader,ସଂପୂର୍ଣ୍ଣ ଲୋଡର୍ |
Absolute order,ସଂପୂର୍ଣ୍ଣ କ୍ରମ
Absolute programming,ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |
Absolute term,ସଂପୂର୍ଣ୍ଣ ଶବ୍ଦ
Absolute value,ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ
Absolute vector,ସଂପୂର୍ଣ୍ଣ ଭେକ୍ଟର |
Abstract,ବିସ୍ତୃତ
Abstracting,ବିସ୍ତୃତ
Abstract symbol,ବିସ୍ତୃତ ପ୍ରତୀକ |
Acceleration period,ତ୍ୱରଣ ସମୟ
Acceleration time,ତ୍ୱରାନପୂର୍ଣ୍ଣ ସମୟ |
Accent,ଉଚ୍ଚାରଣ
Acceptance test,ଗ୍ରହଣ ପରୀକ୍ଷା
Access,ପ୍ରବେଶ
Access arm,ଆକ୍ସେସ୍ ବାହୁ
Access arrangement,ପ୍ରବେଶ ବ୍ୟବସ୍ଥା
Access authority,ପ୍ରବେଶ କର ପ୍ରାଧିକରଣ
Access charge,ପ୍ରବେଶ ଚାର୍ଜ
Access class,ଶ୍ରେଣୀ ଶ୍ରେଣୀ
Access data base management,ଡାଟା ବେସ୍ ମ୍ୟାନେଜମେଣ୍ଟକୁ ପ୍ରବେଶ କରନ୍ତୁ |
Access environment,ପ୍ରବେଶ ପରିବେଶ ସେବା
Access gap,ଫାଗ୍ ଆକ୍ସେସ୍ କରନ୍ତୁ |
Access index,ପ୍ରବେଶ ସୂଚକାଙ୍କ
Access line,ଆକ୍ସେସ୍ ଲାଇନ୍ |
Access mechanism,ମେକାନିଜିମ୍ ଆକ୍ସେସ୍ ଆକ୍ସେସ୍ କରନ୍ତୁ |
Access method,ପ୍ରବେଶ ପଦ୍ଧତି
Access method routine,ଆକ୍ସେସ୍ ପଦ୍ଧତି ରୁଟିନ୍ |
Access mode,ପ୍ରବେଶ ମୋଡ୍
Access right,ଅଧିକାର ପ୍ରବେଶ
Access scan,ପ୍ରବେଶ ସ୍କାନ
Access time,ସମୟ ପ୍ରବେଶ କରନ୍ତୁ |
Accounting,ହିସାବ
Accounting finance system,ହିସାବ ଆର୍ଥିକ ବ୍ୟବସ୍ଥା
Accounting machine,ହିସାବ ଯନ୍ତ୍ର
Account number,ଖାତା ସଂଖ୍ୟା
Accumulating reproducer,ପୁନର୍ବାର ଜମା କରିବା |
Accumulator,ଆକ୍ୟୁମୁଲେଟର
Accumulator register,ଆକ୍ୟୁମୁଲେଟର ରେଜିଷ୍ଟର |
Accumulator shift instruction,ଆକ୍ୟୁମୁଲେଟର ସିଫ୍ଟ ନିର୍ଦ୍ଦେଶ |
Accuracy,ସଠିକତା
Accuracy control character,ସଠିକତା ନିୟନ୍ତ୍ରଣ ଚରିତ୍ର |
Accuracy control system,ସଠିକତା ନିୟନ୍ତ୍ରଣ ବ୍ୟବସ୍ଥା |
Ace pilot,Ace ପାଇଲଟ୍ |
Acknowledge character,ସ୍ୱୀକାର କରନ୍ତୁ ବର୍ଣ୍ଣ
Acoustic coupler,ଆକାଶବାଣୀ କପତର୍ |
Acoustic coupling,ଆକାଶବାଣୀ କଣ୍ଟା |
Acoustic delay line,ଆକାଶବାଣୀ ବିଳମ୍ବ ରେଖା |
Acoustic memory,ଆକାଶବାଣୀ ସ୍ମୃତି
Acoustic modem,ଆକାଶବାଣୀ ମୋଡେମ୍ |
Acoustic signal,ଆକାଶବାଣୀ ସଙ୍କେତ |
Acoustic storage,ଆକାଶବାଣୀ ସଂରକ୍ଷଣ |
Acronym,ଆକ୍ରୋନିମ୍ |
Action,କାର୍ଯ୍ୟ
Action cycle,କ୍ରିୟା ଚକ୍ର
Action line,କ୍ରିୟା ରେଖା
Action message,କ୍ରିୟା ବାର୍ତ୍ତା
Action specification,କାର୍ଯ୍ୟ ନିର୍ଦ୍ଦିଷ୍ଟକରଣ |
Activation,ସକ୍ରିୟକରଣ
Active,ସକ୍ରିୟ
Active file,ସକ୍ରିୟ ଫାଇଲ
Active line,ସକ୍ରିୟ ରେଖା
Active link,ସକ୍ରିୟ ଲିଙ୍କ୍ |
Active master file,ସକ୍ରିୟ ମାଷ୍ଟର ଫାଇଲ |
Active master item,ସକ୍ରିୟ ମାଷ୍ଟର ଆଇଟମ୍ |
Active satellite,ସକ୍ରିୟ ଉପଗ୍ରହ |
Active station,ସକ୍ରିୟ ଷ୍ଟେସନ
Active storage,ସକ୍ରିୟ ସଂରକ୍ଷଣ
Activity,କାର୍ଯ୍ୟକଳାପ
Activity level,କାର୍ଯ୍ୟକଳାପ ସ୍ତର
Activity loading,କାର୍ଯ୍ୟକଳାପ ଲୋଡିଂ
Activity ratio,କାର୍ଯ୍ୟକଳାପ ଅନୁପାତ
Actual address (=absolute address),ପ୍ରକୃତ ଠିକଣା (= ସଂପୂର୍ଣ୍ଣ ଠିକଣା)
Actual code (=absolute code),ପ୍ରକୃତ କୋଡ୍ (= ସଂପୂର୍ଣ୍ଣ କୋଡ୍)
Actual data transfer rate,ପ୍ରକୃତ ଡାଟା ସ୍ଥାନାନ୍ତର ହାର |
Actual decimal point,ପ୍ରକୃତ ଦଶମିକ ବିନ୍ଦୁ |
Actual instruction (=effective instruction),ପ୍ରକୃତ ନିର୍ଦ୍ଦେଶ (= ପ୍ରଭାବଶାଳୀ ନିର୍ଦ୍ଦେଶ)
Actual key,ପ୍ରକୃତ ଚାବି |
Actual time,ପ୍ରକୃତ ସମୟ
Actual work time,ପ୍ରକୃତ କାର୍ଯ୍ୟ ସମୟ
Actuating signal,କାର୍ଯ୍ୟକ୍ଷମ ସଙ୍କେତ
Adaptability,ଅନୁକେତ
Adapter,ଆଡାପ୍ଟର
Adaptive channel allocation,ଆଡାପ୍ଟିଭ୍ ଚ୍ୟାନେଲ୍ ଆବଣ୍ଟନ |
Adaptive integration,ଆଡାପ୍ଟିଭ୍ ଇଣ୍ଟିଗ୍ରେସନ୍ |
Adaptive transversal equalizer,ଆଡାପ୍ଟିଭ୍ ଟ୍ରାନ୍ସଭର୍ସାଲ୍ ସମାନତା |
Added entry,ପ୍ରବେଶ ଯୋଗ କରାଯାଇଛି |
Addend,ଯୋଡି
Adder,ଆଡର୍
Adder subtracter,ଆଡର୍ ସବଟ୍ରାକ୍ଟର |
Add file,ଫାଇଲ୍ ଯୋଡନ୍ତୁ
Additional character (= special character),ଅତିରିକ୍ତ ଅକ୍ଷର (= ବିଶେଷ ଅକ୍ଷର)
Addition recorder,ଯୋଗ ରେକର୍ଡ |
Addition table,ଯୋଗ ଉପକରଣ
Additive attribute,ଯୋଗୀ ଗୁଣ
Add mode,ମୋଡ୍ ଯୋଡନ୍ତୁ
Add operation,ଅପରେସନ୍ ଯୋଡନ୍ତୁ |
Address,ଠିକଣା
Addressability measure,ଠିକଣା ମାପ ମାପ |
Addressable horizontal position,ଠିକଣା ଯୋଗ୍ୟ ଭୂସମାନ୍ତର ସ୍ଥିତି |
Addressable point,ଠିକଣା ଯୋଗ୍ୟ ବିନ୍ଦୁ |
Addressable position,ଠିକଣା ଯୋଗ୍ୟ ଅବସ୍ଥାନ |
Addressable register,ଠିକଣା ଯୋଗ୍ୟ ରେଜିଷ୍ଟର |
Addressable storage,ଠିକଣା ଯୋଗ୍ୟ ଷ୍ଟୋରେଜ
Addressable vertical position,ଠିକଣା ଭୂଲମ୍ବ ସ୍ଥିତି |
Address bus,ଠିକଣା ବସ୍
Address code,ଠିକଣା କୋଡ୍
Address comparator,ଠିକଣା ତୁଳସୀତି
Address computation,ଠିକଣା ଗଣନା
Address constant,ସ୍ଥିର ଠିକଣା
Address conversion,ଠିକଣା କନଭର୍ସନ୍ |
Address data,ଠିକଣା ତଥ୍ୟ
Addressed memory,ଠିକଣା ମେମୋରୀ |
