Gujarati,English
એસી સમકક્ષ સર્કિટ,A C equivalent circuit
આંકડાકીય કન્વર્ટર માટે એનાલોગ,A to D converter
સંપૂર્ણ શૂન્ય,Absolute zero
શોષણ ગુણાંક,Absorption coefficient
શોષણ સ્પેક્ટ્રમ,Absorption spectrum
રીસેપ્ટર અણુ,Acceptor atom
વૈકલ્પિક વર્તમાન જોડાણ,A C coupling
ઇલેક્ટ્રોન લણણી,Accumulation of electron
છિદ્ર સંગ્રહ,Accumulation of holes
સક્રિયકરણ ઊર્જા,Activation energy
સક્રિય એમ્પ્લીફાયર,Active amplifier
સક્રિય ડાયોડ સર્કિટ,Active diode circuit
સક્રિય ફિલ્ટર,Active filter
સક્રિય ઉચ્ચ આવર્તન લાકડું ફિલ્ટર,Active high pass filter
સક્રિય લોડ,Active load
સક્રિય ઓછી આવર્તન પાર્સ ફિલ્ટર,Active low pass filter
સક્રિય વિસ્તાર,Active region
અનુકૂલનશીલ ઇલેક્ટ્રોનિક્સ,Adaptive electronics
ઉમેરનાર,Adder
એડજસ્ટેબલ બેન્ડ એક્સ્ટેંશન,Adjustable band width
પ્રવેશ,Admittance
એરિયલ,Aerial
pep આવર્તન,Agility frequency
એર કન્ડીશનર,Air conditioner
ગોઠવણી,Alignment
અલ્ગોરિધમ,Algorithm
બધા પાસ ફિલ્ટર,All pass filter
એલોય જંકશન,Alloy junction
એટેન્યુએશન,Attenuation
વૈકલ્પિક પ્રવાહ,Alternating current (AC)
આસપાસનું તાપમાન,Ambient temperature
દ્વિધ્રુવી,Ambipolar
એમ્પ્લીફિકેશન,Amplification
એમ્પ્લીફાયર,Amplifier
એમ્પ્લીફાયર કાર્યક્ષમતા,Amplifier efficiency
પરિમાણો,Amplitude
કંપનવિસ્તાર એટેન્યુએશન,Amplitude altenuation
કંપનવિસ્તાર મોડ્યુલેટેડ AM ઓસિલેટર,Amplitude modulated oscillator
કંપનવિસ્તાર મોડ્યુલેશન,Amplitude modulation
કંપનવિસ્તાર મોડ્યુલેટર,Amplitude modulator
એંગસ્ટ્રોમ એકમ,Angstrom unit
એનાલોગ સર્કિટ,Analog circuit
એનાલોગ કમ્પ્યુટર,Analog computer
એનાલોગ ફિલ્ટર,Analog filter
એનાલોગ મલ્ટિમીટર,Analog multimeter
એનાલોગ સ્વીચ,Analog switch
અને દરવાજો,AND gate
કોણીય આવર્તન,Angular frequency
"anion, anion",Anion
એનિલિંગ તાપમાન,Annealing temperature
એનોડ,Anode
એનોડ એમ્પ્લીફાયર,Anode amplifier
anodyne,Anodization
એન્ટેના,Antenna
એન્ટેના ઘટક,Antenna elements
વિરોધી પ્રતિબિંબીત કોટિંગ,Anti-reflection coating
એન્ટિલોગિન એમ્પ્લીફાયર,Anti-log amplifier
પ્રતિરોધક સર્કિટ,Anti-resonant circuit
દ્વારક સમયગાળો,Aperture time
વર્ચ્યુઅલ પાવર,Apparent power
વાયર કનેક્શન,Apparent wiring
અંદાજિત વોલ્ટેજ ગેઇન,Approximate voltage gain
આર્મસ્ટ્રોંગ મોડ્યુલેટર,Armstrong modulator
એન્ટેના એરે,Arrays of antenna
"કદ ગુણોત્તર, પાસા ગુણોત્તર",Aspect ratio
ફ્લોટિંગ સર્કિટ (ફ્રી ઓપરેટિંગ સર્કિટ),Astable circuit (free running circuit)
સ્વચાલિત મલ્ટિવાઇબ્રેટર,Astable multivibrator
ફ્લોટિંગ મલ્ટિવાઇબ્રેટર,Astable multivibrator
અસમપ્રમાણ જંકશન,Asymmetrical junction
અસુમેળ કેલ્ક્યુલેટર,Asynchronous counters
પરમાણુ,Atom
અણુ સંખ્યા,Atomic number
અણુ માળખું,Atomic structure
ઓડિયો એમ્પ્લીફાયર,Audio amplifier
ઓડિયો એમ્પ્લીફાયર,Audio amplifier
ઓડિયો કેસેટ,Audio cassette
ઓડિયો સર્કિટ,Audio circuit
સાંભળી શકાય તેવી આવર્તન,Audio frequency
આપોઆપ વોલ્ટેજ નિયંત્રણ,Automatic voltage control
હિમપ્રપાત,Avalanche
સરેરાશ ડિટેક્ટર,Average detector
અક્ષીય મોડ,Axial mode
અક્ષીય ગુણોત્તર,Axial ratio
એન્ટેના,Antenna
પાછળનું ઇલેક્ટ્રોમોટિવ બળ,Back e.m.f.
પાછળનો વિસ્તાર,Back field
પાછા સ્કેટર,Back scattering
પૃષ્ઠભૂમિ ચાર્જ,Background charge
બાજુનો અવાજ,Background noise
પ્રત્યાગમન,Backlash
પશ્ચાદવર્તી ઇરેડિયેશન,Backlobe radiation
બેકવર્ડ ડાયોડ / બેકવર્ડ ડાયોડ,Backward diode
બેકવર્ડ વેવ ઓસિલેટર,Backward wave oscillator
"અવરોધ, અવરોધ",Baffle
અવરોધ,Baffle shield
સંતુલિત પુલ,Balanced bridge
સંતુલિત મોડ્યુલેટર,Balanced demodulator
સંતુલિત મોડ્યુલેટર,Balanced modulator
સંતુલિત સર્કિટ,Balanced network
સંતુલિત ઢાળ ડિટેક્ટર,Balancedslope detector
