Gujarati,Tamil
એસી સમકક્ષ સર્કિટ,ஏசி சமமான சுற்று
આંકડાકીય કન્વર્ટર માટે એનાલોગ,எண் மாற்றிக்கு ஒப்புமை
સંપૂર્ણ શૂન્ય,முழுமையான பூஜ்ஜியம்
શોષણ ગુણાંક,உறிஞ்சுதல் குணகம்
શોષણ સ્પેક્ટ્રમ,உறிஞ்சுதல் நிறமாலை
રીસેપ્ટર અણુ,ஏற்பி அணு
વૈકલ્પિક વર્તમાન જોડાણ,மாற்று மின்னோட்ட இணைப்பு
ઇલેક્ટ્રોન લણણી,எலக்ட்ரான் அறுவடை
છિદ્ર સંગ્રહ,துளை சேமிப்பு
સક્રિયકરણ ઊર્જા,செயல்படுத்தும் ஆற்றல்
સક્રિય એમ્પ્લીફાયર,செயலில் பெருக்கி
સક્રિય ડાયોડ સર્કિટ,செயலில் உள்ள டையோடு சுற்று
સક્રિય ફિલ્ટર,செயலில் வடிகட்டி
સક્રિય ઉચ્ચ આવર્તન લાકડું ફિલ્ટર,செயலில் உள்ள உயர் அதிர்வெண் பார்க்வெட் வடிகட்டி
સક્રિય લોડ,செயலில் சுமை
સક્રિય ઓછી આવર્તન પાર્સ ફિલ્ટર,செயலில் குறைந்த அதிர்வெண் பாகுபடுத்தும் வடிகட்டி
સક્રિય વિસ્તાર,செயலில் உள்ள பகுதி
અનુકૂલનશીલ ઇલેક્ટ્રોનિક્સ,தகவமைப்பு மின்னணுவியல்
ઉમેરનાર,சேர்ப்பான்
એડજસ્ટેબલ બેન્ડ એક્સ્ટેંશન,சரிசெய்யக்கூடிய இசைக்குழு நீட்டிப்பு
પ્રવેશ,ஊடுருவல்
એરિયલ,ஏரியல்
pep આવર્તન,பெப் அதிர்வெண்
એર કન્ડીશનર,காற்றுச்சீரமைப்பி
ગોઠવણી,சீரமைப்பு
અલ્ગોરિધમ,அல்காரிதம்
બધા પાસ ફિલ્ટર,அனைத்து பாஸ் வடிகட்டி
એલોય જંકશન,அலாய் சந்திப்பு
એટેન્યુએશન,தணிவு
વૈકલ્પિક પ્રવાહ,மாறுதிசை மின்னோட்டம்
આસપાસનું તાપમાન,சுற்றுப்புற வெப்பநிலை
દ્વિધ્રુવી,இருமுனை
એમ્પ્લીફિકેશન,பெருக்கம்
એમ્પ્લીફાયર,பெருக்கி
એમ્પ્લીફાયર કાર્યક્ષમતા,பெருக்கி செயல்திறன்
પરિમાણો,பரிமாணங்கள்
કંપનવિસ્તાર એટેન્યુએશન,வீச்சு குறைதல்
કંપનવિસ્તાર મોડ્યુલેટેડ AM ઓસિલેટર,அலைவீச்சு மாடுலேட்டட் AM ஆஸிலேட்டர்
કંપનવિસ્તાર મોડ્યુલેશન,வீச்சு பண்பேற்றம்
કંપનવિસ્તાર મોડ્યુલેટર,வீச்சு மாடுலேட்டர்
એંગસ્ટ્રોમ એકમ,angstrom அலகு
એનાલોગ સર્કિટ,அனலாக் சுற்று
એનાલોગ કમ્પ્યુટર,அனலாக் கணினி
એનાલોગ ફિલ્ટર,அனலாக் வடிகட்டி
એનાલોગ મલ્ટિમીટર,அனலாக் மல்டிமீட்டர்
એનાલોગ સ્વીચ,அனலாக் சுவிட்ச்
અને દરવાજો,மற்றும் வாயில்
કોણીય આવર્તન,கோண அதிர்வெண்
"anion, anion","அயனி, அயனி"
એનિલિંગ તાપમાન,அனீலிங் வெப்பநிலை
એનોડ,நேர்மின்முனை
એનોડ એમ્પ્લીફાયર,அனோட் பெருக்கி
anodyne,அனோடைன்
એન્ટેના,ஆண்டெனா
એન્ટેના ઘટક,ஆண்டெனா கூறு
વિરોધી પ્રતિબિંબીત કોટિંગ,எதிர்ப்பு பிரதிபலிப்பு பூச்சு
એન્ટિલોગિન એમ્પ્લીફાયર,ஆன்டிலோகின் பெருக்கி
પ્રતિરોધક સર્કિટ,எதிரொலி சுற்று
દ્વારક સમયગાળો,துவாரகர் காலம்
વર્ચ્યુઅલ પાવર,மெய்நிகர் சக்தி
વાયર કનેક્શન,கம்பி இணைப்பு
અંદાજિત વોલ્ટેજ ગેઇન,தோராயமான மின்னழுத்த ஆதாயம்
આર્મસ્ટ્રોંગ મોડ્યુલેટર,ஆர்ம்ஸ்ட்ராங் மாடுலேட்டர்
એન્ટેના એરે,ஆண்டெனா வரிசை
"કદ ગુણોત્તર, પાસા ગુણોત્તર","அளவு விகிதம், தோற்ற விகிதம்"
ફ્લોટિંગ સર્કિટ (ફ્રી ઓપરેટિંગ સર્કિટ),மிதக்கும் சுற்று (இலவச இயக்க சுற்று)
સ્વચાલિત મલ્ટિવાઇબ્રેટર,தானியங்கி மல்டிவிபிரேட்டர்
ફ્લોટિંગ મલ્ટિવાઇબ્રેટર,மிதக்கும் மல்டிவிபிரேட்டர்
અસમપ્રમાણ જંકશન,சமச்சீரற்ற சந்திப்பு
અસુમેળ કેલ્ક્યુલેટર,ஒத்திசைவற்ற கால்குலேட்டர்
પરમાણુ,அணுக்கரு
અણુ સંખ્યા,அணு எண்
અણુ માળખું,அணு அமைப்பு
ઓડિયો એમ્પ્લીફાયર,ஒலி பெருக்கி
ઓડિયો એમ્પ્લીફાયર,ஒலி பெருக்கி
ઓડિયો કેસેટ,ஆடியோ கேசட்
ઓડિયો સર્કિટ,ஒலி சுற்று
સાંભળી શકાય તેવી આવર્તન,கேட்கக்கூடிய அதிர்வெண்
આપોઆપ વોલ્ટેજ નિયંત્રણ,தானியங்கி மின்னழுத்த கட்டுப்பாடு
હિમપ્રપાત,பனிச்சரிவு
સરેરાશ ડિટેક્ટર,சராசரி கண்டுபிடிப்பான்
અક્ષીય મોડ,அச்சு முறை
અક્ષીય ગુણોત્તર,அச்சு விகிதம்
એન્ટેના,ஆண்டெனா
પાછળનું ઇલેક્ટ્રોમોટિવ બળ,பின் மின்னோட்ட விசை
પાછળનો વિસ્તાર,பின் பகுதி
પાછા સ્કેટર,மீண்டும் சிதறல்
પૃષ્ઠભૂમિ ચાર્જ,பின்னணி கட்டணம்
બાજુનો અવાજ,பக்க சத்தம்
પ્રત્યાગમન,பின்னடைவு
પશ્ચાદવર્તી ઇરેડિયેશન,பின்புற கதிர்வீச்சு
બેકવર્ડ ડાયોડ / બેકવર્ડ ડાયોડ,பின்னோக்கி டையோடு / பின்தங்கிய டையோடு
બેકવર્ડ વેવ ઓસિલેટર,பின்னோக்கி அலை ஆஸிலேட்டர்
"અવરોધ, અવરોધ","தடை, தடை"
અવરોધ,தடை
સંતુલિત પુલ,சீரான பாலம்
સંતુલિત મોડ્યુલેટર,சமநிலை மாடுலேட்டர்
સંતુલિત મોડ્યુલેટર,சமநிலை மாடுலேட்டர்
સંતુલિત સર્કિટ,சமநிலை சுற்று
સંતુલિત ઢાળ ડિટેક્ટર,சமச்சீர் சாய்வு கண்டறிதல்
વર્તમાન સ્ટેબિલાઇઝર પ્રતિકાર,தற்போதைய நிலைப்படுத்தி எதிர்ப்பு
બોલોમીટર,போலோமீட்டர்
બોલોમીટર પુલ,போலோமீட்டர் பாலம்
બલૂન,பலூன்
બનાના જેક,வாழை பலா
બનાના પ્લગ,வாழை பிளக்
"બેન્ડ, પાટો","பட்டை, கட்டு"
બેન્ડ ડ્રાઈવર,இசைக்குழு இயக்கி
બેન્ડ ઊર્જા,இசைக்குழு ஆற்றல்
બેન્ડ ગેપ,பட்டை இடைவெளியை
બેડપાર્ક એમ્પ્લીફાયર,பேட்பார்க் பெருக்கி
બેન્ડ પાસ ફિલ્ટર,பேண்ட் பாஸ் வடிகட்டி
બાઉડ રેટ જનરેટર,பாட் ரேட் ஜெனரேட்டர்
banddispersion,பட்டை பரவல்
બેન્ડ રેઝિસ્ટર,இசைக்குழு மின்தடை
બેન્ડ બ્રેકર ફિલ્ટર,பேண்ட் பிரேக்கர் வடிகட்டி
બેન્ડ વિસ્તરણ,இசைக்குழு விரிவாக்கம்
બેન્ડ રીમુવર ફિલ્ટર,பேண்ட் ரிமூவர் வடிகட்டி
બેન્ડ વિસ્તરણ ડિફ્લેક્શન ગુણક,பேண்ட் விரிவாக்கம் விலகல் பெருக்கி
બેન્ડ એક્સ્ટેંશન અંતર ગુણક,பேண்ட் நீட்டிப்பு தூரம் பெருக்கி
"બીમ કેપેસિટર, બેંક કેપેસિટર","பீம் மின்தேக்கி, வங்கி மின்தேக்கி"
"બાર્કર કોડ, બાર્કર કોડ","குரைக்கும் குறியீடு, குரைக்கும் குறியீடு"
barravaugen માપદંડ,barravaugen அளவுகோல்
બેરેટર,பார்ப்பனர்
અવરોધ,தடை
