Gujarati,Hindi
A B વર્ગ એમ્પ્લીફાયર,ए बी वर्ग प्रवर्धक
વિકૃતિ,"विपथन, अपेरण"
અસામાન્ય ટ્રાન્સમિશન,असामान्य संचरण
"જોડાણ વિનાનું, સામાન્ય રીતે, ખાડો, અંગવિચ્છેદન, અસ્થિભંગ","असंलग्न, सहसा, खड़आ, विच्छिन्न, खंडित"
ગુમ થયેલ સ્પેક્ટ્રમ,लुप्त स्पेक्ट्रम
"નિરપેક્ષ, નિરપેક્ષ, અચળ, સંપૂર્ણ","निरपेक्ष, परम, अचर, परिशुद्ध"
સંપૂર્ણ ભેજ,निरपेक्ष आर्द्रता
સંપૂર્ણ ગતિ,निरपेक्ष गति
સંપૂર્ણ અવલોકન,निरपेक्ष प्रेक्षण
સંપૂર્ણ તાપમાન,परम ताप
સંપૂર્ણ શૂન્ય,परम शून्य
શોષી લેવું,अवशोषण करना
"શોષક, શોષક","अवशोषक, अवशोषी"
શોષણ ક્ષમતા,अवशोषण सामर्थ्य
શોષણ,अवशोषणांश
શોષક,अवशोषी
શોષકતા,अवशोषकता
ગુણાકાર ગુણોત્તર,बाहुल्य अनुपात
વેગ આપો,त्वरित करना
ઉતાવળ કરી,त्वरित
પ્રવેગ,त्वरण
ગુરુત્વાકર્ષણ પ્રવેગક,गुरुत्व त्वरण
પ્રવેગક,त्वरक
પ્રવેગક,"त्वरित्र, त्वरक"
એક્સેલરોમીટર,त्वरणमापी
prestresser,प्राक्प्रबलक
સ્વીકાર્ય પરીક્ષણ,स्वीकारी परीक्षण
સ્વીકારનાર,"ग्राही, स्वीकारी"
દાતા પરમાણુ,आदाता अणु
"પ્રવેશ, રાહ, સુલભતા","अभिगम, प्रतीक्षा, अभिगम्यता"
ઉપલ્બધતા,अभिगम्यता
"ફાજલ, સહાયક, સહાયક (v.), ઉપસાધનો (ed.)","अतिरिक्त, सहायक, गौण (वि.), उपसाधन (सं.)"
ઍક્સેસ સમય,अभिगम काल
મુલાકાતી ભૂલ,आगन्तुक त्रुटि
ગોઠવણ,समंजन
સંચિત,संचित
"સંચય, સંચય","संचय, संचयन"
સંચયક,संचायक
ચોકસાઈ,यथार्थता
વાસ્તવિકતા,यथार्थ
વર્ણહીન લેન્સ,अवर्णक लेन्स
વર્ણહીન,अवर्णक
વર્ણહીનતા,अवर्णकता
એકોસ્ટિક,ध्वानिक
સાઉન્ડપ્રૂફ,ध्वनिरुद्ध
એકોસ્ટિક ફોનોન,ध्वानिक फ़ओनॉन
ધ્વનિ એકમ,ध्वनि-मात्रक
એકોસ્ટિક,ध्वानिक
અવાજ જનરેટર,ध्वनि जनित्र
ક્રિયા અને પ્રતિક્રિયા,क्रिया और प्रतिक्रिया
સક્રિયકરણ,सक्रियण
સક્રિયકરણ ઊર્જા,सक्रियण उर्जा
"એક્ટિવેટર, એક્ટિવેટર","सक्रियकारक, सक्रियक"
સક્રિય,सक्रिय
સક્રિયતા,सक्रियता
વાસ્તવિક તણાવ,वास्तविक प्रतिबल
બબડાટ,क्षिप्र उद्भासन
સારાંશ માટે,"योग करना, जोड़ना"
"સરવાળો, ઉમેરો, એકંદર (સં.), ઉમેરણ (વિ.)","योग, जोड़, संकलन (सं.), योगात्मक (वि.)"
"સંયોજક સ્વર, વધારાનો સ્વર (સ્વર)","संयोजी स्वर, अतिरिक्त टोन (स्वर)"
