Odiya,Kannada
"1. ଆବାକସ୍, ୨। ଗଣନା","1.ಅಬ್ಯಾಕಸ್, 2. ಎಣಿಕೆ"
ଅସ୍ୱାଭାବିକ ସମାପ୍ତି |,ಅಸಹಜ ಅಂತ್ಯ
ବାଧା,ತಡೆಹಿಡಿಯಿರಿ
"1. ସଂପୂର୍ଣ୍ଣ, 2 ସର୍ବୋଚ୍ଚ","1. ಸಂಪೂರ್ಣ, 2. ಸುಪ್ರೀಂ"
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,ಸಂಪೂರ್ಣ ವಿಳಾಸ
ସଂପୂର୍ଣ୍ଣ ଠିକଣା ଯୋଗ୍ୟତା |,ಸಂಪೂರ್ಣ ವಿಳಾಸ ಸಾಮರ್ಥ್ಯ
ସଂପୂର୍ଣ୍ଣ ସମାବେଶକାରୀ |,ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್
"1. ସଂପୂର୍ଣ୍ଣ କୋଡ୍, 2 ସଂପୂର୍ଣ୍ଣ କୋଡ୍","1. ಸಂಪೂರ್ಣ ಕೋಡ್, 2. ಸಂಪೂರ್ಣ ಕೋಡ್"
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ |,ಸಂಪೂರ್ಣ ಆಜ್ಞೆ
"1. ସଂପୂର୍ଣ୍ଣ ସଂଖ୍ୟା, 2 ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |","1. ಸಂಪೂರ್ಣ ಅಂಕಿಅಂಶಗಳು, 2. ಸಂಪೂರ್ಣ ಡೇಟಾ"
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ,ಸಂಪೂರ್ಣ ಸೂಚನೆ
ସଂପୂର୍ଣ୍ଣ ମୋଡ୍ |,ಸಂಪೂರ್ಣ ಮೋಡ್
ସଂପୂର୍ଣ୍ଣ ପଥ,ಸಂಪೂರ್ಣ ಮಾರ್ಗ
"1. ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ, 2 ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |","1. ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್, 2. ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್"
ବିସ୍ତୃତ ଶ୍ରେଣୀ |,ಅಮೂರ್ತ ವರ್ಗ
ବିସ୍ତୃତ ତଥ୍ୟ ପ୍ରକାର |,ಅಮೂರ್ತ ಡೇಟಾ ಪ್ರಕಾರ
ବିସ୍ତୃତ ମେସିନ୍ |,ಅಮೂರ್ತ ಯಂತ್ರ
ବିସ୍ତୃତ ପ୍ରତୀକ |,ಅಮೂರ್ತ ಚಿಹ್ನೆ
ବିସ୍ତୃତ ବାକ୍ୟବିନ୍ୟାସ |,ಅಮೂರ್ತ ಸಿಂಟ್ಯಾಕ್ಸ್
ଗ୍ରହଣ ପରୀକ୍ଷା,ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ
ପ୍ରବେଶ ପ୍ରମାଣପତ୍ର,ಪ್ರವೇಶ ಪ್ರಮಾಣೀಕರಣ
"1. ପ୍ରବେଶ ସଂକେତ, 2 ପ୍ରବେଶ କୋଡ୍","1. ಪ್ರವೇಶ ಕೋಡ್, 2. ಪ್ರವೇಶ ಕೋಡ್"
ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ,ಪ್ರವೇಶ ನಿಯಂತ್ರಣ
ସ୍କାନିଂ ଆକ୍ସେସ୍ କରନ୍ତୁ |,ಪ್ರವೇಶ ಸ್ಕ್ಯಾನಿಂಗ್
ଆନୁଷଙ୍ଗିକ,ಬಿಡಿಭಾಗಗಳು
ହିସାବ,ಲೆಕ್ಕಪತ್ರ
