Odiya,Hindi
ଏସିଡଏଡ୍ |,एसीडायड
ଆଓଲିୟାନ୍ ମାଟି |,जलोढ़ मृदा
ସମୁଦାୟ,समुच्चय
ଏକୀକରଣ,समुच्चयन
ଏଗ୍ରୋଲୋଜି,सस्य मृदा विज्ञान
କୃଷି,सस्य विज्ञान
ଏକ ରାଶି,"A-संस्तर, A-होराइजन"
ଆଓ-ରାଶି,Ao-संस्तर/Ao-होराइजन
ଆଓ-ରାଶି |,Aoo-संस्तर/होराइजन
ମାଟିର ବାୟୁ କ୍ଷମତା |,मृदा की वायु धारिता
ମାଟିର ବାୟୁ ସାମଗ୍ରୀ |,मृदा का वायु अंग
ବାୟୁ ପିକନୋମିଟର |,वायु पिक्नोमीटर
ଆଲିଟିକ୍ ମାଟି |,एलीटिक मृदा
ଆଲୁଭିଆଲ୍ ମାଟି |,जलोढ़ मृदा
ଆମ୍ଫୋଲାଇଟଏଡ୍ |,एम्फोलीटायड
ଆନିଅନ୍ |,ऋणायन
"ସ୍ପଷ୍ଟ ନିର୍ଦ୍ଦିଷ୍ଟ ମାଧ୍ୟାକର୍ଷଣ ପରିମାଣ ଓଜନ କିମ୍ବା ବହୁଳ ନିର୍ଦ୍ଦିଷ୍ଟ ମାଧ୍ୟାକର୍ଷଣ, &quot;",आभासी आपेक्षिक घनत्व आयतन भार या आयतन आपेक्षित घनत्व
ଆରିସ୍,कोर
ଆଶଲାର୍ ସୂକ୍ଷ୍ମ ଚୁକ୍ତି |,बारीक वराश्म चिनाई
ଆଶଲାର୍ ରାଜକନିକା |,वराश्म चिनाई
ଆଜୋନାଲ ମାଟି |,अस्तरीय मृदा/अक्षेत्रीय मृदा
ପଛ ଆକ୍ଟର୍ |,कर्ष खनित्र
ପଛ ଆର୍କ,पश्च डाट
ବ୍ୟାକ୍ ବ୍ୟାଣ୍ଡ |,पश्च पट्ट
ପଛ ବ୍ରଶ୍ |,उपटा प्रलेप
ପଛକୁ ଯା check ୍ଚ କରନ୍ତୁ |,पश्च रोधक
ପଛ କାଉଣ୍ଟର |,पश्च पटल
ପଛ କାଟିବା |,पश्च कर्तन
ପଛ ଡ୍ରାଫ୍ଟ ଡ୍ୟାମ୍ପର୍ |,उपटा झोंका अवमंदक
ପଛ ଡ୍ରେନ୍ |,पश्च नली
ବ୍ୟାକ୍ ଡ୍ରପ୍ |,पश्च पट
ପଛକୁ ପୁରଣ କରନ୍ତୁ |,पृष्ठ भरण
ପଛ ଫିଲେଟ୍ |,पश्च पट्टिका
ପଛ ଫ୍ଲାପ୍ ହିଙ୍ଗ୍ |,पृष्ठ पल्ला कब्जा
ପଛ ପ୍ରବାହ ସଂଯୋଗ |,प्रतीप प्रवाह संयोजन
ପଛ ପ୍ରବାହ ପ୍ରତିରୋଧକ |,प्रतीप प्रवाह निरोधक
ବ୍ୟାକ୍ ଗେଜ୍ |,पश्चांतर
ପଛ ଗୁଟର୍ |,पश्च नली
ପଛ ଚୁଲି,अग्निस्थान पृष्ठ
ସମର୍ଥନ,पीठ/पृष्ठ भाग
ବ୍ୟାକିଂ ବୋର୍ଡ |,पिछला तख्ता
ପଛ ଚାପ |,पश्च दाब
ପଛ ପ୍ରପ,पश्च टेक
ପଛ ଦୃଶ୍ୟ |,पश्चावलोकन
ପଛ ପାଣି |,पश्चजल
ବାଫଲ୍ |,व्यारोध
