English,Marathi
Abbey of Westminster,वेस्टमिन्स्टरचे मठाधीश
Abditory,निषिद्ध
Abolition of slavery,गुलामगिरीचे उच्चाटन
Aboriginal,आदिवासी
Abraham Era,अब्राहम युग
Absentee landlords,अनुपस्थित जमीनदार
Academy,अकादमी
Accra conference,अक्रा परिषद
Accruals,जमा
Acculturation,संवर्धन
Aceldama,एसेलडामा
Achaean (=Achian),आचियन (=अचियन)
Achaean League (=Achian League),आचियन लीग (=अचियन लीग)
Acropolis,एक्रोपोलिस
Acta Diurna,Acta Diurna
Acta Senatus,Acta Senatus
Acte Additionel,ऍक्ट अॅडिशनल
Active record (=current record),सक्रिय रेकॉर्ड (=वर्तमान रेकॉर्ड)
Act of attainder,प्राप्तकर्त्याची कृती
Act of Indemnity and oblivion,नुकसानभरपाई आणि विस्मरणाचा कायदा
Act of Settlement,सेटलमेंटचा कायदा
Ad contractus seal,जाहिरात करार सील
Adullamites,अदुल्लामाइट्स
Adversary,विरोधक
Adversary,विरोधक
Aeon,एऑन
Aerarium,एरेरियम
Aerial warfare,हवाई युद्ध
Aetolian League,एटोलियन लीग
Age,वय
Ageing (=aging),वृद्धत्व (=वृद्धत्व)
Ageing process,वृद्धत्व प्रक्रिया
Agelai,अगेलाय
Age of chivalry,पराक्रमाचे वय
Age of Englightment,ज्ञानाचे वय
Age of Pericles,पेरिकल्सचे वय
Age of reason,कारण वय
Agrarianism,कृषीवाद
Agrarian movement,कृषी चळवळ
Albion,अल्बिओन
Album,अल्बम
Alderman,अल्डरमन
Allusive arms,मोहक हात
Amity,मैत्री
Amphictyonic Council,एम्फेक्टियोनिक परिषद
Amphictyonic League,एम्फेक्टियोनिक लीग
Amphitheatre,अॅम्फिथिएटर
Amri Nal group (of pottery),अमरी नल गट (मातीचा)
Anachronism,अनाक्रोनिझम
Anachronistic,अनाक्रोनिस्टिक
Ancestor,पूर्वज
Ancestor Worship,पूर्वजांची पूजा
Ancestry,वंशपरंपरा
Ancestry,वंशपरंपरा
Ancestry,वंशपरंपरा
Ancestry,वंशपरंपरा
Ancien regime,प्राचीन राजवट
Ancient,प्राचीन
Ancient ballad,प्राचीन बालगीत
Ancient belief,प्राचीन श्रद्धा
Ancient custom,प्राचीन प्रथा
Ancient history,प्राचीन इतिहास
Ancient monuments,प्राचीन स्मारके
Anecdote,किस्सा
Angelot,अँजेलोट
Angelus,एंजलस
Angevin (=anjevin),अँजेविन (=अंजेविन)
Angles,कोन
Anglican,अँग्लिकन
Anglican Communion,अँग्लिकन कम्युनियन
Anglicanism,अँग्लिकनवाद
Anglo-phobe,अँग्लो-फोब
Anglo-phobia,अँग्लो-फोबिया
