Tamil,Gujarati
அபாக்ஸியல் மேற்பரப்பு,મહારમાન સપાટી
அடிவயிறு,પેટ
வயிற்று பெருநாடி,પેટનો એરોર્ટા
வயிற்று கேங்க்லியா,આધાર ગેંગલિયા
அபெல்மோஷஸ் எஸ்குலெண்டஸ்,Abલ્મોશ્ચસ એસ્ક્યુલ્ટસ
மாறுபாடு,વિપુલતા
அபிஸ்,નાજુક
அபிங்டன் ஆமை,એબિંગ્ડન કાચબો
அபியோஜெனெஸிஸ்,સ્વત્વાર્પણ
அஜியோடிக்,અહંકારી
அஜியோடிக் காரணி,અભણ પરિબળ
அசாதாரண சிறுநீர்,અસામાન્ય પેશાબ
ABO இரத்தக் குழு,એબીઓ રક્ત જૂથ
அப்சிசிக் அமிலம்,સદસ્યાટ
கஷ்டம்,વિકલાંગતા
உறிஞ்சும்,શોષવું
உறிஞ்சுதல் உச்சம்,શોષણ ટોચ
உறிஞ்சுதல்,સમાવેશ
அகாசியா கேடெச்சு,બાવળ
அகாரியா அரபிகா,એકરિયા અરબીકા
அகப்ரின்,એકર
ஏற்றுக்கொள்ளக்கூடிய பாலியல் நடத்தை,સ્વીકાર્ય જાતીય વર્તન
துணை சுரப்பி,સહાયક ગ્રંથિ
துணை சுரப்பி,સહાયક ગ્રંથિ
துணை உறுப்பு,સહાયક અંગ
பழக்கவழக்கமயமாக்கல்,સ્વાર્થીકરણ
பழக்கப்படுத்துங்கள்,મામૂલી કરવું
தங்குமிடம் (கவனம் செலுத்துதல்),આવાસ (ધ્યાન કેન્દ્રિત)
கண் தங்குமிடம்,આંખનું સ્થાન
திரட்டல் வளர்ச்சி,પરિધિ
குவிப்பு,સંચય
கரிமப் பொருட்களின் குவிப்பு,કાર્બનિક પદાર્થનું સંચય
மண்ணின் குவிப்பு,જમીનનો સંચય
அசெல்லுலர்,મધ્યમ
அசெல்லுலர் உயிரினம்,મધ્ય જીવ
அசிடபூலம்,અકારો
அசிடால்டிஹைட்,Ecetaldehyde
அசிடைல் கோஎன்சைம்,એસીટીલ કોએન્ઝાઇમ
அச்சாடினா,એકલતા
அச்சீன் வகை,અચેન પ્રકાર
அச்சீன்,અહંકાર
அச்ச்சைடோஸ்போரே,આચ્છાદન
அமில மழை,એસિડ વરસાદ
அமிலத்தன்மை,અમ્દિન
அமில வாயு,અમ્બલિક ગેસ
அமிலத்தன்மை,અમલ્ય
அசிநார் செல்,કોતરણીનો કોષ
அகோலோமேட்,Acાંકણ
அகோனிட்டம்,એક જાતની કળા
ஏகோர்ன் புழு,એકોખી
ஒலி மண்டலம்,ધ્વનિ ક્ષેત્ર
வாங்கிய எழுத்து,પ્રાપ્ત કરેલું પાત્ર
நோய் எதிர்ப்பு சக்தி,હસ્તગત પ્રતિરક્ષા
வாங்கிய இம்யூனோ குறைபாடு நோய்க்குறி (எய்ட்ஸ்),હસ્તગત ઇમ્યુનો ઉણપ સિન્ડ્રોમ (એઇડ્સ)
அக்னியா,ક્રોધાવેશ
அக்ரிடைன் சாயம்,એસિડાઇન રંગ
அக்ரோஷென்ட்ரிக்,અતિશય
அக்ரோமியன்,કરચલી
அக்ரோபெட்டல் வரிசை,સર્કરો
அக்ரோபெட்டல் ஆர்டர்,સરકરાનો હુકમ
அக்ரோசின்,ગળાશ
ஆக்டின்,કાર્ય
ஆக்டின் போன்ற புரதம்,કૃત્ય
ஆக்டினோமார்பிக்,અભિપ્રાયનું
ஆக்டினோமைசீட்கள்,કૃત્ય
செயல்பாட்டு திறன்,કાર્ય માટેની ક્ષમતા
செயல்படுத்தப்பட்ட கசடு,સક્રિય કાદવ
செயல்படுத்தப்பட்ட கசடு மிதவை,સક્રિય કાદવ ફ્લોક
செயல்படுத்தும் ஆற்றல்,સક્રિય energyર્જા
செயலில் உறிஞ்சுதல்,સક્રિય શોષણ
செயலில் நோய் எதிர்ப்பு சக்தி,સક્રિય પ્રતિરક્ષા
செயலில் கதிர்வீச்சு,સક્રિય કિરણોત્સર્ગ
செயலில் உள்ள தளம்,સક્રિય સ્થળ
ஆக்டிவின்,સક્રિય
அக்யூமினேட்,અણીદાર
ஆடம்ஸியா,એડ્મસિયા
தகவமைப்பு,અનુકૂલનક્ષમતા
தழுவல்,અનુકૂલન
ஒளி ஆட்சிக்கு தழுவல்,પ્રકાશ શાસન માટે અનુકૂલન
நீர் பற்றாக்குறைக்கு தழுவல்,પાણીની અછતને અનુકૂલન
தகவமைப்பு பண்புகள்,અનુકૂલનશીલ લાક્ષણિકતાઓ
தகவமைப்பு நோய் எதிர்ப்பு சக்தி,અનુકૂલનશીલ પ્રતિરક્ષા
தகவமைப்பு கதிர்வீச்சு,અનુકૂલનશીલ કિરણોત્સર્ગ
தகவமைப்பு பண்பு,અનુકૂલન લક્ષણ
அடாக்ஸியல் மேற்பரப்பு,ઉપદેશક
போதை கோளாறு,વ્યસનકારક વિકાર
அடினின்,એક જાતની adાળ
அடினோகார்டிகோட்ரோபின்,એડોનોકોર્ટિકોટ્રોપિન
அடினோஹைபோஃபிசிஸ்,એનોહિપોફિસીસ
அடினோசின் டைபாஸ்பேட்,એડેનોસિન ડિફોસ્ફેટ
அடினோசின் டீமினேஸ்,એમેનોસિન
அடினோசின் மோனோபாஸ்பேட்,એનોસિન મોનોફોસ્ફેટ
அடினோசின் ட்ரைபாஸ்பேட் (ஏடிபி),એડેનોસિન ટ્રાઇફોસ્ફેટ (એટીપી)
அடினிலேட் சைக்லேஸ்,સાયક્લેઝ
பிசின் சக்தி,ચપળ બળ
கொழுப்பு,શણગારવું
அடிபோசைட் (கொழுப்பு செல்),એડિપોસાઇટ (ચરબી કોષ)
கொழுப்பு திசு,ચરબી પેશી
Adnate,Nતરતું
அருகிலுள்ள சமூகம்,સંલગ્ન સમુદાય
அட்ரீனல்,વ્યવહાસી
அட்ரினல் சுரப்பி,એડ્રીનલ ગ્રંથિ
அட்ரினோகார்டிகோட்ரோபிக் ஹார்மோன் (ACTH),એડ્રેનોકોર્ટિકોટ્રોપિક હોર્મોન (એસીટીએચ)
அட்ரினோகார்டிகோட்ரோபிக் வெளியீட்டு ஹார்மோன் (ACTRH),એડ્રેનોકોર્ટિકોટ્રોપિક રિલીઝિંગ હોર્મોન (એસીટીઆરએચ)
Adsorbent,શોષક
உறிஞ்சுதல்,શોષક
மேம்பட்ட சோர்டேட்,અદ્યતન તાર
சாதகமான பிறழ்வு,ફાયદાકારક પરિવર્તન
சாகச,સાહસિક
சாகச வேர்,અગમ્ય મૂળ
பாதகமான விளைவு,પ્રતિકૂળ અસર
Aedes,એડીસ
கலாச்சாரத்தின் காற்றோட்டம்,સંસ્કૃતિનો વાયુ
ஏரென்கிமா,વિમાન
வான்வழி,હવાઈ
வான்வழி வேர்,હવાઈ ​​મૂળ
வான்வழி படப்பிடிப்பு,હવાઈ ​​ગોળી
ஏரோபிக் சுவாசம்,વાયુગામી શ્વસન
ஏரோபிக் சுவாசம்,વાયુગામી શ્વસન
அழகியல்,સૌંદર્ય શાસ્ત્ર
அவதூறு,નિલાસ્ય
அவதூறு,નિલાસ્ય
Afferent,સંલગ્ન
இணைப்பு நிறமூர்த்தம்,લગાવ રંગ
பாதிக்கப்பட்ட உறுப்பு,પીડિત અંગ
காடு வளர்ப்பு,વનીકરણ
அகமோஸ்பெர்மி,અકસ્માત
அகர்,પાટિયું
அகரோஸ்,અણીદાર
அகரோஸ் ஜெல் எலெட்ரோபோரேசிஸ்,એલોઝ જેલ એલેટ્રોફોરેસિસ
அகரோஸ் பாலிமர் ஜெல்,પિલર જેલ
அகாஸ்ட்,અવસ્થામાં
நீலக்கத்தாழை,ખાડી
வயது விநியோகம்,વય વહેંચણી
வயது பிரமிட்,વય પિરામિડ
திரட்டுதல்,Agલટ
மதிப்பீட்டு,સમૂહ
நுண்ணறைகளின் மொத்தம்,એકંદર
நுண்ணறைகளின் மொத்தம்,એકંદર
திரட்டுதல்,એકંદર
ஆக்கிரமிப்பு,આક્રમકતા
கிளர்ச்சி அமைப்பு,આંદોલનકારી પદ્ધતિ
அக்னாதா,એકરાગ
அகூட்டி,અણી
அக்ரானல் குளோரோபிளாஸ்ட்,અગ્રાણ ક્લોરોપ્લાસ્ટ
வேளாண்,એકરારવાળું
அக்ரானுலோசைட்,એગ્રાન્યુલોસાઇટ
வேளாண்மை,કૃષિ
வளர்ப்பு,કૃષિ -પ્રવેશ
