Telugu,English
అసాధారణ,Abnormal
అబార్ట్,Abort
అబ్రేషన్,Abrasion
ఆకస్మిక,Abrupt
సంపూర్ణ క్షేత్ర బలం,Absolute field strength
సంపూర్ణ ఉష్ణోగ్రత,Absolute temperature
సంపూర్ణ విలువ,Absolute value
గ్రహించండి,Absorb
శోషణ సహ-సమర్థత,Absorption co-efficient
శోషణ నష్టం,Absorption loss
నైరూప్య,Abstract
యాక్సిలెరోమీటర్,Accelerometer
అంగీకార పరీక్ష,Acceptance test
యాక్సెస్,Access
యాక్సెస్ నియంత్రణ,Access control
యాక్సెస్ పాయింట్,Access point
ప్రాప్యత సమయం,Access time
సౌలభ్యాన్ని,Accessibility
సంచిత కణం,Accumulator cell
ఖచ్చితత్వం,Accuracy
ఖచ్చితమైనది,Accurate
అచ్రోమాటిక్ లెన్స్,Achromatic lens
ఆమ్లము,Acid
యాసిడ్ ప్రూఫ్,Acid proof
ఆమ్లత్వం,Acidity
రసీదు బిట్,Acknowledgement bit
శబ్ద,Acoustic
ఎకౌస్టిక్ కమ్యూనికేషన్,Acoustic communication
శబ్ద వ్యాప్తి,Acoustic diffusion
ఎకౌస్టిక్ ఈక్వలైజర్,Acoustic equalizer
శబ్ద అభిప్రాయం,Acoustic feedback
శబ్ద వడపోత,Acoustic filter
శబ్ద ఇంపెడెన్స్,Acoustic impedance
ఎకౌస్టిక్ మాస్కింగ్,Acoustic masking
శబ్ద శక్తి,Acoustic power
శబ్ద ఆస్తి,Acoustic property
శబ్ద ప్రతిచర్య,Acoustic reactance
ఎకౌస్టిక్ రిఫ్లెక్స్,Acoustic reflex
శబ్ద టైల్,Acoustic tile
శబ్ద వేవ్,Acoustic wave
శబ్ద శోషణ,Acoustical absorption
శబ్ద అటెన్యుయేషన్ స్థిరాంకం,Acoustical attenuation constant
శబ్ద డంపింగ్,Acoustical damping
శబ్ద ఆలస్యం రేఖ,Acoustical delay line
శబ్ద వక్రీకరణ,Acoustical distortion
శబ్ద వాహిక,Acoustical duct
శబ్ద శక్తి,Acoustical energy
శబ్ద అభిప్రాయం,Acoustical feedback
శబ్ద వడపోత,Acoustical filter
శబ్ద ఇంపెడెన్స్,Acoustical impedance
శబ్ద ప్రచారం స్థిరాంకం,Acoustical propagation constant
శబ్ద నిరోధకత,Acoustical resistance
శబ్దపరంగా ఇన్సులేట్ చేయబడింది,Acoustically insulated
ధ్వని,Acoustics
సముపార్జన,Acquisition
ఎక్రోనిం,Acronym
కార్యాచరణ ప్రాంతం,Action area
సక్రియం చేయబడిన ఫిలమెంట్,Activated filament
క్రియాశీల,Active
క్రియాశీల ప్రాంతం,Active area
క్రియాశీల విండో,Active window
అనుకూలత,Adaptability
అడాప్టర్,Adapter (adaptor)
అడాప్టివ్ డిఫరెన్షియల్ పల్స్ కోడ్ మాడ్యులేషన్,Adaptive differential pulse code modulation
చిరునామా పుస్తకం,Address book
చిరునామా బస్సు,Address bus
చిరునామా తీర్మానం,Address resolution
ప్రక్కనే ఉన్న ఛానల్ జోక్యం,Adjacent channel interference
ప్రక్కనే ఉన్న ఛానల్ సెలెక్టివిటీ,Adjacent channel selectivity
ప్రక్కనే ఉన్న ఫ్రీక్వెన్సీ,Adjacent frequency
ప్రక్కనే ఉన్న ఫ్రీక్వెన్సీ ఛానల్,Adjacent frequency channel
ప్రక్కనే ఉన్న పిక్చర్ క్యారియర్,Adjacent picture carrier
ప్రక్కనే ఉన్న సౌండ్ క్యారియర్,Adjacent sound carrier
ప్రక్కనే ఉన్న స్టేషన్,Adjacent station
సర్దుబాటు,Adjustable
సర్దుబాటు కండెన్సర్,Adjustable condenser
సర్దుబాటు ఒత్తిడిని,Adjusting pressure
రెంచ్ సర్దుబాటు,Adjusting wrench
సర్దుబాటు,Adjustment
నిర్వాహకుడు,Administrator
అధునాతన సాంకేతిక పరిజ్ఞానం,Advanced technology
ఆకాశయాన,Aerial
వైమానిక శ్రేణి,Aerial array
వైమానిక బూస్టర్,Aerial booster
వైమానిక ప్రవాహం,Aerial current
వైమానిక ఎర్తింగ్ స్విచ్,Aerial earthing switch
వైమానిక సామర్థ్యం,Aerial efficiency
వైమానిక ఇంపెడెన్స్,Aerial impedance
వైమానిక ఇండక్టెన్స్,Aerial inductance
వైమానిక అవాహకం,Aerial insulator
వైమానిక లోడింగ్ కాయిల్,Aerial loading coil
వైమానిక ఫోటోగ్రఫీ,Aerial photography
వైమానిక శక్తి,Aerial power
వైమానిక రేడియేషన్ రీస్టెన్స్,Aerial radiation reistance
వైమానిక ప్రతిచర్య,Aerial reactance
ఏరోడైనమిక్స్,Aerodynamics
ఏజెన్సీ,Agency
వాయువుని కుదించునది,Air compressor
ఎయిర్ కండెన్సర్,Air condenser
గాలి చల్లబడింది,Air cooled
ఎయిర్ కోర్డ్ కాయిల్,Air cored coil
ఎయిర్ కండిషనింగ్,Airconditioning
ఆల్బెడో,Albedo
అల్గోరిథం,Algorithm
అలియాసింగ్,Aliasing
సమలేఖనం,Aligning
అమరిక,Alignment
అన్ని వేవ్ వైమానిక,All wave aerial
కేటాయింపు,Allocation
అక్షరాలు,Alphabetic
ఆల్ఫాన్యూమరిక్,Alphanumeric
ఆల్ఫాన్యూమరిక్ పాత్ర,Alphanumeric character
ఆల్ఫాన్యూమరిక్ సమాచారం,Alphanumeric information
ప్రత్యామ్నాయ కరెంట్ (a.c.),Alternating current (a.c.)
ప్రత్యామ్నాయం,Alternation
ఆల్టర్నేటర్,Alternator
ఎత్తు,Altitude
పొక్కు ఎత్తు,Altitude of the apogee
మూత యొక్క ఎత్తు,Altitude of the perigee
Te త్సాహిక రేడియో కమ్యూనికేషన్,Amateur radio communication
వాతావరణం,Ambience
వాతావరణ మైక్రోఫోన్,Ambience microphone
పరిసర పరిస్థితి,Ambient condition
పరిసర లైటింగ్,Ambient lighting
పరిసర శబ్దం,Ambient noise
పరిసర ఉష్ణోగ్రత,Ambient temperature
అమెరికన్ స్టాండర్డ్ కోడ్,American standard code
Ampere,Ampere
ఆంపియర్ మీటర్,Ampere meter
విస్తరణ,Amplification
యాంప్లిఫికేషన్ కారకం,Amplification factor
యాంప్లిఫైయర్,Amplifier
యాంప్లిఫైయర్ లాభం,Amplifier gain
యాంప్లిఫైయర్ శబ్దం,Amplifier noise
పరికరాలను విస్తరించడం,Amplifying equipment
క్లైస్ట్రాన్ విస్తరించడం,Amplifying klystron
యాంప్లిఫైయింగ్ యూనిట్,Amplifying unit
వ్యాప్తి,Amplitude
వ్యాప్తి వక్రీకరణ,Amplitude distortion
వ్యాప్తి విహారయాత్ర,Amplitude excursion
వ్యాప్తి కారకం,Amplitude factor
వ్యాప్తి పరిమితి,Amplitude limiter
వ్యాప్తి మాడ్యులేటెడ్,Amplitude modulated
యాంప్లిట్యూడ్ మాడ్యులేషన్,Amplitude modulation
అనలాగ్ (అనలాగ్),Analog (analogue)
అనలాగ్ సర్క్యూట్,Analog circuit
అనలాగ్ కంప్యూటర్,Analog computer
ఫ్రీక్వెన్సీ ఛానల్,Analog radio frequency channel
అనలాగ్ ప్రాతినిధ్యం,Analog representation
అనలాగ్ సిగ్నల్,Analog signal
డిజిటల్‌కు అనలాగ్,Analog to digital
డిజిటల్ కన్వర్టర్‌కు అనలాగ్,Analog to digital converter
అనలాగ్ వీడియో,Analog video
సారూప్యత,Analogous
సారూప్యత,Analogy
విశ్లేషణ,Analysis
డేటా యొక్క విశ్లేషణ,Analysis of data
విశ్లేషణాత్మక సాంద్రత,Analytical density
విశ్లేషించడానికి,Analyze
ఎనలైజర్,Analyzer
సహాయక పరికరాలు,Ancilliary equipment
మరియు గేట్,AND Gate
కొలిమేషన్ యొక్క కోణం,Angle of collimation
ధ్రువణ కోణం,Angle of polarization
భ్రమణ కోణం,Angle of rotation
గోరు,Angstrom (Å)
కోణీయ,Angular
కోణీయ త్వరణం,Angular acceleration
కోణీయ సమన్వయాలు,Angular co-ordinates
కోణీయ విక్షేపం,Angular deflection
కోణీయ చెదరగొట్టడం,Angular dispersion
కోణీయ స్థానభ్రంశం,Angular displacement
కోణీయ లోపం,Angular error
కోణీయ పౌన .పున్యం,Angular frequency
కోణీయ మొమెంటం,Angular momentum
కోణీయ కదలిక,Angular motion
కోణీయ వేగం,Angular velocity
యానిమేషన్,Animation
యానోడ్,Anode
యానోడ్ బ్యాటరీ,Anode battery
యానోడ్ లక్షణం,Anode characteristic
యానోడ్ సర్క్యూట్,Anode circuit
యానోడ్ వెదజల్లడం,Anode dissipation
యానోడ్ సామర్థ్యం,Anode efficiency
యానోడ్ ఇన్పుట్ శక్తి,Anode input power
యానోడ్ మాడ్యులేషన్,Anode modulation
యాంటెన్నా,Antenna
యాంటెన్నా బీమ్విడ్త్,Antenna beamwidth
యాంటెన్నా బూస్టర్,Antenna booster
యాంటెన్నా చేంజ్ఓవర్ స్విచ్,Antenna changeover switch
యాంటెన్నా కాయిల్,Antenna coil
యాంటెన్నా కాన్ఫిగరేషన్,Antenna configuration
యాంటెన్నా కప్లర్,Antenna coupler
యాంటెన్నా క్రాస్ ధ్రువ నమూనా,Antenna cross polar pattern
యాంటెన్నా కరెంట్,Antenna current
యాంటెన్నా డైరెక్టివిటీ లాభం,Antenna directivity gain
యాంటెన్నా డ్యూప్లెక్సర్,Antenna duplexer
యాంటెన్నా ప్రభావవంతమైన ప్రాంతం,Antenna effective area
యాంటెన్నా సామర్థ్యం,Antenna efficiency
యాంటెన్నా ఫీడ్,Antenna feed
యాంటెన్నా ఫుట్ ప్రింట్,Antenna foot print
యాంటెన్నా లాభం,Antenna gain
యాంటెన్నా ఎత్తు,Antenna height
యాంటెన్నా ఇంపెడెన్స్,Antenna impedance
యాంటెన్నా ఇండక్టెన్స్,Antenna inductance
యాంటెన్నా నమూనా,Antenna pattern
యాంటెన్నా ప్లెక్సర్,Antenna plexer
యాంటెన్నా ధ్రువణత,Antenna polarization
యాంటెన్నా శక్తి,Antenna power
యాంటెన్నా శక్తి లాభం,Antenna power gain
యాంటెన్నా రేడియేషన్ నిరోధకత,Antenna radiation resistance
యాంటెన్నా రియాక్టెన్స్,Antenna reactance
యాంటెన్నా రిఫ్లెక్టర్,Antenna reflector
యాంటెన్నా నిరోధకత,Antenna resistance
యాంటెన్నా ప్రతిధ్వని ఫ్రీక్వెన్సీ,Antenna resonant frequency
యాంటెన్నా స్పేసింగ్,Antenna spacing
యాంటెన్నా స్విచింగ్ రూమ్,Antenna switching room
యాంటెన్నా ట్యూనింగ్ కాయిల్,Antenna tuning coil
యాంటెన్నా ట్యూనింగ్ హట్,Antenna tuning hut
ఎపర్చరు,Aperture
అపోజీ,Apogee
అపోజీ రాకెట్,Apogee rocket
ఉపకరణం,Apparatus
స్పష్టంగా,Apparent
ఆప్లెట్,Applet
అప్లికేషన్,Application
సుమారు,Approximate
అక్వేస్ ద్రావణం,Aquous solution
ఆర్క్,Arc
వాస్తుశిల్పం,Architecture
