Punjabi,Malayalam
ਐਸਿਡੌਇਡ,ആസിഡോയിഡ്
ਏਓਲੀਅਨ ਮਿੱਟੀ,അയോലിയൻ മണ്ണ്
ਕੁੱਲ,ആകെത്തുകയായുള്ള
ਐਗਰੀਗੇਸ਼ਨ,സമാഹരണം
ਖੇਤੀ ਵਿਗਿਆਨ,അഗ്രോളജി
ਖੇਤੀ ਵਿਗਿਆਨ,അഗ്രോണമി
ਏ-ਹੋਰੀਜ਼ਨ,എ-ചക്രവാളം
ਆਉ-ਦਿਮਾਗ,Ao-ചക്രവാളം
ਆਉ—ਅੰਦਾਜ਼,Aoo-ചക്രവാളം
ਮਿੱਟੀ ਦੀ ਹਵਾ ਦੀ ਸਮਰੱਥਾ,മണ്ണിന്റെ വായു ശേഷി
ਮਿੱਟੀ ਦੀ ਹਵਾ ਸਮੱਗਰੀ,മണ്ണിന്റെ വായു ഉള്ളടക്കം
ਏਅਰ ਪਿਕਨੋਮੀਟਰ,എയർ പിക്നോമീറ്റർ
ਐਲੀਟਿਕ ਮਿੱਟੀ,അല്ലിറ്റിക് മണ്ണ്
ਐਲਵੀਅਲ ਮਿੱਟੀ,എക്കൽ മണ്ണ്
ਐਮਫੋਲੀਟੋਇਡ,ആംഫോളിറ്റോയ്ഡ്
ਐਨੀਅਨ,അനിയോൺ
"ਸਪੱਸ਼ਟ ਖਾਸ ਗਰੈਵਿਟੀ ਵਾਲੀਅਮ ਭਾਰ ਜਾਂ ਬਲਕ ਖਾਸ ਗਰੈਵਿਟੀ,&quot;","പ്രത്യക്ഷമായ നിർദ്ദിഷ്ട ഗുരുത്വാകർഷണ വോളിയം ഭാരം അല്ലെങ്കിൽ ബൾക്ക് നിർദ്ദിഷ്ട ഗുരുത്വാകർഷണം,&quot;"
ਅਰਿਸ,ആരിസ്
ਐਸ਼ਲਰ ਵਧੀਆ ਚਿਣਾਈ,അഷ്ലാർ നല്ല കൊത്തുപണി
ਐਸ਼ਲਰ ਚਿਣਾਈ,ആഷ്ലാർ കൊത്തുപണി
ਅਜੋਨਲ ਮਿੱਟੀ,അസോണൽ മണ്ണ്
ਪਿਛਲਾ ਅਦਾਕਾਰ,പിന്നണി നടൻ
ਪਿਛਲਾ arch,പിന്നിലെ കമാനം
ਬੈਕ ਬੈਂਡ,ബാക്ക് ബാൻഡ്
ਪਿੱਛੇ ਬੁਰਸ਼,ബാക്ക് ബ്രഷ്
ਵਾਪਸ ਜਾਂਚ,തിരികെ പരിശോധിക്കുക
ਪਿੱਛੇ ਕਾਊਂਟਰ,ബാക്ക് കൗണ്ടർ
ਵਾਪਸ ਕੱਟਣਾ,ബാക്ക് കട്ടിംഗ്
ਬੈਕ ਡਰਾਫਟ ਡੈਂਪਰ,ബാക്ക് ഡ്രാഫ്റ്റ് ഡാംപർ
ਬੈਕ ਡਰੇਨ,ബാക്ക് ഡ്രെയിനേജ്
ਬੈਕ ਡਰਾਪ,ബാക്ക് ഡ്രോപ്പ്
ਵਾਪਸ ਭਰੋ,തിരികെ പൂരിപ്പിക്കുക
ਬੈਕ ਫਿਲਲੇਟ,ബാക്ക് ഫില്ലറ്റ്
ਬੈਕ ਫਲੈਪ ਹਿੰਗ,ബാക്ക് ഫ്ലാപ്പ് ഹിഞ്ച്
ਵਾਪਸ ਵਹਾਅ ਕੁਨੈਕਸ਼ਨ,ബാക്ക് ഫ്ലോ കണക്ഷൻ
ਬੈਕ ਵਹਾਅ ਰੋਕਣ ਵਾਲਾ,ബാക്ക് ഫ്ലോ പ്രിവന്റർ
ਬੈਕ ਗੇਜ,ബാക്ക് ഗേജ്
ਪਿਛਲਾ ਗਟਰ,പിന്നിലെ ഗട്ടർ
ਪਿਛਲਾ ਚੁੱਲ੍ਹਾ,പിന്നിലെ അടുപ്പ്
ਬੈਕਿੰਗ,പിന്തുണ
ਬੈਕਿੰਗ ਬੋਰਡ,ബാക്കിംഗ് ബോർഡ്
ਪਿੱਠ ਦਾ ਦਬਾਅ,പിന്നിലെ മർദ്ദം
ਬੈਕ ਪ੍ਰੋਪ,ബാക്ക് പ്രോപ്പ്
ਪਿੱਛੇ ਦੀ ਨਜ਼ਰ,പിന്നാമ്പുറ കാഴ്ച
ਵਾਪਸ ਪਾਣੀ,പിൻ വെള്ളം
ਘਬਰਾਹਟ,തടസ്സപ്പെടുത്തുക
ਬੈਗਵਰਕ,ബാഗ് വർക്ക്
ਬੈਲਸਟ,ബാലസ്റ്റ്
ਬਾਲ ਮਿੱਟੀ,പന്ത് കളിമണ്ണ്
ਬਾਲ ਕੋਨ ਕਲੈਂਪ,ബോൾ കോൺ ക്ലാമ്പ്
ਕੰਡਿਆਲੀ ਤਾਰ,മുള്ളുകമ്പി
ਬਾਰ ਕੁੱਤਾ,ബാർ നായ
ਬਾਰਜ ਬੋਰਡ,ബാർജ് ബോർഡ്
ਬੇਰੀਅਮ ਸਲਫੇਟ ਟੈਸਟ,ബേരിയം സൾഫേറ്റ് പരിശോധന
ਬੈਰਾਜ,തടയണ
ਬੈਰੇਟ,ബാരറ്റ്
ਅਧਾਰ,അടിസ്ഥാനം
ਬੇਸ ਐਕਸਚੇਂਜ,അടിസ്ഥാന കൈമാറ്റം
ਬੇਸ ਲਾਈਨ,അടിസ്ഥാന ലൈൻ
ਬੇਸਮੈਂਟ,നിലവറ
ਬੇਸਮੈਂਟ ਦੀ ਕੰਧ,ബേസ്മെൻറ് മതിൽ
ਬੇਸ ਪਲੇਟ,അടിസ്ഥാന പ്ലേറ്റ്
"ਬੇਸ ਪਲੇਟ, ਅਨੁਕੂਲ","അടിസ്ഥാന പ്ലേറ്റ്, ക്രമീകരിക്കാവുന്ന"
ਬੇਸ ਸੰਤ੍ਰਿਪਤਾ,അടിസ്ഥാന സാച്ചുറേഷൻ
ਬੇਸੌਇਡ,ബസോയ്ഡ്
ਬੱਲਾ,ബാറ്റ്
ਇਸ਼ਨਾਨ ਅਤੇ ਡਬਲਯੂ.ਸੀ,ബാത്ത് ആൻഡ് ഡബ്ല്യുസി
ਬੈਟਰ ਪੈਗ,ബാറ്റർ കുറ്റി
ਬੈਟਰ ਪੀਅਰ,ബാറ്റർ പിയർ
ਬੈਟਰ ਨਿਯਮ,ബാറ്റർ ഭരണം
ਬਾਲਕ (ਬਾਲਕ),ബോൾക്ക് (ബാക്ക്)
ਬੇ,ബേ
ਧਾਰਕ,ചുമക്കുന്നയാൾ
ਬੇਅਰਿੰਗ ਸਮਰੱਥਾ,വഹിക്കാനുള്ള ശേഷി
ਬੇਅਰਿੰਗ ਪਾਇਲ,ബെയറിംഗ് പൈൽ
ਬੇਅਰਿੰਗ ਸਟ੍ਰੈਟਮ,ബെയറിംഗ് സ്ട്രാറ്റം
ਬਿਸਤਰਾ,കിടക്ക
ਬਿਸਤਰੇ ਦਾ ਜਹਾਜ਼,ബെഡ്ഡിംഗ് വിമാനം
ਬਿਸਤਰਾ ਜੋੜ,കിടക്ക ജോയിന്റ്
ਬੈੱਡ ਰੌਕ,കിടക്ക പാറ
ਬੈੱਡ ਰੂਮ,കിടപ്പുമുറി
ਮੋਮ,തേനീച്ചമെഴുകിൽ
ਘੰਟੀ ਬਾਕਸ,മണി പെട്ടി
ਘੰਟੀ ਵਾਲੀ ਬਾਲਟੀ,ബെല്ലിംഗ് ബക്കറ്റ്
ਬੇਲੋਫ੍ਰਾਮ,ബെല്ലോഫ്രം
ਬੈਂਚਡ ਫਾਊਂਡੇਸ਼ਨ,ബെഞ്ച് ചെയ്ത അടിത്തറ
