Punjabi,Malayalam
"1. ਅਬੈਕਸ, 2. ਗਿਣਤੀ","1.അബാക്കസ്, 2. എണ്ണുന്നു"
ਅਸਧਾਰਨ ਅੰਤ,അസാധാരണമായ അവസാനം
ਰੁਕਾਵਟ,തടസ്സപ്പെടുത്തുക
"1. ਸੰਪੂਰਨ, 2. ਸੁਪਰੀਮ","1. കേവലം, 2. പരമോന്നത"
ਪੂਰਾ ਪਤਾ,സമ്പൂർണ്ണ വിലാസം
ਸੰਪੂਰਨ ਪਤਾਯੋਗਤਾ,സമ്പൂർണ്ണ വിലാസക്ഷമത
ਪੂਰਨ ਅਸੈਂਬਲਰ,കേവല അസംബ്ലർ
"1. ਸੰਪੂਰਨ ਕੋਡ, 2. ਪੂਰਨ ਕੋਡ","1. കേവല കോഡ്, 2. കേവല കോഡ്"
ਪੂਰਨ ਹੁਕਮ,സമ്പൂർണ്ണ കമാൻഡ്
"1. ਸੰਪੂਰਨ ਅੰਕੜੇ, 2. ਪੂਰਨ ਡਾਟਾ","1. കേവല കണക്കുകൾ, 2. സമ്പൂർണ്ണ ഡാറ്റ"
ਪੂਰਨ ਹਦਾਇਤ,സമ്പൂർണ്ണ നിർദ്ദേശം
ਪੂਰਨ ਮੋਡ,കേവല മോഡ്
ਪੂਰਨ ਮਾਰਗ,കേവല പാത
"1. ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ, 2. ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ","1. സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്, 2. സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്"
ਐਬਸਟਰੈਕਟ ਕਲਾਸ,അമൂർത്ത ക്ലാസ്
ਸੰਖੇਪ ਡਾਟਾ ਕਿਸਮ,അമൂർത്ത ഡാറ്റ തരം
ਐਬਸਟਰੈਕਟ ਮਸ਼ੀਨ,അമൂർത്ത യന്ത്രം
ਸੰਖੇਪ ਚਿੰਨ੍ਹ,അമൂർത്ത ചിഹ്നം
ਸੰਖੇਪ ਸੰਟੈਕਸ,അമൂർത്തമായ വാക്യഘടന
ਸਵੀਕ੍ਰਿਤੀ ਟੈਸਟ,സ്വീകാര്യത പരിശോധന
ਪਹੁੰਚ ਪ੍ਰਮਾਣੀਕਰਣ,പ്രവേശന സർട്ടിഫിക്കേഷൻ
"1. ਪਹੁੰਚ ਕੋਡ, 2. ਐਕਸੈਸ ਕੋਡ","1. ആക്സസ് കോഡ്, 2. പ്രവേശന കോഡ്"
ਪਹੁੰਚ ਕੰਟਰੋਲ,പ്രവേശന നിയന്ത്രണം
ਐਕਸੈਸ ਸਕੈਨਿੰਗ,ആക്സസ് സ്കാനിംഗ്
ਸਹਾਇਕ ਉਪਕਰਣ,സാധനങ്ങൾ
ਲੇਖਾਕਾਰੀ,അക്കൌണ്ടിംഗ്
"1. ਖਾਤਾ ID, 2. ਲੇਖਾ ਪਛਾਣ","1. അക്കൗണ്ട് ഐഡി, 2. അക്കൗണ്ടിംഗ് തിരിച്ചറിയൽ"
ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ,ശേഖരണം
"1. ਸ਼ੁੱਧਤਾ, 2. ਸ਼ੁੱਧਤਾ","1. കൃത്യത, 2. കൃത്യത"
ਪਹੁੰਚ,പ്രവേശനം
ਪਹੁੰਚ ਕੰਟਰੋਲ ਬਾਈਟ,ആക്സസ് കൺട്രോൾ ബൈറ്റുകൾ
ਪਹੁੰਚ ਸੂਚਕ,പ്രവേശന സൂചകം
ਪਹੁੰਚ ਕੁੰਜੀ,ആക്സസ് കീ
"1. ਪਹੁੰਚ ਮੈਟਰਿਕਸ, 2. ਪਹੁੰਚ ਮੈਟਰਿਕਸ","1. ആക്സസ് മാട്രിക്സ്, 2. ആക്സസ് മാട്രിക്സ്"
ਪਹੁੰਚ ਮੋਡ,ആക്സസ് മോഡ്
ਪਹੁੰਚ ਅਧਿਕਾਰ,പ്രവേശനാവകാശങ്ങൾ
ਪਹੁੰਚ ਸੁਰੱਖਿਆ,ആക്സസ് സുരക്ഷ
"1. ਐਕਸੈਸ ਸਰਵਰ, 2. ਸਰਵਰ ਤੱਕ ਪਹੁੰਚ","1. ആക്സസ് സെർവർ, 2. ആക്സസ് സെർവർ"
ਪਹੁੰਚ ਦਾ ਸਮਾਂ,പ്രവേശന സമയം
ਮਾਨਤਾ,അംഗീകാരം
ਧੁਨੀ ਵਿਗਿਆਨ,ശബ്ദശാസ്ത്രം
"1. ਸੰਖੇਪ ਰੂਪ, 2. ਸੰਖੇਪ, 3. ਤੋਂ ਛੋਟਾ","1. ചുരുക്കെഴുത്ത്, 2. ചുരുക്കെഴുത്ത്, 3. മുതൽ ചുരുക്കി"
ਕਾਰਵਾਈ ਸੁਨੇਹਾ,പ്രവർത്തന സന്ദേശം
ਸਰਗਰਮੀ,സജീവമാക്കൽ
