Bengali,Tamil
অ্যাসিডয়েড,அமிலத்தன்மை
বায়বীয় মাটি,அயோலியன் மண்
সমষ্টি,மதிப்பீட்டு
সমষ্টি,திரட்டுதல்
কৃষিবিদ্যা,வேளாண்மை
কৃষিবিদ্যা,வேளாண்மை
A- দিগন্ত,A- அடிவானம்
আও-দিগন্ত,Ao- அடிவானம்
আও-দিগন্ত,Aoo- அடிவானம்
মাটির বায়ু ক্ষমতা,மண்ணின் காற்று திறன்
মাটির বায়ু উপাদান,மண்ணின் காற்றின் உள்ளடக்கம்
এয়ার পিকনোমিটার,காற்று பிக்னோமீட்டர்
অ্যালিটিক মাটি,அல்லிடிக் மண்
পলিমাটি,வண்டல் மண்
অ্যামফোলাইটয়েড,ஆம்போலிடாய்டு
অ্যানিয়ন,அயன்
"আপাত নির্দিষ্ট মাধ্যাকর্ষণ আয়তনের ওজন বা বাল্ক নির্দিষ্ট মাধ্যাকর্ষণ,&quot;","வெளிப்படையான குறிப்பிட்ட ஈர்ப்பு அளவு எடை அல்லது மொத்த குறிப்பிட்ட ஈர்ப்பு,&quot;"
আরিস,அரிஸ்
আশলার সূক্ষ্ম গাঁথনি,Ashlar நன்றாக கொத்து
আশলার রাজমিস্ত্রি,ஆஷ்லர் கொத்து
অ্যাজোনাল মাটি,அசோனல் மண்
পেছনের অভিনেতা,பின் நடிகர்
পিছনের খিলান,பின் வளைவு
ব্যাক ব্যান্ড,பின் இசைக்குழு
পিছনের ব্রাশ,பின் தூரிகை
ফিরে চেক,மீண்டும் சரிபார்க்கவும்
পিছনে কাউন্টার,பின் கவுண்டர்
পিছনে কাটা,முதுகு வெட்டுதல்
ব্যাক ড্রাফ্ট ড্যাম্পার,பின் வரைவு damper
পিছনের ড্রেন,பின் வடிகால்
ব্যাকড্রপ,பின் துளி
ব্যাক ফিল,பின் நிரப்பவும்
ব্যাক ফিললেট,பின் ஃபில்லட்
পিছনে ফ্ল্যাপ কবজা,பின் மடல் கீல்
পিছনে প্রবাহ সংযোগ,பின் ஓட்ட இணைப்பு
পিছনে প্রবাহ প্রতিরোধক,பின் ஓட்டம் தடுப்பான்
ব্যাক গেজ,பின் அளவுகோல்
পিছনে নর্দমা,பின்புற சாக்கடை
পিছনের চুলা,பின் அடுப்பு
ব্যাকিং,ஆதரவு
ব্যাকিং বোর্ড,பேக்கிங் போர்டு
ফিরতি চাপ,பின் அழுத்தம்
পিছনে প্রপ,பின் முட்டு
পিছনের দৃষ্টি,பின் பார்வை
পিঠের জল,பின் நீர்
বিভ্রান্ত,குழப்பம்
ব্যাগওয়ার্ক,பை வேலை
ব্যালাস্ট,பேலாஸ்ட்
বল কাদামাটি,பந்து களிமண்
বল শঙ্কু বাতা,பந்து கூம்பு கவ்வி
কাঁটাতার,முள்வேலி
বার কুকুর,பார் நாய்
বার্জ বোর্ড,விசைப்படகு பலகை
