Gujarati,Marathi
અબેલી જૂથ,abeli गट
અબેલી જૂથ,अबेली गट
હાથ,हात
"નિરપેક્ષ, નિરપેક્ષ, અચળ, ચોક્કસ","निरपेक्ष, निरपेक्ष, स्थिर, अचूक"
સંપૂર્ણ સંકલન,परिपूर्ण अभिसरण
સંપૂર્ણ ભૂલ,परिपूर्ण त्रुटी
સર્વોચ્ચ સર્વોચ્ચ,सर्वोच्च सर्वोच्च
એકદમ નીચું,परिपूर्ण सर्वात कमी
સંપૂર્ણ મૂલ્ય,परिपूर्ण मूल्य
સંપૂર્ણ વેગ,परिपूर्ण वेग
અમૂર્ત બીજગણિત,अमूर्त बीजगणित
અમૂર્ત જૂથ સિદ્ધાંત,अमूर्त गट सिद्धांत
પ્રવેગ,प्रवेग
ગુરુત્વાકર્ષણ પ્રવેગક,गुरुत्वाकर्षण प्रवेग
સ્વીકાર્ય પસંદગીકાર,स्वीकार्य निवडकर्ता
સ્વીકાર્ય ગુણવત્તા સ્તર,स्वीकार्य गुणवत्ता पातळी
સ્વીકાર્ય જગ્યા,स्वीकार्य परिसर
માન્ય વિશ્વસનીયતા સ્તર,वैध विश्वसनीयता पातळी
સ્વીકૃતિ નમૂના,स्वीकृती नमुना
સંચિત ભૂલ,संचित त्रुटी
ચોકસાઈ,अचूकता
બળ લાગુ કર્યું,शक्ती लागू
"ક્રિયા, ખત","कृती, कृती"
ક્રિયા અને પ્રતિક્રિયા,क्रिया आणि प्रतिक्रिया
વીમા વિજ્ઞાન,विमा विज्ञान
તીવ્ર ત્રિકોણ,तीव्र त्रिकोण
એસાયક્લિક,अॅसायक्लिक
સારાંશ માટે,बेरीज करणे
ઉમેરનાર,जोडणारा
"સરવાળો, ઉમેરો, સરવાળો (c.), ઉમેરણ (v.)","बेरीज, बेरीज, बेरीज (c.), बेरीज (v.)"
યોગનું સૂત્ર,योगाचे सूत्र
જટિલ સંખ્યાઓનો સરવાળો,जटिल संख्यांची बेरीज
કાર્યોનો સરવાળો,कार्यांची बेरीज
મેટ્રિસિસનો સરવાળો,मॅट्रिक्सची बेरीज
બહુપદીનો સરવાળો,बहुपदांची बेरीज
સંભાવનાઓનો સરવાળો,संभाव्यतेची बेरीज
વેક્ટરનો સરવાળો,वेक्टरची बेरीज
"સરવાળો પ્રમેય, બેરી સિદ્ધાંત,","बेरीज प्रमेय, बेरी सिद्धांत"
ઉમેરણ જૂથ,मिश्रित गट
ઉમેરણ વ્યસ્ત,additive inverse
ઉમેરણ,जोडणी
ઉમેરણ,जोडणी
સંલગ્નતા મેટ્રિક્સ,संलग्नता मॅट्रिक्स
"અડીને, અડીને, અડીને","समीप, समीप, समीप"
અડીને કોણ,समीप कोन
અડીને શિરોબિંદુ,समीप शिरोबिंदू
સાંકળવું,संबद्ध करणे
"જોડાયેલ બંધ,",संलग्न संलग्न
સામાન્ય નિર્ણાયક,सामान्य निर्धारक
જોડાયેલ વિભેદક સમીકરણ,संलग्न विभेदक समीकरण
જોડાયેલ સમીકરણ,संलग्न समीकरण
કોહોમોજીનીયસ મેટ્રિક્સ,एकसंध मॅट्रिक्स
મેટ્રિક્સ સહપ્રવૃત્તિ,मॅट्रिक्स सहप्रसरण
કોહોમોજીનીયસ મેટ્રિક્સ,एकसंध मॅट्रिक्स
સ્વીકાર્ય નિર્ણય કાર્ય,स्वीकार्य निर्णय कार्य
સ્વીકાર્ય પૂર્વધારણા,स्वीकार्य गृहीतक
એરોડાયનેમિક બળ,वायुगतिकीय शक्ती
એરોડાયનેમિક્સ,वायुगतिकी
સજાતીય ભૂમિતિ,एकसंध भूमिती
સજાતીય મેપિંગ,एकसंध मॅपिंग
સજાતીય પરિવર્તન,एकसंध परिवर्तन
એકંદર ચલ,एकूण चल
"બીજગણિત, બીજગણિત, બીજગણિત, બીજગણિત","बीजगणित, बीजगणित, बीजगणित, बीजगणित"
"સીડી બંધ, બીજરૂપે","बियाणे बंद, बीजारोपण"
બીજગણિતીય સમીકરણ,बीजगणितीय समीकरण
બીજગણિતીય અભિવ્યક્તિ,बीजगणितीय अभिव्यक्ती
બીજગણિત એકરૂપતા,बीजगणितीय एकरूपता
બીજગણિત કાર્ય,बीजगणितीय कार्य
બીજગણિત ભૂમિતિ,बीजगणितीय भूमिती
બીજગણિત બહુમતી,बीजगणितीय बहुलता
બીજગણિત સિસ્ટમ,बीजगणितीय प्रणाली
તમામ પૂર્ણાંક સમસ્યા,सर्व-पूर्णांक समस्या
"સોંપણી સમસ્યા વોટ પ્રશ્ન,",असाइनमेंट समस्या वॅट प्रश्न
આલ્ફાબેટીકલ નોટેશન,वर्णक्रमानुसार नोटेशन
આલ્ફાબેટીક અક્ષર,वर्णमाला वर्ण
વૈકલ્પિક ખૂણા,पर्यायी कोन
"વૈકલ્પિક સજાતીય વૈકલ્પિક સ્વરૂપ,",पर्यायी एकसंध पर्यायी फॉर्म
વૈકલ્પિક જૂથ,पर्यायी गट
વૈકલ્પિક મેટ્રિક્સ,पर्यायी मॅट्रिक्स
વૈકલ્પિક શ્રેણી,पर्यायी मालिका
વૈકલ્પિક પૂર્વધારણા,वैकल्पिक गृहीतक
વૈકલ્પિક શ્રેષ્ઠ,पर्यायी इष्टतम
વૈકલ્પિક પરિણામ,पर्यायी परिणाम
એનાલોગ-અંક કન્વર્ટર,अॅनालॉग-अंकी कनवर्टर
"એનાલોગ કમ્પ્યુટર,",अॅनालॉग संगणक
વિશ્લેષણ,विश्लेषण
સહપ્રવર્તન વિશ્લેષણ,सहप्रसरण विश्लेषण
ગણતરી-માહિતી વિશ્લેષણ,गणन-डेटा विश्लेषण
વિચલન વિશ્લેષણ,भिन्नता विश्लेषण
વિશ્લેષણાત્મક ભૂમિતિ,विश्लेषणात्मक भूमिती
વિશ્લેષણાત્મક કાર્ય,विश्लेषणात्मक कार्य
કોણ,कोन
સ્પર્શકોણ,स्पर्शिका कोन
વિચલન કોણ,विक्षेपण कोन
હતાશા કોણ,उदासीनता कोन
વિચલન કોણ,विचलन कोन
વિવર્તન કોણ,विवर्तन कोन
એલિવેશન એંગલ,उंची कोन
ઘટના કોણ,घटनेचा कोन
પ્રક્ષેપણ કોણ,प्रक्षेपण कोन
પ્રતિબિંબ કોણ,प्रतिबिंब कोन
રીફ્રેક્શન કોણ,अपवर्तन कोन
પરિભ્રમણ કોણ,रोटेशन कोन
પ્રતિબિંબનો સંપૂર્ણ કોણ,परावर्तनाचा परिपूर्ण कोन
કોણીય પ્રવેગક,कोनीय प्रवेग
કોણીય વેગ,कोनीय गती
કોણીય ઝડપ,कोनीय गती
કોણીય વેગ,कोनीय गती
રિંગ આંગળી,अनामिका
જવાબ આપો,उत्तर द्या
પ્રતિ વ્યુત્પન્ન,काउंटर व्युत्पन्न
આઇસોમેટ્રિક કાર્ય,आयसोमेट्रिक फंक्शन
"આવરી લેવા યોગ્ય, લાગુ, લાગુ","कव्हर करण्यायोग्य, लागू, लागू"
"અરજી અરજી,",अर्ज अर्ज
લાગુ ડાયનેમિક પ્રોગ્રામિંગ,लागू डायनॅमिक प्रोग्रामिंग
લાગુ ભૂમિતિ,लागू भूमिती
લાગુ ગણિત,लागू गणित
લાગુ આંકડા,लागू आकडेवारी
"લગભગ, લગભગ","अंदाजे, अंदाजे"
લગભગ સતત કાર્ય,अंदाजे सतत कार्य
"મેક્રો પદ્ધતિ, અંદાજ પદ્ધતિ","मॅक्रो पद्धत, अंदाजे पद्धत"
અંદાજિત ઉકેલ,अंदाजे उपाय
અંદાજની સમસ્યા,अंदाजे समस्या
અંદાજિત મિલકત,अंदाजे मालमत्ता
અભિરુચિ કસોટી,योग्यता चाचणी
આર્ગોન ડાયાગ્રામ,आर्गॉन आकृती
સ્વૈચ્છિક,ऐच्छिक
"રેન્ડમ, રેન્ડમ","यादृच्छिक, यादृच्छिक"
મનસ્વી સતત,अनियंत्रित स्थिरांक
મફત તત્વ,मुक्त घटक
મનસ્વી બિંદુ,अनियंत्रित बिंदू
આર્કિમિડીનો કાયદો,आर्किमिडीजचा कायदा
આર્કિમિડીઝનો કાયદો,आर्किमिडीजचा कायदा
"ચાપ-લંબાઈ, ચાપ-લંબાઈ","चाप-लांबी, चाप-लांबी"
વર્તુળ ચાપ,वर्तुळ चाप
વ્યસ્ત સાઈન વિતરણ,व्यस्त साइन वितरण
વ્યસ્ત સાઈન રૂપાંતરણ,व्यस्त साइन रूपांतरण
"વિસ્તાર, વિસ્તાર","क्षेत्र, क्षेत्र"
પ્રાદેશિક રૂપરેખાંકન,प्रादेशिक कॉन्फिगरेशन
જટિલ સંખ્યાનો કોણ,जटिल संख्येचा कोन
અંકગણિત સરેરાશ,अंकगणित सरासरी
ડિજિટલ કામગીરી,डिजिटल ऑपरेशन
ડિજિટલ એકમ,डिजिटल युनिट
"ગોઠવણી, ગોઠવણી","कॉन्फिगरेशन, व्यवस्था"
"એરે, એરે","अॅरे, अॅरे"
કૃત્રિમ ઉપગ્રહ,कृत्रिम उपग्रह
કૃત્રિમ ચલ,कृत्रिम व्हेरिएबल
ચઢવું,चढणे
ચડતા,चढत्या
તીવ્રતાનો ચડતો ક્રમ,परिमाणाचा चढता क्रम
ચડતા ગ્રેડ,चढत्या श्रेणी
એસેમ્બલર ભાષા,असेंबलर भाषा
"સોંપણી સમસ્યા સોંપણી પ્રશ્ન,",असाइनमेंट समस्या असाइनमेंट प्रश्न
સહયોગી નિયમ,सहयोगी नियम
ઓપરેટરોનો સહયોગી નિયમ,ऑपरेटर्सचा सहयोगी नियम
સહયોગી કામગીરી,सहयोगी ऑपरेशन
સોબત,सहवास
ધાર્યું સરેરાશ,सरासरी गृहीत धरले
અનુમાનિત સંભાવના વિતરણ,गृहीत संभाव्यता वितरण
"કલ્પના, સ્વીકાર્યું,","कल्पना केली, स्वीकारली"
જ્યોતિષશાસ્ત્ર,ज्योतिष
"એસ્ટ્રોનોટિકલ એન્જિનિયર સ્પેસ એન્જિનિયર,",अंतराळ अभियंता अंतराळ अभियंता
ખગોળશાસ્ત્રી*,खगोलशास्त्रज्ञ*
ખગોળશાસ્ત્રીય ઘડિયાળ,खगोलशास्त्रीय घड्याळ
ખગોળશાસ્ત્ર,खगोलशास्त्र
અસમપ્રમાણ વળાંક,असममित वक्र
અસમપ્રમાણતા,विषमता
એસિમ્પટોટિક,लक्षणे नसलेला
ઉત્તેજક,त्रासदायक
પ્રગતિશીલ અંદાજકાર,प्रगतीशील अंदाजक
પૂર્વગ્રહ પક્ષપાતી અંદાજકાર,प्रतिगामी पक्षपाती अनुमानक
પૂર્વવર્તી આચરણ,प्रतिगामी आचरण
આક્રમક વિતરણ કાર્ય,आक्रमक वितरण कार्य
ઉપરની તરફ ફેલાવો,वर पसरलेला
વાતાવરણ નુ દબાણ,वातावरणाचा दाब
"અવ્યવસ્થિત રીતે,",यादृच्छिकपणे
મિલકત*,मालमत्ता*
એટ્રિબ્યુટ-સેમ્પલિંગ-મિકેનિઝમ,विशेषता-नमुना-यंत्रणा
સંવર્ધિત મેટ્રિક્સ,संवर्धित मॅट्रिक्स
સ્વતઃસંબંધ ગુણાંક,स्वयंसंबंध गुणांक
સ્વતઃસંબંધ કાર્ય,स्वयंसंबंध कार्य
સહપ્રવૃત્તિ,सहप्रसरण
સ્વચાલિત કમ્પ્યુટર,स्वयंचलित संगणक
ઓટોરીગ્રેશન,ऑटोरिग्रेशन
સહાયક સમીકરણ,सहाय्यक समीकरण
મીન સેમ્પલ નંબર કર્વ (MPC કર્વ),सरासरी नमुना क्रमांक वक्र (MPC वक्र)
"axiom, axiom","स्वयंसिद्ध, स्वयंसिद्ध"
સ્વયંસિદ્ધ અભિગમ,स्वयंसिद्ध दृष्टीकोन
સંભાવના સ્વયંસિદ્ધ,संभाव्यता स्वयंसिद्ध
ધરી,अक्ष
ભુજક્ષા,भुजक्षा
પૃથ્વીની ધરી,पृथ्वीचा अक्ष
પરિભ્રમણ અક્ષ,रोटेशन अक्ष
પરિભ્રમણ અક્ષ,रोटेशन अक्ष
સ્પિન અક્ષ,फिरकी अक्ष
પોસ્ટ રિપ્લેસમેન્ટ,पोस्ट बदली
પાછળથી,नंतर
પાછા નિવેશ સૂત્ર,बॅक इन्सर्टेशन फॉर्म्युला
"સંતુલન, સંતુલન, સંતુલન, સંતુલન, સંતુલન, સંતુલન","शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक"
સંતુલિત ડિઝાઇન,संतुलित डिझाइन
સરવૈયા,ताळेबंद
મિસાઇલ,क्षेपणास्त्र
"બેલિસ્ટિક્સ, હથિયાર","बॅलिस्टिक्स, शस्त्रे"
"કૉલમ, બાર, કોબ, બાર, બાર, બાર, બાર, બાર, બાર, રેખા, રેખા, પરીક્ષણ રેખા, ધાર","स्तंभ, बार, कोब, बार, बार, बार, बार, बार, बार, रेषा, रेषा, चाचणी रेषा, किनार"
"આધાર, આધાર, આધાર, આધાર, આધાર","बेस, बेस, बेस, बेस, बेस"
આધાર કોણ,बेस कोन
"લઘુગણકનો આધાર, લઘુગણકનો આધાર","लॉगरिथमचा आधार, लॉगरिथमचा आधार"
"મૂળભૂત, મૂળભૂત,","मूलभूत, मूलभूत"
આધાર સુસંગત ઉકેલ,बेस सुसंगत उपाय
આધાર ઉકેલ,बेस सोल्यूशन
આધાર ચલ,बेस व्हेरिएबल
પાયો,पाया
આધાર તત્વ,मूळ घटक
આધાર મેટ્રિક્સ,बेस मॅट्रिक्स
વેક્ટર જગ્યાનો આધાર,वेक्टर स्पेसचा पाया
પેટા-વસ્તીનો આધાર,उपलोकसंख्या आधार
અનૈતિક,बेईमान
bez-નિયમ,bez-नियम
bez-પ્રમેય,bez-प्रमेय
bernoulli-વિતરણ,bernoulli-वितरण
બર્નોલી નંબરો,बर्नौली क्रमांक
Bernoulli સંભાવના કાર્ય,बर्नौली संभाव्यता कार्य
બર્નોલી-સમીકરણ,बर्नौली-समीकरण
બેરી કાર્ય,बोरासारखे बी असलेले लहान फळ कार्य
શ્રેષ્ઠ સંલગ્નતા,सर्वोत्तम आसंजन
શ્રેષ્ઠ સંલગ્નતા રેખા,सर्वोत्तम आसंजन ओळ
શ્રેષ્ઠ ઉકેલ,सर्वोत्तम उपाय
શ્રેષ્ઠ ટીપ્સ,सर्वोत्तम टिपा
બીટા વિતરણ,बीटा वितरण
"પૂર્વગ્રહ, પૂર્વગ્રહ","पक्षपात, पक्षपात"
પક્ષપાતી આકારણી,पक्षपाती मूल्यांकन
દ્વિપદી સમીકરણ,द्विपद समीकरण
એક કવર,एकल कव्हर
એક કવર નકશો,सिंगल कव्हर नकाशा
સિંગલ કવર મેપિંગ,सिंगल कव्हर मॅपिंग
ચતુર્ભુજ ચતુર્ભુજ,चतुर्भुज चौकोन
દ્વિરેખીય કાર્ય,द्विरेखीय कार्य
દ્વિરેખીય સંન્યાસી એકરૂપતા,द्विरेखीय हर्मिटियन एकजिनसीपणा
"દ્વિ-ચલ, દ્વિસંગી, દ્વિ","द्वि-चर, बायनरी, दुहेरी"
"બાઈનરી કોડ, બાઈનરી કોડ","बायनरी कोड, बायनरी कोड"
"દ્વિસંગી કોડેડ દશાંશ, દ્વિસંગી કોડેડ દશાંશ","बायनरी कोडेड दशांश, बायनरी कोडेड दशांश"
બાઈનરી એન્કોડિંગ,बायनरी एन्कोडिंग
દ્વિસંગી કમ્પ્યુટર,बायनरी संगणक
દ્વિસંગી સંખ્યાઓ,बायनरी अंक
દ્વિસંગી કામગીરી,बायनरी ऑपरेशन
દ્વિસંગી પદ્ધતિ,बायनरी पद्धत
દ્વિસંગી ચલ,बायनरी व्हेरिएबल
દ્વિપદી ગુણાંક,द्विपदी गुणांक
દ્વિપદી વિતરણ,द्विपदी वितरण
દ્વિપદી સમીકરણ,द्विपद समीकरण
દ્વિપદી ભિન્નતા,द्विपद भिन्नता
દ્વિપદી અભિવ્યક્તિ,द्विपदी अभिव्यक्ती
દ્વિપદી રેન્ડમ ચલ,द्विपदी यादृच्छिक चल
દ્વિપદી પ્રમેય,द्विपद प्रमेय
"અર્ધ, વિભાજન","अर्धा, दुभाजक"
"દ્વિભાજ્ય પદ્ધતિ, અર્ધવિભાજન પદ્ધતિ","दुभाजक पद्धत, अर्धविभाग पद्धत"
અડધા દ્વિભાજક,अर्धा दुभाजक
દ્વિપદી,"द्विपदी, द्विपदी"
"દ્વાયાંક (દ્વિસંગી અંક), અની, બર્મીઝ, ટુક","द्वयंक (बायनरी अंक), अनी, बर्मीज, तुक"
દ્વિપદી દ્વિપદી વિતરણ દ્વિપદી,द्विपदी द्विपद वितरण द्विपदी
દ્વિવિધ સહસંબંધ ગુણાંક,द्विवैरिएट सहसंबंध गुणांक
દ્વિવિધ વિતરણ,द्विवैरिएट वितरण
બાયવેરિયેટ સામાન્ય-વિતરણ,द्विवैरिएट सामान्य-वितरण
બાઇવેક્ટર,bivector
બોલ્ટમેન સમીકરણ,बोल्टमन समीकरण
બુલિયન બીજગણિત*,बुलियन बीजगणित*
બોઝ-આઈન્સ્ટાઈન સ્ટેટિસ્ટિક્સ,बोस-आईन्स्टाईन सांख्यिकी
મર્યાદા પ્રતિબંધો,मर्यादा निर्बंध
સીમા સ્તર,सीमा पातळी
સીમા રેખા,सीमारेषा
મર્યાદા મૂલ્ય,मर्यादा मूल्य
સીમા મૂલ્યની સમસ્યા,सीमा मूल्य समस्या
"બાઉન્ડેડ ફંક્શન બાઉન્ડેડ ફલ,",बाउंड फंक्शन बाउंडेड फळ
"બાઉન્ડેડ મેટ્રિક્સ, બાઉન્ડેડ મેટ્રિક્સ, બાઉન્ડેડ ટેબલ,","बाउंडेड मॅट्रिक्स, बाउंडेड मॅट्रिक्स, बाउंडेड टेबल"
"સીમિત પ્રદેશ સીમિત પ્રદેશ,",सीमाबद्ध प्रदेश सीमाबद्ध प्रदेश
"બાઉન્ડેડ સેટ બાઉન્ડેડ સેટ,",बाऊंड सेट बाउंडेड सेट
બ્રાઉની ગતિ,ब्राउनी मोशन
ગણતરી કરવી,मोजणे
