Malayalam,Bengali
വിലക്ഷണമായ,অস্বাভাবিক
ഉപേക്ഷിക്കുക,গর্ভপাত
വധനം,ঘর্ষণ
ആകസ്മികമായ,আকস্মিক
കേവല ഫീൽഡ് ശക്തി,পরম ক্ষেত্র শক্তি
കേവല താപനില,পরম তাপমাত্রা
യഥാർത്ഥ മൂല്യം,পরম মান
ഉള്ക്കൊള്ളുക,শোষণ
ആഗിരണം കോ-കാര്യക്ഷമമാണ്,শোষণ গুণাঙ্ক
ആഗിരണം നഷ്ടം,শোষণ ক্ষতি
വേര്പെട്ടുനില്ക്കുന്ന,বিমূর্ত
ആക്സിലറോമീറ്റർ,অ্যাক্সিলোমিটার
സ്വീകാര്യത പരിശോധന,স্বীকৃতি পরীক্ষা
പ്രവേശനം,অ্যাক্সেস
പ്രവേശന നിയന്ത്രണം,প্রবেশাধিকার নিয়ন্ত্রণ
പ്രവേശന പോയിന്റ്,এক্সেস পয়েন্ট
ആക്സസ് സമയം,প্রবেশাধিকার সময়
പ്രവേശനക്ഷമത,অ্যাক্সেসযোগ্যতা
സഞ്ചിത സെൽ,একুমুলেটর সেল
കൃതത,সঠিকতা
സൂക്ഷ്മമായ,নির্ভুল
അച്രോമാറ്റിക് ലെൻസ്,অ্যাক্রোমেটিক লেন্স
പുളിപ്പുള്ള,অ্যাসিড
ആസിഡ് തെളിവ്,অ্যাসিড প্রুফ
അസിഡിറ്റി,অম্লতা
അംഗീകാര ബിറ്റ്,স্বীকৃতি বিট
അക്കോസ്റ്റിക്,অ্যাকোস্টিক
അക്കോസ്റ്റിക് ആശയവിനിമയം,অ্যাকোস্টিক যোগাযোগ
അക്കോസ്റ്റിക് ഡിഫ്യൂഷൻ,অ্যাকোস্টিক প্রসারণ
അക്കോസ്റ്റിക് ഇക്വൈസർ,অ্যাকোস্টিক ইকুয়ালাইজার
അക്കോസ്റ്റിക് ഫീഡ്ബാക്ക്,অ্যাকোস্টিক প্রতিক্রিয়া
അക്ക ou സ്റ്റിക് ഫിൽട്ടർ,অ্যাকোস্টিক ফিল্টার
അക്കോസ്റ്റിക് ഇംപാസ്,শব্দের সংরোধ
അക്കോസ്റ്റിക് മാസ്കിംഗ്,অ্যাকোস্টিক মাস্কিং
അക്കോസ്റ്റിക് പവർ,অ্যাকোস্টিক শক্তি
അക്കോസ്റ്റിക് പ്രോപ്പർട്ടി,অ্যাকোস্টিক সম্পত্তি
അക്കോട്ടിക് റിയാൻസ്,অ্যাকোস্টিক রিঅ্যাক্ট্যান্স
അക്ക ou സ്റ്റിക് റിഫ്ലെക്സ്,অ্যাকোস্টিক রিফ্লেক্স
അക്കോസ്റ്റിക് ടൈൽ,অ্যাকোস্টিক টাইল
അക്ക ou സ്റ്റിക് തരംഗം,অ্যাকোস্টিক তরঙ্গ
ശബ്ദ ആഗിരണം,শাব্দিক শোষণ
അക്കോസ്റ്റിക്കൽ അറ്റൻയൂട്ടിന്റെ സ്ഥിരാങ്കം,শাব্দিক মনোযোগ ধ্রুবক
അക്കോസ്റ്റിക്കൽ നനവ്,শাব্দিক স্যাঁতসেঁতে
അക്കോസ്റ്റിക്കൽ കാലതാമസം,শাব্দিক বিলম্ব লাইন
അക്കോസ്റ്റിക്കൽ വക്രമാനം,শাব্দিক বিকৃতি
അക്കോസ്റ്റിക്കൽ നാളം,শাব্দিক নালী
അക്കോസ്റ്റിക്കൽ എനർജി,শাব্দিক শক্তি
അക്കോസ്റ്റിക്കൽ ഫീഡ്ബാക്ക്,শাব্দিক প্রতিক্রিয়া
അക്കോസ്റ്റിക്കൽ ഫിൽട്ടർ,শাব্দিক ফিল্টার
അക്കോസ്റ്റിക്കൽ ഇംപെഡൻസ്,শাব্দিক প্রতিবন্ধকতা
അക്കോസ്റ്റിക്കൽ പ്രചരണം സ്ഥിരാങ്കം,শাব্দিক প্রচার ধ্রুবক
അക്കോസ്റ്റിക്കൽ റെസിസ്റ്റൻസ്,শাব্দিক প্রতিরোধের
ശബ്ദപരമായി ഇൻസുലേറ്റ്,শাব্দিকভাবে অন্তরক
അക്കോസ്റ്റിക്സ്,অ্যাকোস্টিকস
കൈവശപ്പെടുത്തൽ,অধিগ্রহণ
സംക്ഷേപം,সংক্ষিপ্ত বিবরণ
പ്രവർത്തന മേഖല,অ্যাকশন এরিয়া
സജീവമാക്കിയ ഫിലമെന്റ്,সক্রিয় ফিলামেন্ট
സജീവമായ,সক্রিয়
സജീവ ഏരിയ,সক্রিয় এলাকা
സജീവ വിൻഡോ,সক্রিয় উইন্ডো
പൊരുത്തപ്പെടലി,অভিযোজনযোগ্যতা
അഡാപ്റ്റർ (അഡാപ്റ്റർ),অ্যাডাপ্টার (অ্যাডাপ্টার)
അഡാപ്റ്റീവ് ഡിഫറൻഷ്യൽ പൾസ് കോഡ് മോഡുലേഷൻ,অভিযোজিত ডিফারেনশিয়াল পালস কোড মড্যুলেশন
മേൽവിലാസ പുസ്തകം,ঠিকানা বই
വിലാസ ബസ്,ঠিকানা বাস
വിലാസ മിഴിവ്,ঠিকানা রেজোলিউশন
തൊട്ടടുത്തുള്ള ചാനൽ ഇടപെടൽ,সংলগ্ন চ্যানেল হস্তক্ষেপ
തൊട്ടടുത്തുള്ള ചാനൽ സെലക്ടീവി,সংলগ্ন চ্যানেল নির্বাচন
അടുത്തുള്ള ആവൃത്തി,সংলগ্ন ফ্রিকোয়েন্সি
തൊട്ടടുത്തുള്ള ഫ്രീക്വൻസി ചാനൽ,সংলগ্ন ফ্রিকোয়েন্সি চ্যানেল
തൊട്ടടുത്തുള്ള ചിത്ര കാരിയർ,সংলগ্ন ছবি ক্যারিয়ার
തൊട്ടടുത്തുള്ള ശബ്ദ കാരിയർ,সংলগ্ন সাউন্ড ক্যারিয়ার
അടുത്തുള്ള സ്റ്റേഷൻ,সংলগ্ন স্টেশন
കമീകരിക്കുന്ന,সামঞ্জস্যযোগ্য
ക്രമീകരിക്കാവുന്ന കണ്ടൻസർ,সামঞ্জস্যযোগ্য কনডেন্সার
സമ്മർദ്ദം ക്രമീകരിക്കുന്നു,সামঞ্জস্য চাপ
റെഞ്ച് ക്രമീകരിക്കുന്നു,সামঞ্জস্য করা রেঞ্চ
